time,enrolled,available,waitlisted,total
2023-05-25T01:21:53,0,138,0,138
2023-05-25T01:33:30,0,138,0,138
2023-05-25T01:45:14,0,138,0,138
2023-05-25T01:56:49,0,138,0,138
2023-05-25T02:08:25,0,138,0,138
2023-05-25T02:20:01,0,138,0,138
2023-05-25T02:31:36,0,138,0,138
2023-05-25T02:43:10,0,138,0,138
2023-05-25T02:54:42,0,138,0,138
2023-05-25T03:06:16,0,138,0,138
2023-05-25T03:17:55,0,138,0,138
2023-05-25T03:29:53,0,138,0,138
2023-05-25T03:41:30,0,138,0,138
2023-05-25T03:53:06,0,138,0,138
2023-05-25T04:04:41,0,138,0,138
2023-05-25T04:24:29,0,138,0,138
2023-05-25T04:36:05,0,138,0,138
2023-05-25T04:47:42,0,138,0,138
2023-05-25T04:59:17,0,138,0,138
2023-05-25T05:10:54,0,138,0,138
2023-05-25T05:22:30,0,138,0,138
2023-05-25T05:34:07,0,138,0,138
2023-05-25T05:45:43,0,138,0,138
2023-05-25T05:57:20,0,138,0,138
2023-05-25T06:08:56,0,138,0,138
2023-05-25T06:20:31,0,138,0,138
2023-05-25T06:32:06,0,138,0,138
2023-05-25T06:43:41,0,138,0,138
2023-05-25T06:55:16,0,138,0,138
2023-05-25T07:06:52,0,138,0,138
2023-05-25T07:18:27,0,138,0,138
2023-05-25T07:30:00,0,138,0,138
2023-05-25T07:41:37,0,138,0,138
2023-05-25T07:53:12,0,138,0,138
2023-05-25T08:04:47,0,138,0,138
2023-05-25T08:16:22,0,138,0,138
2023-05-25T08:28:06,0,138,0,138
2023-05-25T08:39:39,0,138,0,138
2023-05-25T08:51:11,0,138,0,138
2023-05-25T09:02:45,0,138,0,138
2023-05-25T09:14:18,0,138,0,138
2023-05-25T09:25:50,0,138,0,138
2023-05-25T09:37:23,0,138,0,138
2023-05-25T09:48:56,0,138,0,138
2023-05-25T10:00:29,0,138,0,138
2023-05-25T10:12:14,0,138,0,138
2023-05-25T10:23:47,0,138,0,138
2023-05-25T10:35:19,0,138,0,138
2023-05-25T10:46:52,0,138,0,138
2023-05-25T10:58:35,0,138,0,138
2023-05-25T11:10:07,0,138,0,138
2023-05-25T11:21:40,0,138,0,138
2023-05-25T11:33:13,0,138,0,138
2023-05-25T11:44:45,0,138,0,138
2023-05-25T11:56:30,0,138,0,138
2023-05-25T12:08:03,0,138,0,138
2023-05-25T12:19:35,0,138,0,138
2023-05-25T12:31:08,0,138,0,138
2023-05-25T12:42:41,0,138,0,138
2023-05-25T12:54:14,0,138,0,138
2023-05-25T13:05:57,0,138,0,138
2023-05-25T13:17:30,0,138,0,138
2023-05-25T13:29:03,0,138,0,138
2023-05-25T13:40:36,0,138,0,138
2023-05-25T13:52:09,0,138,0,138
2023-05-25T14:03:54,0,138,0,138
2023-05-25T14:15:28,0,138,0,138
2023-05-25T14:27:01,0,138,0,138
2023-05-25T14:38:34,0,138,0,138
2023-05-25T14:50:06,0,138,0,138
2023-05-25T15:01:51,0,138,0,138
2023-05-25T15:13:25,0,138,0,138
2023-05-25T15:25:00,0,138,0,138
2023-05-25T15:36:34,0,138,0,138
2023-05-25T15:48:09,0,138,0,138
2023-05-25T15:59:43,0,138,0,138
2023-05-25T16:11:29,0,138,0,138
2023-05-25T16:23:04,0,138,0,138
2023-05-25T16:34:39,0,138,0,138
2023-05-25T16:46:14,0,138,0,138
2023-05-25T16:57:50,0,138,0,138
2023-05-25T17:09:27,0,138,0,138
2023-05-25T17:21:14,0,138,0,138
2023-05-25T17:32:49,0,138,0,138
2023-05-25T17:44:25,0,138,0,138
2023-05-25T17:56:01,0,138,0,138
2023-05-25T18:07:38,0,138,0,138
2023-05-25T18:19:13,0,138,0,138
2023-05-25T18:30:48,0,138,0,138
2023-05-25T18:42:34,0,138,0,138
2023-05-25T18:54:10,0,138,0,138
2023-05-25T19:05:46,0,138,0,138
2023-05-25T19:17:22,0,138,0,138
2023-05-25T19:28:58,0,138,0,138
2023-05-25T19:40:33,0,138,0,138
2023-05-25T19:52:19,0,138,0,138
2023-05-25T20:03:55,0,138,0,138
2023-05-25T20:15:31,0,138,0,138
2023-05-25T20:27:07,0,138,0,138
2023-05-25T20:38:43,0,138,0,138
2023-05-25T20:50:18,0,138,0,138
2023-05-25T21:01:54,0,138,0,138
2023-05-25T21:13:30,0,138,0,138
2023-05-25T21:25:17,0,138,0,138
2023-05-25T21:36:52,0,138,0,138
2023-05-25T21:48:29,0,138,0,138
2023-05-25T22:00:03,0,138,0,138
2023-05-25T22:11:39,0,138,0,138
2023-05-25T22:23:14,0,138,0,138
2023-05-25T22:34:50,0,138,0,138
2023-05-25T22:46:36,0,138,0,138
2023-05-25T22:58:11,0,138,0,138
2023-05-25T23:09:50,0,138,0,138
2023-05-25T23:21:25,0,138,0,138
2023-05-25T23:33:01,0,138,0,138
2023-05-25T23:44:37,0,138,0,138
2023-05-25T23:56:14,0,138,0,138
2023-05-26T00:08:10,0,138,0,138
2023-05-26T00:19:50,0,138,0,138
2023-05-26T00:31:29,0,138,0,138
2023-05-26T00:43:08,0,138,0,138
2023-05-26T00:54:46,0,138,0,138
2023-05-26T01:06:26,0,138,0,138
2023-05-26T01:18:05,0,138,0,138
2023-05-26T01:29:43,0,138,0,138
2023-05-26T01:41:20,0,138,0,138
2023-05-26T01:53:09,0,138,0,138
2023-05-26T02:04:51,0,138,0,138
2023-05-26T02:16:29,0,138,0,138
2023-05-26T02:28:06,0,138,0,138
2023-05-26T02:39:45,0,138,0,138
2023-05-26T02:51:34,0,138,0,138
2023-05-26T03:03:14,0,138,0,138
2023-05-26T03:14:53,0,138,0,138
2023-05-26T03:26:35,0,138,0,138
2023-05-26T03:38:13,0,138,0,138
2023-05-26T03:49:51,0,138,0,138
2023-05-26T04:01:30,0,138,0,138
2023-05-26T04:13:18,0,138,0,138
2023-05-26T04:35:42,0,138,0,138
2023-05-26T04:47:22,0,138,0,138
2023-05-26T04:59:03,0,138,0,138
