time,enrolled,available,waitlisted,total
2023-05-25T01:22:40,0,15,0,15
2023-05-25T01:34:16,0,15,0,15
2023-05-25T01:46:00,0,15,0,15
2023-05-25T01:57:35,0,15,0,15
2023-05-25T02:09:11,0,15,0,15
2023-05-25T02:20:48,0,15,0,15
2023-05-25T02:32:22,0,15,0,15
2023-05-25T02:43:56,0,15,0,15
2023-05-25T02:55:28,0,15,0,15
2023-05-25T03:07:02,0,15,0,15
2023-05-25T03:18:41,0,15,0,15
2023-05-25T03:30:39,0,15,0,15
2023-05-25T03:42:16,0,15,0,15
2023-05-25T03:53:52,0,15,0,15
2023-05-25T04:05:27,0,15,0,15
2023-05-25T04:25:15,0,15,0,15
2023-05-25T04:36:52,0,15,0,15
2023-05-25T04:48:28,0,15,0,15
2023-05-25T05:00:04,0,15,0,15
2023-05-25T05:11:40,0,15,0,15
2023-05-25T05:23:17,0,15,0,15
2023-05-25T05:34:53,0,15,0,15
2023-05-25T05:46:29,0,15,0,15
2023-05-25T05:58:06,0,15,0,15
2023-05-25T06:09:42,0,15,0,15
2023-05-25T06:21:17,0,15,0,15
2023-05-25T06:32:52,0,15,0,15
2023-05-25T06:44:27,0,15,0,15
2023-05-25T06:56:02,0,15,0,15
2023-05-25T07:07:38,0,15,0,15
2023-05-25T07:19:13,0,15,0,15
2023-05-25T07:30:46,0,15,0,15
2023-05-25T07:42:23,0,15,0,15
2023-05-25T07:53:58,0,15,0,15
2023-05-25T08:05:34,0,15,0,15
2023-05-25T08:17:08,0,15,0,15
2023-05-25T08:28:52,0,15,0,15
2023-05-25T08:40:25,0,15,0,15
2023-05-25T08:51:57,0,15,0,15
2023-05-25T09:03:31,0,15,0,15
2023-05-25T09:15:04,0,15,0,15
2023-05-25T09:26:36,0,15,0,15
2023-05-25T09:38:09,0,15,0,15
2023-05-25T09:49:42,0,15,0,15
2023-05-25T10:01:15,0,15,0,15
2023-05-25T10:13:00,0,15,0,15
2023-05-25T10:24:33,0,15,0,15
2023-05-25T10:36:05,0,15,0,15
2023-05-25T10:47:38,0,15,0,15
2023-05-25T10:59:21,0,15,0,15
2023-05-25T11:10:53,0,15,0,15
2023-05-25T11:22:26,0,15,0,15
2023-05-25T11:33:59,0,15,0,15
2023-05-25T11:45:31,0,15,0,15
2023-05-25T11:57:16,0,15,0,15
2023-05-25T12:08:49,0,15,0,15
2023-05-25T12:20:21,0,15,0,15
2023-05-25T12:31:54,0,15,0,15
2023-05-25T12:43:27,0,15,0,15
2023-05-25T12:55:00,0,15,0,15
2023-05-25T13:06:43,0,15,0,15
2023-05-25T13:18:16,0,15,0,15
2023-05-25T13:29:49,0,15,0,15
2023-05-25T13:41:22,0,15,0,15
2023-05-25T13:52:55,0,15,0,15
2023-05-25T14:04:40,0,15,0,15
2023-05-25T14:16:13,0,15,0,15
2023-05-25T14:27:47,0,15,0,15
2023-05-25T14:39:20,0,15,0,15
2023-05-25T14:50:52,0,15,0,15
2023-05-25T15:02:37,0,15,0,15
2023-05-25T15:14:11,0,15,0,15
2023-05-25T15:25:46,0,15,0,15
2023-05-25T15:37:20,0,15,0,15
2023-05-25T15:48:55,0,15,0,15
2023-05-25T16:00:29,0,15,0,15
2023-05-25T16:12:15,0,15,0,15
2023-05-25T16:23:50,0,15,0,15
2023-05-25T16:35:25,0,15,0,15
2023-05-25T16:47:00,0,15,0,15
2023-05-25T16:58:36,0,15,0,15
2023-05-25T17:10:13,0,15,0,15
2023-05-25T17:22:00,0,15,0,15
2023-05-25T17:33:35,0,15,0,15
2023-05-25T17:45:11,0,15,0,15
2023-05-25T17:56:47,0,15,0,15
2023-05-25T18:08:24,0,15,0,15
2023-05-25T18:19:59,0,15,0,15
2023-05-25T18:31:34,0,15,0,15
2023-05-25T18:43:20,0,15,0,15
2023-05-25T18:54:56,0,15,0,15
2023-05-25T19:06:32,0,15,0,15
2023-05-25T19:18:08,0,15,0,15
2023-05-25T19:29:44,0,15,0,15
2023-05-25T19:41:20,0,15,0,15
2023-05-25T19:53:05,0,15,0,15
2023-05-25T20:04:41,0,15,0,15
2023-05-25T20:16:17,0,15,0,15
2023-05-25T20:27:53,0,15,0,15
2023-05-25T20:39:28,0,15,0,15
2023-05-25T20:51:04,0,15,0,15
2023-05-25T21:02:40,0,15,0,15
2023-05-25T21:14:16,0,15,0,15
2023-05-25T21:26:03,0,15,0,15
2023-05-25T21:37:38,0,15,0,15
2023-05-25T21:49:14,0,15,0,15
2023-05-25T22:00:49,0,15,0,15
2023-05-25T22:12:25,0,15,0,15
2023-05-25T22:24:00,0,15,0,15
2023-05-25T22:35:36,0,15,0,15
2023-05-25T22:47:22,0,15,0,15
2023-05-25T22:58:57,0,15,0,15
2023-05-25T23:10:36,0,15,0,15
2023-05-25T23:22:11,0,15,0,15
2023-05-25T23:33:47,0,15,0,15
2023-05-25T23:45:23,0,15,0,15
2023-05-25T23:57:00,0,15,0,15
2023-05-26T00:08:56,0,15,0,15
2023-05-26T00:20:36,0,15,0,15
2023-05-26T00:32:15,0,15,0,15
2023-05-26T00:43:54,0,15,0,15
2023-05-26T00:55:33,0,15,0,15
2023-05-26T01:07:12,0,15,0,15
2023-05-26T01:18:51,0,15,0,15
2023-05-26T01:30:29,0,15,0,15
2023-05-26T01:42:07,0,15,0,15
2023-05-26T01:53:55,0,15,0,15
2023-05-26T02:05:37,0,15,0,15
2023-05-26T02:17:15,0,15,0,15
2023-05-26T02:28:52,0,15,0,15
2023-05-26T02:40:31,0,15,0,15
2023-05-26T02:52:20,0,15,0,15
2023-05-26T03:04:01,0,15,0,15
2023-05-26T03:15:40,0,15,0,15
2023-05-26T03:27:21,0,15,0,15
2023-05-26T03:38:59,0,15,0,15
2023-05-26T03:50:37,0,15,0,15
2023-05-26T04:02:16,0,15,0,15
2023-05-26T04:14:04,0,15,0,15
2023-05-26T04:36:28,0,15,0,15
2023-05-26T04:48:09,0,15,0,15
2023-05-26T04:59:49,0,15,0,15
2023-05-26T05:11:31,0,15,0,15
2023-05-26T05:23:10,0,15,0,15
2023-05-26T05:34:48,0,15,0,15
2023-05-26T05:46:28,0,15,0,15
2023-05-26T05:58:07,0,15,0,15
2023-05-26T06:09:46,0,15,0,15
2023-05-26T06:21:25,0,15,0,15
2023-05-26T06:33:03,0,15,0,15
2023-05-26T06:44:42,0,15,0,15
2023-05-26T06:56:20,0,15,0,15
2023-05-26T07:07:58,0,15,0,15
2023-05-26T07:19:37,0,15,0,15
2023-05-26T07:31:23,0,15,0,15
2023-05-26T07:43:00,0,15,0,15
2023-05-26T07:54:38,0,15,0,15
2023-05-26T08:06:14,0,15,0,15
2023-05-26T08:17:50,1,14,0,15
2023-05-26T08:29:26,1,14,0,15
2023-05-26T08:41:03,1,14,0,15
2023-05-26T08:52:39,1,14,0,15
2023-05-26T09:04:15,1,14,0,15
2023-05-26T09:15:51,1,14,0,15
2023-05-26T09:27:27,1,14,0,15
2023-05-26T09:39:14,1,14,0,15
2023-05-26T09:50:50,3,12,0,15
2023-05-26T10:02:26,3,12,0,15
2023-05-26T10:14:03,3,12,0,15
2023-05-26T10:25:39,3,12,0,15
2023-05-26T10:37:27,3,12,0,15
2023-05-26T10:49:04,3,12,0,15
2023-05-26T11:00:40,3,12,0,15
2023-05-26T11:12:17,3,12,0,15
2023-05-26T11:23:53,4,11,0,15
2023-05-26T11:35:29,4,11,0,15
2023-05-26T11:47:16,4,11,0,15
2023-05-26T11:58:51,5,10,0,15
2023-05-26T12:10:28,5,10,0,15
2023-05-26T12:22:04,5,10,0,15
2023-05-26T12:33:40,5,10,0,15
2023-05-26T12:45:27,5,10,0,15
2023-05-26T12:57:03,5,10,0,15
2023-05-26T13:08:39,5,10,0,15
2023-05-26T13:20:15,5,10,0,15
2023-05-26T13:32:01,5,10,0,15
2023-05-26T13:43:37,5,10,0,15
2023-05-26T13:55:13,5,10,0,15
2023-05-26T14:06:49,5,10,0,15
2023-05-26T14:18:25,5,10,0,15
2023-05-26T14:30:12,5,10,0,15
2023-05-26T14:41:48,5,10,0,15
2023-05-26T14:53:24,5,10,0,15
2023-05-26T15:05:01,5,10,0,15
2023-05-26T15:16:38,5,10,0,15
2023-05-26T15:28:25,5,10,0,15
2023-05-26T15:40:00,5,10,0,15
2023-05-26T15:51:36,5,10,0,15
2023-05-26T16:03:12,5,10,0,15
2023-05-26T16:14:48,5,10,0,15
2023-05-26T16:26:23,5,10,0,15
2023-05-26T16:38:09,5,10,0,15
2023-05-26T16:49:45,5,10,0,15
2023-05-26T17:01:21,5,10,0,15
2023-05-26T17:12:58,5,10,0,15
2023-05-26T17:24:33,5,10,0,15
2023-05-26T17:36:09,5,10,0,15
2023-05-26T17:47:55,5,10,0,15
2023-05-26T17:59:30,5,10,0,15
2023-05-26T18:11:06,5,10,0,15
2023-05-26T18:22:42,5,10,0,15
2023-05-26T18:34:18,5,10,0,15
2023-05-26T18:45:53,5,10,0,15
2023-05-26T18:57:39,5,10,0,15
2023-05-26T19:09:15,5,10,0,15
2023-05-26T19:20:52,5,10,0,15
2023-05-26T19:32:28,5,10,0,15
2023-05-26T19:44:03,5,10,0,15
2023-05-26T19:55:39,5,10,0,15
2023-05-26T20:07:15,5,10,0,15
2023-05-26T20:19:00,5,10,0,15
2023-05-26T20:30:36,5,10,0,15
2023-05-26T20:42:11,5,10,0,15
