time,enrolled,available,waitlisted,total
2023-05-25T01:22:52,0,75,0,75
2023-05-25T01:34:28,0,75,0,75
2023-05-25T01:46:12,0,75,0,75
2023-05-25T01:57:48,0,75,0,75
2023-05-25T02:09:24,0,75,0,75
2023-05-25T02:21:00,0,75,0,75
2023-05-25T02:32:34,0,75,0,75
2023-05-25T02:44:08,0,75,0,75
2023-05-25T02:55:41,0,75,0,75
2023-05-25T03:07:15,0,75,0,75
2023-05-25T03:18:54,0,75,0,75
2023-05-25T03:30:52,0,75,0,75
2023-05-25T03:42:29,0,75,0,75
2023-05-25T03:54:04,0,75,0,75
2023-05-25T04:05:40,0,75,0,75
2023-05-25T04:25:27,0,75,0,75
2023-05-25T04:37:04,0,75,0,75
2023-05-25T04:48:40,0,75,0,75
2023-05-25T05:00:16,0,75,0,75
2023-05-25T05:11:53,0,75,0,75
2023-05-25T05:23:29,0,75,0,75
2023-05-25T05:35:06,0,75,0,75
2023-05-25T05:46:42,0,75,0,75
2023-05-25T05:58:18,0,75,0,75
2023-05-25T06:09:54,0,75,0,75
2023-05-25T06:21:29,0,75,0,75
2023-05-25T06:33:04,0,75,0,75
2023-05-25T06:44:39,0,75,0,75
2023-05-25T06:56:14,0,75,0,75
2023-05-25T07:07:50,0,75,0,75
2023-05-25T07:19:25,0,75,0,75
2023-05-25T07:30:59,0,75,0,75
2023-05-25T07:42:35,0,75,0,75
2023-05-25T07:54:11,0,75,0,75
2023-05-25T08:05:46,0,75,0,75
2023-05-25T08:17:20,0,75,0,75
2023-05-25T08:29:05,0,75,0,75
2023-05-25T08:40:38,0,75,0,75
2023-05-25T08:52:10,0,75,0,75
2023-05-25T09:03:43,0,75,0,75
2023-05-25T09:15:16,0,75,0,75
2023-05-25T09:26:49,0,75,0,75
2023-05-25T09:38:21,0,75,0,75
2023-05-25T09:49:54,0,75,0,75
2023-05-25T10:01:28,0,75,0,75
2023-05-25T10:13:12,0,75,0,75
2023-05-25T10:24:45,0,75,0,75
2023-05-25T10:36:18,0,75,0,75
2023-05-25T10:47:50,0,75,0,75
2023-05-25T10:59:33,0,75,0,75
2023-05-25T11:11:05,0,75,0,75
2023-05-25T11:22:38,0,75,0,75
2023-05-25T11:34:11,0,75,0,75
2023-05-25T11:45:44,0,75,0,75
2023-05-25T11:57:28,0,75,0,75
2023-05-25T12:09:01,0,75,0,75
2023-05-25T12:20:34,0,75,0,75
2023-05-25T12:32:07,0,75,0,75
2023-05-25T12:43:40,0,75,0,75
2023-05-25T12:55:12,0,75,0,75
2023-05-25T13:06:55,0,75,0,75
2023-05-25T13:18:28,0,75,0,75
2023-05-25T13:30:02,0,75,0,75
