time,enrolled,available,waitlisted,total
2023-05-25T01:23:01,0,20,0,20
2023-05-25T01:34:37,0,20,0,20
2023-05-25T01:46:21,0,20,0,20
2023-05-25T01:57:57,0,20,0,20
2023-05-25T02:09:33,0,20,0,20
2023-05-25T02:21:09,0,20,0,20
2023-05-25T02:32:43,0,20,0,20
2023-05-25T02:44:17,0,20,0,20
2023-05-25T02:55:50,0,20,0,20
2023-05-25T03:07:24,0,20,0,20
2023-05-25T03:19:03,0,20,0,20
2023-05-25T03:31:01,0,20,0,20
2023-05-25T03:42:38,0,20,0,20
2023-05-25T03:54:13,0,20,0,20
2023-05-25T04:05:49,0,20,0,20
2023-05-25T04:25:36,0,20,0,20
2023-05-25T04:37:13,0,20,0,20
2023-05-25T04:48:49,0,20,0,20
2023-05-25T05:00:25,0,20,0,20
2023-05-25T05:12:02,0,20,0,20
2023-05-25T05:23:38,0,20,0,20
2023-05-25T05:35:15,0,20,0,20
2023-05-25T05:46:51,0,20,0,20
2023-05-25T05:58:27,0,20,0,20
2023-05-25T06:10:03,0,20,0,20
2023-05-25T06:21:38,0,20,0,20
2023-05-25T06:33:13,0,20,0,20
2023-05-25T06:44:48,0,20,0,20
2023-05-25T06:56:23,0,20,0,20
2023-05-25T07:07:59,0,20,0,20
2023-05-25T07:19:34,0,20,0,20
2023-05-25T07:31:08,0,20,0,20
2023-05-25T07:42:44,0,20,0,20
2023-05-25T07:54:20,0,20,0,20
2023-05-25T08:05:55,0,20,0,20
2023-05-25T08:17:29,0,20,0,20
2023-05-25T08:29:14,0,20,0,20
2023-05-25T08:40:46,0,20,0,20
2023-05-25T08:52:19,0,20,0,20
2023-05-25T09:03:52,0,20,0,20
2023-05-25T09:15:25,0,20,0,20
2023-05-25T09:26:58,0,20,0,20
2023-05-25T09:38:30,0,20,0,20
2023-05-25T09:50:03,0,20,0,20
2023-05-25T10:01:36,0,20,0,20
2023-05-25T10:13:21,0,20,0,20
2023-05-25T10:24:54,0,20,0,20
2023-05-25T10:36:27,0,20,0,20
2023-05-25T10:47:59,0,20,0,20
2023-05-25T10:59:42,0,20,0,20
2023-05-25T11:11:14,0,20,0,20
2023-05-25T11:22:47,0,20,0,20
2023-05-25T11:34:20,0,20,0,20
2023-05-25T11:45:53,0,20,0,20
2023-05-25T11:57:37,0,20,0,20
2023-05-25T12:09:10,0,20,0,20
2023-05-25T12:20:43,0,20,0,20
2023-05-25T12:32:16,0,20,0,20
2023-05-25T12:43:49,0,20,0,20
2023-05-25T12:55:21,0,20,0,20
2023-05-25T13:07:04,0,20,0,20
2023-05-25T13:18:37,0,20,0,20
2023-05-25T13:30:11,0,20,0,20
2023-05-25T13:41:44,0,20,0,20
2023-05-25T13:53:17,0,20,0,20
2023-05-25T14:05:01,0,20,0,20
2023-05-25T14:16:35,0,20,0,20
2023-05-25T14:28:08,0,20,0,20
2023-05-25T14:39:41,0,20,0,20
2023-05-25T14:51:14,0,20,0,20
2023-05-25T15:02:58,0,20,0,20
2023-05-25T15:14:32,0,20,0,20
2023-05-25T15:26:07,0,20,0,20
2023-05-25T15:37:41,0,20,0,20
2023-05-25T15:49:16,0,20,0,20
2023-05-25T16:00:51,0,20,0,20
2023-05-25T16:12:36,0,20,0,20
2023-05-25T16:24:11,0,20,0,20
2023-05-25T16:35:46,0,20,0,20
2023-05-25T16:47:22,0,20,0,20
2023-05-25T16:58:58,0,20,0,20
2023-05-25T17:10:34,0,20,0,20
2023-05-25T17:22:21,0,20,0,20
2023-05-25T17:33:57,0,20,0,20
2023-05-25T17:45:33,0,20,0,20
2023-05-25T17:57:08,0,20,0,20
