time,enrolled,available,waitlisted,total
2023-05-25T01:23:04,0,20,0,20
2023-05-25T01:34:40,0,20,0,20
2023-05-25T01:46:24,0,20,0,20
2023-05-25T01:58:00,0,20,0,20
2023-05-25T02:09:36,0,20,0,20
2023-05-25T02:21:12,0,20,0,20
2023-05-25T02:32:46,0,20,0,20
2023-05-25T02:44:20,0,20,0,20
2023-05-25T02:55:53,0,20,0,20
2023-05-25T03:07:27,0,20,0,20
2023-05-25T03:19:06,0,20,0,20
2023-05-25T03:31:04,0,20,0,20
2023-05-25T03:42:40,0,20,0,20
2023-05-25T03:54:16,0,20,0,20
2023-05-25T04:05:51,0,20,0,20
2023-05-25T04:25:39,0,20,0,20
2023-05-25T04:37:16,0,20,0,20
2023-05-25T04:48:52,0,20,0,20
2023-05-25T05:00:28,0,20,0,20
2023-05-25T05:12:05,0,20,0,20
2023-05-25T05:23:41,0,20,0,20
2023-05-25T05:35:18,0,20,0,20
2023-05-25T05:46:54,0,20,0,20
2023-05-25T05:58:30,0,20,0,20
2023-05-25T06:10:06,0,20,0,20
2023-05-25T06:21:41,0,20,0,20
2023-05-25T06:33:16,0,20,0,20
2023-05-25T06:44:51,0,20,0,20
2023-05-25T06:56:26,0,20,0,20
2023-05-25T07:08:02,0,20,0,20
2023-05-25T07:19:37,0,20,0,20
2023-05-25T07:31:11,0,20,0,20
2023-05-25T07:42:47,0,20,0,20
2023-05-25T07:54:23,0,20,0,20
2023-05-25T08:05:58,0,20,0,20
2023-05-25T08:17:32,0,20,0,20
2023-05-25T08:29:17,0,20,0,20
2023-05-25T08:40:49,0,20,0,20
2023-05-25T08:52:22,0,20,0,20
2023-05-25T09:03:55,0,20,0,20
2023-05-25T09:15:28,0,20,0,20
2023-05-25T09:27:01,0,20,0,20
2023-05-25T09:38:33,0,20,0,20
2023-05-25T09:50:06,0,20,0,20
2023-05-25T10:01:39,0,20,0,20
2023-05-25T10:13:24,0,20,0,20
2023-05-25T10:24:57,0,20,0,20
2023-05-25T10:36:30,0,20,0,20
2023-05-25T10:48:02,0,20,0,20
2023-05-25T10:59:45,0,20,0,20
2023-05-25T11:11:17,0,20,0,20
2023-05-25T11:22:50,0,20,0,20
2023-05-25T11:34:23,0,20,0,20
2023-05-25T11:45:56,0,20,0,20
2023-05-25T11:57:40,0,20,0,20
2023-05-25T12:09:13,0,20,0,20
2023-05-25T12:20:46,0,20,0,20
2023-05-25T12:32:19,0,20,0,20
2023-05-25T12:43:52,0,20,0,20
2023-05-25T12:55:24,0,20,0,20
2023-05-25T13:07:07,0,20,0,20
2023-05-25T13:18:40,0,20,0,20
2023-05-25T13:30:13,0,20,0,20
2023-05-25T13:41:47,0,20,0,20
2023-05-25T13:53:20,0,20,0,20
2023-05-25T14:05:04,0,20,0,20
2023-05-25T14:16:38,0,20,0,20
2023-05-25T14:28:11,0,20,0,20
2023-05-25T14:39:44,0,20,0,20
2023-05-25T14:51:17,0,20,0,20
2023-05-25T15:03:01,0,20,0,20
2023-05-25T15:14:35,0,20,0,20
2023-05-25T15:26:10,0,20,0,20
2023-05-25T15:37:44,0,20,0,20
2023-05-25T15:49:19,0,20,0,20
2023-05-25T16:00:54,0,20,0,20
2023-05-25T16:12:39,0,20,0,20
2023-05-25T16:24:14,0,20,0,20
2023-05-25T16:35:49,0,20,0,20
2023-05-25T16:47:25,0,20,0,20
2023-05-25T16:59:01,0,20,0,20
2023-05-25T17:10:37,0,20,0,20
2023-05-25T17:22:24,0,20,0,20
2023-05-25T17:34:00,0,20,0,20
2023-05-25T17:45:36,0,20,0,20
2023-05-25T17:57:11,0,20,0,20
2023-05-25T18:08:48,0,20,0,20
2023-05-25T18:20:23,0,20,0,20
2023-05-25T18:31:59,0,20,0,20
2023-05-25T18:43:44,0,20,0,20
2023-05-25T18:55:20,0,20,0,20
2023-05-25T19:06:56,0,20,0,20
2023-05-25T19:18:33,0,20,0,20
2023-05-25T19:30:08,0,20,0,20
2023-05-25T19:41:44,0,20,0,20
2023-05-25T19:53:30,0,20,0,20
2023-05-25T20:05:05,0,20,0,20
2023-05-25T20:16:41,0,20,0,20
2023-05-25T20:28:17,0,20,0,20
2023-05-25T20:39:53,0,20,0,20
2023-05-25T20:51:29,0,20,0,20
2023-05-25T21:03:04,0,20,0,20
2023-05-25T21:14:40,0,20,0,20
2023-05-25T21:26:27,0,20,0,20
2023-05-25T21:38:03,0,20,0,20
2023-05-25T21:49:39,0,20,0,20
2023-05-25T22:01:14,0,20,0,20
2023-05-25T22:12:49,0,20,0,20
2023-05-25T22:24:25,0,20,0,20
2023-05-25T22:36:00,0,20,0,20
2023-05-25T22:47:46,0,20,0,20
2023-05-25T22:59:22,0,20,0,20
2023-05-25T23:11:00,0,20,0,20
2023-05-25T23:22:36,0,20,0,20
2023-05-25T23:34:11,0,20,0,20
2023-05-25T23:45:47,0,20,0,20
2023-05-25T23:57:24,0,20,0,20
2023-05-26T00:09:21,0,20,0,20
2023-05-26T00:21:01,0,20,0,20
2023-05-26T00:32:39,0,20,0,20
2023-05-26T00:44:18,0,20,0,20
2023-05-26T00:55:57,0,20,0,20
2023-05-26T01:07:36,0,20,0,20
2023-05-26T01:19:15,0,20,0,20
2023-05-26T01:30:53,0,20,0,20
2023-05-26T01:42:41,0,20,0,20
2023-05-26T01:54:19,0,20,0,20
2023-05-26T02:06:02,0,20,0,20
2023-05-26T02:17:39,0,20,0,20
2023-05-26T02:29:16,0,20,0,20
2023-05-26T02:40:56,0,20,0,20
2023-05-26T02:52:45,0,20,0,20
2023-05-26T03:04:25,0,20,0,20
2023-05-26T03:16:05,0,20,0,20
2023-05-26T03:27:45,0,20,0,20
2023-05-26T03:39:23,0,20,0,20
2023-05-26T03:51:02,0,20,0,20
2023-05-26T04:02:40,0,20,0,20
2023-05-26T04:14:29,0,20,0,20
2023-05-26T04:36:52,0,20,0,20
