time,enrolled,available,waitlisted,total
2023-05-25T01:23:05,0,20,0,20
2023-05-25T01:34:41,0,20,0,20
2023-05-25T01:46:26,0,20,0,20
2023-05-25T01:58:01,0,20,0,20
2023-05-25T02:09:37,0,20,0,20
2023-05-25T02:21:13,0,20,0,20
2023-05-25T02:32:48,0,20,0,20
2023-05-25T02:44:21,0,20,0,20
2023-05-25T02:55:54,0,20,0,20
2023-05-25T03:07:28,0,20,0,20
2023-05-25T03:19:07,0,20,0,20
2023-05-25T03:31:05,0,20,0,20
2023-05-25T03:42:42,0,20,0,20
2023-05-25T03:54:18,0,20,0,20
2023-05-25T04:05:53,0,20,0,20
2023-05-25T04:25:41,0,20,0,20
2023-05-25T04:37:17,0,20,0,20
2023-05-25T04:48:53,0,20,0,20
2023-05-25T05:00:29,0,20,0,20
2023-05-25T05:12:06,0,20,0,20
2023-05-25T05:23:42,0,20,0,20
2023-05-25T05:35:19,0,20,0,20
2023-05-25T05:46:55,0,20,0,20
2023-05-25T05:58:32,0,20,0,20
2023-05-25T06:10:07,0,20,0,20
2023-05-25T06:21:43,0,20,0,20
2023-05-25T06:33:17,0,20,0,20
2023-05-25T06:44:52,0,20,0,20
2023-05-25T06:56:28,0,20,0,20
2023-05-25T07:08:03,0,20,0,20
2023-05-25T07:19:38,0,20,0,20
2023-05-25T07:31:12,0,20,0,20
2023-05-25T07:42:48,0,20,0,20
2023-05-25T07:54:24,0,20,0,20
2023-05-25T08:05:59,0,20,0,20
2023-05-25T08:17:34,0,20,0,20
2023-05-25T08:29:18,0,20,0,20
2023-05-25T08:40:51,0,20,0,20
2023-05-25T08:52:23,0,20,0,20
2023-05-25T09:03:57,0,20,0,20
2023-05-25T09:15:29,0,20,0,20
2023-05-25T09:27:02,0,20,0,20
2023-05-25T09:38:35,0,20,0,20
2023-05-25T09:50:07,0,20,0,20
2023-05-25T10:01:41,0,20,0,20
2023-05-25T10:13:25,0,20,0,20
2023-05-25T10:24:58,0,20,0,20
2023-05-25T10:36:31,0,20,0,20
2023-05-25T10:48:04,0,20,0,20
2023-05-25T10:59:46,0,20,0,20
2023-05-25T11:11:19,0,20,0,20
2023-05-25T11:22:52,0,20,0,20
2023-05-25T11:34:24,0,20,0,20
2023-05-25T11:45:57,0,20,0,20
2023-05-25T11:57:41,0,20,0,20
2023-05-25T12:09:14,0,20,0,20
2023-05-25T12:20:47,0,20,0,20
2023-05-25T12:32:20,0,20,0,20
2023-05-25T12:43:53,0,20,0,20
2023-05-25T12:55:26,0,20,0,20
2023-05-25T13:07:09,0,20,0,20
2023-05-25T13:18:41,0,20,0,20
2023-05-25T13:30:15,0,20,0,20
2023-05-25T13:41:48,0,20,0,20
2023-05-25T13:53:21,0,20,0,20
2023-05-25T14:05:05,0,20,0,20
2023-05-25T14:16:39,0,20,0,20
2023-05-25T14:28:12,0,20,0,20
2023-05-25T14:39:45,0,20,0,20
2023-05-25T14:51:18,0,20,0,20
2023-05-25T15:03:03,0,20,0,20
2023-05-25T15:14:37,0,20,0,20
2023-05-25T15:26:11,0,20,0,20
2023-05-25T15:37:46,0,20,0,20
2023-05-25T15:49:20,0,20,0,20
2023-05-25T16:00:55,0,20,0,20
2023-05-25T16:12:40,0,20,0,20
2023-05-25T16:24:15,0,20,0,20
2023-05-25T16:35:50,0,20,0,20
2023-05-25T16:47:26,0,20,0,20
2023-05-25T16:59:02,0,20,0,20
2023-05-25T17:10:38,0,20,0,20
2023-05-25T17:22:25,0,20,0,20
2023-05-25T17:34:01,0,20,0,20
2023-05-25T17:45:37,0,20,0,20
2023-05-25T17:57:12,0,20,0,20
2023-05-25T18:08:49,0,20,0,20
2023-05-25T18:20:25,0,20,0,20
2023-05-25T18:32:00,0,20,0,20
2023-05-25T18:43:45,0,20,0,20
2023-05-25T18:55:21,0,20,0,20
2023-05-25T19:06:58,0,20,0,20
2023-05-25T19:18:34,0,20,0,20
2023-05-25T19:30:09,0,20,0,20
2023-05-25T19:41:45,0,20,0,20
2023-05-25T19:53:31,0,20,0,20
2023-05-25T20:05:06,0,20,0,20
2023-05-25T20:16:42,0,20,0,20
2023-05-25T20:28:19,0,20,0,20
2023-05-25T20:39:54,0,20,0,20
2023-05-25T20:51:30,0,20,0,20
2023-05-25T21:03:05,0,20,0,20
2023-05-25T21:14:41,0,20,0,20
2023-05-25T21:26:28,0,20,0,20
2023-05-25T21:38:04,0,20,0,20
2023-05-25T21:49:40,0,20,0,20
2023-05-25T22:01:15,0,20,0,20
2023-05-25T22:12:50,0,20,0,20
2023-05-25T22:24:26,0,20,0,20
2023-05-25T22:36:01,0,20,0,20
2023-05-25T22:47:48,0,20,0,20
2023-05-25T22:59:23,0,20,0,20
2023-05-25T23:11:01,0,20,0,20
2023-05-25T23:22:37,0,20,0,20
2023-05-25T23:34:13,0,20,0,20
2023-05-25T23:45:49,0,20,0,20
2023-05-25T23:57:26,0,20,0,20
2023-05-26T00:09:22,0,20,0,20
2023-05-26T00:21:02,0,20,0,20
2023-05-26T00:32:41,0,20,0,20
2023-05-26T00:44:19,0,20,0,20
2023-05-26T00:55:58,0,20,0,20
2023-05-26T01:07:38,0,20,0,20
2023-05-26T01:19:16,0,20,0,20
2023-05-26T01:30:54,0,20,0,20
2023-05-26T01:42:42,0,20,0,20
2023-05-26T01:54:21,0,20,0,20
2023-05-26T02:06:03,0,20,0,20
2023-05-26T02:17:40,0,20,0,20
2023-05-26T02:29:17,0,20,0,20
2023-05-26T02:40:57,0,20,0,20
2023-05-26T02:52:46,0,20,0,20
2023-05-26T03:04:26,0,20,0,20
2023-05-26T03:16:06,0,20,0,20
2023-05-26T03:27:46,0,20,0,20
2023-05-26T03:39:25,0,20,0,20
2023-05-26T03:51:03,0,20,0,20
2023-05-26T04:02:41,0,20,0,20
2023-05-26T04:14:30,0,20,0,20
2023-05-26T04:36:54,0,20,0,20
2023-05-26T04:48:34,0,20,0,20
2023-05-26T05:00:15,0,20,0,20
2023-05-26T05:11:57,0,20,0,20
2023-05-26T05:23:36,0,20,0,20
2023-05-26T05:35:14,0,20,0,20
2023-05-26T05:46:54,0,20,0,20
2023-05-26T05:58:32,0,20,0,20
2023-05-26T06:10:11,0,20,0,20
2023-05-26T06:21:50,0,20,0,20
2023-05-26T06:33:29,0,20,0,20
2023-05-26T06:45:08,0,20,0,20
2023-05-26T06:56:45,0,20,0,20
2023-05-26T07:08:24,0,20,0,20
2023-05-26T07:20:03,0,20,0,20
2023-05-26T07:31:49,0,20,0,20
2023-05-26T07:43:26,0,20,0,20
2023-05-26T07:55:04,0,20,0,20
2023-05-26T08:06:39,0,20,0,20
2023-05-26T08:18:16,0,20,0,20
2023-05-26T08:29:52,0,20,0,20
2023-05-26T08:41:28,0,20,0,20
2023-05-26T08:53:04,0,20,0,20
2023-05-26T09:04:40,0,20,0,20
2023-05-26T09:16:17,0,20,0,20
2023-05-26T09:27:53,0,20,0,20
2023-05-26T09:39:40,0,20,0,20
2023-05-26T09:51:16,0,20,0,20
2023-05-26T10:02:52,0,20,0,20
2023-05-26T10:14:29,0,20,0,20
2023-05-26T10:26:05,0,20,0,20
2023-05-26T10:37:53,0,20,0,20
2023-05-26T10:49:29,0,20,0,20
2023-05-26T11:01:05,0,20,0,20
2023-05-26T11:12:42,0,20,0,20
2023-05-26T11:24:19,0,20,0,20
2023-05-26T11:35:55,0,20,0,20
2023-05-26T11:47:41,0,20,0,20
2023-05-26T11:59:17,0,20,0,20
2023-05-26T12:10:54,0,20,0,20
2023-05-26T12:22:29,0,20,0,20
2023-05-26T12:34:05,0,20,0,20
2023-05-26T12:45:53,0,20,0,20
2023-05-26T12:57:28,0,20,0,20
2023-05-26T13:09:05,0,20,0,20
2023-05-26T13:20:40,0,20,0,20
2023-05-26T13:32:26,0,20,0,20
2023-05-26T13:44:03,0,20,0,20
2023-05-26T13:55:38,0,20,0,20
2023-05-26T14:07:14,0,20,0,20
2023-05-26T14:18:50,0,20,0,20
2023-05-26T14:30:37,0,20,0,20
2023-05-26T14:42:14,0,20,0,20
2023-05-26T14:53:50,0,20,0,20
2023-05-26T15:05:26,0,20,0,20
2023-05-26T15:17:04,0,20,0,20
2023-05-26T15:28:50,0,20,0,20
2023-05-26T15:40:26,0,20,0,20
2023-05-26T15:52:02,0,20,0,20
2023-05-26T16:03:38,0,20,0,20
2023-05-26T16:15:13,0,20,0,20
2023-05-26T16:26:49,0,20,0,20
2023-05-26T16:38:35,0,20,0,20
2023-05-26T16:50:10,0,20,0,20
2023-05-26T17:01:46,0,20,0,20
2023-05-26T17:13:23,0,20,0,20
2023-05-26T17:24:59,0,20,0,20
2023-05-26T17:36:35,0,20,0,20
2023-05-26T17:48:20,0,20,0,20
2023-05-26T17:59:56,0,20,0,20
2023-05-26T18:11:32,0,20,0,20
2023-05-26T18:23:08,0,20,0,20
2023-05-26T18:34:43,0,20,0,20
2023-05-26T18:46:19,0,20,0,20
2023-05-26T18:58:05,0,20,0,20
2023-05-26T19:09:41,0,20,0,20
2023-05-26T19:21:17,0,20,0,20
2023-05-26T19:32:54,0,20,0,20
2023-05-26T19:44:29,0,20,0,20
2023-05-26T19:56:04,0,20,0,20
2023-05-26T20:07:40,0,20,0,20
2023-05-26T20:19:26,0,20,0,20
2023-05-26T20:31:02,0,20,0,20
2023-05-26T20:42:37,0,20,0,20
2023-05-26T20:54:12,0,20,0,20
2023-05-26T21:05:48,0,20,0,20
2023-05-26T21:17:25,0,20,0,20
2023-05-26T21:29:01,0,20,0,20
2023-05-26T21:40:36,0,20,0,20
