time,enrolled,available,waitlisted,total
2023-05-25T01:23:09,0,12,0,12
2023-05-25T01:34:45,0,12,0,12
2023-05-25T01:46:29,0,12,0,12
2023-05-25T01:58:04,0,12,0,12
2023-05-25T02:09:40,0,12,0,12
2023-05-25T02:21:17,0,12,0,12
2023-05-25T02:32:51,0,12,0,12
2023-05-25T02:44:25,0,12,0,12
2023-05-25T02:55:57,0,12,0,12
2023-05-25T03:07:32,0,12,0,12
2023-05-25T03:19:10,0,12,0,12
2023-05-25T03:31:08,0,12,0,12
2023-05-25T03:42:45,0,12,0,12
2023-05-25T03:54:21,0,12,0,12
2023-05-25T04:05:56,0,12,0,12
2023-05-25T04:25:44,0,12,0,12
2023-05-25T04:37:21,0,12,0,12
2023-05-25T04:48:57,0,12,0,12
2023-05-25T05:00:33,0,12,0,12
2023-05-25T05:12:09,0,12,0,12
2023-05-25T05:23:46,0,12,0,12
2023-05-25T05:35:23,0,12,0,12
2023-05-25T05:46:58,0,12,0,12
2023-05-25T05:58:35,0,12,0,12
2023-05-25T06:10:11,0,12,0,12
2023-05-25T06:21:46,0,12,0,12
2023-05-25T06:33:21,0,12,0,12
2023-05-25T06:44:56,0,12,0,12
2023-05-25T06:56:31,0,12,0,12
2023-05-25T07:08:07,0,12,0,12
2023-05-25T07:19:42,0,12,0,12
2023-05-25T07:31:15,0,12,0,12
2023-05-25T07:42:52,0,12,0,12
2023-05-25T07:54:28,0,12,0,12
2023-05-25T08:06:03,0,12,0,12
2023-05-25T08:17:37,0,12,0,12
2023-05-25T08:29:21,0,12,0,12
2023-05-25T08:40:54,0,12,0,12
2023-05-25T08:52:26,0,12,0,12
2023-05-25T09:04:00,0,12,0,12
2023-05-25T09:15:33,0,12,0,12
2023-05-25T09:27:05,0,12,0,12
2023-05-25T09:38:38,0,12,0,12
2023-05-25T09:50:11,0,12,0,12
2023-05-25T10:01:44,0,12,0,12
2023-05-25T10:13:29,0,12,0,12
2023-05-25T10:25:02,0,12,0,12
2023-05-25T10:36:34,0,12,0,12
2023-05-25T10:48:07,0,12,0,12
2023-05-25T10:59:50,0,12,0,12
2023-05-25T11:11:22,0,12,0,12
2023-05-25T11:22:55,0,12,0,12
2023-05-25T11:34:28,0,12,0,12
2023-05-25T11:46:01,0,12,0,12
2023-05-25T11:57:45,0,12,0,12
2023-05-25T12:09:18,0,12,0,12
2023-05-25T12:20:50,0,12,0,12
2023-05-25T12:32:23,0,12,0,12
2023-05-25T12:43:56,0,12,0,12
2023-05-25T12:55:29,0,12,0,12
2023-05-25T13:07:12,0,12,0,12
2023-05-25T13:18:45,0,12,0,12
2023-05-25T13:30:18,0,12,0,12
2023-05-25T13:41:51,0,12,0,12
2023-05-25T13:53:24,0,12,0,12
2023-05-25T14:05:09,0,12,0,12
2023-05-25T14:16:42,0,12,0,12
2023-05-25T14:28:16,0,12,0,12
2023-05-25T14:39:48,0,12,0,12
2023-05-25T14:51:21,0,12,0,12
2023-05-25T15:03:06,0,12,0,12
2023-05-25T15:14:40,0,12,0,12
2023-05-25T15:26:15,0,12,0,12
2023-05-25T15:37:49,0,12,0,12
2023-05-25T15:49:24,0,12,0,12
2023-05-25T16:00:58,0,12,0,12
2023-05-25T16:12:44,0,12,0,12
2023-05-25T16:24:19,0,12,0,12
2023-05-25T16:35:54,0,12,0,12
2023-05-25T16:47:29,0,12,0,12
2023-05-25T16:59:05,0,12,0,12
2023-05-25T17:10:42,0,12,0,12
2023-05-25T17:22:29,0,12,0,12
2023-05-25T17:34:04,0,12,0,12
2023-05-25T17:45:40,0,12,0,12
2023-05-25T17:57:16,0,12,0,12
2023-05-25T18:08:53,0,12,0,12
2023-05-25T18:20:28,0,12,0,12
2023-05-25T18:32:03,0,12,0,12
2023-05-25T18:43:49,0,12,0,12
2023-05-25T18:55:25,0,12,0,12
2023-05-25T19:07:01,0,12,0,12
2023-05-25T19:18:37,0,12,0,12
2023-05-25T19:30:12,0,12,0,12
2023-05-25T19:41:48,0,12,0,12
2023-05-25T19:53:34,0,12,0,12
2023-05-25T20:05:10,0,12,0,12
2023-05-25T20:16:46,0,12,0,12
2023-05-25T20:28:22,0,12,0,12
2023-05-25T20:39:57,0,12,0,12
2023-05-25T20:51:33,0,12,0,12
2023-05-25T21:03:08,0,12,0,12
2023-05-25T21:14:45,0,12,0,12
2023-05-25T21:26:32,0,12,0,12
2023-05-25T21:38:07,0,12,0,12
2023-05-25T21:49:43,0,12,0,12
2023-05-25T22:01:18,0,12,0,12
2023-05-25T22:12:54,0,12,0,12
2023-05-25T22:24:29,0,12,0,12
2023-05-25T22:36:05,0,12,0,12
2023-05-25T22:47:51,0,12,0,12
2023-05-25T22:59:26,0,12,0,12
2023-05-25T23:11:05,0,12,0,12
2023-05-25T23:22:40,0,12,0,12
2023-05-25T23:34:16,0,12,0,12
2023-05-25T23:45:52,0,12,0,12
2023-05-25T23:57:29,0,12,0,12
2023-05-26T00:09:25,0,12,0,12
2023-05-26T00:21:05,0,12,0,12
2023-05-26T00:32:44,0,12,0,12
2023-05-26T00:44:23,0,12,0,12
2023-05-26T00:56:02,0,12,0,12
2023-05-26T01:07:41,0,12,0,12
2023-05-26T01:19:20,0,12,0,12
2023-05-26T01:30:58,0,12,0,12
2023-05-26T01:42:46,0,12,0,12
2023-05-26T01:54:24,0,12,0,12
2023-05-26T02:06:06,0,12,0,12
2023-05-26T02:17:44,0,12,0,12
2023-05-26T02:29:21,0,12,0,12
2023-05-26T02:41:00,0,12,0,12
2023-05-26T02:52:49,0,12,0,12
2023-05-26T03:04:30,0,12,0,12
2023-05-26T03:16:09,0,12,0,12
2023-05-26T03:27:50,0,12,0,12
2023-05-26T03:39:28,0,12,0,12
2023-05-26T03:51:06,0,12,0,12
2023-05-26T04:02:45,0,12,0,12
2023-05-26T04:14:33,0,12,0,12
2023-05-26T04:36:57,0,12,0,12
2023-05-26T04:48:38,0,12,0,12
2023-05-26T05:00:18,0,12,0,12
2023-05-26T05:12:00,0,12,0,12
2023-05-26T05:23:39,0,12,0,12
2023-05-26T05:35:17,0,12,0,12
2023-05-26T05:46:57,0,12,0,12
2023-05-26T05:58:36,0,12,0,12
2023-05-26T06:10:15,0,12,0,12
2023-05-26T06:21:54,0,12,0,12
2023-05-26T06:33:32,0,12,0,12
2023-05-26T06:45:11,0,12,0,12
2023-05-26T06:56:49,0,12,0,12
2023-05-26T07:08:27,0,12,0,12
2023-05-26T07:20:06,0,12,0,12
2023-05-26T07:31:52,0,12,0,12
2023-05-26T07:43:29,0,12,0,12
2023-05-26T07:55:07,0,12,0,12
2023-05-26T08:06:43,0,12,0,12
2023-05-26T08:18:19,0,12,0,12
2023-05-26T08:29:55,0,12,0,12
2023-05-26T08:41:31,0,12,0,12
2023-05-26T08:53:07,0,12,0,12
2023-05-26T09:04:44,0,12,0,12
2023-05-26T09:16:20,0,12,0,12
2023-05-26T09:27:56,0,12,0,12
2023-05-26T09:39:43,0,12,0,12
2023-05-26T09:51:20,0,12,0,12
2023-05-26T10:02:55,0,12,0,12
2023-05-26T10:14:32,0,12,0,12
2023-05-26T10:26:08,0,12,0,12
2023-05-26T10:37:56,0,12,0,12
2023-05-26T10:49:33,0,12,0,12
2023-05-26T11:01:09,0,12,0,12
2023-05-26T11:12:46,0,12,0,12
2023-05-26T11:24:22,0,12,0,12
2023-05-26T11:35:58,0,12,0,12
2023-05-26T11:47:45,0,12,0,12
2023-05-26T11:59:20,0,12,0,12
2023-05-26T12:10:57,0,12,0,12
2023-05-26T12:22:33,0,12,0,12
2023-05-26T12:34:09,0,12,0,12
2023-05-26T12:45:56,0,12,0,12
2023-05-26T12:57:32,0,12,0,12
2023-05-26T13:09:08,0,12,0,12
2023-05-26T13:20:44,0,12,0,12
2023-05-26T13:32:30,0,12,0,12
2023-05-26T13:44:06,0,12,0,12
2023-05-26T13:55:42,0,12,0,12
2023-05-26T14:07:18,0,12,0,12
2023-05-26T14:18:54,0,12,0,12
2023-05-26T14:30:41,0,12,0,12
2023-05-26T14:42:17,0,12,0,12
2023-05-26T14:53:53,0,12,0,12
2023-05-26T15:05:30,0,12,0,12
2023-05-26T15:17:07,0,12,0,12
2023-05-26T15:28:54,0,12,0,12
2023-05-26T15:40:29,0,12,0,12
2023-05-26T15:52:05,0,12,0,12
2023-05-26T16:03:41,0,12,0,12
2023-05-26T16:15:17,0,12,0,12
2023-05-26T16:26:52,0,12,0,12
2023-05-26T16:38:38,0,12,0,12
2023-05-26T16:50:14,0,12,0,12
2023-05-26T17:01:50,0,12,0,12
2023-05-26T17:13:27,0,12,0,12
2023-05-26T17:25:02,0,12,0,12
2023-05-26T17:36:38,0,12,0,12
2023-05-26T17:48:24,0,12,0,12
2023-05-26T17:59:59,0,12,0,12
2023-05-26T18:11:35,0,12,0,12
2023-05-26T18:23:11,0,12,0,12
2023-05-26T18:34:47,0,12,0,12
2023-05-26T18:46:22,0,12,0,12
2023-05-26T18:58:08,0,12,0,12
2023-05-26T19:09:44,0,12,0,12
2023-05-26T19:21:21,0,12,0,12
2023-05-26T19:32:57,0,12,0,12
2023-05-26T19:44:32,0,12,0,12
2023-05-26T19:56:08,0,12,0,12
2023-05-26T20:07:44,0,12,0,12
2023-05-26T20:19:29,0,12,0,12
2023-05-26T20:31:05,0,12,0,12
