time,enrolled,available,waitlisted,total
2023-05-25T01:23:16,0,25,0,25
2023-05-25T01:34:52,0,25,0,25
2023-05-25T01:46:36,0,25,0,25
2023-05-25T01:58:12,0,25,0,25
2023-05-25T02:09:47,0,25,0,25
2023-05-25T02:21:24,0,25,0,25
2023-05-25T02:32:58,0,25,0,25
2023-05-25T02:44:32,0,25,0,25
2023-05-25T02:56:05,0,25,0,25
2023-05-25T03:07:39,0,25,0,25
2023-05-25T03:19:18,0,25,0,25
2023-05-25T03:31:16,0,25,0,25
2023-05-25T03:42:52,0,25,0,25
2023-05-25T03:54:28,0,25,0,25
2023-05-25T04:06:03,0,25,0,25
2023-05-25T04:25:51,0,25,0,25
2023-05-25T04:37:28,0,25,0,25
2023-05-25T04:49:04,0,25,0,25
2023-05-25T05:00:40,0,25,0,25
2023-05-25T05:12:17,0,25,0,25
2023-05-25T05:23:53,0,25,0,25
2023-05-25T05:35:30,0,25,0,25
2023-05-25T05:47:06,0,25,0,25
2023-05-25T05:58:42,0,25,0,25
2023-05-25T06:10:18,0,25,0,25
2023-05-25T06:21:53,0,25,0,25
2023-05-25T06:33:28,0,25,0,25
2023-05-25T06:45:03,0,25,0,25
2023-05-25T06:56:38,0,25,0,25
2023-05-25T07:08:14,0,25,0,25
2023-05-25T07:19:49,0,25,0,25
2023-05-25T07:31:23,0,25,0,25
2023-05-25T07:42:59,0,25,0,25
2023-05-25T07:54:35,0,25,0,25
2023-05-25T08:06:10,0,25,0,25
2023-05-25T08:17:44,0,25,0,25
2023-05-25T08:29:28,0,25,0,25
2023-05-25T08:41:01,0,25,0,25
2023-05-25T08:52:33,0,25,0,25
2023-05-25T09:04:07,0,25,0,25
2023-05-25T09:15:40,0,25,0,25
2023-05-25T09:27:13,0,25,0,25
2023-05-25T09:38:45,0,25,0,25
2023-05-25T09:50:18,0,25,0,25
2023-05-25T10:01:51,0,25,0,25
2023-05-25T10:13:36,0,25,0,25
2023-05-25T10:25:09,0,25,0,25
2023-05-25T10:36:42,0,25,0,25
2023-05-25T10:48:14,0,25,0,25
2023-05-25T10:59:57,0,25,0,25
2023-05-25T11:11:29,0,25,0,25
2023-05-25T11:23:02,0,25,0,25
2023-05-25T11:34:35,0,25,0,25
2023-05-25T11:46:08,0,25,0,25
2023-05-25T11:57:52,0,25,0,25
2023-05-25T12:09:25,0,25,0,25
2023-05-25T12:20:58,0,25,0,25
2023-05-25T12:32:31,0,25,0,25
2023-05-25T12:44:04,0,25,0,25
2023-05-25T12:55:36,0,25,0,25
2023-05-25T13:07:19,0,25,0,25
2023-05-25T13:18:52,0,25,0,25
2023-05-25T13:30:25,0,25,0,25
2023-05-25T13:41:58,0,25,0,25
2023-05-25T13:53:32,0,25,0,25
2023-05-25T14:05:16,0,25,0,25
2023-05-25T14:16:50,0,25,0,25
2023-05-25T14:28:23,0,25,0,25
2023-05-25T14:39:56,0,25,0,25
2023-05-25T14:51:29,0,25,0,25
2023-05-25T15:03:13,0,25,0,25
2023-05-25T15:14:47,0,25,0,25
2023-05-25T15:26:22,0,25,0,25
2023-05-25T15:37:56,0,25,0,25
2023-05-25T15:49:31,0,25,0,25
2023-05-25T16:01:06,0,25,0,25
2023-05-25T16:12:51,0,25,0,25
2023-05-25T16:24:26,0,25,0,25
2023-05-25T16:36:01,0,25,0,25
2023-05-25T16:47:37,0,25,0,25
2023-05-25T16:59:12,0,25,0,25
2023-05-25T17:10:49,0,25,0,25
2023-05-25T17:22:36,0,25,0,25
2023-05-25T17:34:11,0,25,0,25
2023-05-25T17:45:48,0,25,0,25
2023-05-25T17:57:23,0,25,0,25
2023-05-25T18:09:00,0,25,0,25
2023-05-25T18:20:35,0,25,0,25
2023-05-25T18:32:11,0,25,0,25
2023-05-25T18:43:56,0,25,0,25
2023-05-25T18:55:32,0,25,0,25
2023-05-25T19:07:08,0,25,0,25
2023-05-25T19:18:44,0,25,0,25
2023-05-25T19:30:20,0,25,0,25
2023-05-25T19:41:56,0,25,0,25
2023-05-25T19:53:42,0,25,0,25
2023-05-25T20:05:17,0,25,0,25
2023-05-25T20:16:53,0,25,0,25
2023-05-25T20:28:29,0,25,0,25
2023-05-25T20:40:05,0,25,0,25
2023-05-25T20:51:41,0,25,0,25
2023-05-25T21:03:16,0,25,0,25
