time,enrolled,available,waitlisted,total
2023-05-25T01:23:17,0,90,0,90
2023-05-25T01:34:53,0,90,0,90
2023-05-25T01:46:38,0,90,0,90
2023-05-25T01:58:13,0,90,0,90
2023-05-25T02:09:49,0,90,0,90
2023-05-25T02:21:25,0,90,0,90
2023-05-25T02:33:00,0,90,0,90
2023-05-25T02:44:33,0,90,0,90
2023-05-25T02:56:06,0,90,0,90
2023-05-25T03:07:40,0,90,0,90
2023-05-25T03:19:19,0,90,0,90
2023-05-25T03:31:17,0,90,0,90
2023-05-25T03:42:54,0,90,0,90
2023-05-25T03:54:29,0,90,0,90
2023-05-25T04:06:05,0,90,0,90
2023-05-25T04:25:53,0,90,0,90
2023-05-25T04:37:29,0,90,0,90
2023-05-25T04:49:05,0,90,0,90
2023-05-25T05:00:41,0,90,0,90
2023-05-25T05:12:18,0,90,0,90
2023-05-25T05:23:54,0,90,0,90
2023-05-25T05:35:31,0,90,0,90
2023-05-25T05:47:07,0,90,0,90
2023-05-25T05:58:44,0,90,0,90
2023-05-25T06:10:19,0,90,0,90
2023-05-25T06:21:54,0,90,0,90
2023-05-25T06:33:29,0,90,0,90
2023-05-25T06:45:04,0,90,0,90
2023-05-25T06:56:40,0,90,0,90
2023-05-25T07:08:15,0,90,0,90
2023-05-25T07:19:50,0,90,0,90
2023-05-25T07:31:24,0,90,0,90
2023-05-25T07:43:00,0,90,0,90
2023-05-25T07:54:36,0,90,0,90
2023-05-25T08:06:11,0,90,0,90
2023-05-25T08:17:46,0,90,0,90
2023-05-25T08:29:30,0,90,0,90
2023-05-25T08:41:03,0,90,0,90
2023-05-25T08:52:35,0,90,0,90
2023-05-25T09:04:09,0,90,0,90
2023-05-25T09:15:41,0,90,0,90
2023-05-25T09:27:14,0,90,0,90
2023-05-25T09:38:47,0,90,0,90
2023-05-25T09:50:19,0,90,0,90
2023-05-25T10:01:53,0,90,0,90
2023-05-25T10:13:37,0,90,0,90
2023-05-25T10:25:10,0,90,0,90
2023-05-25T10:36:43,0,90,0,90
2023-05-25T10:48:16,0,90,0,90
2023-05-25T10:59:58,0,90,0,90
2023-05-25T11:11:30,0,90,0,90
2023-05-25T11:23:03,0,90,0,90
2023-05-25T11:34:36,0,90,0,90
2023-05-25T11:46:09,0,90,0,90
2023-05-25T11:57:53,0,90,0,90
2023-05-25T12:09:26,0,90,0,90
2023-05-25T12:20:59,0,90,0,90
2023-05-25T12:32:32,0,90,0,90
2023-05-25T12:44:05,0,90,0,90
2023-05-25T12:55:38,0,90,0,90
2023-05-25T13:07:21,0,90,0,90
2023-05-25T13:18:53,0,90,0,90
2023-05-25T13:30:27,0,90,0,90
2023-05-25T13:42:00,0,90,0,90
2023-05-25T13:53:33,0,90,0,90
2023-05-25T14:05:17,0,90,0,90
2023-05-25T14:16:51,0,90,0,90
2023-05-25T14:28:24,0,90,0,90
2023-05-25T14:39:57,0,90,0,90
2023-05-25T14:51:30,0,90,0,90
2023-05-25T15:03:15,0,90,0,90
2023-05-25T15:14:48,0,90,0,90
2023-05-25T15:26:23,0,90,0,90
2023-05-25T15:37:58,0,90,0,90
2023-05-25T15:49:32,0,90,0,90
2023-05-25T16:01:07,0,90,0,90
2023-05-25T16:12:52,0,90,0,90
2023-05-25T16:24:27,0,90,0,90
