time,enrolled,available,waitlisted,total
2023-06-14T14:19:23,0,140,0,140
2023-06-14T14:31:33,0,140,0,140
2023-06-14T14:43:48,0,140,0,140
2023-06-14T14:56:14,0,140,0,140
2023-06-14T15:08:28,0,140,0,140
2023-06-14T15:20:43,0,140,0,140
2023-06-14T15:32:58,0,140,0,140
2023-06-14T15:45:12,0,140,0,140
2023-06-14T15:57:27,0,140,0,140
2023-06-14T16:09:44,0,140,0,140
2023-06-14T16:22:09,0,140,0,140
2023-06-14T16:34:24,0,140,0,140
2023-06-14T16:46:39,0,140,0,140
2023-06-14T16:58:53,0,140,0,140
2023-06-14T17:11:10,0,140,0,140
2023-06-14T17:23:25,0,140,0,140
2023-06-14T17:35:39,0,140,0,140
2023-06-14T17:48:06,0,140,0,140
2023-06-14T18:00:19,0,140,0,140
2023-06-14T18:12:34,0,140,0,140
2023-06-14T18:24:48,0,140,0,140
2023-06-14T18:37:02,0,140,0,140
2023-06-14T18:49:16,0,140,0,140
2023-06-14T19:01:30,0,140,0,140
2023-06-14T19:13:57,0,140,0,140
2023-06-14T19:26:11,0,140,0,140
2023-06-14T19:38:25,0,140,0,140
2023-06-14T19:50:39,0,140,0,140
2023-06-14T20:02:57,0,140,0,140
2023-06-14T20:15:10,0,140,0,140
2023-06-14T20:27:24,0,140,0,140
2023-06-14T20:39:38,0,140,0,140
2023-06-14T20:51:52,0,140,0,140
2023-06-14T21:04:17,0,140,0,140
2023-06-14T21:16:31,0,140,0,140
2023-06-14T21:28:45,0,140,0,140
2023-06-14T21:40:59,0,140,0,140
2023-06-14T21:53:13,0,140,0,140
2023-06-14T22:05:27,0,140,0,140
2023-06-14T22:17:41,0,140,0,140
2023-06-14T22:29:56,0,140,0,140
2023-06-14T22:42:21,0,140,0,140
2023-06-14T22:54:36,0,140,0,140
2023-06-14T23:06:51,0,140,0,140
2023-06-14T23:19:06,0,140,0,140
2023-06-14T23:31:20,0,140,0,140
2023-06-14T23:43:35,0,140,0,140
2023-06-14T23:55:49,0,140,0,140
2023-06-15T00:08:04,0,140,0,140
2023-06-15T00:20:25,0,140,0,140
2023-06-15T00:32:42,0,140,0,140
2023-06-15T00:45:02,0,140,0,140
2023-06-15T00:57:33,0,140,0,140
2023-06-15T01:09:51,0,140,0,140
2023-06-15T01:22:08,0,140,0,140
2023-06-15T01:34:25,0,140,0,140
2023-06-15T01:46:42,0,140,0,140
2023-06-15T01:59:00,0,140,0,140
2023-06-15T02:11:16,0,140,0,140
2023-06-15T02:23:33,0,140,0,140
2023-06-15T02:35:50,0,140,0,140
2023-06-15T02:48:05,0,140,0,140
2023-06-15T03:00:20,0,140,0,140
2023-06-15T03:12:48,0,140,0,140
2023-06-15T03:25:05,0,140,0,140
2023-06-15T03:37:21,0,140,0,140
2023-06-15T03:49:37,0,140,0,140
2023-06-15T04:01:55,0,140,0,140
2023-06-15T04:30:17,0,140,0,140
2023-06-15T04:42:37,0,140,0,140
2023-06-15T04:56:34,0,140,0,140
2023-06-15T05:08:53,0,140,0,140
2023-06-15T05:21:12,0,140,0,140
2023-06-15T05:33:30,0,140,0,140
2023-06-15T05:45:48,0,140,0,140
2023-06-15T05:58:06,0,140,0,140
2023-06-15T06:10:23,0,140,0,140
2023-06-15T06:22:40,0,140,0,140
2023-06-15T06:34:56,0,140,0,140
2023-06-15T06:47:14,0,140,0,140
2023-06-15T06:59:29,0,140,0,140
2023-06-15T07:11:46,0,140,0,140
2023-06-15T07:24:05,0,140,0,140
2023-06-15T07:36:30,0,140,0,140
2023-06-15T07:48:47,0,140,0,140
2023-06-15T08:01:02,0,140,0,140
2023-06-15T08:13:19,0,140,0,140
2023-06-15T08:25:35,0,140,0,140
2023-06-15T08:37:51,0,140,0,140
2023-06-15T08:50:07,0,140,0,140
2023-06-15T09:02:23,0,140,0,140
2023-06-15T09:14:39,0,140,0,140
2023-06-15T09:26:54,0,140,0,140
2023-06-15T09:39:09,0,140,0,140
2023-06-15T09:51:25,0,140,0,140
2023-06-15T10:03:49,0,140,0,140
2023-06-15T10:16:03,0,140,0,140
2023-06-15T10:28:17,0,140,0,140
2023-06-15T10:40:31,0,140,0,140
2023-06-15T10:52:45,0,140,0,140
2023-06-15T11:04:59,0,140,0,140
2023-06-15T11:17:13,0,140,0,140
2023-06-15T11:29:27,0,140,0,140
2023-06-15T11:41:53,0,140,0,140
2023-06-15T11:54:06,0,140,0,140
2023-06-15T12:06:24,0,140,0,140
2023-06-15T12:18:38,0,140,0,140
2023-06-15T12:30:54,0,140,0,140
2023-06-15T12:43:08,0,140,0,140
2023-06-15T12:55:22,0,140,0,140
2023-06-15T13:07:36,0,140,0,140
2023-06-15T13:20:00,0,140,0,140
2023-06-15T13:32:15,0,140,0,140
2023-06-15T13:44:29,0,140,0,140
2023-06-15T13:56:44,0,140,0,140
2023-06-15T14:08:58,0,140,0,140
2023-06-15T14:21:12,0,140,0,140
2023-06-15T14:33:27,0,140,0,140
2023-06-15T14:45:52,0,140,0,140
2023-06-15T14:58:06,0,140,0,140
2023-06-15T15:10:20,0,140,0,140
2023-06-15T15:22:34,0,140,0,140
2023-06-15T15:34:48,0,140,0,140
2023-06-15T15:47:02,0,140,0,140
2023-06-15T15:59:17,0,140,0,140
2023-06-15T16:11:42,0,140,0,140
2023-06-15T16:23:56,0,140,0,140
2023-06-15T16:36:10,0,140,0,140
2023-06-15T16:48:24,0,140,0,140
2023-06-15T17:00:38,0,140,0,140
2023-06-15T17:12:53,0,140,0,140
2023-06-15T17:25:07,0,140,0,140
2023-06-15T17:37:21,0,140,0,140
2023-06-15T17:49:46,0,140,0,140
2023-06-15T18:01:59,0,140,0,140
2023-06-15T18:14:14,0,140,0,140
2023-06-15T18:26:29,0,140,0,140
2023-06-15T18:38:43,0,140,0,140
2023-06-15T18:50:58,0,140,0,140
2023-06-15T19:03:12,0,140,0,140
2023-06-15T19:15:27,0,140,0,140
2023-06-15T19:27:41,0,140,0,140
2023-06-15T19:40:06,0,140,0,140
2023-06-15T19:52:20,0,140,0,140
2023-06-15T20:04:35,0,140,0,140
2023-06-15T20:16:49,0,140,0,140
2023-06-15T20:29:03,0,140,0,140
2023-06-15T20:41:17,0,140,0,140
2023-06-15T20:53:31,0,140,0,140
2023-06-15T21:05:57,0,140,0,140
2023-06-15T21:18:11,0,140,0,140
2023-06-15T21:30:26,0,140,0,140
2023-06-15T21:42:41,0,140,0,140
2023-06-15T21:54:56,0,140,0,140
2023-06-15T22:07:10,0,140,0,140
2023-06-15T22:19:24,0,140,0,140
2023-06-15T22:31:39,0,140,0,140
2023-06-15T22:43:53,0,140,0,140
2023-06-15T22:56:07,0,140,0,140
2023-06-15T23:08:34,0,140,0,140
2023-06-15T23:20:49,0,140,0,140
2023-06-15T23:33:05,0,140,0,140
2023-06-15T23:45:19,0,140,0,140
2023-06-15T23:57:34,0,140,0,140
2023-06-16T00:09:50,0,140,0,140
2023-06-16T00:22:07,0,140,0,140
2023-06-16T00:34:20,0,140,0,140
2023-06-16T00:46:34,0,140,0,140
2023-06-16T00:58:48,0,140,0,140
2023-06-16T01:11:04,0,140,0,140
2023-06-16T01:23:30,0,140,0,140
2023-06-16T01:35:44,0,140,0,140
2023-06-16T01:47:59,0,140,0,140
2023-06-16T02:00:13,0,140,0,140
2023-06-16T02:12:30,0,140,0,140
2023-06-16T02:24:45,0,140,0,140
2023-06-16T02:37:00,0,140,0,140
2023-06-16T02:49:16,0,140,0,140
2023-06-16T03:01:32,0,140,0,140
2023-06-16T03:13:49,0,140,0,140
2023-06-16T03:26:07,0,140,0,140
2023-06-16T03:38:27,0,140,0,140
