time,enrolled,available,waitlisted,total
2023-06-14T14:31:34,0,140,0,140
2023-06-14T14:43:49,0,140,0,140
2023-06-14T14:56:15,0,140,0,140
2023-06-14T15:08:29,0,140,0,140
2023-06-14T15:20:44,0,140,0,140
2023-06-14T15:32:59,0,140,0,140
2023-06-14T15:45:13,0,140,0,140
2023-06-14T15:57:28,0,140,0,140
2023-06-14T16:09:45,0,140,0,140
2023-06-14T16:22:10,0,140,0,140
2023-06-14T16:34:24,0,140,0,140
2023-06-14T16:46:40,0,140,0,140
2023-06-14T16:58:54,0,140,0,140
2023-06-14T17:11:11,0,140,0,140
2023-06-14T17:23:26,0,140,0,140
2023-06-14T17:35:40,0,140,0,140
2023-06-14T17:48:07,0,140,0,140
2023-06-14T18:00:20,0,140,0,140
2023-06-14T18:12:35,0,140,0,140
2023-06-14T18:24:49,0,140,0,140
2023-06-14T18:37:03,0,140,0,140
2023-06-14T18:49:17,0,140,0,140
2023-06-14T19:01:31,0,140,0,140
2023-06-14T19:13:58,0,140,0,140
2023-06-14T19:26:12,0,140,0,140
2023-06-14T19:38:26,0,140,0,140
2023-06-14T19:50:40,0,140,0,140
2023-06-14T20:02:58,0,140,0,140
2023-06-14T20:15:11,0,140,0,140
2023-06-14T20:27:25,0,140,0,140
2023-06-14T20:39:39,0,140,0,140
2023-06-14T20:51:53,0,140,0,140
2023-06-14T21:04:18,0,140,0,140
2023-06-14T21:16:32,0,140,0,140
2023-06-14T21:28:46,0,140,0,140
2023-06-14T21:41:00,0,140,0,140
2023-06-14T21:53:14,0,140,0,140
2023-06-14T22:05:28,0,140,0,140
2023-06-14T22:17:42,0,140,0,140
2023-06-14T22:29:57,0,140,0,140
2023-06-14T22:42:21,0,140,0,140
2023-06-14T22:54:37,0,140,0,140
2023-06-14T23:06:52,0,140,0,140
2023-06-14T23:19:07,0,140,0,140
2023-06-14T23:31:21,0,140,0,140
2023-06-14T23:43:35,0,140,0,140
2023-06-14T23:55:50,0,140,0,140
2023-06-15T00:08:05,0,140,0,140
2023-06-15T00:20:25,0,140,0,140
2023-06-15T00:32:43,0,140,0,140
2023-06-15T00:45:03,0,140,0,140
2023-06-15T00:57:34,0,140,0,140
2023-06-15T01:09:52,0,140,0,140
2023-06-15T01:22:09,0,140,0,140
2023-06-15T01:34:26,0,140,0,140
2023-06-15T01:46:43,0,140,0,140
2023-06-15T01:59:01,0,140,0,140
2023-06-15T02:11:17,0,140,0,140
2023-06-15T02:23:34,0,140,0,140
2023-06-15T02:35:51,0,140,0,140
2023-06-15T02:48:06,0,140,0,140
2023-06-15T03:00:21,0,140,0,140
2023-06-15T03:12:49,0,140,0,140
2023-06-15T03:25:05,0,140,0,140
2023-06-15T03:37:22,0,140,0,140
2023-06-15T03:49:38,0,140,0,140
2023-06-15T04:01:56,0,140,0,140
2023-06-15T04:30:18,0,140,0,140
2023-06-15T04:42:38,0,140,0,140
2023-06-15T04:56:35,0,140,0,140
2023-06-15T05:08:54,0,140,0,140
2023-06-15T05:21:13,0,140,0,140
2023-06-15T05:33:31,0,140,0,140
2023-06-15T05:45:49,0,140,0,140
2023-06-15T05:58:07,0,140,0,140
2023-06-15T06:10:23,0,140,0,140
2023-06-15T06:22:41,0,140,0,140
2023-06-15T06:34:57,0,140,0,140
2023-06-15T06:47:14,0,140,0,140
2023-06-15T06:59:30,0,140,0,140
2023-06-15T07:11:47,0,140,0,140
2023-06-15T07:24:05,0,140,0,140
2023-06-15T07:36:31,0,140,0,140
2023-06-15T07:48:48,0,140,0,140
2023-06-15T08:01:03,0,140,0,140
2023-06-15T08:13:19,0,140,0,140
2023-06-15T08:25:36,0,140,0,140
2023-06-15T08:37:52,0,140,0,140
2023-06-15T08:50:07,0,140,0,140
2023-06-15T09:02:24,0,140,0,140
2023-06-15T09:14:39,0,140,0,140
2023-06-15T09:26:55,0,140,0,140
2023-06-15T09:39:10,0,140,0,140
2023-06-15T09:51:26,0,140,0,140
2023-06-15T10:03:50,0,140,0,140
2023-06-15T10:16:04,0,140,0,140
2023-06-15T10:28:18,0,140,0,140
2023-06-15T10:40:32,0,140,0,140
2023-06-15T10:52:46,0,140,0,140
2023-06-15T11:05:00,0,140,0,140
2023-06-15T11:17:14,0,140,0,140
2023-06-15T11:29:28,0,140,0,140
2023-06-15T11:41:54,0,140,0,140
2023-06-15T11:54:07,0,140,0,140
2023-06-15T12:06:25,0,140,0,140
2023-06-15T12:18:39,0,140,0,140
2023-06-15T12:30:55,0,140,0,140
2023-06-15T12:43:09,0,140,0,140
2023-06-15T12:55:23,0,140,0,140
2023-06-15T13:07:36,0,140,0,140
2023-06-15T13:20:01,0,140,0,140
2023-06-15T13:32:15,0,140,0,140
2023-06-15T13:44:30,0,140,0,140
2023-06-15T13:56:44,0,140,0,140
2023-06-15T14:08:59,0,140,0,140
2023-06-15T14:21:13,0,140,0,140
2023-06-15T14:33:27,0,140,0,140
2023-06-15T14:45:53,0,140,0,140
2023-06-15T14:58:07,0,140,0,140
2023-06-15T15:10:21,0,140,0,140
2023-06-15T15:22:35,0,140,0,140
2023-06-15T15:34:49,0,140,0,140
2023-06-15T15:47:03,0,140,0,140
2023-06-15T15:59:18,0,140,0,140
2023-06-15T16:11:43,0,140,0,140
2023-06-15T16:23:57,0,140,0,140
2023-06-15T16:36:11,0,140,0,140
2023-06-15T16:48:25,0,140,0,140
2023-06-15T17:00:39,0,140,0,140
2023-06-15T17:12:53,0,140,0,140
2023-06-15T17:25:08,0,140,0,140
2023-06-15T17:37:22,0,140,0,140
2023-06-15T17:49:46,0,140,0,140
2023-06-15T18:02:00,0,140,0,140
2023-06-15T18:14:15,0,140,0,140
2023-06-15T18:26:30,0,140,0,140
2023-06-15T18:38:44,0,140,0,140
2023-06-15T18:50:58,0,140,0,140
2023-06-15T19:03:13,0,140,0,140
2023-06-15T19:15:28,0,140,0,140
2023-06-15T19:27:41,0,140,0,140
2023-06-15T19:40:07,0,140,0,140
2023-06-15T19:52:21,0,140,0,140
2023-06-15T20:04:36,0,140,0,140
2023-06-15T20:16:50,0,140,0,140
2023-06-15T20:29:04,0,140,0,140
2023-06-15T20:41:18,0,140,0,140
2023-06-15T20:53:32,0,140,0,140
2023-06-15T21:05:58,0,140,0,140
2023-06-15T21:18:12,0,140,0,140
2023-06-15T21:30:27,0,140,0,140
2023-06-15T21:42:42,0,140,0,140
2023-06-15T21:54:57,0,140,0,140
2023-06-15T22:07:10,0,140,0,140
2023-06-15T22:19:25,0,140,0,140
2023-06-15T22:31:40,0,140,0,140
2023-06-15T22:43:54,0,140,0,140
2023-06-15T22:56:08,0,140,0,140
2023-06-15T23:08:35,0,140,0,140
2023-06-15T23:20:50,0,140,0,140
2023-06-15T23:33:06,0,140,0,140
2023-06-15T23:45:20,0,140,0,140
2023-06-15T23:57:35,0,140,0,140
2023-06-16T00:09:51,0,140,0,140
2023-06-16T00:22:07,0,140,0,140
2023-06-16T00:34:21,0,140,0,140
2023-06-16T00:46:35,0,140,0,140
2023-06-16T00:58:49,0,140,0,140
2023-06-16T01:11:05,0,140,0,140
2023-06-16T01:23:31,0,140,0,140
2023-06-16T01:35:45,0,140,0,140
2023-06-16T01:48:00,0,140,0,140
2023-06-16T02:00:14,0,140,0,140
2023-06-16T02:12:31,0,140,0,140
2023-06-16T02:24:46,0,140,0,140
2023-06-16T02:37:01,0,140,0,140
2023-06-16T02:49:17,0,140,0,140
2023-06-16T03:01:33,0,140,0,140
2023-06-16T03:13:50,0,140,0,140
2023-06-16T03:26:08,0,140,0,140
2023-06-16T03:38:28,0,140,0,140
2023-06-16T03:50:44,0,140,0,140
2023-06-16T04:03:02,0,140,0,140
2023-06-16T04:26:16,0,140,0,140
2023-06-16T04:38:36,0,140,0,140
2023-06-16T04:52:22,0,140,0,140
2023-06-16T05:05:01,0,140,0,140
2023-06-16T05:17:19,0,140,0,140
2023-06-16T05:29:37,0,140,0,140
2023-06-16T05:41:55,0,140,0,140
2023-06-16T05:54:14,0,140,0,140
2023-06-16T06:06:32,0,140,0,140
2023-06-16T06:18:49,0,140,0,140
2023-06-16T06:31:07,0,140,0,140
2023-06-16T06:43:24,0,140,0,140
2023-06-16T06:55:42,0,140,0,140
2023-06-16T07:07:59,0,140,0,140
2023-06-16T07:20:15,0,140,0,140
2023-06-16T07:32:31,0,140,0,140
2023-06-16T07:44:46,0,140,0,140
2023-06-16T07:57:02,0,140,0,140
2023-06-16T08:09:19,0,140,0,140
2023-06-16T08:21:45,0,140,0,140
2023-06-16T08:34:02,0,140,0,140
2023-06-16T08:46:20,0,140,0,140
2023-06-16T08:58:38,0,140,0,140
2023-06-16T09:10:55,0,140,0,140
2023-06-16T09:23:11,0,140,0,140
2023-06-16T09:35:27,0,140,0,140
2023-06-16T09:47:42,0,140,0,140
2023-06-16T09:59:57,0,140,0,140
2023-06-16T10:12:13,0,140,0,140
2023-06-16T10:24:42,0,140,0,140
2023-06-16T11:09:17,0,140,0,140
2023-06-16T11:21:33,0,140,0,140
2023-06-16T11:33:49,0,140,0,140
2023-06-16T11:46:04,0,140,0,140
2023-06-16T11:58:19,0,140,0,140
2023-06-16T12:10:45,0,140,0,140
2023-06-16T12:23:01,0,140,0,140
2023-06-16T12:35:16,0,140,0,140
2023-06-16T12:47:32,0,140,0,140
2023-06-16T12:59:47,0,140,0,140
2023-06-16T13:12:03,0,140,0,140
2023-06-16T13:24:18,0,140,0,140
2023-06-16T13:36:33,0,140,0,140
2023-06-16T13:49:00,0,140,0,140
2023-06-16T14:01:15,0,140,0,140
2023-06-16T14:13:31,0,140,0,140
2023-06-16T14:25:46,0,140,0,140
2023-06-16T14:38:01,0,140,0,140
2023-06-16T14:50:17,0,140,0,140
2023-06-16T15:02:32,0,140,0,140
2023-06-16T15:14:47,0,140,0,140
2023-06-16T15:27:15,0,140,0,140
2023-06-16T15:39:30,0,140,0,140
2023-06-16T15:51:47,0,140,0,140
2023-06-16T16:04:02,0,140,0,140
2023-06-16T16:16:18,0,140,0,140
2023-06-16T16:28:33,0,140,0,140
2023-06-16T16:40:49,0,140,0,140
2023-06-16T16:53:04,0,140,0,140
2023-06-16T17:05:19,0,140,0,140
2023-06-16T17:17:46,0,140,0,140
2023-06-16T17:30:01,0,140,0,140
2023-06-16T17:42:17,0,140,0,140
2023-06-16T17:54:32,0,140,0,140
2023-06-16T18:06:47,0,140,0,140
2023-06-16T18:19:03,0,140,0,140
2023-06-16T18:31:19,0,140,0,140
2023-06-16T18:43:35,0,140,0,140
2023-06-16T18:55:50,0,140,0,140
2023-06-16T19:08:06,0,140,0,140
2023-06-16T19:20:35,0,140,0,140
2023-06-16T19:32:50,0,140,0,140
2023-06-16T19:45:06,0,140,0,140
2023-06-16T19:57:21,0,140,0,140
2023-06-16T20:09:38,0,140,0,140
2023-06-16T20:21:53,0,140,0,140
2023-06-16T20:34:09,0,140,0,140
2023-06-16T20:46:25,0,140,0,140
2023-06-16T20:58:40,0,140,0,140
2023-06-16T21:10:56,0,140,0,140
2023-06-16T21:23:22,0,140,0,140
2023-06-16T21:35:38,0,140,0,140
2023-06-16T21:47:54,0,140,0,140
2023-06-16T22:00:10,0,140,0,140
2023-06-16T22:12:25,0,140,0,140
2023-06-16T22:24:40,0,140,0,140
2023-06-16T22:36:56,0,140,0,140
2023-06-16T22:49:11,0,140,0,140
2023-06-16T23:01:26,0,140,0,140
2023-06-16T23:13:55,0,140,0,140
2023-06-16T23:26:11,0,140,0,140
2023-06-16T23:38:27,0,140,0,140
2023-06-16T23:50:43,0,140,0,140
2023-06-17T00:03:00,0,140,0,140
2023-06-17T00:15:24,0,140,0,140
2023-06-17T00:27:43,0,140,0,140
2023-06-17T00:40:04,0,140,0,140
2023-06-17T00:52:23,0,140,0,140
2023-06-17T01:04:43,0,140,0,140
2023-06-17T01:17:02,0,140,0,140
2023-06-17T01:29:21,0,140,0,140
2023-06-17T01:41:40,0,140,0,140
2023-06-17T01:53:59,0,140,0,140
2023-06-17T02:06:29,0,140,0,140
2023-06-17T02:18:49,0,140,0,140
2023-06-17T02:31:08,0,140,0,140
2023-06-17T02:43:26,0,140,0,140
2023-06-17T02:55:42,0,140,0,140
2023-06-17T03:07:58,0,140,0,140
2023-06-17T03:20:16,0,140,0,140
2023-06-17T03:32:34,0,140,0,140
2023-06-17T03:44:52,0,140,0,140
2023-06-17T03:57:10,0,140,0,140
2023-06-17T04:09:29,0,140,0,140
2023-06-17T04:38:20,0,140,0,140
2023-06-17T04:52:12,0,140,0,140
2023-06-17T05:04:32,0,140,0,140
2023-06-17T05:16:49,0,140,0,140
2023-06-17T05:29:05,0,140,0,140
2023-06-17T05:41:25,0,140,0,140
2023-06-17T05:53:59,0,140,0,140
2023-06-17T06:06:21,0,140,0,140
2023-06-17T06:18:40,0,140,0,140
2023-06-17T06:30:58,0,140,0,140
2023-06-17T06:43:17,0,140,0,140
2023-06-17T06:55:36,0,140,0,140
2023-06-17T07:07:55,0,140,0,140
2023-06-17T07:20:14,0,140,0,140
2023-06-17T07:32:32,0,140,0,140
2023-06-17T07:45:03,0,140,0,140
2023-06-17T07:57:21,0,140,0,140
2023-06-17T08:09:40,0,140,0,140
2023-06-17T08:21:58,0,140,0,140
2023-06-17T08:34:18,0,140,0,140
2023-06-17T08:46:36,0,140,0,140
2023-06-17T08:58:55,0,140,0,140
2023-06-17T09:11:13,0,140,0,140
2023-06-17T09:23:33,0,140,0,140
2023-06-17T09:35:51,0,140,0,140
2023-06-17T09:48:09,0,140,0,140
2023-06-17T10:00:38,0,140,0,140
2023-06-17T10:12:57,0,140,0,140
2023-06-17T10:25:15,0,140,0,140
2023-06-17T10:37:34,0,140,0,140
2023-06-17T10:49:52,0,140,0,140
2023-06-17T11:02:11,0,140,0,140
2023-06-17T11:14:29,0,140,0,140
2023-06-17T11:26:47,0,140,0,140
2023-06-17T11:39:04,0,140,0,140
2023-06-17T11:51:33,0,140,0,140
2023-06-17T12:03:50,0,140,0,140
2023-06-17T12:16:06,0,140,0,140
2023-06-17T12:28:21,0,140,0,140
2023-06-17T12:40:36,0,140,0,140
2023-06-17T12:52:51,0,140,0,140
2023-06-17T13:05:07,0,140,0,140
2023-06-17T13:17:22,0,140,0,140
2023-06-17T13:29:37,0,140,0,140
2023-06-17T13:42:13,0,140,0,140
2023-06-17T13:54:29,0,140,0,140
2023-06-17T14:06:45,0,140,0,140
2023-06-17T14:19:00,0,140,0,140
2023-06-17T14:31:16,0,140,0,140
2023-06-17T14:43:31,0,140,0,140
2023-06-17T14:55:47,0,140,0,140
2023-06-17T15:08:02,0,140,0,140
2023-06-17T15:20:17,0,140,0,140
2023-06-17T15:32:33,0,140,0,140
2023-06-17T15:44:58,0,140,0,140
2023-06-17T15:57:12,0,140,0,140
2023-06-17T16:09:27,0,140,0,140
2023-06-17T16:21:43,0,140,0,140
2023-06-17T16:33:58,0,140,0,140
2023-06-17T16:46:13,0,140,0,140
2023-06-17T16:58:28,0,140,0,140
2023-06-17T17:10:44,0,140,0,140
2023-06-17T17:22:59,0,140,0,140
2023-06-17T17:35:15,0,140,0,140
2023-06-17T17:47:30,0,140,0,140
2023-06-17T17:59:56,0,140,0,140
2023-06-17T18:12:11,0,140,0,140
2023-06-17T18:24:27,0,140,0,140
2023-06-17T18:36:43,0,140,0,140
2023-06-17T18:48:58,0,140,0,140
2023-06-17T19:01:13,0,140,0,140
2023-06-17T19:13:29,0,140,0,140
2023-06-17T19:25:45,0,140,0,140
2023-06-17T19:38:00,0,140,0,140
2023-06-17T19:50:15,0,140,0,140
2023-06-17T20:02:31,0,140,0,140
2023-06-17T20:14:46,0,140,0,140
2023-06-17T20:27:01,0,140,0,140
2023-06-17T20:39:27,0,140,0,140
2023-06-17T20:51:42,0,140,0,140
2023-06-17T21:03:57,0,140,0,140
2023-06-17T21:16:13,0,140,0,140
2023-06-17T21:28:28,0,140,0,140
2023-06-17T21:40:44,0,140,0,140
2023-06-17T21:52:59,0,140,0,140
2023-06-17T22:05:14,0,140,0,140
2023-06-17T22:17:30,0,140,0,140
2023-06-17T22:29:46,0,140,0,140
2023-06-17T22:42:01,0,140,0,140
2023-06-17T22:54:17,0,140,0,140
2023-06-17T23:06:45,0,140,0,140
2023-06-17T23:19:01,0,140,0,140
2023-06-17T23:31:17,0,140,0,140
2023-06-17T23:43:33,0,140,0,140
2023-06-17T23:55:49,0,140,0,140
2023-06-18T00:08:06,0,140,0,140
2023-06-18T00:20:24,0,140,0,140
2023-06-18T00:32:40,0,140,0,140
2023-06-18T00:44:56,0,140,0,140
2023-06-18T01:26:39,0,140,0,140
2023-06-18T01:38:59,0,140,0,140
2023-06-18T01:51:18,0,140,0,140
2023-06-18T02:03:38,0,140,0,140
2023-06-18T02:16:44,0,140,0,140
2023-06-18T02:29:02,0,140,0,140
2023-06-18T02:41:20,0,140,0,140
2023-06-18T02:53:40,0,140,0,140
2023-06-18T03:06:00,0,140,0,140
2023-06-18T03:18:21,0,140,0,140
2023-06-18T03:30:50,0,140,0,140
2023-06-18T03:43:09,0,140,0,140
2023-06-18T03:55:27,0,140,0,140
2023-06-18T04:07:45,0,140,0,140
2023-06-18T04:39:31,0,140,0,140
2023-06-18T04:51:52,0,140,0,140
2023-06-18T05:04:13,0,140,0,140
2023-06-18T05:16:32,0,140,0,140
2023-06-18T05:28:51,0,140,0,140
2023-06-18T05:41:10,0,140,0,140
2023-06-18T05:53:28,0,140,0,140
2023-06-18T06:05:47,0,140,0,140
2023-06-18T06:18:06,0,140,0,140
2023-06-18T06:30:24,0,140,0,140
2023-06-18T06:42:42,0,140,0,140
2023-06-18T06:55:00,0,140,0,140
2023-06-18T07:07:20,0,140,0,140
2023-06-18T07:19:38,0,140,0,140
2023-06-18T07:31:55,0,140,0,140
2023-06-18T07:44:12,0,140,0,140
2023-06-18T07:56:30,0,140,0,140
2023-06-18T08:08:48,0,140,0,140
2023-06-18T08:21:03,0,140,0,140
2023-06-18T08:33:20,0,140,0,140
2023-06-18T08:45:35,0,140,0,140
2023-06-18T08:58:04,0,140,0,140
2023-06-18T09:10:19,0,140,0,140
2023-06-18T09:22:35,0,140,0,140
2023-06-18T09:34:50,0,140,0,140
