time,enrolled,available,waitlisted,total
2023-05-25T01:23:34,0,99,0,99
2023-05-25T01:35:10,0,99,0,99
2023-05-25T01:46:55,0,99,0,99
2023-05-25T01:58:30,0,99,0,99
2023-05-25T02:10:06,0,99,0,99
2023-05-25T02:21:42,0,99,0,99
2023-05-25T02:33:17,0,99,0,99
2023-05-25T02:44:50,0,99,0,99
2023-05-25T02:56:23,0,99,0,99
2023-05-25T03:07:57,0,99,0,99
2023-05-25T03:19:36,0,99,0,99
2023-05-25T03:31:34,0,99,0,99
2023-05-25T03:43:11,0,99,0,99
2023-05-25T03:54:47,0,99,0,99
2023-05-25T04:06:22,0,99,0,99
2023-05-25T04:26:10,0,99,0,99
2023-05-25T04:37:46,0,99,0,99
2023-05-25T04:49:22,0,99,0,99
2023-05-25T05:00:58,0,99,0,99
2023-05-25T05:12:35,0,99,0,99
2023-05-25T05:24:11,0,99,0,99
2023-05-25T05:35:48,0,99,0,99
2023-05-25T05:47:24,0,99,0,99
2023-05-25T05:59:01,0,99,0,99
2023-05-25T06:10:36,0,99,0,99
2023-05-25T06:22:12,0,99,0,99
2023-05-25T06:33:46,0,99,0,99
2023-05-25T06:45:21,0,99,0,99
2023-05-25T06:56:57,0,99,0,99
2023-05-25T07:08:33,0,99,0,99
2023-05-25T07:20:07,0,99,0,99
2023-05-25T07:31:41,0,99,0,99
2023-05-25T07:43:17,0,99,0,99
2023-05-25T07:54:53,0,99,0,99
2023-05-25T08:06:28,0,99,0,99
2023-05-25T08:18:03,0,99,0,99
2023-05-25T08:29:47,0,99,0,99
2023-05-25T08:41:20,0,99,0,99
2023-05-25T08:52:52,0,99,0,99
2023-05-25T09:04:26,0,99,0,99
2023-05-25T09:15:58,0,99,0,99
2023-05-25T09:27:31,0,99,0,99
2023-05-25T09:39:04,0,99,0,99
2023-05-25T09:50:36,0,99,0,99
2023-05-25T10:02:10,0,99,0,99
2023-05-25T10:13:54,0,99,0,99
2023-05-25T10:25:27,0,99,0,99
2023-05-25T10:37:00,0,99,0,99
2023-05-25T10:48:33,0,99,0,99
2023-05-25T11:00:15,0,99,0,99
2023-05-25T11:11:47,0,99,0,99
2023-05-25T11:23:21,0,99,0,99
2023-05-25T11:34:53,0,99,0,99
2023-05-25T11:46:26,0,99,0,99
2023-05-25T11:58:10,0,99,0,99
2023-05-25T12:09:43,0,99,0,99
2023-05-25T12:21:16,0,99,0,99
2023-05-25T12:32:49,0,99,0,99
2023-05-25T12:44:22,0,99,0,99
2023-05-25T12:55:55,0,99,0,99
2023-05-25T13:07:38,0,99,0,99
2023-05-25T13:19:10,0,99,0,99
2023-05-25T13:30:44,0,99,0,99
2023-05-25T13:42:17,0,99,0,99
2023-05-25T13:53:50,0,99,0,99
2023-05-25T14:05:34,0,99,0,99
2023-05-25T14:17:08,0,99,0,99
2023-05-25T14:28:41,0,99,0,99
2023-05-25T14:40:14,0,99,0,99
2023-05-25T14:51:47,0,99,0,99
2023-05-25T15:03:31,0,99,0,99
2023-05-25T15:15:05,0,99,0,99
2023-05-25T15:26:40,0,99,0,99
2023-05-25T15:38:15,0,99,0,99
2023-05-25T15:49:49,0,99,0,99
2023-05-25T16:01:24,0,99,0,99
2023-05-25T16:13:09,0,99,0,99
2023-05-25T16:24:44,0,99,0,99
2023-05-25T16:36:19,0,99,0,99
2023-05-25T16:47:55,0,99,0,99
2023-05-25T16:59:31,0,99,0,99
2023-05-25T17:11:07,0,99,0,99
2023-05-25T17:22:54,0,99,0,99
2023-05-25T17:34:30,0,99,0,99
2023-05-25T17:46:06,0,99,0,99
2023-05-25T17:57:41,0,99,0,99
2023-05-25T18:09:18,0,99,0,99
2023-05-25T18:20:54,0,99,0,99
2023-05-25T18:32:29,0,99,0,99
2023-05-25T18:44:14,0,99,0,99
2023-05-25T18:55:50,0,99,0,99
2023-05-25T19:07:27,0,99,0,99
2023-05-25T19:19:03,0,99,0,99
2023-05-25T19:30:38,0,99,0,99
2023-05-25T19:42:14,0,99,0,99
2023-05-25T19:54:00,0,99,0,99
2023-05-25T20:05:35,0,99,0,99
2023-05-25T20:17:11,0,99,0,99
2023-05-25T20:28:48,0,99,0,99
2023-05-25T20:40:23,0,99,0,99
2023-05-25T20:51:59,0,99,0,99
2023-05-25T21:03:34,0,99,0,99
2023-05-25T21:15:10,0,99,0,99
2023-05-25T21:26:57,0,99,0,99
2023-05-25T21:38:33,0,99,0,99
2023-05-25T21:50:09,0,99,0,99
2023-05-25T22:01:44,0,99,0,99
2023-05-25T22:13:19,0,99,0,99
2023-05-25T22:24:55,0,99,0,99
2023-05-25T22:36:31,0,99,0,99
2023-05-25T22:48:17,0,99,0,99
2023-05-25T22:59:52,0,99,0,99
2023-05-25T23:11:30,0,99,0,99
2023-05-25T23:23:06,0,99,0,99
