time,enrolled,available,waitlisted,total
2023-05-25T01:23:38,0,80,0,80
2023-05-25T01:35:14,0,80,0,80
2023-05-25T01:46:58,0,80,0,80
2023-05-25T01:58:34,0,80,0,80
2023-05-25T02:10:10,0,80,0,80
2023-05-25T02:21:46,0,80,0,80
2023-05-25T02:33:20,0,80,0,80
2023-05-25T02:44:54,0,80,0,80
2023-05-25T02:56:27,0,80,0,80
2023-05-25T03:08:01,0,80,0,80
2023-05-25T03:19:40,0,80,0,80
2023-05-25T03:31:38,0,80,0,80
2023-05-25T03:43:15,0,80,0,80
2023-05-25T03:54:50,0,80,0,80
2023-05-25T04:06:26,0,80,0,80
2023-05-25T04:26:14,0,80,0,80
2023-05-25T04:37:50,0,80,0,80
2023-05-25T04:49:26,0,80,0,80
2023-05-25T05:01:02,0,80,0,80
2023-05-25T05:12:39,0,80,0,80
2023-05-25T05:24:15,0,80,0,80
2023-05-25T05:35:52,0,80,0,80
2023-05-25T05:47:28,0,80,0,80
2023-05-25T05:59:05,0,80,0,80
2023-05-25T06:10:40,0,80,0,80
2023-05-25T06:22:15,0,80,0,80
2023-05-25T06:33:50,0,80,0,80
2023-05-25T06:45:25,0,80,0,80
2023-05-25T06:57:00,0,80,0,80
2023-05-25T07:08:36,0,80,0,80
2023-05-25T07:20:11,0,80,0,80
2023-05-25T07:31:45,0,80,0,80
2023-05-25T07:43:21,0,80,0,80
2023-05-25T07:54:57,0,80,0,80
2023-05-25T08:06:32,0,80,0,80
2023-05-25T08:18:06,0,80,0,80
2023-05-25T08:29:51,0,80,0,80
2023-05-25T08:41:23,0,80,0,80
2023-05-25T08:52:56,0,80,0,80
2023-05-25T09:04:29,0,80,0,80
2023-05-25T09:16:02,0,80,0,80
2023-05-25T09:27:35,0,80,0,80
2023-05-25T09:39:07,0,80,0,80
2023-05-25T09:50:40,0,80,0,80
2023-05-25T10:02:14,0,80,0,80
2023-05-25T10:13:58,0,80,0,80
2023-05-25T10:25:31,0,80,0,80
2023-05-25T10:37:04,0,80,0,80
2023-05-25T10:48:36,0,80,0,80
2023-05-25T11:00:19,0,80,0,80
2023-05-25T11:11:51,0,80,0,80
2023-05-25T11:23:24,0,80,0,80
2023-05-25T11:34:57,0,80,0,80
2023-05-25T11:46:30,0,80,0,80
2023-05-25T11:58:14,0,80,0,80
2023-05-25T12:09:47,0,80,0,80
2023-05-25T12:21:20,0,80,0,80
2023-05-25T12:32:53,0,80,0,80
2023-05-25T12:44:26,0,80,0,80
2023-05-25T12:55:58,0,80,0,80
2023-05-25T13:07:41,0,80,0,80
2023-05-25T13:19:14,0,80,0,80
2023-05-25T13:30:48,0,80,0,80
2023-05-25T13:42:21,0,80,0,80
2023-05-25T13:53:54,0,80,0,80
2023-05-25T14:05:38,0,80,0,80
