time,enrolled,available,waitlisted,total
2023-05-25T01:23:41,0,36,0,36
2023-05-25T01:35:17,0,36,0,36
2023-05-25T01:47:01,0,36,0,36
2023-05-25T01:58:36,0,36,0,36
2023-05-25T02:10:12,0,36,0,36
2023-05-25T02:21:49,0,36,0,36
2023-05-25T02:33:23,0,36,0,36
2023-05-25T02:44:57,0,36,0,36
2023-05-25T02:56:29,0,36,0,36
2023-05-25T03:08:04,0,36,0,36
2023-05-25T03:19:43,0,36,0,36
2023-05-25T03:31:40,0,36,0,36
2023-05-25T03:43:17,0,36,0,36
2023-05-25T03:54:53,0,36,0,36
2023-05-25T04:06:28,0,36,0,36
2023-05-25T04:26:16,0,36,0,36
2023-05-25T04:37:53,0,36,0,36
2023-05-25T04:49:29,0,36,0,36
2023-05-25T05:01:05,0,36,0,36
2023-05-25T05:12:42,0,36,0,36
2023-05-25T05:24:18,0,36,0,36
2023-05-25T05:35:54,0,36,0,36
2023-05-25T05:47:31,0,36,0,36
2023-05-25T05:59:07,0,36,0,36
2023-05-25T06:10:43,0,36,0,36
2023-05-25T06:22:18,0,36,0,36
2023-05-25T06:33:53,0,36,0,36
2023-05-25T06:45:28,0,36,0,36
2023-05-25T06:57:03,0,36,0,36
2023-05-25T07:08:39,0,36,0,36
2023-05-25T07:20:14,0,36,0,36
2023-05-25T07:31:47,0,36,0,36
2023-05-25T07:43:24,0,36,0,36
2023-05-25T07:55:00,0,36,0,36
2023-05-25T08:06:34,0,36,0,36
2023-05-25T08:18:09,0,36,0,36
2023-05-25T08:29:53,0,36,0,36
2023-05-25T08:41:26,0,36,0,36
2023-05-25T08:52:58,0,36,0,36
2023-05-25T09:04:32,0,36,0,36
2023-05-25T09:16:05,0,36,0,36
2023-05-25T09:27:37,0,36,0,36
2023-05-25T09:39:10,0,36,0,36
2023-05-25T09:50:43,0,36,0,36
2023-05-25T10:02:16,0,36,0,36
2023-05-25T10:14:00,0,36,0,36
2023-05-25T10:25:33,0,36,0,36
2023-05-25T10:37:06,0,36,0,36
2023-05-25T10:48:39,0,36,0,36
2023-05-25T11:00:21,0,36,0,36
2023-05-25T11:11:54,0,36,0,36
2023-05-25T11:23:27,0,36,0,36
2023-05-25T11:34:59,0,36,0,36
2023-05-25T11:46:33,0,36,0,36
2023-05-25T11:58:17,0,36,0,36
2023-05-25T12:09:50,0,36,0,36
2023-05-25T12:21:22,0,36,0,36
2023-05-25T12:32:55,0,36,0,36
2023-05-25T12:44:28,0,36,0,36
2023-05-25T12:56:01,0,36,0,36
2023-05-25T13:07:44,0,36,0,36
2023-05-25T13:19:17,0,36,0,36
2023-05-25T13:30:50,0,36,0,36
2023-05-25T13:42:23,0,36,0,36
2023-05-25T13:53:56,0,36,0,36
2023-05-25T14:05:41,0,36,0,36
2023-05-25T14:17:14,0,36,0,36
2023-05-25T14:28:47,0,36,0,36
2023-05-25T14:40:20,0,36,0,36
2023-05-25T14:51:54,0,36,0,36
2023-05-25T15:03:38,0,36,0,36
2023-05-25T15:15:12,0,36,0,36
2023-05-25T15:26:47,0,36,0,36
2023-05-25T15:38:21,0,36,0,36
2023-05-25T15:49:56,0,36,0,36
2023-05-25T16:01:30,0,36,0,36
2023-05-25T16:13:16,0,36,0,36
2023-05-25T16:24:51,0,36,0,36
2023-05-25T16:36:26,0,36,0,36
2023-05-25T16:48:01,0,36,0,36
2023-05-25T16:59:37,0,36,0,36
2023-05-25T17:11:14,0,36,0,36
2023-05-25T17:23:01,0,36,0,36
2023-05-25T17:34:36,0,36,0,36
2023-05-25T17:46:12,0,36,0,36
2023-05-25T17:57:48,0,36,0,36
2023-05-25T18:09:24,0,36,0,36
2023-05-25T18:21:00,0,36,0,36
2023-05-25T18:32:35,0,36,0,36
2023-05-25T18:44:21,0,36,0,36
2023-05-25T18:55:57,0,36,0,36
2023-05-25T19:07:33,0,36,0,36
2023-05-25T19:19:09,0,36,0,36
2023-05-25T19:30:44,0,36,0,36
2023-05-25T19:42:20,0,36,0,36
2023-05-25T19:54:06,0,36,0,36
2023-05-25T20:05:42,0,36,0,36
2023-05-25T20:17:18,0,36,0,36
2023-05-25T20:28:54,0,36,0,36
2023-05-25T20:40:29,0,36,0,36
