time,enrolled,available,waitlisted,total
2023-05-25T01:23:48,0,16,0,16
2023-05-25T01:35:24,0,16,0,16
2023-05-25T01:47:08,0,16,0,16
2023-05-25T01:58:43,0,16,0,16
2023-05-25T02:10:19,0,16,0,16
2023-05-25T02:21:56,0,16,0,16
2023-05-25T02:33:30,0,16,0,16
2023-05-25T02:45:03,0,16,0,16
2023-05-25T02:56:36,0,16,0,16
2023-05-25T03:08:11,0,16,0,16
2023-05-25T03:19:49,0,16,0,16
2023-05-25T03:31:47,0,16,0,16
2023-05-25T03:43:24,0,16,0,16
2023-05-25T03:55:00,0,16,0,16
2023-05-25T04:06:35,0,16,0,16
2023-05-25T04:26:23,0,16,0,16
2023-05-25T04:38:00,0,16,0,16
2023-05-25T04:49:36,0,16,0,16
2023-05-25T05:01:11,0,16,0,16
2023-05-25T05:12:49,0,16,0,16
2023-05-25T05:24:24,0,16,0,16
2023-05-25T05:36:01,0,16,0,16
2023-05-25T05:47:37,0,16,0,16
2023-05-25T05:59:14,0,16,0,16
2023-05-25T06:10:50,0,16,0,16
2023-05-25T06:22:25,0,16,0,16
2023-05-25T06:34:00,0,16,0,16
2023-05-25T06:45:35,0,16,0,16
2023-05-25T06:57:10,0,16,0,16
2023-05-25T07:08:46,0,16,0,16
2023-05-25T07:20:20,0,16,0,16
2023-05-25T07:31:54,0,16,0,16
2023-05-25T07:43:30,0,16,0,16
2023-05-25T07:55:06,0,16,0,16
2023-05-25T08:06:41,0,16,0,16
2023-05-25T08:18:16,0,16,0,16
2023-05-25T08:30:00,0,16,0,16
2023-05-25T08:41:33,0,16,0,16
2023-05-25T08:53:05,0,16,0,16
2023-05-25T09:04:39,0,16,0,16
2023-05-25T09:16:11,0,16,0,16
2023-05-25T09:27:44,0,16,0,16
2023-05-25T09:39:17,0,16,0,16
2023-05-25T09:50:49,0,16,0,16
2023-05-25T10:02:23,0,16,0,16
2023-05-25T10:14:07,0,16,0,16
2023-05-25T10:25:40,0,16,0,16
2023-05-25T10:37:13,0,16,0,16
2023-05-25T10:48:46,0,16,0,16
2023-05-25T11:00:28,0,16,0,16
2023-05-25T11:12:01,0,16,0,16
2023-05-25T11:23:34,0,16,0,16
2023-05-25T11:35:06,0,16,0,16
2023-05-25T11:46:39,0,16,0,16
2023-05-25T11:58:24,0,16,0,16
2023-05-25T12:09:56,0,16,0,16
2023-05-25T12:21:29,0,16,0,16
2023-05-25T12:33:02,0,16,0,16
2023-05-25T12:44:35,0,16,0,16
2023-05-25T12:56:08,0,16,0,16
2023-05-25T13:07:51,0,16,0,16
2023-05-25T13:19:23,0,16,0,16
2023-05-25T13:30:57,0,16,0,16
2023-05-25T13:42:30,0,16,0,16
2023-05-25T13:54:03,0,16,0,16
2023-05-25T14:05:47,0,16,0,16
2023-05-25T14:17:21,0,16,0,16
2023-05-25T14:28:54,0,16,0,16
2023-05-25T14:40:27,0,16,0,16
2023-05-25T14:52:01,0,16,0,16
2023-05-25T15:03:45,0,16,0,16
2023-05-25T15:15:19,0,16,0,16
2023-05-25T15:26:53,0,16,0,16
2023-05-25T15:38:28,0,16,0,16
2023-05-25T15:50:02,0,16,0,16
2023-05-25T16:01:37,0,16,0,16
2023-05-25T16:13:23,0,16,0,16
2023-05-25T16:24:58,0,16,0,16
2023-05-25T16:36:33,0,16,0,16
2023-05-25T16:48:08,0,16,0,16
2023-05-25T16:59:44,0,16,0,16
2023-05-25T17:11:21,0,16,0,16
2023-05-25T17:23:08,0,16,0,16
2023-05-25T17:34:43,0,16,0,16
2023-05-25T17:46:19,0,16,0,16
2023-05-25T17:57:54,0,16,0,16
2023-05-25T18:09:31,0,16,0,16
2023-05-25T18:21:07,0,16,0,16
2023-05-25T18:32:42,0,16,0,16
2023-05-25T18:44:28,0,16,0,16
2023-05-25T18:56:03,0,16,0,16
2023-05-25T19:07:40,0,16,0,16
2023-05-25T19:19:16,0,16,0,16
2023-05-25T19:30:51,0,16,0,16
2023-05-25T19:42:27,0,16,0,16
