time,enrolled,available,waitlisted,total
2023-05-25T01:23:54,0,20,0,20
2023-05-25T01:35:30,0,20,0,20
2023-05-25T01:47:15,0,20,0,20
2023-05-25T01:58:50,0,20,0,20
2023-05-25T02:10:26,0,20,0,20
2023-05-25T02:22:03,0,20,0,20
2023-05-25T02:33:37,0,20,0,20
2023-05-25T02:45:10,0,20,0,20
2023-05-25T02:56:43,0,20,0,20
2023-05-25T03:08:18,0,20,0,20
2023-05-25T03:19:56,0,20,0,20
2023-05-25T03:31:54,0,20,0,20
2023-05-25T03:43:31,0,20,0,20
2023-05-25T03:55:07,0,20,0,20
2023-05-25T04:06:42,0,20,0,20
2023-05-25T04:26:30,0,20,0,20
2023-05-25T04:38:07,0,20,0,20
2023-05-25T04:49:42,0,20,0,20
2023-05-25T05:01:18,0,20,0,20
2023-05-25T05:12:56,0,20,0,20
2023-05-25T05:24:31,0,20,0,20
2023-05-25T05:36:08,0,20,0,20
2023-05-25T05:47:44,0,20,0,20
2023-05-25T05:59:21,0,20,0,20
2023-05-25T06:10:57,0,20,0,20
2023-05-25T06:22:32,0,20,0,20
2023-05-25T06:34:06,0,20,0,20
2023-05-25T06:45:42,0,20,0,20
2023-05-25T06:57:17,0,20,0,20
2023-05-25T07:08:53,0,20,0,20
2023-05-25T07:20:27,0,20,0,20
2023-05-25T07:32:01,0,20,0,20
2023-05-25T07:43:37,0,20,0,20
2023-05-25T07:55:13,0,20,0,20
2023-05-25T08:06:48,0,20,0,20
2023-05-25T08:18:23,0,20,0,20
2023-05-25T08:30:07,0,20,0,20
2023-05-25T08:41:40,0,20,0,20
2023-05-25T08:53:12,0,20,0,20
2023-05-25T09:04:46,0,20,0,20
2023-05-25T09:16:18,0,20,0,20
2023-05-25T09:27:51,0,20,0,20
2023-05-25T09:39:24,0,20,0,20
2023-05-25T09:50:56,0,20,0,20
2023-05-25T10:02:30,0,20,0,20
2023-05-25T10:14:14,0,20,0,20
2023-05-25T10:25:47,0,20,0,20
2023-05-25T10:37:20,0,20,0,20
2023-05-25T10:48:53,0,20,0,20
2023-05-25T11:00:35,0,20,0,20
2023-05-25T11:12:07,0,20,0,20
2023-05-25T11:23:41,0,20,0,20
2023-05-25T11:35:13,0,20,0,20
2023-05-25T11:46:46,0,20,0,20
2023-05-25T11:58:30,0,20,0,20
2023-05-25T12:10:03,0,20,0,20
2023-05-25T12:21:36,0,20,0,20
2023-05-25T12:33:09,0,20,0,20
2023-05-25T12:44:42,0,20,0,20
2023-05-25T12:56:15,0,20,0,20
2023-05-25T13:07:58,0,20,0,20
2023-05-25T13:19:30,0,20,0,20
2023-05-25T13:31:04,0,20,0,20
2023-05-25T13:42:37,0,20,0,20
2023-05-25T13:54:10,0,20,0,20
2023-05-25T14:05:54,0,20,0,20
2023-05-25T14:17:28,0,20,0,20
2023-05-25T14:29:01,0,20,0,20
2023-05-25T14:40:34,0,20,0,20
2023-05-25T14:52:08,0,20,0,20
2023-05-25T15:03:52,0,20,0,20
2023-05-25T15:15:25,0,20,0,20
2023-05-25T15:27:00,0,20,0,20
2023-05-25T15:38:35,0,20,0,20
2023-05-25T15:50:09,0,20,0,20
2023-05-25T16:01:44,0,20,0,20
2023-05-25T16:13:29,0,20,0,20
2023-05-25T16:25:04,0,20,0,20
2023-05-25T16:36:39,0,20,0,20
2023-05-25T16:48:15,0,20,0,20
2023-05-25T16:59:51,0,20,0,20
2023-05-25T17:11:27,0,20,0,20
2023-05-25T17:23:14,0,20,0,20
2023-05-25T17:34:50,0,20,0,20
2023-05-25T17:46:26,0,20,0,20
