time,enrolled,available,waitlisted,total
2023-05-25T01:24:09,0,40,0,40
2023-05-25T01:35:45,0,40,0,40
2023-05-25T01:47:29,0,40,0,40
2023-05-25T01:59:04,0,40,0,40
2023-05-25T02:10:40,0,40,0,40
2023-05-25T02:22:17,0,40,0,40
2023-05-25T02:33:51,0,40,0,40
2023-05-25T02:45:24,0,40,0,40
2023-05-25T02:56:57,0,40,0,40
2023-05-25T03:08:32,0,40,0,40
2023-05-25T03:20:10,0,40,0,40
2023-05-25T03:32:08,0,40,0,40
2023-05-25T03:43:45,0,40,0,40
2023-05-25T03:55:21,0,40,0,40
2023-05-25T04:06:56,0,40,0,40
2023-05-25T04:26:44,0,40,0,40
2023-05-25T04:38:21,0,40,0,40
2023-05-25T04:49:57,0,40,0,40
2023-05-25T05:01:32,0,40,0,40
2023-05-25T05:13:10,0,40,0,40
2023-05-25T05:24:45,0,40,0,40
2023-05-25T05:36:22,0,40,0,40
2023-05-25T05:47:58,0,40,0,40
2023-05-25T05:59:35,0,40,0,40
2023-05-25T06:11:11,0,40,0,40
2023-05-25T06:22:46,0,40,0,40
2023-05-25T06:34:20,0,40,0,40
2023-05-25T06:45:56,0,40,0,40
2023-05-25T06:57:31,0,40,0,40
2023-05-25T07:09:07,0,40,0,40
2023-05-25T07:20:41,0,40,0,40
2023-05-25T07:32:15,0,40,0,40
2023-05-25T07:43:51,0,40,0,40
2023-05-25T07:55:27,0,40,0,40
2023-05-25T08:07:02,0,40,0,40
2023-05-25T08:18:37,0,40,0,40
2023-05-25T08:30:21,0,40,0,40
2023-05-25T08:41:54,0,40,0,40
2023-05-25T08:53:26,0,40,0,40
2023-05-25T09:05:00,0,40,0,40
2023-05-25T09:16:32,0,40,0,40
2023-05-25T09:28:05,0,40,0,40
2023-05-25T09:39:38,0,40,0,40
2023-05-25T09:51:10,0,40,0,40
2023-05-25T10:02:44,0,40,0,40
2023-05-25T10:14:28,0,40,0,40
2023-05-25T10:26:01,0,40,0,40
2023-05-25T10:37:34,0,40,0,40
2023-05-25T10:49:07,0,40,0,40
2023-05-25T11:00:49,0,40,0,40
2023-05-25T11:12:21,0,40,0,40
2023-05-25T11:23:55,0,40,0,40
2023-05-25T11:35:27,0,40,0,40
2023-05-25T11:47:00,0,40,0,40
2023-05-25T11:58:44,0,40,0,40
2023-05-25T12:10:17,0,40,0,40
2023-05-25T12:21:50,0,40,0,40
2023-05-25T12:33:23,0,40,0,40
2023-05-25T12:44:56,0,40,0,40
2023-05-25T12:56:29,0,40,0,40
2023-05-25T13:08:12,0,40,0,40
2023-05-25T13:19:44,0,40,0,40
2023-05-25T13:31:18,0,40,0,40
2023-05-25T13:42:51,0,40,0,40
2023-05-25T13:54:24,0,40,0,40
2023-05-25T14:06:08,0,40,0,40
2023-05-25T14:17:42,0,40,0,40
2023-05-25T14:29:15,0,40,0,40
2023-05-25T14:40:48,0,40,0,40
2023-05-25T14:52:22,0,40,0,40
2023-05-25T15:04:06,0,40,0,40
2023-05-25T15:15:39,0,40,0,40
2023-05-25T15:27:14,0,40,0,40
2023-05-25T15:38:49,0,40,0,40
2023-05-25T15:50:23,0,40,0,40
2023-05-25T16:01:58,0,40,0,40
2023-05-25T16:13:43,0,40,0,40
2023-05-25T16:25:19,0,40,0,40
2023-05-25T16:36:53,0,40,0,40
2023-05-25T16:48:29,0,40,0,40
2023-05-25T17:00:05,0,40,0,40
2023-05-25T17:11:41,0,40,0,40
2023-05-25T17:23:29,0,40,0,40
2023-05-25T17:35:04,0,40,0,40
2023-05-25T17:46:40,0,40,0,40
2023-05-25T17:58:15,0,40,0,40
2023-05-25T18:09:52,0,40,0,40
2023-05-25T18:21:28,0,40,0,40
2023-05-25T18:33:03,0,40,0,40
2023-05-25T18:44:48,0,40,0,40
2023-05-25T18:56:24,0,40,0,40
2023-05-25T19:08:01,0,40,0,40
2023-05-25T19:19:37,0,40,0,40
2023-05-25T19:31:12,0,40,0,40
2023-05-25T19:42:48,0,40,0,40
2023-05-25T19:54:34,0,40,0,40
2023-05-25T20:06:09,0,40,0,40
2023-05-25T20:17:45,0,40,0,40
2023-05-25T20:29:22,0,40,0,40
2023-05-25T20:40:57,0,40,0,40
2023-05-25T20:52:33,0,40,0,40
2023-05-25T21:04:08,0,40,0,40
2023-05-25T21:15:44,0,40,0,40
2023-05-25T21:27:31,0,40,0,40
2023-05-25T21:39:07,0,40,0,40
2023-05-25T21:50:43,0,40,0,40
2023-05-25T22:02:18,0,40,0,40
2023-05-25T22:13:53,0,40,0,40
2023-05-25T22:25:29,0,40,0,40
2023-05-25T22:37:05,0,40,0,40
2023-05-25T22:48:51,0,40,0,40
2023-05-25T23:00:26,0,40,0,40
2023-05-25T23:12:04,0,40,0,40
2023-05-25T23:23:40,0,40,0,40
2023-05-25T23:35:16,0,40,0,40
2023-05-25T23:46:52,0,40,0,40
2023-05-25T23:58:29,0,40,0,40
2023-05-26T00:10:25,0,40,0,40
2023-05-26T00:22:05,0,40,0,40
2023-05-26T00:33:44,0,40,0,40
2023-05-26T00:45:23,0,40,0,40
2023-05-26T00:57:01,0,40,0,40
2023-05-26T01:08:41,0,40,0,40
2023-05-26T01:20:20,0,40,0,40
2023-05-26T01:31:58,0,40,0,40
2023-05-26T01:43:46,0,40,0,40
2023-05-26T01:55:24,0,40,0,40
2023-05-26T02:07:06,0,40,0,40
2023-05-26T02:18:43,0,40,0,40
2023-05-26T02:30:20,0,40,0,40
2023-05-26T02:42:00,0,40,0,40
2023-05-26T02:53:49,0,40,0,40
2023-05-26T03:05:30,0,40,0,40
2023-05-26T03:17:11,0,40,0,40
2023-05-26T03:28:50,0,40,0,40
2023-05-26T03:40:28,0,40,0,40
2023-05-26T03:52:06,0,40,0,40
2023-05-26T04:03:45,0,40,0,40
2023-05-26T04:15:33,0,40,0,40
2023-05-26T04:37:57,0,40,0,40
2023-05-26T04:49:38,0,40,0,40
2023-05-26T05:01:18,0,40,0,40
2023-05-26T05:13:00,0,40,0,40
2023-05-26T05:24:39,0,40,0,40
2023-05-26T05:36:17,0,40,0,40
2023-05-26T05:47:57,0,40,0,40
2023-05-26T05:59:35,0,40,0,40
2023-05-26T06:11:14,0,40,0,40
2023-05-26T06:22:54,0,40,0,40
2023-05-26T06:34:32,0,40,0,40
2023-05-26T06:46:11,0,40,0,40
2023-05-26T06:57:49,0,40,0,40
2023-05-26T07:09:27,0,40,0,40
2023-05-26T07:21:06,0,40,0,40
2023-05-26T07:32:52,0,40,0,40
2023-05-26T07:44:29,0,40,0,40
2023-05-26T07:56:07,0,40,0,40
2023-05-26T08:07:42,0,40,0,40
2023-05-26T08:19:18,0,40,0,40
2023-05-26T08:30:55,0,40,0,40
2023-05-26T08:42:31,0,40,0,40
2023-05-26T08:54:07,0,40,0,40
2023-05-26T09:05:43,0,40,0,40
2023-05-26T09:17:20,0,40,0,40
2023-05-26T09:28:56,0,40,0,40
2023-05-26T09:40:43,0,40,0,40
2023-05-26T09:52:19,0,40,0,40
2023-05-26T10:03:55,0,40,0,40
