time,enrolled,available,waitlisted,total
2023-05-25T01:24:12,0,20,0,20
2023-05-25T01:35:48,0,20,0,20
2023-05-25T01:47:32,0,20,0,20
2023-05-25T01:59:07,0,20,0,20
2023-05-25T02:10:43,0,20,0,20
2023-05-25T02:22:20,0,20,0,20
2023-05-25T02:33:54,0,20,0,20
2023-05-25T02:45:27,0,20,0,20
2023-05-25T02:57:00,0,20,0,20
2023-05-25T03:08:35,0,20,0,20
2023-05-25T03:20:13,0,20,0,20
2023-05-25T03:32:11,0,20,0,20
2023-05-25T03:43:48,0,20,0,20
2023-05-25T03:55:24,0,20,0,20
2023-05-25T04:06:59,0,20,0,20
2023-05-25T04:26:47,0,20,0,20
2023-05-25T04:38:24,0,20,0,20
2023-05-25T04:49:59,0,20,0,20
2023-05-25T05:01:35,0,20,0,20
2023-05-25T05:13:13,0,20,0,20
2023-05-25T05:24:48,0,20,0,20
2023-05-25T05:36:25,0,20,0,20
2023-05-25T05:48:01,0,20,0,20
2023-05-25T05:59:38,0,20,0,20
2023-05-25T06:11:14,0,20,0,20
2023-05-25T06:22:49,0,20,0,20
2023-05-25T06:34:24,0,20,0,20
2023-05-25T06:45:59,0,20,0,20
2023-05-25T06:57:34,0,20,0,20
2023-05-25T07:09:10,0,20,0,20
2023-05-25T07:20:44,0,20,0,20
2023-05-25T07:32:18,0,20,0,20
2023-05-25T07:43:54,0,20,0,20
2023-05-25T07:55:30,0,20,0,20
2023-05-25T08:07:05,0,20,0,20
2023-05-25T08:18:40,0,20,0,20
2023-05-25T08:30:24,0,20,0,20
2023-05-25T08:41:57,0,20,0,20
2023-05-25T08:53:29,0,20,0,20
2023-05-25T09:05:03,0,20,0,20
2023-05-25T09:16:35,0,20,0,20
2023-05-25T09:28:08,0,20,0,20
2023-05-25T09:39:41,0,20,0,20
2023-05-25T09:51:13,0,20,0,20
2023-05-25T10:02:47,0,20,0,20
2023-05-25T10:14:31,0,20,0,20
2023-05-25T10:26:04,0,20,0,20
2023-05-25T10:37:37,0,20,0,20
2023-05-25T10:49:10,0,20,0,20
2023-05-25T11:00:52,0,20,0,20
2023-05-25T11:12:24,0,20,0,20
2023-05-25T11:23:58,0,20,0,20
2023-05-25T11:35:30,0,20,0,20
2023-05-25T11:47:03,0,20,0,20
2023-05-25T11:58:47,0,20,0,20
2023-05-25T12:10:20,0,20,0,20
2023-05-25T12:21:53,0,20,0,20
2023-05-25T12:33:26,0,20,0,20
2023-05-25T12:44:59,0,20,0,20
2023-05-25T12:56:32,0,20,0,20
2023-05-25T13:08:15,0,20,0,20
2023-05-25T13:19:47,0,20,0,20
2023-05-25T13:31:21,0,20,0,20
2023-05-25T13:42:54,0,20,0,20
2023-05-25T13:54:27,0,20,0,20
2023-05-25T14:06:12,0,20,0,20
2023-05-25T14:17:45,0,20,0,20
2023-05-25T14:29:18,0,20,0,20
2023-05-25T14:40:51,0,20,0,20
2023-05-25T14:52:25,0,20,0,20
2023-05-25T15:04:09,0,20,0,20
2023-05-25T15:15:42,0,20,0,20
2023-05-25T15:27:17,0,20,0,20
2023-05-25T15:38:52,0,20,0,20
2023-05-25T15:50:26,0,20,0,20
2023-05-25T16:02:01,0,20,0,20
2023-05-25T16:13:46,0,20,0,20
2023-05-25T16:25:21,0,20,0,20
2023-05-25T16:36:56,0,20,0,20
2023-05-25T16:48:32,0,20,0,20
2023-05-25T17:00:08,0,20,0,20
2023-05-25T17:11:45,0,20,0,20
2023-05-25T17:23:31,0,20,0,20
2023-05-25T17:35:07,0,20,0,20
2023-05-25T17:46:43,0,20,0,20
2023-05-25T17:58:18,0,20,0,20
2023-05-25T18:09:55,0,20,0,20
2023-05-25T18:21:31,0,20,0,20
2023-05-25T18:33:06,0,20,0,20
2023-05-25T18:44:51,0,20,0,20
2023-05-25T18:56:27,0,20,0,20
2023-05-25T19:08:04,0,20,0,20
2023-05-25T19:19:40,0,20,0,20
2023-05-25T19:31:15,0,20,0,20
2023-05-25T19:42:51,0,20,0,20
2023-05-25T19:54:37,0,20,0,20
2023-05-25T20:06:12,0,20,0,20
2023-05-25T20:17:48,0,20,0,20
2023-05-25T20:29:25,0,20,0,20
2023-05-25T20:41:00,0,20,0,20
2023-05-25T20:52:36,0,20,0,20
2023-05-25T21:04:11,0,20,0,20
2023-05-25T21:15:47,0,20,0,20
2023-05-25T21:27:34,0,20,0,20
2023-05-25T21:39:10,0,20,0,20
2023-05-25T21:50:46,0,20,0,20
2023-05-25T22:02:21,0,20,0,20
2023-05-25T22:13:56,0,20,0,20
2023-05-25T22:25:32,0,20,0,20
2023-05-25T22:37:08,0,20,0,20
2023-05-25T22:48:54,0,20,0,20
2023-05-25T23:00:29,0,20,0,20
2023-05-25T23:12:07,0,20,0,20
2023-05-25T23:23:43,0,20,0,20
2023-05-25T23:35:19,0,20,0,20
2023-05-25T23:46:55,0,20,0,20
2023-05-25T23:58:32,0,20,0,20
2023-05-26T00:10:28,0,20,0,20
2023-05-26T00:22:08,0,20,0,20
2023-05-26T00:33:47,0,20,0,20
2023-05-26T00:45:26,0,20,0,20
2023-05-26T00:57:04,0,20,0,20
2023-05-26T01:08:44,0,20,0,20
2023-05-26T01:20:23,0,20,0,20
2023-05-26T01:32:01,0,20,0,20
2023-05-26T01:43:49,0,20,0,20
2023-05-26T01:55:27,0,20,0,20
2023-05-26T02:07:09,0,20,0,20
2023-05-26T02:18:47,0,20,0,20
2023-05-26T02:30:23,0,20,0,20
2023-05-26T02:42:03,0,20,0,20
2023-05-26T02:53:52,0,20,0,20
2023-05-26T03:05:33,0,20,0,20
2023-05-26T03:17:14,0,20,0,20
2023-05-26T03:28:53,0,20,0,20
2023-05-26T03:40:31,0,20,0,20
2023-05-26T03:52:09,0,20,0,20
2023-05-26T04:03:48,0,20,0,20
2023-05-26T04:15:36,0,20,0,20
2023-05-26T04:38:00,0,20,0,20
2023-05-26T04:49:41,0,20,0,20
2023-05-26T05:01:21,0,20,0,20
2023-05-26T05:13:03,0,20,0,20
2023-05-26T05:24:42,0,20,0,20
2023-05-26T05:36:20,0,20,0,20
2023-05-26T05:48:00,0,20,0,20
2023-05-26T05:59:38,0,20,0,20
2023-05-26T06:11:17,0,20,0,20
2023-05-26T06:22:57,0,20,0,20
2023-05-26T06:34:35,0,20,0,20
2023-05-26T06:46:14,0,20,0,20
2023-05-26T06:57:52,0,20,0,20
2023-05-26T07:09:30,0,20,0,20
2023-05-26T07:21:09,0,20,0,20
2023-05-26T07:32:55,0,20,0,20
2023-05-26T07:44:32,0,20,0,20
2023-05-26T07:56:10,0,20,0,20
2023-05-26T08:07:45,0,20,0,20
2023-05-26T08:19:22,0,20,0,20
2023-05-26T08:30:58,0,20,0,20
2023-05-26T08:42:34,0,20,0,20
2023-05-26T08:54:10,0,20,0,20
2023-05-26T09:05:46,0,20,0,20
2023-05-26T09:17:23,0,20,0,20
2023-05-26T09:28:59,0,20,0,20
2023-05-26T09:40:46,0,20,0,20
2023-05-26T09:52:22,0,20,0,20
2023-05-26T10:03:58,0,20,0,20
2023-05-26T10:15:35,0,20,0,20
2023-05-26T10:27:11,0,20,0,20
2023-05-26T10:38:59,0,20,0,20
2023-05-26T10:50:35,0,20,0,20
2023-05-26T11:02:12,0,20,0,20
2023-05-26T11:13:49,0,20,0,20
2023-05-26T11:25:25,0,20,0,20
2023-05-26T11:37:01,0,20,0,20
2023-05-26T11:48:47,0,20,0,20
2023-05-26T12:00:23,0,20,0,20
2023-05-26T12:12:00,0,20,0,20
2023-05-26T12:23:35,0,20,0,20
2023-05-26T12:35:12,0,20,0,20
2023-05-26T12:46:59,0,20,0,20
2023-05-26T12:58:34,0,20,0,20
2023-05-26T13:10:11,0,20,0,20
2023-05-26T13:21:46,0,20,0,20
2023-05-26T13:33:33,0,20,0,20
2023-05-26T13:45:09,0,20,0,20
2023-05-26T13:56:44,0,20,0,20
2023-05-26T14:08:20,0,20,0,20
2023-05-26T14:19:56,0,20,0,20
2023-05-26T14:31:44,0,20,0,20
2023-05-26T14:43:20,0,20,0,20
2023-05-26T14:54:56,0,20,0,20
2023-05-26T15:06:32,0,20,0,20
2023-05-26T15:18:10,0,20,0,20
2023-05-26T15:29:56,0,20,0,20
2023-05-26T15:41:32,0,20,0,20
2023-05-26T15:53:08,0,20,0,20
2023-05-26T16:04:44,0,20,0,20
2023-05-26T16:16:19,0,20,0,20
2023-05-26T16:27:55,0,20,0,20
2023-05-26T16:39:41,0,20,0,20
2023-05-26T16:51:16,0,20,0,20
2023-05-26T17:02:52,1,19,0,20
2023-05-26T17:14:29,1,19,0,20
2023-05-26T17:26:05,1,19,0,20
2023-05-26T17:37:41,1,19,0,20
2023-05-26T17:49:26,1,19,0,20
2023-05-26T18:01:02,1,19,0,20
2023-05-26T18:12:38,1,19,0,20
2023-05-26T18:24:14,1,19,0,20
2023-05-26T18:35:49,1,19,0,20
2023-05-26T18:47:24,1,19,0,20
2023-05-26T18:59:11,1,19,0,20
2023-05-26T19:10:48,1,19,0,20
2023-05-26T19:22:23,1,19,0,20
2023-05-26T19:33:59,1,19,0,20
2023-05-26T19:45:35,1,19,0,20
2023-05-26T19:57:10,1,19,0,20
2023-05-26T20:08:46,1,19,0,20
2023-05-26T20:20:32,1,19,0,20
2023-05-26T20:32:08,1,19,0,20
2023-05-26T20:43:43,1,19,0,20
2023-05-26T20:55:18,1,19,0,20
2023-05-26T21:06:54,1,19,0,20
2023-05-26T21:18:31,1,19,0,20
2023-05-26T21:30:07,1,19,0,20
2023-05-26T21:41:53,1,19,0,20
2023-05-26T21:53:29,1,19,0,20
2023-05-26T22:05:05,1,19,0,20
2023-05-26T22:16:41,1,19,0,20
2023-05-26T22:28:17,1,19,0,20
2023-05-26T22:39:53,1,19,0,20
2023-05-26T22:51:29,1,19,0,20
2023-05-26T23:03:08,1,19,0,20
2023-05-26T23:14:54,1,19,0,20
2023-05-26T23:26:30,1,19,0,20
2023-05-26T23:38:06,1,19,0,20
2023-05-26T23:49:43,1,19,0,20
2023-05-27T00:01:19,1,19,0,20
2023-05-27T00:12:58,1,19,0,20
2023-05-27T00:24:38,1,19,0,20
2023-05-27T00:36:16,1,19,0,20
2023-05-27T00:47:56,1,19,0,20
2023-05-27T00:59:35,1,19,0,20
2023-05-27T01:11:14,1,19,0,20
2023-05-27T01:23:03,1,19,0,20
2023-05-27T01:34:41,1,19,0,20
2023-05-27T01:46:21,1,19,0,20
2023-05-27T01:58:00,1,19,0,20
2023-05-27T02:09:37,1,19,0,20
2023-05-27T02:21:15,1,19,0,20
2023-05-27T02:32:52,1,19,0,20
2023-05-27T02:44:29,1,19,0,20
2023-05-27T02:56:05,1,19,0,20
2023-05-27T03:07:41,1,19,0,20
2023-05-27T03:19:20,1,19,0,20
2023-05-27T03:30:57,1,19,0,20
2023-05-27T03:42:34,1,19,0,20
2023-05-27T03:54:12,1,19,0,20
2023-05-27T04:05:51,1,19,0,20
2023-05-27T04:17:45,1,19,0,20
2023-05-27T04:40:20,1,19,0,20
2023-05-27T04:52:17,1,19,0,20
2023-05-27T05:03:57,1,19,0,20
2023-05-27T05:15:36,1,19,0,20
2023-05-27T05:27:14,1,19,0,20
2023-05-27T05:38:54,1,19,0,20
2023-05-27T05:50:33,1,19,0,20
2023-05-27T06:02:12,1,19,0,20
2023-05-27T06:13:50,1,19,0,20
2023-05-27T06:25:31,1,19,0,20
2023-05-27T06:37:10,1,19,0,20
2023-05-27T06:48:48,1,19,0,20
2023-05-27T07:00:26,1,19,0,20
2023-05-27T07:12:04,1,19,0,20
2023-05-27T07:23:42,1,19,0,20
2023-05-27T07:35:20,1,19,0,20
2023-05-27T07:46:57,1,19,0,20
2023-05-27T07:58:48,1,19,0,20
2023-05-27T08:10:26,1,19,0,20
2023-05-27T08:22:03,1,19,0,20
2023-05-27T08:33:42,1,19,0,20
2023-05-27T08:45:20,1,19,0,20
2023-05-27T08:56:58,1,19,0,20
2023-05-27T09:08:36,1,19,0,20
2023-05-27T09:20:13,1,19,0,20
2023-05-27T09:31:53,1,19,0,20
2023-05-27T09:43:30,1,19,0,20
2023-05-27T09:55:08,1,19,0,20
2023-05-27T10:07:03,1,19,0,20
2023-05-27T10:18:39,1,19,0,20
2023-05-27T10:30:17,1,19,0,20
2023-05-27T10:41:54,1,19,0,20
2023-05-27T10:53:31,1,19,0,20
2023-05-27T11:05:07,1,19,0,20
2023-05-27T11:16:42,1,19,0,20
2023-05-27T11:28:18,1,19,0,20
2023-05-27T11:39:52,1,19,0,20
2023-05-27T11:51:27,1,19,0,20
2023-05-27T12:03:02,1,19,0,20
2023-05-27T12:14:47,1,19,0,20
2023-05-27T12:26:22,1,19,0,20
2023-05-27T12:37:58,1,19,0,20
2023-05-27T12:49:33,1,19,0,20
2023-05-27T13:01:09,1,19,0,20
2023-05-27T13:12:44,1,19,0,20
2023-05-27T13:24:19,1,19,0,20
2023-05-27T13:36:14,1,19,0,20
2023-05-27T13:47:49,1,19,0,20
2023-05-27T13:59:24,1,19,0,20
2023-05-27T14:11:00,1,19,0,20
2023-05-27T14:22:36,1,19,0,20
2023-05-27T14:34:11,2,18,0,20
2023-05-27T14:45:46,2,18,0,20
2023-05-27T14:57:21,2,18,0,20
2023-05-27T15:09:07,2,18,0,20
2023-05-27T15:20:42,2,18,0,20
2023-05-27T15:32:17,2,18,0,20
2023-05-27T15:43:52,2,18,0,20
2023-05-27T15:55:27,2,18,0,20
2023-05-27T16:07:02,2,18,0,20
2023-05-27T16:18:37,2,18,0,20
2023-05-27T16:30:22,2,18,0,20
2023-05-27T16:41:58,2,18,0,20
2023-05-27T16:53:32,2,18,0,20
2023-05-27T17:05:09,2,18,0,20
2023-05-27T17:16:47,2,18,0,20
2023-05-27T17:28:22,2,18,0,20
2023-05-27T17:40:07,2,18,0,20
2023-05-27T17:51:43,2,18,0,20
2023-05-27T18:03:18,2,18,0,20
2023-05-27T18:14:54,2,18,0,20
2023-05-27T18:26:29,2,18,0,20
2023-05-27T18:38:04,2,18,0,20
2023-05-27T18:49:39,2,18,0,20
2023-05-27T19:01:15,2,18,0,20
2023-05-27T19:13:11,2,18,0,20
2023-05-27T19:24:46,2,18,0,20
2023-05-27T19:36:22,2,18,0,20
2023-05-27T19:47:57,2,18,0,20
2023-05-27T19:59:33,2,18,0,20
2023-05-27T20:11:08,2,18,0,20
2023-05-27T20:22:44,2,18,0,20
2023-05-27T20:34:19,2,18,0,20
2023-05-27T20:46:03,2,18,0,20
2023-05-27T20:57:38,2,18,0,20
2023-05-27T21:09:13,2,18,0,20
2023-05-27T21:20:49,2,18,0,20
2023-05-27T21:32:24,2,18,0,20
2023-05-27T21:44:00,3,17,0,20
2023-05-27T21:55:35,3,17,0,20
2023-05-27T22:07:11,3,17,0,20
2023-05-27T22:18:55,3,17,0,20
2023-05-27T22:30:31,3,17,0,20
2023-05-27T22:42:06,3,17,0,20
2023-05-27T22:53:42,3,17,0,20
2023-05-27T23:05:21,3,17,0,20
2023-05-27T23:16:57,3,17,0,20
2023-05-27T23:28:33,3,17,0,20
2023-05-27T23:40:25,3,17,0,20
2023-05-27T23:52:00,3,17,0,20
2023-05-28T00:03:37,3,17,0,20
2023-05-28T00:15:16,3,17,0,20
2023-05-28T00:26:54,3,17,0,20
2023-05-28T00:38:33,3,17,0,20
2023-05-28T00:50:10,3,17,0,20
2023-05-28T01:01:46,3,17,0,20
2023-05-28T01:13:22,3,17,0,20
2023-05-28T01:24:59,3,17,0,20
2023-05-28T01:36:44,3,17,0,20
2023-05-28T01:48:19,3,17,0,20
2023-05-28T01:59:55,3,17,0,20
2023-05-28T02:11:30,3,17,0,20
2023-05-28T02:23:06,3,17,0,20
2023-05-28T02:34:44,3,17,0,20
2023-05-28T02:46:25,3,17,0,20
2023-05-28T02:58:05,3,17,0,20
2023-05-28T03:09:46,3,17,0,20
2023-05-28T03:21:26,3,17,0,20
2023-05-28T03:33:05,3,17,0,20
2023-05-28T03:45:24,3,17,0,20
2023-05-28T03:57:52,3,17,0,20
2023-05-28T04:09:30,3,17,0,20
2023-05-28T04:35:12,3,17,0,20
2023-05-28T04:48:24,3,17,0,20
2023-05-28T05:00:04,3,17,0,20
2023-05-28T05:11:43,3,17,0,20
2023-05-28T05:23:21,3,17,0,20
2023-05-28T05:34:59,3,17,0,20
