time,enrolled,available,waitlisted,total
2023-05-25T01:24:12,0,30,0,30
2023-05-25T01:35:48,0,30,0,30
2023-05-25T01:47:33,0,30,0,30
2023-05-25T01:59:08,0,30,0,30
2023-05-25T02:10:44,0,30,0,30
2023-05-25T02:22:21,0,30,0,30
2023-05-25T02:33:54,0,30,0,30
2023-05-25T02:45:28,0,30,0,30
2023-05-25T02:57:01,0,30,0,30
2023-05-25T03:08:36,0,30,0,30
2023-05-25T03:20:14,0,30,0,30
2023-05-25T03:32:12,0,30,0,30
2023-05-25T03:43:49,0,30,0,30
2023-05-25T03:55:25,0,30,0,30
2023-05-25T04:07:00,0,30,0,30
2023-05-25T04:26:48,0,30,0,30
2023-05-25T04:38:24,0,30,0,30
2023-05-25T04:50:00,0,30,0,30
2023-05-25T05:01:36,0,30,0,30
2023-05-25T05:13:14,0,30,0,30
2023-05-25T05:24:49,0,30,0,30
2023-05-25T05:36:26,0,30,0,30
2023-05-25T05:48:02,0,30,0,30
2023-05-25T05:59:39,0,30,0,30
2023-05-25T06:11:14,0,30,0,30
2023-05-25T06:22:49,0,30,0,30
2023-05-25T06:34:24,0,30,0,30
2023-05-25T06:45:59,0,30,0,30
2023-05-25T06:57:35,0,30,0,30
2023-05-25T07:09:11,0,30,0,30
2023-05-25T07:20:45,0,30,0,30
2023-05-25T07:32:19,0,30,0,30
2023-05-25T07:43:55,0,30,0,30
2023-05-25T07:55:31,0,30,0,30
2023-05-25T08:07:06,0,30,0,30
2023-05-25T08:18:41,0,30,0,30
2023-05-25T08:30:25,0,30,0,30
2023-05-25T08:41:58,0,30,0,30
2023-05-25T08:53:30,0,30,0,30
2023-05-25T09:05:04,0,30,0,30
2023-05-25T09:16:36,0,30,0,30
2023-05-25T09:28:09,0,30,0,30
2023-05-25T09:39:41,0,30,0,30
2023-05-25T09:51:14,0,30,0,30
2023-05-25T10:02:48,0,30,0,30
2023-05-25T10:14:32,0,30,0,30
2023-05-25T10:26:05,0,30,0,30
2023-05-25T10:37:38,0,30,0,30
2023-05-25T10:49:10,0,30,0,30
2023-05-25T11:00:53,0,30,0,30
2023-05-25T11:12:25,0,30,0,30
2023-05-25T11:23:58,0,30,0,30
2023-05-25T11:35:31,0,30,0,30
2023-05-25T11:47:04,0,30,0,30
2023-05-25T11:58:48,0,30,0,30
2023-05-25T12:10:21,0,30,0,30
2023-05-25T12:21:54,0,30,0,30
2023-05-25T12:33:27,0,30,0,30
2023-05-25T12:45:00,0,30,0,30
2023-05-25T12:56:32,0,30,0,30
2023-05-25T13:08:15,0,30,0,30
2023-05-25T13:19:48,0,30,0,30
2023-05-25T13:31:22,0,30,0,30
2023-05-25T13:42:55,0,30,0,30
2023-05-25T13:54:28,0,30,0,30
2023-05-25T14:06:13,0,30,0,30
2023-05-25T14:17:46,0,30,0,30
2023-05-25T14:29:19,0,30,0,30
2023-05-25T14:40:52,0,30,0,30
2023-05-25T14:52:25,0,30,0,30
2023-05-25T15:04:09,0,30,0,30
2023-05-25T15:15:43,0,30,0,30
2023-05-25T15:27:18,0,30,0,30
2023-05-25T15:38:52,0,30,0,30
2023-05-25T15:50:27,0,30,0,30
2023-05-25T16:02:02,0,30,0,30
2023-05-25T16:13:47,0,30,0,30
2023-05-25T16:25:22,0,30,0,30
2023-05-25T16:36:57,0,30,0,30
2023-05-25T16:48:33,0,30,0,30
2023-05-25T17:00:09,0,30,0,30
2023-05-25T17:11:45,0,30,0,30
2023-05-25T17:23:32,0,30,0,30
2023-05-25T17:35:08,0,30,0,30
2023-05-25T17:46:44,0,30,0,30
2023-05-25T17:58:19,0,30,0,30
2023-05-25T18:09:56,0,30,0,30
2023-05-25T18:21:31,0,30,0,30
2023-05-25T18:33:07,0,30,0,30
2023-05-25T18:44:52,0,30,0,30
2023-05-25T18:56:28,0,30,0,30
2023-05-25T19:08:05,0,30,0,30
2023-05-25T19:19:41,0,30,0,30
2023-05-25T19:31:16,0,30,0,30
2023-05-25T19:42:52,0,30,0,30
2023-05-25T19:54:38,0,30,0,30
2023-05-25T20:06:13,0,30,0,30
2023-05-25T20:17:49,0,30,0,30
2023-05-25T20:29:26,0,30,0,30
2023-05-25T20:41:01,0,30,0,30
2023-05-25T20:52:37,0,30,0,30
2023-05-25T21:04:12,0,30,0,30
2023-05-25T21:15:48,0,30,0,30
2023-05-25T21:27:35,0,30,0,30
2023-05-25T21:39:11,0,30,0,30
2023-05-25T21:50:47,0,30,0,30
2023-05-25T22:02:22,0,30,0,30
2023-05-25T22:13:57,0,30,0,30
2023-05-25T22:25:33,0,30,0,30
2023-05-25T22:37:08,0,30,0,30
2023-05-25T22:48:54,0,30,0,30
2023-05-25T23:00:30,0,30,0,30
2023-05-25T23:12:08,0,30,0,30
2023-05-25T23:23:44,0,30,0,30
2023-05-25T23:35:20,0,30,0,30
2023-05-25T23:46:56,0,30,0,30
2023-05-25T23:58:32,0,30,0,30
2023-05-26T00:10:29,0,30,0,30
2023-05-26T00:22:09,0,30,0,30
2023-05-26T00:33:48,0,30,0,30
2023-05-26T00:45:26,0,30,0,30
2023-05-26T00:57:05,0,30,0,30
2023-05-26T01:08:45,0,30,0,30
2023-05-26T01:20:23,0,30,0,30
2023-05-26T01:32:02,0,30,0,30
2023-05-26T01:43:49,0,30,0,30
2023-05-26T01:55:28,0,30,0,30
2023-05-26T02:07:10,0,30,0,30
2023-05-26T02:18:47,0,30,0,30
2023-05-26T02:30:24,0,30,0,30
2023-05-26T02:42:04,0,30,0,30
2023-05-26T02:53:53,0,30,0,30
2023-05-26T03:05:33,0,30,0,30
2023-05-26T03:17:15,0,30,0,30
2023-05-26T03:28:53,0,30,0,30
2023-05-26T03:40:32,0,30,0,30
2023-05-26T03:52:10,0,30,0,30
2023-05-26T04:03:48,0,30,0,30
2023-05-26T04:15:37,0,30,0,30
2023-05-26T04:38:01,0,30,0,30
2023-05-26T04:49:42,0,30,0,30
2023-05-26T05:01:22,0,30,0,30
2023-05-26T05:13:04,0,30,0,30
2023-05-26T05:24:43,0,30,0,30
2023-05-26T05:36:21,0,30,0,30
2023-05-26T05:48:01,0,30,0,30
2023-05-26T05:59:39,0,30,0,30
2023-05-26T06:11:18,0,30,0,30
2023-05-26T06:22:57,0,30,0,30
2023-05-26T06:34:36,0,30,0,30
2023-05-26T06:46:15,0,30,0,30
2023-05-26T06:57:53,0,30,0,30
2023-05-26T07:09:31,0,30,0,30
2023-05-26T07:21:10,0,30,0,30
2023-05-26T07:32:56,0,30,0,30
2023-05-26T07:44:33,0,30,0,30
2023-05-26T07:56:10,0,30,0,30
2023-05-26T08:07:46,0,30,0,30
2023-05-26T08:19:22,0,30,0,30
2023-05-26T08:30:59,0,30,0,30
2023-05-26T08:42:35,0,30,0,30
2023-05-26T08:54:11,0,30,0,30
2023-05-26T09:05:47,0,30,0,30
2023-05-26T09:17:23,0,30,0,30
2023-05-26T09:29:00,0,30,0,30
2023-05-26T09:40:47,0,30,0,30
2023-05-26T09:52:23,0,30,0,30
2023-05-26T10:03:59,0,30,0,30
2023-05-26T10:15:36,0,30,0,30
2023-05-26T10:27:12,0,30,0,30
