time,enrolled,available,waitlisted,total
2023-05-25T01:24:15,0,120,0,120
2023-05-25T01:35:51,0,120,0,120
2023-05-25T01:47:35,0,120,0,120
2023-05-25T01:59:11,0,120,0,120
2023-05-25T02:10:46,0,120,0,120
2023-05-25T02:22:23,0,120,0,120
2023-05-25T02:33:57,0,120,0,120
2023-05-25T02:45:31,0,120,0,120
2023-05-25T02:57:03,0,120,0,120
2023-05-25T03:08:38,0,120,0,120
2023-05-25T03:20:17,0,120,0,120
2023-05-25T03:32:15,0,120,0,120
2023-05-25T03:43:51,0,120,0,120
2023-05-25T03:55:27,0,120,0,120
2023-05-25T04:07:02,0,120,0,120
2023-05-25T04:26:50,0,120,0,120
2023-05-25T04:38:27,0,120,0,120
2023-05-25T04:50:03,0,120,0,120
2023-05-25T05:01:39,0,120,0,120
2023-05-25T05:13:16,0,120,0,120
2023-05-25T05:24:52,0,120,0,120
2023-05-25T05:36:29,0,120,0,120
2023-05-25T05:48:05,0,120,0,120
2023-05-25T05:59:41,0,120,0,120
2023-05-25T06:11:17,0,120,0,120
2023-05-25T06:22:52,0,120,0,120
2023-05-25T06:34:27,0,120,0,120
2023-05-25T06:46:02,0,120,0,120
2023-05-25T06:57:37,0,120,0,120
2023-05-25T07:09:13,0,120,0,120
2023-05-25T07:20:48,0,120,0,120
2023-05-25T07:32:21,0,120,0,120
2023-05-25T07:43:58,0,120,0,120
2023-05-25T07:55:34,0,120,0,120
2023-05-25T08:07:09,0,120,0,120
2023-05-25T08:18:43,0,120,0,120
2023-05-25T08:30:27,0,120,0,120
2023-05-25T08:42:00,0,120,0,120
2023-05-25T08:53:32,0,120,0,120
2023-05-25T09:05:06,0,120,0,120
2023-05-25T09:16:39,0,120,0,120
2023-05-25T09:28:11,0,120,0,120
2023-05-25T09:39:44,0,120,0,120
2023-05-25T09:51:17,0,120,0,120
2023-05-25T10:02:50,0,120,0,120
2023-05-25T10:14:35,0,120,0,120
2023-05-25T10:26:08,0,120,0,120
2023-05-25T10:37:40,0,120,0,120
2023-05-25T10:49:13,0,120,0,120
2023-05-25T11:00:56,0,120,0,120
2023-05-25T11:12:28,0,120,0,120
2023-05-25T11:24:01,0,120,0,120
2023-05-25T11:35:34,0,120,0,120
2023-05-25T11:47:07,0,120,0,120
2023-05-25T11:58:51,0,120,0,120
2023-05-25T12:10:24,0,120,0,120
2023-05-25T12:21:56,0,120,0,120
2023-05-25T12:33:29,0,120,0,120
2023-05-25T12:45:02,0,120,0,120
2023-05-25T12:56:35,0,120,0,120
2023-05-25T13:08:18,0,120,0,120
2023-05-25T13:19:51,0,120,0,120
2023-05-25T13:31:24,0,120,0,120
2023-05-25T13:42:57,0,120,0,120
2023-05-25T13:54:30,0,120,0,120
2023-05-25T14:06:15,0,120,0,120
2023-05-25T14:17:48,0,120,0,120
2023-05-25T14:29:22,0,120,0,120
2023-05-25T14:40:54,0,120,0,120
2023-05-25T14:52:28,0,120,0,120
2023-05-25T15:04:12,0,120,0,120
2023-05-25T15:15:46,0,120,0,120
2023-05-25T15:27:21,0,120,0,120
2023-05-25T15:38:55,0,120,0,120
2023-05-25T15:50:30,0,120,0,120
2023-05-25T16:02:04,0,120,0,120
2023-05-25T16:13:50,0,120,0,120
2023-05-25T16:25:25,0,120,0,120
2023-05-25T16:37:00,0,120,0,120
2023-05-25T16:48:35,0,120,0,120
2023-05-25T17:00:11,0,120,0,120
2023-05-25T17:11:48,0,120,0,120
2023-05-25T17:23:35,0,120,0,120
2023-05-25T17:35:10,0,120,0,120
2023-05-25T17:46:46,0,120,0,120
2023-05-25T17:58:22,0,120,0,120
2023-05-25T18:09:59,0,120,0,120
2023-05-25T18:21:34,0,120,0,120
2023-05-25T18:33:09,0,120,0,120
2023-05-25T18:44:55,0,120,0,120
2023-05-25T18:56:31,0,120,0,120
2023-05-25T19:08:07,0,120,0,120
2023-05-25T19:19:43,0,120,0,120
2023-05-25T19:31:18,0,120,0,120
2023-05-25T19:42:55,0,120,0,120
2023-05-25T19:54:40,0,120,0,120
2023-05-25T20:06:16,0,120,0,120
2023-05-25T20:17:52,0,120,0,120
2023-05-25T20:29:28,0,120,0,120
2023-05-25T20:41:04,0,120,0,120
2023-05-25T20:52:39,0,120,0,120
2023-05-25T21:04:14,0,120,0,120
2023-05-25T21:15:51,0,120,0,120
2023-05-25T21:27:37,0,120,0,120
2023-05-25T21:39:13,0,120,0,120
2023-05-25T21:50:49,0,120,0,120
2023-05-25T22:02:24,0,120,0,120
2023-05-25T22:14:00,0,120,0,120
2023-05-25T22:25:35,0,120,0,120
2023-05-25T22:37:11,0,120,0,120
2023-05-25T22:48:57,0,120,0,120
2023-05-25T23:00:32,0,120,0,120
2023-05-25T23:12:11,0,120,0,120
2023-05-25T23:23:46,0,120,0,120
2023-05-25T23:35:22,0,120,0,120
2023-05-25T23:46:58,0,120,0,120
2023-05-25T23:58:35,0,120,0,120
2023-05-26T00:10:31,0,120,0,120
2023-05-26T00:22:12,0,120,0,120
2023-05-26T00:33:51,0,120,0,120
2023-05-26T00:45:29,0,120,0,120
2023-05-26T00:57:08,0,120,0,120
2023-05-26T01:08:47,0,120,0,120
2023-05-26T01:20:26,0,120,0,120
2023-05-26T01:32:04,0,120,0,120
2023-05-26T01:43:52,0,120,0,120
2023-05-26T01:55:31,0,120,0,120
2023-05-26T02:07:12,0,120,0,120
2023-05-26T02:18:50,0,120,0,120
2023-05-26T02:30:27,0,120,0,120
2023-05-26T02:42:07,0,120,0,120
2023-05-26T02:53:56,0,120,0,120
2023-05-26T03:05:36,0,120,0,120
2023-05-26T03:17:17,0,120,0,120
2023-05-26T03:28:56,0,120,0,120
2023-05-26T03:40:34,0,120,0,120
2023-05-26T03:52:13,0,120,0,120
2023-05-26T04:03:51,0,120,0,120
2023-05-26T04:15:40,0,120,0,120
2023-05-26T04:38:04,0,120,0,120
2023-05-26T04:49:45,0,120,0,120
2023-05-26T05:01:24,0,120,0,120
2023-05-26T05:13:07,0,120,0,120
2023-05-26T05:24:45,0,120,0,120
2023-05-26T05:36:24,0,120,0,120
2023-05-26T05:48:03,0,120,0,120
2023-05-26T05:59:42,0,120,0,120
2023-05-26T06:11:21,0,120,0,120
2023-05-26T06:23:00,0,120,0,120
2023-05-26T06:34:39,0,120,0,120
2023-05-26T06:46:17,0,120,0,120
2023-05-26T06:57:55,0,120,0,120
2023-05-26T07:09:34,0,120,0,120
2023-05-26T07:21:13,0,120,0,120
2023-05-26T07:32:58,0,120,0,120
2023-05-26T07:44:35,0,120,0,120
2023-05-26T07:56:13,0,120,0,120
2023-05-26T08:07:49,0,120,0,120
2023-05-26T08:19:25,0,120,0,120
2023-05-26T08:31:01,0,120,0,120
2023-05-26T08:42:37,0,120,0,120
2023-05-26T08:54:13,0,120,0,120
2023-05-26T09:05:49,0,120,0,120
2023-05-26T09:17:26,0,120,0,120
2023-05-26T09:29:02,0,120,0,120
2023-05-26T09:40:49,0,120,0,120
2023-05-26T09:52:26,0,120,0,120
2023-05-26T10:04:01,0,120,0,120
2023-05-26T10:15:38,0,120,0,120
2023-05-26T10:27:14,0,120,0,120
2023-05-26T10:39:02,0,120,0,120
2023-05-26T10:50:39,0,120,0,120
2023-05-26T11:02:15,0,120,0,120
2023-05-26T11:13:52,0,120,0,120
2023-05-26T11:25:28,0,120,0,120
2023-05-26T11:37:04,1,119,0,120
2023-05-26T11:48:50,1,119,0,120
2023-05-26T12:00:26,2,118,0,120
2023-05-26T12:12:03,3,117,0,120
2023-05-26T12:23:39,3,117,0,120
2023-05-26T12:35:15,3,117,0,120
2023-05-26T12:47:02,3,117,0,120
2023-05-26T12:58:38,3,117,0,120
2023-05-26T13:10:14,3,117,0,120
2023-05-26T13:21:50,4,116,0,120
2023-05-26T13:33:36,4,116,0,120
2023-05-26T13:45:12,4,116,0,120
2023-05-26T13:56:48,5,115,0,120
2023-05-26T14:08:24,6,114,0,120
2023-05-26T14:19:59,7,113,0,120
2023-05-26T14:31:47,7,113,0,120
2023-05-26T14:43:23,7,113,0,120
2023-05-26T14:54:59,7,113,0,120
2023-05-26T15:06:36,7,113,0,120
2023-05-26T15:18:13,7,113,0,120
2023-05-26T15:30:00,7,113,0,120
2023-05-26T15:41:35,7,113,0,120
2023-05-26T15:53:11,7,113,0,120
2023-05-26T16:04:47,7,113,0,120
2023-05-26T16:16:23,8,112,0,120
2023-05-26T16:27:58,8,112,0,120
2023-05-26T16:39:44,8,112,0,120
2023-05-26T16:51:20,8,112,0,120
2023-05-26T17:02:56,8,112,0,120
2023-05-26T17:14:33,8,112,0,120
2023-05-26T17:26:08,8,112,0,120
2023-05-26T17:37:44,8,112,0,120
2023-05-26T17:49:30,8,112,0,120
2023-05-26T18:01:05,8,112,0,120
2023-05-26T18:12:41,8,112,0,120
2023-05-26T18:24:17,8,112,0,120
2023-05-26T18:35:53,8,112,0,120
2023-05-26T18:47:28,8,112,0,120
2023-05-26T18:59:14,8,112,0,120
2023-05-26T19:10:51,9,111,0,120
2023-05-26T19:22:27,9,111,0,120
2023-05-26T19:34:03,9,111,0,120
2023-05-26T19:45:38,9,111,0,120
2023-05-26T19:57:14,9,111,0,120
2023-05-26T20:08:50,9,111,0,120
2023-05-26T20:20:35,9,111,0,120
2023-05-26T20:32:11,9,111,0,120
2023-05-26T20:43:46,9,111,0,120
2023-05-26T20:55:21,9,111,0,120
2023-05-26T21:06:57,9,111,0,120
2023-05-26T21:18:34,9,111,0,120
2023-05-26T21:30:10,9,111,0,120
2023-05-26T21:41:57,9,111,0,120
2023-05-26T21:53:33,9,111,0,120
2023-05-26T22:05:09,9,111,0,120
2023-05-26T22:16:45,9,111,0,120
2023-05-26T22:28:20,9,111,0,120
2023-05-26T22:39:57,9,111,0,120
2023-05-26T22:51:32,9,111,0,120
2023-05-26T23:03:11,9,111,0,120
2023-05-26T23:14:57,9,111,0,120
2023-05-26T23:26:33,9,111,0,120
2023-05-26T23:38:10,9,111,0,120
2023-05-26T23:49:47,9,111,0,120
2023-05-27T00:01:23,9,111,0,120
2023-05-27T00:13:02,9,111,0,120
2023-05-27T00:24:42,9,111,0,120
2023-05-27T00:36:20,9,111,0,120
2023-05-27T00:47:59,9,111,0,120
2023-05-27T00:59:38,9,111,0,120
2023-05-27T01:11:17,9,111,0,120
2023-05-27T01:23:06,9,111,0,120
2023-05-27T01:34:45,9,111,0,120
2023-05-27T01:46:24,9,111,0,120
2023-05-27T01:58:03,9,111,0,120
2023-05-27T02:09:41,9,111,0,120
2023-05-27T02:21:18,9,111,0,120
2023-05-27T02:32:56,9,111,0,120
2023-05-27T02:44:32,9,111,0,120
2023-05-27T02:56:08,9,111,0,120
2023-05-27T03:07:45,9,111,0,120
