time,enrolled,available,waitlisted,total
2023-05-25T01:24:26,0,60,0,60
2023-05-25T01:36:02,0,60,0,60
2023-05-25T01:47:46,0,60,0,60
2023-05-25T01:59:21,0,60,0,60
2023-05-25T02:10:57,0,60,0,60
2023-05-25T02:22:34,0,60,0,60
2023-05-25T02:34:08,0,60,0,60
2023-05-25T02:45:41,0,60,0,60
2023-05-25T02:57:14,0,60,0,60
2023-05-25T03:08:49,0,60,0,60
2023-05-25T03:20:28,0,60,0,60
2023-05-25T03:32:25,0,60,0,60
2023-05-25T03:44:02,0,60,0,60
2023-05-25T03:55:38,0,60,0,60
2023-05-25T04:27:01,0,60,0,60
2023-05-25T04:38:38,0,60,0,60
2023-05-25T04:50:14,0,60,0,60
2023-05-25T05:01:50,0,60,0,60
2023-05-25T05:13:27,0,60,0,60
2023-05-25T05:25:03,0,60,0,60
2023-05-25T05:36:39,0,60,0,60
2023-05-25T05:48:15,0,60,0,60
2023-05-25T05:59:52,0,60,0,60
2023-05-25T06:11:28,0,60,0,60
2023-05-25T06:23:03,0,60,0,60
2023-05-25T06:34:38,0,60,0,60
2023-05-25T06:46:13,0,60,0,60
2023-05-25T06:57:48,0,60,0,60
2023-05-25T07:09:24,0,60,0,60
2023-05-25T07:20:58,0,60,0,60
2023-05-25T07:32:32,0,60,0,60
2023-05-25T07:44:08,0,60,0,60
2023-05-25T07:55:44,0,60,0,60
2023-05-25T08:07:19,0,60,0,60
2023-05-25T08:18:54,0,60,0,60
2023-05-25T08:30:38,0,60,0,60
2023-05-25T08:42:11,0,60,0,60
2023-05-25T08:53:43,0,60,0,60
2023-05-25T09:05:17,0,60,0,60
2023-05-25T09:16:49,0,60,0,60
2023-05-25T09:28:22,0,60,0,60
2023-05-25T09:39:55,0,60,0,60
2023-05-25T09:51:27,0,60,0,60
2023-05-25T10:03:01,0,60,0,60
2023-05-25T10:14:45,0,60,0,60
2023-05-25T10:26:18,0,60,0,60
2023-05-25T10:37:51,0,60,0,60
2023-05-25T10:49:24,0,60,0,60
2023-05-25T11:01:06,0,60,0,60
2023-05-25T11:12:39,0,60,0,60
2023-05-25T11:24:12,0,60,0,60
2023-05-25T11:35:44,0,60,0,60
2023-05-25T11:47:17,0,60,0,60
2023-05-25T11:59:01,0,60,0,60
2023-05-25T12:10:34,0,60,0,60
2023-05-25T12:22:07,0,60,0,60
2023-05-25T12:33:40,0,60,0,60
2023-05-25T12:45:13,0,60,0,60
2023-05-25T12:56:46,0,60,0,60
2023-05-25T13:08:29,0,60,0,60
2023-05-25T13:20:01,0,60,0,60
2023-05-25T13:31:35,0,60,0,60
2023-05-25T13:43:08,0,60,0,60
2023-05-25T13:54:41,0,60,0,60
2023-05-25T14:06:26,0,60,0,60
2023-05-25T14:17:59,0,60,0,60
2023-05-25T14:29:32,0,60,0,60
2023-05-25T14:41:05,0,60,0,60
2023-05-25T14:52:39,0,60,0,60
2023-05-25T15:04:23,0,60,0,60
2023-05-25T15:15:57,0,60,0,60
2023-05-25T15:27:31,0,60,0,60
2023-05-25T15:39:06,0,60,0,60
2023-05-25T15:50:40,0,60,0,60
2023-05-25T16:02:15,0,60,0,60
2023-05-25T16:14:00,0,60,0,60
2023-05-25T16:25:36,0,60,0,60
2023-05-25T16:37:10,0,60,0,60
2023-05-25T16:48:46,0,60,0,60
2023-05-25T17:00:22,0,60,0,60
2023-05-25T17:11:59,0,60,0,60
2023-05-25T17:23:46,0,60,0,60
2023-05-25T17:35:21,0,60,0,60
2023-05-25T17:46:57,0,60,0,60
2023-05-25T17:58:32,0,60,0,60
2023-05-25T18:10:09,0,60,0,60
2023-05-25T18:21:45,0,60,0,60
2023-05-25T18:33:20,0,60,0,60
2023-05-25T18:45:05,0,60,0,60
2023-05-25T18:56:41,0,60,0,60
2023-05-25T19:08:18,0,60,0,60
2023-05-25T19:19:54,0,60,0,60
2023-05-25T19:31:29,0,60,0,60
2023-05-25T19:43:05,0,60,0,60
2023-05-25T19:54:51,0,60,0,60
2023-05-25T20:06:26,0,60,0,60
2023-05-25T20:18:02,0,60,0,60
2023-05-25T20:29:39,0,60,0,60
2023-05-25T20:41:14,0,60,0,60
2023-05-25T20:52:50,0,60,0,60
2023-05-25T21:04:25,0,60,0,60
2023-05-25T21:16:01,0,60,0,60
2023-05-25T21:27:48,0,60,0,60
2023-05-25T21:39:24,0,60,0,60
2023-05-25T21:51:00,0,60,0,60
2023-05-25T22:02:35,0,60,0,60
2023-05-25T22:14:10,0,60,0,60
2023-05-25T22:25:46,0,60,0,60
2023-05-25T22:37:22,0,60,0,60
2023-05-25T22:49:08,0,60,0,60
2023-05-25T23:00:43,0,60,0,60
2023-05-25T23:12:21,0,60,0,60
2023-05-25T23:23:57,0,60,0,60
2023-05-25T23:35:33,0,60,0,60
2023-05-25T23:47:09,0,60,0,60
2023-05-25T23:58:46,0,60,0,60
2023-05-26T00:10:42,0,60,0,60
2023-05-26T00:22:22,0,60,0,60
2023-05-26T00:34:01,0,60,0,60
2023-05-26T00:45:40,0,60,0,60
2023-05-26T00:57:18,0,60,0,60
2023-05-26T01:08:58,0,60,0,60
2023-05-26T01:20:37,0,60,0,60
2023-05-26T01:32:15,0,60,0,60
2023-05-26T01:44:03,0,60,0,60
2023-05-26T01:55:41,0,60,0,60
2023-05-26T02:07:23,0,60,0,60
2023-05-26T02:19:01,0,60,0,60
2023-05-26T02:30:37,0,60,0,60
2023-05-26T02:42:17,0,60,0,60
2023-05-26T02:54:06,0,60,0,60
2023-05-26T03:05:47,0,60,0,60
2023-05-26T03:17:28,0,60,0,60
2023-05-26T03:29:07,0,60,0,60
2023-05-26T03:40:45,0,60,0,60
2023-05-26T03:52:23,0,60,0,60
2023-05-26T04:04:02,0,60,0,60
2023-05-26T04:15:50,0,60,0,60
2023-05-26T04:38:14,0,60,0,60
2023-05-26T04:49:55,0,60,0,60
2023-05-26T05:01:35,0,60,0,60
2023-05-26T05:13:17,0,60,0,60
2023-05-26T05:24:56,0,60,0,60
2023-05-26T05:36:34,0,60,0,60
2023-05-26T05:48:14,0,60,0,60
2023-05-26T05:59:52,0,60,0,60
2023-05-26T06:11:31,0,60,0,60
2023-05-26T06:23:11,0,60,0,60
2023-05-26T06:34:49,0,60,0,60
2023-05-26T06:46:28,0,60,0,60
2023-05-26T06:58:06,0,60,0,60
2023-05-26T07:09:44,0,60,0,60
2023-05-26T07:21:23,0,60,0,60
2023-05-26T07:33:09,0,60,0,60
2023-05-26T07:44:46,0,60,0,60
2023-05-26T07:56:24,0,60,0,60
2023-05-26T08:07:59,0,60,0,60
2023-05-26T08:19:36,0,60,0,60
2023-05-26T08:31:12,0,60,0,60
2023-05-26T08:42:48,0,60,0,60
2023-05-26T08:54:24,0,60,0,60
2023-05-26T09:06:00,0,60,0,60
2023-05-26T09:17:37,0,60,0,60
2023-05-26T09:29:13,0,60,0,60
2023-05-26T09:41:00,1,59,0,60
2023-05-26T09:52:36,3,57,0,60
2023-05-26T10:04:12,3,57,0,60
2023-05-26T10:15:49,3,57,0,60
2023-05-26T10:27:25,3,57,0,60
2023-05-26T10:39:13,3,57,0,60
2023-05-26T10:50:49,3,57,0,60
2023-05-26T11:02:26,3,57,0,60
2023-05-26T11:14:03,4,56,0,60
2023-05-26T11:25:39,4,56,0,60
2023-05-26T11:37:15,4,56,0,60
2023-05-26T11:49:01,4,56,0,60
2023-05-26T12:00:37,4,56,0,60
2023-05-26T12:12:14,5,55,0,60
2023-05-26T12:23:49,5,55,0,60
2023-05-26T12:35:26,5,55,0,60
2023-05-26T12:47:13,5,55,0,60
2023-05-26T12:58:48,5,55,0,60
2023-05-26T13:10:25,6,54,0,60
2023-05-26T13:22:00,6,54,0,60
2023-05-26T13:33:47,6,54,0,60
2023-05-26T13:45:23,6,54,0,60
2023-05-26T13:56:58,6,54,0,60
2023-05-26T14:08:34,6,54,0,60
2023-05-26T14:20:10,6,54,0,60
2023-05-26T14:31:58,6,54,0,60
2023-05-26T14:43:34,6,54,0,60
2023-05-26T14:55:10,6,54,0,60
2023-05-26T15:06:48,6,54,0,60
2023-05-26T15:18:24,6,54,0,60
2023-05-26T15:30:10,6,54,0,60
2023-05-26T15:41:46,6,54,0,60
2023-05-26T15:53:22,6,54,0,60
2023-05-26T16:04:58,6,54,0,60
2023-05-26T16:16:33,6,54,0,60
2023-05-26T16:28:09,6,54,0,60
2023-05-26T16:39:55,6,54,0,60
2023-05-26T16:51:30,6,54,0,60
2023-05-26T17:03:06,6,54,0,60
2023-05-26T17:14:43,6,54,0,60
2023-05-26T17:26:19,6,54,0,60
2023-05-26T17:37:55,6,54,0,60
2023-05-26T17:49:40,6,54,0,60
2023-05-26T18:01:16,6,54,0,60
2023-05-26T18:12:52,6,54,0,60
2023-05-26T18:24:28,6,54,0,60
2023-05-26T18:36:03,6,54,0,60
2023-05-26T18:47:38,6,54,0,60
2023-05-26T18:59:25,6,54,0,60
2023-05-26T19:11:02,6,54,0,60
2023-05-26T19:22:37,6,54,0,60
2023-05-26T19:34:13,6,54,0,60
2023-05-26T19:45:49,6,54,0,60
2023-05-26T19:57:24,6,54,0,60
2023-05-26T20:09:00,6,54,0,60
2023-05-26T20:20:46,6,54,0,60
2023-05-26T20:32:22,6,54,0,60
2023-05-26T20:43:57,6,54,0,60
2023-05-26T20:55:32,6,54,0,60
2023-05-26T21:07:08,6,54,0,60
2023-05-26T21:18:45,6,54,0,60
2023-05-26T21:30:21,6,54,0,60
2023-05-26T21:42:07,6,54,0,60
2023-05-26T21:53:43,6,54,0,60
2023-05-26T22:05:19,6,54,0,60
2023-05-26T22:16:55,6,54,0,60
2023-05-26T22:28:31,6,54,0,60
2023-05-26T22:40:07,6,54,0,60
2023-05-26T22:51:43,6,54,0,60
2023-05-26T23:03:22,6,54,0,60
2023-05-26T23:15:08,6,54,0,60
2023-05-26T23:26:44,6,54,0,60
2023-05-26T23:38:21,6,54,0,60
2023-05-26T23:49:57,6,54,0,60
2023-05-27T00:01:33,6,54,0,60
2023-05-27T00:13:12,6,54,0,60
2023-05-27T00:24:53,6,54,0,60
2023-05-27T00:36:31,6,54,0,60
2023-05-27T00:48:10,6,54,0,60
2023-05-27T00:59:49,6,54,0,60
2023-05-27T01:11:28,6,54,0,60
2023-05-27T01:23:17,6,54,0,60
2023-05-27T01:34:55,6,54,0,60
2023-05-27T01:46:35,6,54,0,60
2023-05-27T01:58:14,6,54,0,60
2023-05-27T02:09:51,6,54,0,60
2023-05-27T02:21:29,6,54,0,60
2023-05-27T02:33:06,6,54,0,60
2023-05-27T02:44:43,6,54,0,60
2023-05-27T02:56:19,7,53,0,60
2023-05-27T03:07:56,7,53,0,60
2023-05-27T03:19:34,7,53,0,60
2023-05-27T03:31:11,7,53,0,60
2023-05-27T03:42:48,7,53,0,60
2023-05-27T03:54:26,7,53,0,60
2023-05-27T04:06:05,7,53,0,60
2023-05-27T04:17:59,7,53,0,60
2023-05-27T04:40:35,7,53,0,60
2023-05-27T04:52:31,7,53,0,60
2023-05-27T05:04:11,7,53,0,60
2023-05-27T05:15:50,7,53,0,60
2023-05-27T05:27:28,7,53,0,60
2023-05-27T05:39:08,7,53,0,60
2023-05-27T05:50:47,7,53,0,60
2023-05-27T06:02:26,7,53,0,60
2023-05-27T06:14:04,7,53,0,60
2023-05-27T06:25:45,7,53,0,60
2023-05-27T06:37:24,7,53,0,60
2023-05-27T06:49:02,7,53,0,60
2023-05-27T07:00:40,7,53,0,60
2023-05-27T07:12:19,7,53,0,60
2023-05-27T07:23:56,7,53,0,60
2023-05-27T07:35:34,7,53,0,60
2023-05-27T07:47:11,7,53,0,60
2023-05-27T07:59:02,7,53,0,60
2023-05-27T08:10:40,7,53,0,60
2023-05-27T08:22:17,7,53,0,60
2023-05-27T08:33:56,7,53,0,60
2023-05-27T08:45:34,7,53,0,60
2023-05-27T08:57:12,7,53,0,60
2023-05-27T09:08:50,7,53,0,60
2023-05-27T09:20:27,7,53,0,60
2023-05-27T09:32:07,7,53,0,60
2023-05-27T09:43:44,7,53,0,60
2023-05-27T09:55:22,7,53,0,60
2023-05-27T10:07:17,7,53,0,60
2023-05-27T10:18:53,7,53,0,60
2023-05-27T10:30:31,7,53,0,60
2023-05-27T10:42:08,7,53,0,60
2023-05-27T10:53:45,7,53,0,60
