time,enrolled,available,waitlisted,total
2023-05-25T01:24:37,0,15,0,15
2023-05-25T01:36:13,0,15,0,15
2023-05-25T01:47:57,0,15,0,15
2023-05-25T01:59:32,0,15,0,15
2023-05-25T02:11:08,0,15,0,15
2023-05-25T02:22:45,0,15,0,15
2023-05-25T02:34:19,0,15,0,15
2023-05-25T02:45:52,0,15,0,15
2023-05-25T02:57:25,0,15,0,15
2023-05-25T03:09:00,0,15,0,15
2023-05-25T03:20:39,0,15,0,15
2023-05-25T03:32:37,0,15,0,15
2023-05-25T03:44:13,0,15,0,15
2023-05-25T03:55:49,0,15,0,15
2023-05-25T04:27:12,0,15,0,15
2023-05-25T04:38:49,0,15,0,15
2023-05-25T04:50:25,0,15,0,15
2023-05-25T05:02:01,0,15,0,15
2023-05-25T05:13:38,0,15,0,15
2023-05-25T05:25:14,0,15,0,15
2023-05-25T05:36:50,0,15,0,15
2023-05-25T05:48:27,0,15,0,15
2023-05-25T06:00:03,0,15,0,15
2023-05-25T06:11:39,0,15,0,15
2023-05-25T06:23:14,0,15,0,15
2023-05-25T06:34:49,0,15,0,15
2023-05-25T06:46:24,0,15,0,15
2023-05-25T06:57:59,0,15,0,15
2023-05-25T07:09:35,0,15,0,15
2023-05-25T07:21:09,0,15,0,15
2023-05-25T07:32:43,0,15,0,15
2023-05-25T07:44:19,0,15,0,15
2023-05-25T07:55:55,0,15,0,15
2023-05-25T08:07:30,0,15,0,15
2023-05-25T08:19:05,0,15,0,15
2023-05-25T08:30:49,0,15,0,15
2023-05-25T08:42:22,0,15,0,15
2023-05-25T08:53:54,0,15,0,15
2023-05-25T09:05:28,0,15,0,15
2023-05-25T09:17:00,0,15,0,15
2023-05-25T09:28:33,0,15,0,15
2023-05-25T09:40:06,0,15,0,15
2023-05-25T09:51:38,0,15,0,15
2023-05-25T10:03:12,0,15,0,15
2023-05-25T10:14:56,0,15,0,15
2023-05-25T10:26:29,0,15,0,15
2023-05-25T10:38:02,0,15,0,15
2023-05-25T10:49:35,0,15,0,15
2023-05-25T11:01:17,0,15,0,15
2023-05-25T11:12:50,0,15,0,15
2023-05-25T11:24:23,0,15,0,15
2023-05-25T11:35:55,0,15,0,15
2023-05-25T11:47:28,0,15,0,15
2023-05-25T11:59:12,0,15,0,15
2023-05-25T12:10:45,0,15,0,15
2023-05-25T12:22:18,0,15,0,15
2023-05-25T12:33:51,0,15,0,15
2023-05-25T12:45:24,0,15,0,15
2023-05-25T12:56:57,0,15,0,15
2023-05-25T13:08:40,0,15,0,15
2023-05-25T13:20:12,0,15,0,15
2023-05-25T13:31:46,0,15,0,15
2023-05-25T13:43:19,0,15,0,15
2023-05-25T13:54:52,0,15,0,15
2023-05-25T14:06:37,0,15,0,15
2023-05-25T14:18:10,0,15,0,15
2023-05-25T14:29:43,0,15,0,15
2023-05-25T14:41:16,0,15,0,15
2023-05-25T14:52:50,0,15,0,15
2023-05-25T15:04:34,0,15,0,15
2023-05-25T15:16:08,0,15,0,15
2023-05-25T15:27:42,0,15,0,15
2023-05-25T15:39:17,0,15,0,15
2023-05-25T15:50:51,0,15,0,15
2023-05-25T16:02:26,0,15,0,15
2023-05-25T16:14:12,0,15,0,15
2023-05-25T16:25:47,0,15,0,15
2023-05-25T16:37:22,0,15,0,15
2023-05-25T16:48:57,0,15,0,15
2023-05-25T17:00:33,0,15,0,15
2023-05-25T17:12:10,0,15,0,15
2023-05-25T17:23:57,0,15,0,15
2023-05-25T17:35:32,0,15,0,15
2023-05-25T17:47:08,0,15,0,15
2023-05-25T17:58:43,0,15,0,15
2023-05-25T18:10:20,0,15,0,15
2023-05-25T18:21:56,0,15,0,15
2023-05-25T18:33:31,0,15,0,15
2023-05-25T18:45:17,0,15,0,15
2023-05-25T18:56:52,0,15,0,15
2023-05-25T19:08:29,0,15,0,15
2023-05-25T19:20:05,0,15,0,15
2023-05-25T19:31:40,0,15,0,15
2023-05-25T19:43:16,0,15,0,15
2023-05-25T19:55:02,0,15,0,15
2023-05-25T20:06:37,0,15,0,15
2023-05-25T20:18:13,0,15,0,15
2023-05-25T20:29:50,0,15,0,15
2023-05-25T20:41:25,0,15,0,15
2023-05-25T20:53:01,0,15,0,15
2023-05-25T21:04:36,0,15,0,15
2023-05-25T21:16:13,0,15,0,15
2023-05-25T21:27:59,0,15,0,15
2023-05-25T21:39:35,0,15,0,15
2023-05-25T21:51:11,0,15,0,15
2023-05-25T22:02:46,0,15,0,15
2023-05-25T22:14:21,0,15,0,15
2023-05-25T22:25:57,0,15,0,15
2023-05-25T22:37:33,0,15,0,15
2023-05-25T22:49:19,0,15,0,15
2023-05-25T23:00:54,0,15,0,15
2023-05-25T23:12:33,0,15,0,15
2023-05-25T23:24:08,0,15,0,15
2023-05-25T23:35:44,0,15,0,15
2023-05-25T23:47:20,0,15,0,15
2023-05-25T23:58:57,0,15,0,15
2023-05-26T00:10:53,0,15,0,15
2023-05-26T00:22:34,0,15,0,15
2023-05-26T00:34:13,0,15,0,15
2023-05-26T00:45:51,0,15,0,15
2023-05-26T00:57:30,0,15,0,15
2023-05-26T01:09:09,0,15,0,15
2023-05-26T01:20:48,0,15,0,15
2023-05-26T01:32:26,0,15,0,15
2023-05-26T01:44:14,0,15,0,15
2023-05-26T01:55:53,0,15,0,15
2023-05-26T02:07:34,0,15,0,15
2023-05-26T02:19:12,0,15,0,15
2023-05-26T02:30:49,0,15,0,15
2023-05-26T02:42:28,0,15,0,15
2023-05-26T02:54:18,0,15,0,15
2023-05-26T03:05:58,0,15,0,15
2023-05-26T03:17:39,0,15,0,15
2023-05-26T03:29:18,0,15,0,15
2023-05-26T03:40:56,0,15,0,15
2023-05-26T03:52:34,0,15,0,15
2023-05-26T04:04:13,0,15,0,15
2023-05-26T04:16:01,0,15,0,15
2023-05-26T04:38:25,0,15,0,15
2023-05-26T04:50:06,0,15,0,15
2023-05-26T05:01:47,0,15,0,15
2023-05-26T05:13:28,0,15,0,15
2023-05-26T05:25:07,0,15,0,15
2023-05-26T05:36:45,0,15,0,15
2023-05-26T05:48:25,0,15,0,15
2023-05-26T06:00:04,0,15,0,15
2023-05-26T06:11:43,0,15,0,15
2023-05-26T06:23:22,0,15,0,15
2023-05-26T06:35:00,0,15,0,15
2023-05-26T06:46:39,0,15,0,15
2023-05-26T06:58:17,0,15,0,15
2023-05-26T07:09:56,0,15,0,15
2023-05-26T07:21:34,0,15,0,15
2023-05-26T07:33:20,0,15,0,15
2023-05-26T07:44:57,0,15,0,15
2023-05-26T07:56:35,0,15,0,15
2023-05-26T08:08:10,0,15,0,15
2023-05-26T08:19:47,0,15,0,15
2023-05-26T08:31:23,0,15,0,15
2023-05-26T08:42:59,0,15,0,15
2023-05-26T08:54:35,0,15,0,15
2023-05-26T09:06:11,0,15,0,15
2023-05-26T09:17:48,0,15,0,15
2023-05-26T09:29:24,0,15,0,15
2023-05-26T09:41:11,0,15,0,15
2023-05-26T09:52:47,1,14,0,15
2023-05-26T10:04:23,1,14,0,15
2023-05-26T10:16:00,1,14,0,15
2023-05-26T10:27:36,1,14,0,15
2023-05-26T10:39:24,1,14,0,15
2023-05-26T10:51:00,1,14,0,15
2023-05-26T11:02:37,1,14,0,15
2023-05-26T11:14:14,1,14,0,15
2023-05-26T11:25:50,1,14,0,15
2023-05-26T11:37:26,1,14,0,15
2023-05-26T11:49:12,1,14,0,15
2023-05-26T12:00:48,1,14,0,15
2023-05-26T12:12:25,1,14,0,15
2023-05-26T12:24:00,1,14,0,15
2023-05-26T12:35:37,1,14,0,15
2023-05-26T12:47:24,1,14,0,15
2023-05-26T12:59:00,1,14,0,15
2023-05-26T13:10:36,1,14,0,15
2023-05-26T13:22:11,1,14,0,15
2023-05-26T13:33:58,1,14,0,15
2023-05-26T13:45:34,1,14,0,15
2023-05-26T13:57:09,1,14,0,15
2023-05-26T14:08:46,1,14,0,15
2023-05-26T14:20:21,1,14,0,15
2023-05-26T14:32:09,2,13,0,15
2023-05-26T14:43:45,2,13,0,15
2023-05-26T14:55:21,2,13,0,15
2023-05-26T15:06:59,2,13,0,15
2023-05-26T15:18:35,3,12,0,15
2023-05-26T15:30:21,3,12,0,15
2023-05-26T15:41:57,3,12,0,15
2023-05-26T15:53:33,3,12,0,15
2023-05-26T16:05:09,3,12,0,15
2023-05-26T16:16:45,3,12,0,15
2023-05-26T16:28:20,3,12,0,15
2023-05-26T16:40:06,3,12,0,15
2023-05-26T16:51:42,3,12,0,15
2023-05-26T17:03:17,3,12,0,15
2023-05-26T17:14:55,3,12,0,15
2023-05-26T17:26:30,3,12,0,15
2023-05-26T17:38:06,3,12,0,15
2023-05-26T17:49:52,3,12,0,15
2023-05-26T18:01:27,3,12,0,15
2023-05-26T18:13:03,3,12,0,15
2023-05-26T18:24:39,3,12,0,15
2023-05-26T18:36:14,3,12,0,15
2023-05-26T18:47:50,3,12,0,15
2023-05-26T18:59:36,3,12,0,15
2023-05-26T19:11:13,3,12,0,15
2023-05-26T19:22:49,3,12,0,15
2023-05-26T19:34:25,3,12,0,15
2023-05-26T19:46:00,3,12,0,15
2023-05-26T19:57:35,3,12,0,15
2023-05-26T20:09:11,3,12,0,15
2023-05-26T20:20:57,3,12,0,15
2023-05-26T20:32:33,3,12,0,15
2023-05-26T20:44:08,3,12,0,15
2023-05-26T20:55:43,3,12,0,15
2023-05-26T21:07:19,4,11,0,15
2023-05-26T21:18:56,4,11,0,15
2023-05-26T21:30:32,4,11,0,15
2023-05-26T21:42:18,4,11,0,15
2023-05-26T21:53:55,4,11,0,15
2023-05-26T22:05:30,4,11,0,15
2023-05-26T22:17:06,4,11,0,15
2023-05-26T22:28:42,4,11,0,15
2023-05-26T22:40:18,4,11,0,15
2023-05-26T22:51:54,4,11,0,15
2023-05-26T23:03:33,4,11,0,15
2023-05-26T23:15:19,4,11,0,15
2023-05-26T23:26:55,4,11,0,15
2023-05-26T23:38:32,4,11,0,15
2023-05-26T23:50:08,4,11,0,15
2023-05-27T00:01:44,4,11,0,15
2023-05-27T00:13:24,4,11,0,15
