time,enrolled,available,waitlisted,total
2023-05-25T01:24:39,0,146,0,146
2023-05-25T01:36:15,0,146,0,146
2023-05-25T01:47:59,0,146,0,146
2023-05-25T01:59:35,0,146,0,146
2023-05-25T02:11:11,0,146,0,146
2023-05-25T02:22:47,0,146,0,146
2023-05-25T02:34:21,0,146,0,146
2023-05-25T02:45:55,0,146,0,146
2023-05-25T02:57:28,0,146,0,146
2023-05-25T03:09:02,0,146,0,146
2023-05-25T03:20:41,0,146,0,146
2023-05-25T03:32:39,0,146,0,146
2023-05-25T03:44:16,0,146,0,146
2023-05-25T03:55:51,0,146,0,146
2023-05-25T04:27:15,0,146,0,146
2023-05-25T04:38:51,0,146,0,146
2023-05-25T04:50:27,0,146,0,146
2023-05-25T05:02:03,0,146,0,146
2023-05-25T05:13:41,0,146,0,146
2023-05-25T05:25:16,0,146,0,146
2023-05-25T05:36:53,0,146,0,146
2023-05-25T05:48:29,0,146,0,146
2023-05-25T06:00:06,0,146,0,146
2023-05-25T06:11:41,0,146,0,146
2023-05-25T06:23:16,0,146,0,146
2023-05-25T06:34:51,0,146,0,146
2023-05-25T06:46:26,0,146,0,146
2023-05-25T06:58:01,0,146,0,146
2023-05-25T07:09:37,0,146,0,146
2023-05-25T07:21:12,0,146,0,146
2023-05-25T07:32:46,0,146,0,146
2023-05-25T07:44:22,0,146,0,146
2023-05-25T07:55:58,0,146,0,146
2023-05-25T08:07:33,0,146,0,146
2023-05-25T08:19:07,0,146,0,146
2023-05-25T08:30:52,0,146,0,146
2023-05-25T08:42:24,0,146,0,146
2023-05-25T08:53:56,0,146,0,146
2023-05-25T09:05:30,0,146,0,146
2023-05-25T09:17:03,0,146,0,146
2023-05-25T09:28:36,0,146,0,146
2023-05-25T09:40:08,0,146,0,146
2023-05-25T09:51:41,0,146,0,146
2023-05-25T10:03:14,0,146,0,146
2023-05-25T10:14:59,0,146,0,146
2023-05-25T10:26:32,0,146,0,146
2023-05-25T10:38:05,0,146,0,146
2023-05-25T10:49:37,0,146,0,146
2023-05-25T11:01:20,0,146,0,146
2023-05-25T11:12:52,0,146,0,146
2023-05-25T11:24:25,0,146,0,146
2023-05-25T11:35:58,0,146,0,146
2023-05-25T11:47:31,0,146,0,146
2023-05-25T11:59:15,0,146,0,146
2023-05-25T12:10:48,0,146,0,146
2023-05-25T12:22:21,0,146,0,146
2023-05-25T12:33:54,0,146,0,146
2023-05-25T12:45:27,0,146,0,146
2023-05-25T12:56:59,0,146,0,146
2023-05-25T13:08:42,0,146,0,146
2023-05-25T13:20:15,0,146,0,146
2023-05-25T13:31:48,0,146,0,146
