time,enrolled,available,waitlisted,total
2023-05-25T01:24:31,0,66,0,66
2023-05-25T01:36:07,0,66,0,66
2023-05-25T01:47:51,0,66,0,66
2023-05-25T01:59:27,0,66,0,66
2023-05-25T02:11:03,0,66,0,66
2023-05-25T02:22:39,0,66,0,66
2023-05-25T02:34:13,0,66,0,66
2023-05-25T02:45:47,0,66,0,66
2023-05-25T02:57:20,0,66,0,66
2023-05-25T03:08:54,0,66,0,66
2023-05-25T03:20:33,0,66,0,66
2023-05-25T03:32:31,0,66,0,66
2023-05-25T03:44:08,0,66,0,66
2023-05-25T03:55:43,0,66,0,66
2023-05-25T04:27:07,0,66,0,66
2023-05-25T04:38:43,0,66,0,66
2023-05-25T04:50:19,0,66,0,66
2023-05-25T05:01:55,0,66,0,66
2023-05-25T05:13:32,0,66,0,66
2023-05-25T05:25:08,0,66,0,66
2023-05-25T05:36:45,0,66,0,66
2023-05-25T05:48:21,0,66,0,66
2023-05-25T05:59:58,0,66,0,66
2023-05-25T06:11:33,0,66,0,66
2023-05-25T06:23:08,0,66,0,66
2023-05-25T06:34:43,0,66,0,66
2023-05-25T06:46:18,0,66,0,66
2023-05-25T06:57:53,0,66,0,66
2023-05-25T07:09:29,0,66,0,66
2023-05-25T07:21:04,0,66,0,66
2023-05-25T07:32:38,0,66,0,66
2023-05-25T07:44:14,0,66,0,66
2023-05-25T07:55:50,0,66,0,66
2023-05-25T08:07:25,0,66,0,66
2023-05-25T08:18:59,0,66,0,66
2023-05-25T08:30:44,0,66,0,66
2023-05-25T08:42:16,0,66,0,66
2023-05-25T08:53:48,0,66,0,66
2023-05-25T09:05:22,0,66,0,66
2023-05-25T09:16:55,0,66,0,66
2023-05-25T09:28:28,0,66,0,66
2023-05-25T09:40:00,0,66,0,66
2023-05-25T09:51:33,0,66,0,66
2023-05-25T10:03:06,0,66,0,66
2023-05-25T10:14:51,0,66,0,66
2023-05-25T10:26:24,0,66,0,66
2023-05-25T10:37:57,0,66,0,66
2023-05-25T10:49:29,0,66,0,66
2023-05-25T11:01:12,0,66,0,66
2023-05-25T11:12:44,0,66,0,66
2023-05-25T11:24:17,0,66,0,66
2023-05-25T11:35:50,0,66,0,66
2023-05-25T11:47:23,0,66,0,66
2023-05-25T11:59:07,0,66,0,66
2023-05-25T12:10:40,0,66,0,66
2023-05-25T12:22:13,0,66,0,66
2023-05-25T12:33:45,0,66,0,66
2023-05-25T12:45:18,0,66,0,66
2023-05-25T12:56:51,0,66,0,66
2023-05-25T13:08:34,0,66,0,66
2023-05-25T13:20:07,0,66,0,66
2023-05-25T13:31:40,0,66,0,66
2023-05-25T13:43:13,0,66,0,66
2023-05-25T13:54:47,0,66,0,66
2023-05-25T14:06:31,0,66,0,66
2023-05-25T14:18:05,0,66,0,66
2023-05-25T14:29:38,0,66,0,66
2023-05-25T14:41:11,0,66,0,66
2023-05-25T14:52:44,0,66,0,66
2023-05-25T15:04:28,0,66,0,66
2023-05-25T15:16:02,0,66,0,66
2023-05-25T15:27:37,0,66,0,66
2023-05-25T15:39:11,0,66,0,66
2023-05-25T15:50:46,0,66,0,66
2023-05-25T16:02:21,0,66,0,66
2023-05-25T16:14:06,0,66,0,66
2023-05-25T16:25:41,0,66,0,66
2023-05-25T16:37:16,0,66,0,66
2023-05-25T16:48:52,0,66,0,66
2023-05-25T17:00:27,0,66,0,66
2023-05-25T17:12:04,0,66,0,66
2023-05-25T17:23:51,0,66,0,66
2023-05-25T17:35:26,0,66,0,66
2023-05-25T17:47:02,0,66,0,66
2023-05-25T17:58:38,0,66,0,66
2023-05-25T18:10:15,0,66,0,66
2023-05-25T18:21:50,0,66,0,66
2023-05-25T18:33:26,0,66,0,66
2023-05-25T18:45:11,0,66,0,66
2023-05-25T18:56:47,0,66,0,66
2023-05-25T19:08:23,0,66,0,66
2023-05-25T19:19:59,0,66,0,66
2023-05-25T19:31:35,0,66,0,66
2023-05-25T19:43:11,0,66,0,66
2023-05-25T19:54:56,0,66,0,66
2023-05-25T20:06:32,0,66,0,66
2023-05-25T20:18:08,0,66,0,66
2023-05-25T20:29:44,0,66,0,66
2023-05-25T20:41:20,0,66,0,66
2023-05-25T20:52:55,0,66,0,66
2023-05-25T21:04:31,0,66,0,66
2023-05-25T21:16:07,0,66,0,66
2023-05-25T21:27:54,0,66,0,66
