time,enrolled,available,waitlisted,total
2023-09-26T09:48:55,0,9999,0,9999
2023-09-26T10:02:08,0,9999,0,9999
2023-09-26T10:15:09,0,9999,0,9999
2023-09-26T10:28:11,0,9999,0,9999
2023-09-26T10:41:14,0,9999,0,9999
2023-09-26T10:54:17,0,9999,0,9999
2023-09-26T11:07:30,0,9999,0,9999
2023-09-26T11:20:32,0,9999,0,9999
2023-09-26T11:33:34,0,9999,0,9999
2023-09-26T11:46:50,0,9999,0,9999
2023-09-26T11:59:52,0,9999,0,9999
2023-09-26T12:12:54,0,9999,0,9999
2023-09-26T12:26:06,0,9999,0,9999
2023-09-26T12:39:08,0,9999,0,9999
2023-09-26T12:52:09,0,9999,0,9999
2023-09-26T13:05:10,0,9999,0,9999
2023-09-26T13:18:23,0,9999,0,9999
2023-09-26T13:31:25,0,9999,0,9999
2023-09-26T13:44:27,0,9999,0,9999
2023-09-26T13:57:30,0,9999,0,9999
2023-09-26T14:10:42,0,9999,0,9999
2023-09-26T14:23:44,0,9999,0,9999
2023-09-26T14:36:46,0,9999,0,9999
2023-09-26T14:49:48,0,9999,0,9999
2023-09-26T15:03:01,0,9999,0,9999
2023-09-26T15:16:03,0,9999,0,9999
2023-09-26T15:29:05,0,9999,0,9999
2023-09-26T15:42:08,0,9999,0,9999
2023-09-26T15:55:20,0,9999,0,9999
2023-09-26T16:08:23,0,9999,0,9999
2023-09-26T16:21:25,0,9999,0,9999
2023-09-26T16:34:27,0,9999,0,9999
2023-09-26T16:47:29,0,9999,0,9999
2023-09-26T17:00:44,0,9999,0,9999
2023-09-26T17:13:48,0,9999,0,9999
2023-09-26T17:26:50,0,9999,0,9999
2023-09-26T17:39:52,0,9999,0,9999
2023-09-26T17:53:06,0,9999,0,9999
2023-09-26T18:06:08,0,9999,0,9999
2023-09-26T18:19:09,0,9999,0,9999
2023-09-26T18:32:12,0,9999,0,9999
2023-09-26T18:45:13,0,9999,0,9999
2023-09-26T18:58:26,0,9999,0,9999
2023-09-26T19:11:29,0,9999,0,9999
2023-09-26T19:24:31,0,9999,0,9999
2023-09-26T19:37:33,0,9999,0,9999
2023-09-26T19:50:35,0,9999,0,9999
2023-09-26T20:03:48,0,9999,0,9999
2023-09-26T20:16:50,0,9999,0,9999
2023-09-26T20:29:53,0,9999,0,9999
2023-09-26T20:42:55,0,9999,0,9999
2023-09-26T20:55:56,0,9999,0,9999
2023-09-26T21:08:58,0,9999,0,9999
2023-09-26T21:22:12,0,9999,0,9999
2023-09-26T21:35:13,0,9999,0,9999
2023-09-26T21:48:16,0,9999,0,9999
2023-09-26T22:01:17,0,9999,0,9999
2023-09-26T22:14:19,0,9999,0,9999
2023-09-26T22:27:32,0,9999,0,9999
2023-09-26T22:40:35,0,9999,0,9999
2023-09-26T22:53:37,0,9999,0,9999
2023-09-26T23:06:40,0,9999,0,9999
2023-09-26T23:19:43,0,9999,0,9999
2023-09-26T23:32:45,0,9999,0,9999
2023-09-26T23:45:58,0,9999,0,9999
2023-09-26T23:59:05,0,9999,0,9999
2023-09-27T00:12:15,0,9999,0,9999
2023-09-27T00:25:25,0,9999,0,9999
2023-09-27T00:38:30,0,9999,0,9999
2023-09-27T00:51:38,0,9999,0,9999
2023-09-27T01:04:46,0,9999,0,9999
2023-09-27T01:18:03,0,9999,0,9999
2023-09-27T01:31:10,0,9999,0,9999
2023-09-27T01:44:17,0,9999,0,9999
2023-09-27T01:57:26,0,9999,0,9999
2023-09-27T02:10:37,0,9999,0,9999
2023-09-27T02:23:42,0,9999,0,9999
2023-09-27T02:36:46,0,9999,0,9999
2023-09-27T02:49:51,0,9999,0,9999
2023-09-27T03:02:59,0,9999,0,9999
2023-09-27T03:16:07,0,9999,0,9999
2023-09-27T03:29:15,0,9999,0,9999
2023-09-27T03:42:22,0,9999,0,9999
2023-09-27T03:55:30,0,9999,0,9999
2023-09-27T04:08:38,0,9999,0,9999
2023-09-27T04:22:46,0,9999,0,9999
2023-09-27T04:35:55,0,9999,0,9999
2023-09-27T04:50:21,0,9999,0,9999
2023-09-27T05:03:45,0,9999,0,9999
2023-09-27T05:16:53,0,9999,0,9999
2023-09-27T05:30:00,0,9999,0,9999
2023-09-27T05:43:07,0,9999,0,9999
2023-09-27T05:56:15,0,9999,0,9999
2023-09-27T06:09:20,0,9999,0,9999
2023-09-27T06:22:26,0,9999,0,9999
2023-09-27T06:35:32,0,9999,0,9999
2023-09-27T06:48:38,0,9999,0,9999
2023-09-27T07:01:46,0,9999,0,9999
2023-09-27T07:14:53,0,9999,0,9999
2023-09-27T07:27:58,0,9999,0,9999
2023-09-27T07:41:02,0,9999,0,9999
2023-09-27T07:54:05,0,9999,0,9999
2023-09-27T08:07:09,0,9999,0,9999
2023-09-27T08:20:22,0,9999,0,9999
2023-09-27T08:33:26,0,9999,0,9999
2023-09-27T08:46:29,0,9999,0,9999
2023-09-27T08:59:31,0,9999,0,9999
2023-09-27T09:12:36,0,9999,0,9999
2023-09-27T09:25:39,0,9999,0,9999
2023-09-27T09:38:41,0,9999,0,9999
2023-09-27T09:51:54,0,9999,0,9999
2023-09-27T10:04:56,0,9999,0,9999
2023-09-27T10:17:58,0,9999,0,9999
2023-09-27T10:31:03,0,9999,0,9999
2023-09-27T10:44:17,0,9999,0,9999
2023-09-27T10:57:19,0,9999,0,9999
2023-09-27T11:10:22,0,9999,0,9999
2023-09-27T11:23:36,0,9999,0,9999
2023-09-27T11:36:39,0,9999,0,9999
2023-09-27T11:49:42,0,9999,0,9999
2023-09-27T12:02:58,0,9999,0,9999
2023-09-27T12:16:00,0,9999,0,9999
2023-09-27T12:29:03,0,9999,0,9999
2023-09-27T12:42:07,0,9999,0,9999
2023-09-27T12:55:21,0,9999,0,9999
2023-09-27T13:08:24,0,9999,0,9999
2023-09-27T13:21:39,0,9999,0,9999
2023-09-27T13:34:43,0,9999,0,9999
2023-09-27T13:47:46,0,9999,0,9999
2023-09-27T14:00:59,0,9999,0,9999
2023-09-27T14:14:02,0,9999,0,9999
2023-09-27T14:27:05,0,9999,0,9999
2023-09-27T14:40:20,0,9999,0,9999
2023-09-27T14:53:23,0,9999,0,9999
2023-09-27T15:06:25,0,9999,0,9999
2023-09-27T15:19:39,0,9999,0,9999
2023-09-27T15:32:42,0,9999,0,9999
2023-09-27T15:45:45,0,9999,0,9999
2023-09-27T15:58:49,0,9999,0,9999
2023-09-27T16:12:02,0,9999,0,9999
2023-09-27T16:25:04,0,9999,0,9999
2023-09-27T16:38:07,0,9999,0,9999
2023-09-27T16:51:23,0,9999,0,9999
2023-09-27T17:04:27,0,9999,0,9999
2023-09-27T17:17:32,0,9999,0,9999
2023-09-27T17:30:47,0,9999,0,9999
2023-09-27T17:43:50,0,9999,0,9999
2023-09-27T17:56:52,0,9999,0,9999
2023-09-27T18:10:06,0,9999,0,9999
2023-09-27T18:23:09,0,9999,0,9999
2023-09-27T18:36:11,0,9999,0,9999
2023-09-27T18:49:24,0,9999,0,9999
2023-09-27T19:02:27,0,9999,0,9999
2023-09-27T19:15:30,0,9999,0,9999
2023-09-27T19:28:48,0,9999,0,9999
2023-09-27T19:41:50,0,9999,0,9999
2023-09-27T19:54:53,0,9999,0,9999
2023-09-27T20:07:55,0,9999,0,9999
2023-09-27T20:21:09,0,9999,0,9999
2023-09-27T20:34:11,0,9999,0,9999
2023-09-27T20:47:13,0,9999,0,9999
2023-09-27T21:00:28,0,9999,0,9999
2023-09-27T21:13:30,0,9999,0,9999
2023-09-27T21:26:34,0,9999,0,9999
2023-09-27T21:39:47,0,9999,0,9999
2023-09-27T21:52:50,0,9999,0,9999
2023-09-27T22:06:05,0,9999,0,9999
2023-09-27T22:19:08,0,9999,0,9999
2023-09-27T22:32:11,0,9999,0,9999
2023-09-27T22:45:26,0,9999,0,9999
2023-09-27T22:58:28,0,9999,0,9999
2023-09-27T23:11:33,0,9999,0,9999
2023-09-27T23:24:47,0,9999,0,9999
2023-09-27T23:37:54,0,9999,0,9999
2023-09-27T23:50:58,0,9999,0,9999
2023-09-28T00:05:28,0,9999,0,9999
2023-09-28T00:18:40,0,9999,0,9999
2023-09-28T00:31:49,0,9999,0,9999
2023-09-28T00:45:08,0,9999,0,9999
2023-09-28T00:58:14,0,9999,0,9999
2023-09-28T01:11:20,0,9999,0,9999
2023-09-28T01:24:25,0,9999,0,9999
2023-09-28T01:37:31,0,9999,0,9999
2023-09-28T01:50:38,0,9999,0,9999
2023-09-28T02:03:47,0,9999,0,9999
2023-09-28T02:17:03,0,9999,0,9999
2023-09-28T02:30:08,0,9999,0,9999
2023-09-28T02:43:15,0,9999,0,9999
2023-09-28T02:56:19,0,9999,0,9999
2023-09-28T03:09:23,0,9999,0,9999
2023-09-28T03:22:32,0,9999,0,9999
2023-09-28T03:35:37,0,9999,0,9999
2023-09-28T03:48:43,0,9999,0,9999
2023-09-28T04:01:50,0,9999,0,9999
2023-09-28T04:14:26,0,9999,0,9999
2023-09-28T04:28:51,0,9999,0,9999
2023-09-28T04:42:19,0,9999,0,9999
