time,enrolled,available,waitlisted,total
2023-07-27T14:31:34,0,15,0,15
2023-07-27T14:44:03,0,15,0,15
2023-07-27T14:56:32,0,15,0,15
2023-07-27T15:09:00,0,15,0,15
2023-07-27T15:21:29,0,15,0,15
2023-07-27T15:33:57,0,15,0,15
2023-07-27T15:46:26,0,15,0,15
2023-07-27T15:58:54,0,15,0,15
2023-07-27T16:11:32,0,15,0,15
2023-07-27T16:24:02,0,15,0,15
2023-07-27T16:36:31,0,15,0,15
2023-07-27T16:49:00,0,15,0,15
2023-07-27T17:01:29,0,15,0,15
2023-07-27T17:13:59,0,15,0,15
2023-07-27T17:26:28,0,15,0,15
2023-07-27T17:38:57,0,15,0,15
2023-07-27T17:51:25,0,15,0,15
2023-07-27T18:03:54,1,14,0,15
2023-07-27T18:16:35,1,14,0,15
2023-07-27T18:29:04,1,14,0,15
2023-07-27T18:41:36,1,14,0,15
2023-07-27T18:54:15,1,14,0,15
2023-07-27T19:06:53,1,14,0,15
2023-07-27T19:19:22,1,14,0,15
2023-07-27T19:31:51,1,14,0,15
2023-07-27T19:44:21,1,14,0,15
2023-07-27T19:56:50,1,14,0,15
2023-07-27T20:09:19,1,14,0,15
2023-07-27T20:21:47,1,14,0,15
2023-07-27T20:34:25,1,14,0,15
2023-07-27T20:46:54,1,14,0,15
2023-07-27T20:59:23,1,14,0,15
2023-07-27T21:11:52,1,14,0,15
2023-07-27T21:24:21,1,14,0,15
2023-07-27T21:36:50,1,14,0,15
2023-07-27T21:49:19,1,14,0,15
2023-07-27T22:01:48,1,14,0,15
2023-07-27T22:14:27,1,14,0,15
2023-07-27T22:26:56,1,14,0,15
2023-07-27T22:39:25,1,14,0,15
2023-07-27T22:51:55,1,14,0,15
2023-07-27T23:04:24,1,14,0,15
2023-07-27T23:16:54,1,14,0,15
2023-07-27T23:29:24,1,14,0,15
2023-07-27T23:41:54,1,14,0,15
2023-07-27T23:54:23,1,14,0,15
2023-07-28T00:06:54,1,14,0,15
2023-07-28T00:19:29,1,14,0,15
