time,enrolled,available,waitlisted,total
2023-07-25T14:02:15,0,20,0,20
2023-07-25T14:14:44,0,20,0,20
2023-07-25T14:27:12,0,20,0,20
2023-07-25T14:39:41,0,20,0,20
2023-07-25T14:52:10,0,20,0,20
2023-07-25T15:04:38,0,20,0,20
2023-07-25T15:17:18,0,20,0,20
2023-07-25T15:29:47,0,20,0,20
2023-07-25T15:42:15,0,20,0,20
2023-07-25T15:54:44,0,20,0,20
2023-07-25T16:07:13,0,20,0,20
2023-07-25T16:19:42,0,20,0,20
2023-07-25T16:32:11,0,20,0,20
2023-07-25T16:44:40,0,20,0,20
2023-07-25T16:57:08,0,20,0,20
2023-07-25T17:09:50,0,20,0,20
2023-07-25T17:22:20,0,20,0,20
2023-07-25T17:34:49,0,20,0,20
2023-07-25T17:47:17,0,20,0,20
2023-07-25T17:59:46,0,20,0,20
2023-07-25T18:12:15,0,20,0,20
2023-07-25T18:24:44,0,20,0,20
2023-07-25T18:37:13,0,20,0,20
2023-07-25T18:49:42,0,20,0,20
2023-07-25T19:02:11,0,20,0,20
2023-07-25T19:14:51,0,20,0,20
2023-07-25T19:27:20,0,20,0,20
2023-07-25T19:39:49,0,20,0,20
2023-07-25T19:52:18,0,20,0,20
2023-07-25T20:04:47,0,20,0,20
2023-07-25T20:17:16,0,20,0,20
2023-07-25T20:29:45,0,20,0,20
2023-07-25T20:42:14,0,20,0,20
2023-07-25T20:54:43,0,20,0,20
2023-07-25T21:07:12,0,20,0,20
2023-07-25T21:19:41,0,20,0,20
2023-07-25T21:32:09,0,20,0,20
2023-07-25T21:44:38,0,20,0,20
2023-07-25T21:57:07,0,20,0,20
2023-07-25T22:09:37,0,20,0,20
2023-07-25T22:22:17,0,20,0,20
2023-07-25T22:34:47,0,20,0,20
2023-07-25T22:47:16,0,20,0,20
2023-07-25T22:59:45,0,20,0,20
2023-07-25T23:12:15,0,20,0,20
2023-07-25T23:24:45,0,20,0,20
2023-07-25T23:37:14,0,20,0,20
2023-07-25T23:49:44,0,20,0,20
2023-07-26T00:02:14,0,20,0,20
