time,enrolled,available,waitlisted,total
2023-09-27T14:54:11,0,9999,0,9999
2023-09-27T15:07:13,0,9999,0,9999
2023-09-27T15:20:27,0,9999,0,9999
2023-09-27T15:33:30,0,9999,0,9999
2023-09-27T15:46:33,0,9999,0,9999
2023-09-27T15:59:47,0,9999,0,9999
2023-09-27T16:12:49,0,9999,0,9999
2023-09-27T16:25:52,0,9999,0,9999
2023-09-27T16:39:06,0,9999,0,9999
2023-09-27T16:52:11,0,9999,0,9999
2023-09-27T17:05:16,0,9999,0,9999
2023-09-27T17:18:19,0,9999,0,9999
2023-09-27T17:31:35,0,9999,0,9999
2023-09-27T17:44:37,0,9999,0,9999
2023-09-27T17:57:40,0,9999,0,9999
2023-09-27T18:10:53,0,9999,0,9999
2023-09-27T18:23:56,0,9999,0,9999
2023-09-27T18:36:59,0,9999,0,9999
2023-09-27T18:50:12,0,9999,0,9999
2023-09-27T19:03:14,0,9999,0,9999
2023-09-27T19:16:18,0,9999,0,9999
2023-09-27T19:29:35,0,9999,0,9999
2023-09-27T19:42:38,0,9999,0,9999
2023-09-27T19:55:40,0,9999,0,9999
2023-09-27T20:08:43,0,9999,0,9999
2023-09-27T20:21:57,0,9999,0,9999
2023-09-27T20:34:59,0,9999,0,9999
2023-09-27T20:48:01,0,9999,0,9999
2023-09-27T21:01:16,0,9999,0,9999
2023-09-27T21:14:18,0,9999,0,9999
2023-09-27T21:27:21,0,9999,0,9999
2023-09-27T21:40:35,0,9999,0,9999
2023-09-27T21:53:37,0,9999,0,9999
2023-09-27T22:06:52,0,9999,0,9999
2023-09-27T22:19:55,0,9999,0,9999
2023-09-27T22:32:59,0,9999,0,9999
2023-09-27T22:46:14,0,9999,0,9999
2023-09-27T22:59:15,0,9999,0,9999
2023-09-27T23:12:20,0,9999,0,9999
2023-09-27T23:25:34,0,9999,0,9999
2023-09-27T23:38:42,0,9999,0,9999
2023-09-27T23:51:46,0,9999,0,9999
2023-09-28T00:06:17,0,9999,0,9999
2023-09-28T00:19:28,0,9999,0,9999
2023-09-28T00:32:37,0,9999,0,9999
2023-09-28T00:45:55,0,9999,0,9999
2023-09-28T00:59:02,0,9999,0,9999
2023-09-28T01:12:08,0,9999,0,9999
2023-09-28T01:25:13,0,9999,0,9999
2023-09-28T01:38:19,0,9999,0,9999
2023-09-28T01:51:26,0,9999,0,9999
2023-09-28T02:04:34,0,9999,0,9999
2023-09-28T02:17:51,0,9999,0,9999
2023-09-28T02:30:55,0,9999,0,9999
2023-09-28T02:44:03,0,9999,0,9999
2023-09-28T02:57:07,0,9999,0,9999
2023-09-28T03:10:11,0,9999,0,9999
2023-09-28T03:23:19,0,9999,0,9999
2023-09-28T03:36:25,0,9999,0,9999
2023-09-28T03:49:30,0,9999,0,9999
2023-09-28T04:02:38,0,9999,0,9999
2023-09-28T04:15:14,0,9999,0,9999
2023-09-28T04:29:39,0,9999,0,9999
2023-09-28T04:43:07,0,9999,0,9999
2023-09-28T04:56:15,0,9999,0,9999
2023-09-28T05:09:23,0,9999,0,9999
2023-09-28T05:22:29,0,9999,0,9999
2023-09-28T05:35:35,0,9999,0,9999
2023-09-28T05:48:42,0,9999,0,9999
2023-09-28T06:01:48,0,9999,0,9999
2023-09-28T06:14:53,0,9999,0,9999
2023-09-28T06:28:00,0,9999,0,9999
2023-09-28T06:41:05,0,9999,0,9999
2023-09-28T06:54:12,0,9999,0,9999
2023-09-28T07:07:17,0,9999,0,9999
2023-09-28T07:20:30,0,9999,0,9999
2023-09-28T07:33:35,0,9999,0,9999
2023-09-28T07:46:39,0,9999,0,9999
2023-09-28T07:59:45,0,9999,0,9999
2023-09-28T08:13:08,0,9999,0,9999
2023-09-28T08:26:12,0,9999,0,9999
2023-09-28T08:39:16,0,9999,0,9999
2023-09-28T08:52:30,0,9999,0,9999
2023-09-28T09:05:34,0,9999,0,9999
2023-09-28T09:18:50,0,9999,0,9999
2023-09-28T09:32:11,0,9999,0,9999
2023-09-28T09:45:18,0,9999,0,9999
2023-09-28T09:58:32,1,9998,0,9999
2023-09-28T10:11:52,1,9998,0,9999
2023-09-28T10:24:54,1,9998,0,9999
2023-09-28T10:38:09,1,9998,0,9999
2023-09-28T10:51:12,1,9998,0,9999
2023-09-28T11:04:24,1,9998,0,9999
2023-09-28T11:17:37,1,9998,0,9999
2023-09-28T11:30:50,1,9998,0,9999
2023-09-28T11:43:54,1,9998,0,9999
2023-09-28T11:57:06,1,9998,0,9999
2023-09-28T12:10:26,1,9998,0,9999
2023-09-28T12:23:28,1,9998,0,9999
2023-09-28T12:36:41,1,9998,0,9999
2023-09-28T12:50:04,1,9998,0,9999
2023-09-28T13:03:07,1,9998,0,9999
2023-09-28T13:16:21,1,9998,0,9999
2023-09-28T13:29:23,1,9998,0,9999
2023-09-28T13:42:44,1,9998,0,9999
2023-09-28T13:55:46,1,9998,0,9999
2023-09-28T14:09:00,1,9998,0,9999
2023-09-28T14:22:21,1,9998,0,9999
