time,enrolled,available,waitlisted,total
2023-05-25T01:14:22,0,40,0,40
2023-05-25T01:25:58,0,40,0,40
2023-05-25T01:37:34,0,40,0,40
2023-05-25T01:49:18,0,40,0,40
2023-05-25T02:00:54,0,40,0,40
2023-05-25T02:12:29,0,40,0,40
2023-05-25T02:24:06,0,40,0,40
2023-05-25T02:35:40,0,40,0,40
2023-05-25T02:47:13,0,40,0,40
2023-05-25T02:58:46,0,40,0,40
2023-05-25T03:10:22,0,40,0,40
2023-05-25T03:22:01,0,40,0,40
2023-05-25T03:33:58,0,40,0,40
2023-05-25T03:45:35,0,40,0,40
2023-05-25T03:57:10,0,40,0,40
2023-05-25T04:16:32,0,40,0,40
2023-05-25T04:28:34,0,40,0,40
2023-05-25T04:40:10,0,40,0,40
2023-05-25T04:51:46,0,40,0,40
2023-05-25T05:03:22,0,40,0,40
2023-05-25T05:14:59,0,40,0,40
2023-05-25T05:26:35,0,40,0,40
2023-05-25T05:38:12,0,40,0,40
2023-05-25T05:49:48,0,40,0,40
2023-05-25T06:01:25,0,40,0,40
2023-05-25T06:13:00,0,40,0,40
2023-05-25T06:24:35,0,40,0,40
2023-05-25T06:36:10,0,40,0,40
2023-05-25T06:47:45,0,40,0,40
2023-05-25T06:59:20,0,40,0,40
2023-05-25T07:10:56,0,40,0,40
2023-05-25T07:22:31,0,40,0,40
2023-05-25T07:34:04,0,40,0,40
2023-05-25T07:45:41,0,40,0,40
2023-05-25T07:57:17,0,40,0,40
2023-05-25T08:08:51,0,40,0,40
2023-05-25T08:20:36,0,40,0,40
2023-05-25T08:32:10,0,40,0,40
2023-05-25T08:43:43,0,40,0,40
2023-05-25T08:55:15,0,40,0,40
2023-05-25T09:06:49,0,40,0,40
2023-05-25T09:18:21,0,40,0,40
2023-05-25T09:29:54,0,40,0,40
2023-05-25T09:41:26,0,40,0,40
2023-05-25T09:52:59,0,40,0,40
2023-05-25T10:04:33,0,40,0,40
2023-05-25T10:16:17,0,40,0,40
2023-05-25T10:27:50,0,40,0,40
2023-05-25T10:39:23,0,40,0,40
2023-05-25T10:50:55,0,40,0,40
2023-05-25T11:02:38,0,40,0,40
2023-05-25T11:14:10,0,40,0,40
2023-05-25T11:25:44,0,40,0,40
2023-05-25T11:37:16,0,40,0,40
2023-05-25T11:48:49,0,40,0,40
2023-05-25T12:00:33,0,40,0,40
2023-05-25T12:12:06,0,40,0,40
2023-05-25T12:23:39,0,40,0,40
2023-05-25T12:35:12,0,40,0,40
2023-05-25T12:46:45,0,40,0,40
2023-05-25T12:58:28,0,40,0,40
2023-05-25T13:10:01,0,40,0,40
2023-05-25T13:21:33,0,40,0,40
2023-05-25T13:33:07,0,40,0,40
2023-05-25T13:44:40,0,40,0,40
2023-05-25T13:56:13,0,40,0,40
2023-05-25T14:07:58,0,40,0,40
2023-05-25T14:19:31,0,40,0,40
2023-05-25T14:31:04,0,40,0,40
2023-05-25T14:42:37,0,40,0,40
2023-05-25T14:54:11,0,40,0,40
2023-05-25T15:05:55,0,40,0,40
2023-05-25T15:17:29,0,40,0,40
2023-05-25T15:29:03,0,40,0,40
2023-05-25T15:40:38,0,40,0,40
2023-05-25T15:52:12,0,40,0,40
2023-05-25T16:03:47,0,40,0,40
2023-05-25T16:15:32,0,40,0,40
2023-05-25T16:27:07,0,40,0,40
2023-05-25T16:38:42,0,40,0,40
2023-05-25T16:50:18,0,40,0,40
2023-05-25T17:01:54,0,40,0,40
2023-05-25T17:13:31,0,40,0,40
2023-05-25T17:25:17,0,40,0,40
2023-05-25T17:36:53,0,40,0,40
2023-05-25T17:48:29,0,40,0,40
2023-05-25T18:00:04,0,40,0,40
2023-05-25T18:11:41,0,40,0,40
2023-05-25T18:23:17,0,40,0,40
2023-05-25T18:34:52,0,40,0,40
2023-05-25T18:46:37,0,40,0,40
2023-05-25T18:58:13,0,40,0,40
2023-05-25T19:09:50,0,40,0,40
2023-05-25T19:21:26,0,40,0,40
2023-05-25T19:33:01,0,40,0,40
2023-05-25T19:44:38,0,40,0,40
2023-05-25T19:56:23,0,40,0,40
2023-05-25T20:07:59,0,40,0,40
2023-05-25T20:19:34,0,40,0,40
2023-05-25T20:31:11,0,40,0,40
2023-05-25T20:42:46,0,40,0,40
2023-05-25T20:54:22,0,40,0,40
2023-05-25T21:05:57,0,40,0,40
2023-05-25T21:17:34,0,40,0,40
2023-05-25T21:29:20,0,40,0,40
2023-05-25T21:40:56,0,40,0,40
2023-05-25T21:52:32,0,40,0,40
2023-05-25T22:04:07,0,40,0,40
2023-05-25T22:15:42,0,40,0,40
2023-05-25T22:27:18,0,40,0,40
2023-05-25T22:38:53,0,40,0,40
2023-05-25T22:50:40,0,40,0,40
2023-05-25T23:02:16,0,40,0,40
2023-05-25T23:13:53,0,40,0,40
2023-05-25T23:25:29,0,40,0,40
2023-05-25T23:37:05,0,40,0,40
2023-05-25T23:48:41,0,40,0,40
2023-05-26T00:00:18,0,40,0,40
2023-05-26T00:12:15,0,40,0,40
2023-05-26T00:23:55,0,40,0,40
2023-05-26T00:35:34,0,40,0,40
2023-05-26T00:47:12,0,40,0,40
2023-05-26T00:58:52,0,40,0,40
2023-05-26T01:10:31,0,40,0,40
2023-05-26T01:22:09,0,40,0,40
2023-05-26T01:33:47,0,40,0,40
