time,enrolled,available,waitlisted,total
2023-05-25T01:14:36,0,50,0,50
2023-05-25T01:26:12,0,50,0,50
2023-05-25T01:37:48,0,50,0,50
2023-05-25T01:49:32,0,50,0,50
2023-05-25T02:01:08,0,50,0,50
2023-05-25T02:12:43,0,50,0,50
2023-05-25T02:24:20,0,50,0,50
2023-05-25T02:35:54,0,50,0,50
2023-05-25T02:47:27,0,50,0,50
2023-05-25T02:59:00,0,50,0,50
2023-05-25T03:10:36,0,50,0,50
2023-05-25T03:22:15,0,50,0,50
2023-05-25T03:34:13,0,50,0,50
2023-05-25T03:45:49,0,50,0,50
2023-05-25T03:57:24,0,50,0,50
2023-05-25T04:16:47,0,50,0,50
2023-05-25T04:28:48,0,50,0,50
2023-05-25T04:40:24,0,50,0,50
2023-05-25T04:52:00,0,50,0,50
2023-05-25T05:03:36,0,50,0,50
2023-05-25T05:15:13,0,50,0,50
2023-05-25T05:26:49,0,50,0,50
2023-05-25T05:38:26,0,50,0,50
2023-05-25T05:50:02,0,50,0,50
2023-05-25T06:01:39,0,50,0,50
2023-05-25T06:13:14,0,50,0,50
2023-05-25T06:24:49,0,50,0,50
2023-05-25T06:36:24,0,50,0,50
2023-05-25T06:47:59,0,50,0,50
2023-05-25T06:59:34,0,50,0,50
2023-05-25T07:11:10,0,50,0,50
2023-05-25T07:22:45,0,50,0,50
2023-05-25T07:34:18,0,50,0,50
2023-05-25T07:45:55,0,50,0,50
2023-05-25T07:57:31,0,50,0,50
2023-05-25T08:09:05,0,50,0,50
2023-05-25T08:20:50,0,50,0,50
2023-05-25T08:32:24,0,50,0,50
2023-05-25T08:43:57,0,50,0,50
2023-05-25T08:55:29,0,50,0,50
2023-05-25T09:07:03,0,50,0,50
2023-05-25T09:18:35,0,50,0,50
2023-05-25T09:30:08,0,50,0,50
2023-05-25T09:41:41,0,50,0,50
2023-05-25T09:53:13,0,50,0,50
2023-05-25T10:04:47,0,50,0,50
2023-05-25T10:16:31,0,50,0,50
2023-05-25T10:28:04,0,50,0,50
2023-05-25T10:39:37,0,50,0,50
2023-05-25T10:51:09,0,50,0,50
2023-05-25T11:02:52,0,50,0,50
2023-05-25T11:14:25,0,50,0,50
2023-05-25T11:25:58,0,50,0,50
2023-05-25T11:37:30,0,50,0,50
2023-05-25T11:49:03,0,50,0,50
2023-05-25T12:00:47,0,50,0,50
2023-05-25T12:12:20,0,50,0,50
2023-05-25T12:23:53,0,50,0,50
2023-05-25T12:35:26,0,50,0,50
2023-05-25T12:46:59,0,50,0,50
2023-05-25T12:58:42,0,50,0,50
2023-05-25T13:10:15,0,50,0,50
2023-05-25T13:21:47,0,50,0,50
2023-05-25T13:33:21,0,50,0,50
2023-05-25T13:44:54,0,50,0,50
2023-05-25T13:56:27,0,50,0,50
2023-05-25T14:08:12,0,50,0,50
2023-05-25T14:19:45,0,50,0,50
2023-05-25T14:31:18,0,50,0,50
