time,enrolled,available,waitlisted,total
2023-05-25T01:15:09,0,100,0,100
2023-05-25T01:26:45,0,100,0,100
2023-05-25T01:38:20,0,100,0,100
2023-05-25T01:50:05,0,100,0,100
2023-05-25T02:01:40,0,100,0,100
2023-05-25T02:13:17,0,100,0,100
2023-05-25T02:24:53,0,100,0,100
2023-05-25T02:36:26,0,100,0,100
2023-05-25T02:48:00,0,100,0,100
2023-05-25T02:59:33,0,100,0,100
2023-05-25T03:11:09,0,100,0,100
2023-05-25T03:22:48,0,100,0,100
2023-05-25T03:34:45,0,100,0,100
2023-05-25T03:46:21,0,100,0,100
2023-05-25T03:57:57,0,100,0,100
2023-05-25T04:17:19,0,100,0,100
2023-05-25T04:29:20,0,100,0,100
2023-05-25T04:40:57,0,100,0,100
2023-05-25T04:52:33,0,100,0,100
2023-05-25T05:04:09,0,100,0,100
2023-05-25T05:15:46,0,100,0,100
2023-05-25T05:27:22,0,100,0,100
2023-05-25T05:38:59,0,100,0,100
2023-05-25T05:50:35,0,100,0,100
2023-05-25T06:02:11,0,100,0,100
2023-05-25T06:13:47,0,100,0,100
2023-05-25T06:25:22,0,100,0,100
2023-05-25T06:36:56,0,100,0,100
2023-05-25T06:48:32,0,100,0,100
2023-05-25T07:00:07,0,100,0,100
2023-05-25T07:11:43,0,100,0,100
2023-05-25T07:23:17,0,100,0,100
2023-05-25T07:34:51,0,100,0,100
2023-05-25T07:46:28,0,100,0,100
2023-05-25T07:58:03,0,100,0,100
2023-05-25T08:09:38,0,100,0,100
2023-05-25T08:21:22,0,100,0,100
2023-05-25T08:32:57,0,100,0,100
2023-05-25T08:44:29,0,100,0,100
2023-05-25T08:56:01,0,100,0,100
2023-05-25T09:07:35,0,100,0,100
2023-05-25T09:19:08,0,100,0,100
2023-05-25T09:30:40,0,100,0,100
2023-05-25T09:42:13,0,100,0,100
2023-05-25T09:53:46,0,100,0,100
2023-05-25T10:05:19,0,100,0,100
2023-05-25T10:17:04,0,100,0,100
2023-05-25T10:28:37,0,100,0,100
2023-05-25T10:40:09,0,100,0,100
2023-05-25T10:51:42,0,100,0,100
2023-05-25T11:03:25,0,100,0,100
2023-05-25T11:14:57,0,100,0,100
2023-05-25T11:26:30,0,100,0,100
2023-05-25T11:38:03,0,100,0,100
2023-05-25T11:49:36,0,100,0,100
2023-05-25T12:01:20,0,100,0,100
2023-05-25T12:12:53,0,100,0,100
2023-05-25T12:24:25,0,100,0,100
2023-05-25T12:35:58,0,100,0,100
2023-05-25T12:47:31,0,100,0,100
2023-05-25T12:59:15,0,100,0,100
2023-05-25T13:10:47,0,100,0,100
2023-05-25T13:22:20,0,100,0,100
2023-05-25T13:33:53,0,100,0,100
2023-05-25T13:45:26,0,100,0,100
2023-05-25T13:57:00,0,100,0,100
2023-05-25T14:08:44,0,100,0,100
2023-05-25T14:20:18,0,100,0,100
2023-05-25T14:31:50,0,100,0,100
2023-05-25T14:43:23,0,100,0,100
2023-05-25T14:54:57,0,100,0,100
2023-05-25T15:06:41,0,100,0,100
2023-05-25T15:18:15,0,100,0,100
2023-05-25T15:29:50,0,100,0,100
2023-05-25T15:41:24,0,100,0,100
2023-05-25T15:52:59,0,100,0,100
2023-05-25T16:04:33,0,100,0,100
2023-05-25T16:16:19,0,100,0,100
2023-05-25T16:27:54,0,100,0,100
2023-05-25T16:39:29,0,100,0,100
2023-05-25T16:51:04,0,100,0,100
2023-05-25T17:02:41,0,100,0,100
