time,enrolled,available,waitlisted,total
2023-10-09T09:00:43,0,9999,0,9999
2023-10-09T09:13:48,0,9999,0,9999
2023-10-09T09:26:53,0,9999,0,9999
2023-10-09T09:40:10,0,9999,0,9999
2023-10-09T09:53:15,0,9999,0,9999
2023-10-09T10:06:21,0,9999,0,9999
2023-10-09T10:19:28,0,9999,0,9999
2023-10-09T10:32:33,0,9999,0,9999
2023-10-09T10:45:50,0,9999,0,9999
2023-10-09T10:58:54,0,9999,0,9999
2023-10-09T11:11:59,0,9999,0,9999
2023-10-09T11:25:04,0,9999,0,9999
2023-10-09T11:38:10,0,9999,0,9999
2023-10-09T11:51:29,0,9999,0,9999
2023-10-09T12:04:34,0,9999,0,9999
2023-10-09T12:17:41,0,9999,0,9999
2023-10-09T12:30:46,0,9999,0,9999
2023-10-09T12:43:50,0,9999,0,9999
2023-10-09T12:57:06,0,9999,0,9999
2023-10-09T13:10:11,0,9999,0,9999
2023-10-09T13:23:17,0,9999,0,9999
2023-10-09T13:36:21,0,9999,0,9999
2023-10-09T13:49:37,0,9999,0,9999
2023-10-09T14:02:43,0,9999,0,9999
2023-10-09T14:15:50,0,9999,0,9999
2023-10-09T14:28:55,0,9999,0,9999
2023-10-09T14:42:13,0,9999,0,9999
2023-10-09T14:55:18,0,9999,0,9999
2023-10-09T15:08:24,0,9999,0,9999
2023-10-09T15:21:29,0,9999,0,9999
2023-10-09T15:34:34,0,9999,0,9999
2023-10-09T15:47:52,0,9999,0,9999
2023-10-09T16:00:58,0,9999,0,9999
2023-10-09T16:14:03,0,9999,0,9999
2023-10-09T16:27:09,0,9999,0,9999
2023-10-09T16:40:25,0,9999,0,9999
2023-10-09T16:53:30,0,9999,0,9999
2023-10-09T17:06:36,0,9999,0,9999
2023-10-09T17:19:43,0,9999,0,9999
2023-10-09T17:32:48,0,9999,0,9999
2023-10-09T17:46:05,0,9999,0,9999
2023-10-09T17:59:09,0,9999,0,9999
2023-10-09T18:12:14,0,9999,0,9999
2023-10-09T18:25:18,0,9999,0,9999
2023-10-09T18:38:35,0,9999,0,9999
2023-10-09T18:51:40,0,9999,0,9999
2023-10-09T19:04:46,0,9999,0,9999
2023-10-09T19:17:52,0,9999,0,9999
2023-10-09T19:30:57,0,9999,0,9999
2023-10-09T19:44:01,0,9999,0,9999
2023-10-09T19:57:06,0,9999,0,9999
2023-10-09T20:10:22,0,9999,0,9999
2023-10-09T20:23:26,0,9999,0,9999
2023-10-09T20:36:32,0,9999,0,9999
2023-10-09T20:49:37,0,9999,0,9999
2023-10-09T21:02:41,0,9999,0,9999
2023-10-09T21:15:46,0,9999,0,9999
2023-10-09T21:28:52,0,9999,0,9999
2023-10-09T21:41:57,0,9999,0,9999
2023-10-09T21:55:14,0,9999,0,9999
2023-10-09T22:08:19,0,9999,0,9999
2023-10-09T22:21:24,0,9999,0,9999
2023-10-09T22:34:29,0,9999,0,9999
2023-10-09T22:47:35,0,9999,0,9999
2023-10-09T23:00:40,0,9999,0,9999
2023-10-09T23:13:46,0,9999,0,9999
2023-10-09T23:26:52,0,9999,0,9999
