time,enrolled,available,waitlisted,total
2023-09-20T15:33:13,0,9999,0,9999
2023-09-20T15:46:24,0,9999,0,9999
2023-09-20T15:59:23,0,9999,0,9999
2023-09-20T16:12:23,0,9999,0,9999
2023-09-20T16:25:23,0,9999,0,9999
2023-09-20T16:38:24,0,9999,0,9999
2023-09-20T16:51:24,0,9999,0,9999
2023-09-20T17:04:35,0,9999,0,9999
2023-09-20T17:17:39,0,9999,0,9999
2023-09-20T17:30:39,0,9999,0,9999
2023-09-20T17:43:39,0,9999,0,9999
2023-09-20T17:56:40,0,9999,0,9999
2023-09-20T18:09:40,0,9999,0,9999
2023-09-20T18:22:40,0,9999,0,9999
2023-09-20T18:35:50,0,9999,0,9999
2023-09-20T18:48:50,0,9999,0,9999
2023-09-20T19:01:50,0,9999,0,9999
2023-09-20T19:14:51,0,9999,0,9999
2023-09-20T19:27:53,0,9999,0,9999
2023-09-20T19:40:53,0,9999,0,9999
2023-09-20T19:53:53,0,9999,0,9999
2023-09-20T20:07:05,0,9999,0,9999
2023-09-20T20:20:06,0,9999,0,9999
2023-09-20T20:33:05,0,9999,0,9999
2023-09-20T20:46:06,0,9999,0,9999
2023-09-20T20:59:06,0,9999,0,9999
2023-09-20T21:12:06,0,9999,0,9999
2023-09-20T21:25:17,0,9999,0,9999
2023-09-20T21:38:18,0,9999,0,9999
2023-09-20T21:51:17,0,9999,0,9999
2023-09-20T22:04:18,0,9999,0,9999
2023-09-20T22:17:18,0,9999,0,9999
2023-09-20T22:30:18,0,9999,0,9999
2023-09-20T22:43:19,0,9999,0,9999
2023-09-20T22:56:30,0,9999,0,9999
2023-09-20T23:09:30,0,9999,0,9999
2023-09-20T23:22:31,0,9999,0,9999
2023-09-20T23:35:32,0,9999,0,9999
2023-09-20T23:48:32,0,9999,0,9999
2023-09-21T00:01:33,0,9999,0,9999
2023-09-21T00:14:38,0,9999,0,9999
2023-09-21T00:27:43,0,9999,0,9999
2023-09-21T00:40:48,0,9999,0,9999
2023-09-21T00:54:04,0,9999,0,9999
2023-09-21T01:07:09,0,9999,0,9999
2023-09-21T01:20:13,0,9999,0,9999
2023-09-21T01:33:16,0,9999,0,9999
2023-09-21T01:46:21,0,9999,0,9999
2023-09-21T01:59:25,0,9999,0,9999
2023-09-21T02:12:30,0,9999,0,9999
2023-09-21T02:25:33,0,9999,0,9999
2023-09-21T02:38:35,0,9999,0,9999
2023-09-21T02:51:37,0,9999,0,9999
2023-09-21T03:04:39,0,9999,0,9999
2023-09-21T03:17:42,0,9999,0,9999
2023-09-21T03:30:47,0,9999,0,9999
2023-09-21T03:43:50,0,9999,0,9999
2023-09-21T03:56:56,0,9999,0,9999
2023-09-21T04:10:02,0,9999,0,9999
2023-09-21T04:26:18,0,9999,0,9999
2023-09-21T04:39:25,0,9999,0,9999
2023-09-21T04:54:08,0,9999,0,9999
2023-09-21T05:07:15,0,9999,0,9999
2023-09-21T05:20:20,0,9999,0,9999
2023-09-21T05:33:23,0,9999,0,9999
2023-09-21T05:46:27,0,9999,0,9999
2023-09-21T05:59:31,0,9999,0,9999
2023-09-21T06:12:34,0,9999,0,9999
2023-09-21T06:25:39,0,9999,0,9999
2023-09-21T06:38:46,0,9999,0,9999
2023-09-21T06:51:50,0,9999,0,9999
2023-09-21T07:04:55,0,9999,0,9999
2023-09-21T07:17:58,0,9999,0,9999
2023-09-21T07:31:02,0,9999,0,9999
2023-09-21T07:44:05,0,9999,0,9999
2023-09-21T07:57:09,0,9999,0,9999
2023-09-21T08:10:13,0,9999,0,9999
2023-09-21T08:23:18,0,9999,0,9999
2023-09-21T08:36:36,0,9999,0,9999
2023-09-21T08:49:39,0,9999,0,9999
2023-09-21T09:02:40,0,9999,0,9999
2023-09-21T09:15:42,0,9999,0,9999
2023-09-21T09:28:43,0,9999,0,9999
2023-09-21T09:41:42,1,9998,0,9999
2023-09-21T09:54:43,1,9998,0,9999
2023-09-21T10:07:44,1,9998,0,9999
2023-09-21T10:20:44,1,9998,0,9999
2023-09-21T10:33:54,1,9998,0,9999
2023-09-21T10:46:55,1,9998,0,9999
2023-09-21T10:59:55,1,9998,0,9999
2023-09-21T11:12:55,1,9998,0,9999
2023-09-21T11:25:55,1,9998,0,9999
2023-09-21T11:38:56,1,9998,0,9999
2023-09-21T11:52:16,1,9998,0,9999
2023-09-21T12:05:17,1,9998,0,9999
2023-09-21T12:18:17,1,9998,0,9999
2023-09-21T12:31:17,1,9998,0,9999
2023-09-21T12:44:19,1,9998,0,9999
2023-09-21T12:57:19,1,9998,0,9999
2023-09-21T13:10:30,1,9998,0,9999
2023-09-21T13:23:30,1,9998,0,9999
2023-09-21T13:36:34,1,9998,0,9999
2023-09-21T13:49:34,1,9998,0,9999
2023-09-21T14:02:35,1,9998,0,9999
2023-09-21T14:15:46,1,9998,0,9999
2023-09-21T14:28:46,1,9998,0,9999
2023-09-21T14:41:48,1,9998,0,9999
2023-09-21T14:54:49,1,9998,0,9999
2023-09-21T15:07:50,1,9998,0,9999
2023-09-21T15:20:50,1,9998,0,9999
2023-09-21T15:34:03,1,9998,0,9999
2023-09-21T15:47:04,1,9998,0,9999
2023-09-21T16:00:06,1,9998,0,9999
2023-09-21T16:13:06,1,9998,0,9999
2023-09-21T16:26:09,1,9998,0,9999
