time,enrolled,available,waitlisted,total
2023-09-13T15:57:39,0,0,0,0
2023-09-13T16:10:47,0,0,0,0
2023-09-13T16:23:44,0,0,0,0
2023-09-13T16:36:42,0,0,0,0
2023-09-13T16:49:40,0,0,0,0
2023-09-13T17:02:36,0,0,0,0
2023-09-13T17:15:35,0,0,0,0
2023-09-13T17:28:33,0,0,0,0
2023-09-13T17:41:30,0,0,0,0
2023-09-13T17:54:36,0,0,0,0
2023-09-13T18:07:33,0,0,0,0
2023-09-13T18:20:30,0,0,0,0
2023-09-13T18:33:28,0,0,0,0
2023-09-13T18:46:26,0,0,0,0
2023-09-13T18:59:23,0,0,0,0
2023-09-13T19:12:21,0,0,0,0
2023-09-13T19:25:19,0,0,0,0
2023-09-13T19:38:26,0,0,0,0
2023-09-13T19:51:22,0,0,0,0
2023-09-13T20:04:20,0,0,0,0
2023-09-13T20:17:18,0,0,0,0
2023-09-13T20:30:15,0,0,0,0
2023-09-13T20:43:13,0,0,0,0
2023-09-13T20:56:10,0,0,0,0
2023-09-13T21:09:07,0,0,0,0
2023-09-13T21:22:04,0,0,0,0
2023-09-13T21:35:11,0,0,0,0
2023-09-13T21:48:10,0,0,0,0
2023-09-13T22:01:08,0,0,0,0
2023-09-13T22:14:05,0,0,0,0
2023-09-13T22:27:02,0,0,0,0
2023-09-13T22:40:01,0,0,0,0
2023-09-13T22:52:59,0,0,0,0
2023-09-13T23:05:56,0,0,0,0
2023-09-13T23:19:05,0,0,0,0
2023-09-13T23:32:03,0,0,0,0
2023-09-13T23:45:00,0,0,0,0
2023-09-13T23:57:58,0,0,0,0
2023-09-14T00:10:57,0,0,0,0
2023-09-14T00:23:59,0,0,1,0
2023-09-14T00:37:00,0,0,1,0
2023-09-14T00:50:02,0,0,1,0
2023-09-14T01:03:05,0,0,1,0
2023-09-14T01:16:07,0,0,1,0
2023-09-14T01:29:17,0,0,1,0
2023-09-14T01:42:18,0,0,1,0
2023-09-14T01:55:21,0,0,1,0
2023-09-14T02:08:22,0,0,1,0
2023-09-14T02:21:22,0,0,1,0
2023-09-14T02:34:20,0,0,1,0
2023-09-14T02:47:21,0,0,1,0
2023-09-14T03:00:18,0,0,1,0
2023-09-14T03:13:17,0,0,1,0
2023-09-14T03:26:17,0,0,1,0
2023-09-14T03:39:17,0,0,1,0
2023-09-14T03:52:17,0,0,1,0
2023-09-14T04:05:21,0,0,1,0
2023-09-14T04:18:33,0,0,1,0
2023-09-14T04:29:59,0,0,1,0
2023-09-14T04:44:15,0,0,1,0
2023-09-14T04:57:33,0,0,1,0
2023-09-14T05:10:37,0,0,1,0
2023-09-14T05:23:39,0,0,1,0
2023-09-14T05:36:43,0,0,1,0
2023-09-14T05:49:45,0,0,1,0
2023-09-14T06:02:46,0,0,1,0
2023-09-14T06:15:48,0,0,1,0
2023-09-14T06:28:50,0,0,1,0
2023-09-14T06:41:51,0,0,1,0
2023-09-14T06:54:51,0,0,1,0
2023-09-14T07:07:53,0,0,1,0
2023-09-14T07:20:57,0,0,1,0
2023-09-14T07:33:56,0,0,1,0
2023-09-14T07:46:56,0,0,1,0
2023-09-14T07:59:57,0,0,1,0
2023-09-14T08:12:57,0,0,1,0
2023-09-14T08:26:06,0,0,1,0
2023-09-14T08:39:07,0,0,1,0
2023-09-14T08:52:07,0,0,2,0
2023-09-14T09:05:09,4,0,1,0
2023-09-14T09:18:06,8,0,1,0
2023-09-14T09:31:05,9,0,1,0
2023-09-14T09:44:03,9,0,1,0
2023-09-14T09:57:02,9,0,1,0
2023-09-14T10:10:00,9,0,1,0
2023-09-14T10:23:08,9,0,1,0
2023-09-14T10:36:07,9,0,1,0
2023-09-14T10:49:05,9,0,1,0
2023-09-14T11:02:03,10,0,1,0
2023-09-14T11:15:03,10,0,1,0
2023-09-14T11:28:03,10,0,1,0
2023-09-14T11:41:02,10,0,1,0
2023-09-14T11:54:12,10,0,1,0
2023-09-14T12:07:11,10,0,1,0
2023-09-14T12:20:09,10,0,1,0
2023-09-14T12:33:08,10,0,1,0
2023-09-14T12:46:07,11,0,1,0
2023-09-14T12:59:05,11,0,1,0
2023-09-14T13:12:04,11,0,1,0
2023-09-14T13:25:02,11,0,1,0
2023-09-14T13:38:11,11,0,1,0
2023-09-14T13:51:10,11,0,1,0
2023-09-14T14:04:09,11,0,1,0
2023-09-14T14:17:08,11,0,1,0
2023-09-14T14:30:06,12,0,1,0
2023-09-14T14:43:08,12,0,1,0
2023-09-14T14:56:07,12,0,1,0
2023-09-14T15:09:17,12,0,1,0
2023-09-14T15:22:15,12,0,1,0
2023-09-14T15:35:13,12,0,1,0
2023-09-14T15:48:13,12,0,1,0
2023-09-14T16:01:11,12,0,1,0
