time,enrolled,available,waitlisted,total
2023-05-25T01:16:03,0,0,0,0
2023-05-25T01:27:39,0,0,0,0
2023-05-25T01:39:15,0,0,0,0
2023-05-25T01:50:59,0,0,0,0
2023-05-25T02:02:35,0,0,0,0
2023-05-25T02:14:11,0,0,0,0
2023-05-25T02:25:47,0,0,0,0
2023-05-25T02:37:20,0,0,0,0
2023-05-25T02:48:54,0,0,0,0
2023-05-25T03:00:27,0,0,0,0
2023-05-25T03:12:03,0,0,0,0
2023-05-25T03:24:02,0,0,0,0
2023-05-25T03:35:40,0,0,0,0
2023-05-25T03:47:16,0,0,0,0
2023-05-25T03:58:51,0,0,0,0
2023-05-25T04:18:14,0,0,0,0
2023-05-25T04:30:15,0,0,0,0
2023-05-25T04:41:51,0,0,0,0
2023-05-25T04:53:27,0,0,0,0
2023-05-25T05:05:04,0,0,0,0
2023-05-25T05:16:41,0,0,0,0
2023-05-25T05:28:17,0,0,0,0
2023-05-25T05:39:53,0,0,0,0
2023-05-25T05:51:29,0,0,0,0
2023-05-25T06:03:06,0,0,0,0
2023-05-25T06:14:41,0,0,0,0
2023-05-25T06:26:16,0,0,0,0
2023-05-25T06:37:51,0,0,0,0
2023-05-25T06:49:26,0,0,0,0
2023-05-25T07:01:01,0,0,0,0
2023-05-25T07:12:37,0,0,0,0
2023-05-25T07:24:12,0,0,0,0
2023-05-25T07:35:45,0,0,0,0
2023-05-25T07:47:23,0,0,0,0
2023-05-25T07:58:58,0,0,0,0
2023-05-25T08:10:32,0,0,0,0
2023-05-25T08:22:16,0,0,0,0
2023-05-25T08:33:51,0,0,0,0
2023-05-25T08:45:23,0,0,0,0
2023-05-25T08:56:55,0,0,0,0
2023-05-25T09:08:29,0,0,0,0
2023-05-25T09:20:02,0,0,0,0
2023-05-25T09:31:35,0,0,0,0
2023-05-25T09:43:07,0,0,0,0
2023-05-25T09:54:40,0,0,0,0
2023-05-25T10:06:13,0,0,0,0
2023-05-25T10:17:58,0,0,0,0
2023-05-25T10:29:31,0,0,0,0
2023-05-25T10:41:03,0,0,0,0
2023-05-25T10:52:46,0,0,0,0
2023-05-25T11:04:19,0,0,0,0
2023-05-25T11:15:51,0,0,0,0
2023-05-25T11:27:24,0,0,0,0
2023-05-25T11:38:57,0,0,0,0
2023-05-25T11:50:30,0,0,0,0
2023-05-25T12:02:14,0,0,0,0
2023-05-25T12:13:47,0,0,0,0
2023-05-25T12:25:20,0,0,0,0
2023-05-25T12:36:53,0,0,0,0
2023-05-25T12:48:25,0,0,0,0
2023-05-25T13:00:09,0,0,0,0
2023-05-25T13:11:41,0,0,0,0
2023-05-25T13:23:14,0,0,0,0
2023-05-25T13:34:47,0,0,0,0
2023-05-25T13:46:20,0,0,0,0
2023-05-25T13:57:54,0,0,0,0
2023-05-25T14:09:38,0,0,0,0
2023-05-25T14:21:12,0,0,0,0
2023-05-25T14:32:45,0,0,0,0
2023-05-25T14:44:17,0,0,0,0
2023-05-25T14:55:51,0,0,0,0
2023-05-25T15:07:35,0,0,0,0
2023-05-25T15:19:10,0,0,0,0
2023-05-25T15:30:44,0,0,0,0
2023-05-25T15:42:19,0,0,0,0
2023-05-25T15:53:53,0,0,0,0
2023-05-25T16:05:38,0,0,0,0
2023-05-25T16:17:14,0,0,0,0
2023-05-25T16:28:48,0,0,0,0
2023-05-25T16:40:23,0,0,0,0
2023-05-25T16:51:59,0,0,0,0
2023-05-25T17:03:35,0,0,0,0
2023-05-25T17:15:23,0,0,0,0
2023-05-25T17:26:58,0,0,0,0
2023-05-25T17:38:34,0,0,0,0
2023-05-25T17:50:10,0,0,0,0
2023-05-25T18:01:46,0,0,0,0
2023-05-25T18:13:22,0,0,0,0
2023-05-25T18:24:58,0,0,0,0
2023-05-25T18:36:43,0,0,0,0
2023-05-25T18:48:18,0,0,0,0
2023-05-25T18:59:54,0,0,0,0
2023-05-25T19:11:31,0,0,0,0
2023-05-25T19:23:07,0,0,0,0
2023-05-25T19:34:42,0,0,0,0
2023-05-25T19:46:19,0,0,0,0
2023-05-25T19:58:04,0,0,0,0
2023-05-25T20:09:40,0,0,0,0
2023-05-25T20:21:15,0,0,0,0
2023-05-25T20:32:52,0,0,0,0
2023-05-25T20:44:27,0,0,0,0
2023-05-25T20:56:03,0,0,0,0
2023-05-25T21:07:38,0,0,0,0
2023-05-25T21:19:25,0,0,0,0
2023-05-25T21:31:01,0,0,0,0
2023-05-25T21:42:37,0,0,0,0
2023-05-25T21:54:13,0,0,0,0
2023-05-25T22:05:48,0,0,0,0
2023-05-25T22:17:23,0,0,0,0
2023-05-25T22:28:59,0,0,0,0
2023-05-25T22:40:34,0,0,0,0
2023-05-25T22:52:21,0,0,0,0
2023-05-25T23:03:58,0,0,0,0
2023-05-25T23:15:34,0,0,0,0
2023-05-25T23:27:10,0,0,0,0
2023-05-25T23:38:46,0,0,0,0
2023-05-25T23:50:22,0,0,0,0
2023-05-26T00:02:05,0,0,0,0
2023-05-26T00:13:57,0,0,0,0
2023-05-26T00:25:36,0,0,0,0
2023-05-26T00:37:15,0,0,0,0
2023-05-26T00:48:54,0,0,0,0
2023-05-26T01:00:33,0,0,0,0
2023-05-26T01:12:12,0,0,0,0
2023-05-26T01:23:50,0,0,0,0
2023-05-26T01:35:29,0,0,0,0
2023-05-26T01:47:16,0,0,0,0
2023-05-26T01:58:57,0,0,0,0
2023-05-26T02:10:37,0,0,0,0
2023-05-26T02:22:14,0,0,0,0
2023-05-26T02:33:52,0,0,0,0
2023-05-26T02:45:41,0,0,0,0
2023-05-26T02:57:21,0,0,0,0
2023-05-26T03:09:01,0,0,0,0
2023-05-26T03:20:42,0,0,0,0
2023-05-26T03:32:21,0,0,0,0
2023-05-26T03:43:59,0,0,0,0
2023-05-26T03:55:37,0,0,0,0
2023-05-26T04:07:26,0,0,0,0
2023-05-26T04:29:25,0,0,0,0
2023-05-26T04:41:28,0,0,0,0
2023-05-26T04:53:10,0,0,0,0
2023-05-26T05:04:51,0,0,0,0
2023-05-26T05:16:31,0,0,0,0
2023-05-26T05:28:10,0,0,0,0
2023-05-26T05:39:49,0,0,0,0
2023-05-26T05:51:28,0,0,0,0
2023-05-26T06:03:06,0,0,0,0
2023-05-26T06:14:46,0,0,0,0
2023-05-26T06:26:25,0,0,0,0
2023-05-26T06:38:03,0,0,0,0
2023-05-26T06:49:42,0,0,0,0
2023-05-26T07:01:19,0,0,0,0
2023-05-26T07:12:58,0,0,0,0
2023-05-26T07:24:37,0,0,0,0
2023-05-26T07:36:22,0,0,0,0
2023-05-26T07:47:59,0,0,0,0
2023-05-26T07:59:37,0,0,0,0
2023-05-26T08:11:12,0,0,0,0
2023-05-26T08:22:49,0,0,0,0
2023-05-26T08:34:25,0,0,0,0
2023-05-26T08:46:01,0,0,0,0
2023-05-26T08:57:37,0,0,0,0
2023-05-26T09:09:13,0,0,0,0
2023-05-26T09:20:50,0,0,0,0
2023-05-26T09:32:37,0,0,0,0
2023-05-26T09:44:13,0,0,0,0
2023-05-26T09:55:49,0,0,0,0
2023-05-26T10:07:25,0,0,0,0
2023-05-26T10:19:02,0,0,0,0
2023-05-26T10:30:38,0,0,0,0
2023-05-26T10:42:26,0,0,0,0
2023-05-26T10:54:02,0,0,0,0
2023-05-26T11:05:39,0,0,0,0
2023-05-26T11:17:16,0,0,0,0
2023-05-26T11:28:52,0,0,0,0
2023-05-26T11:40:38,0,0,0,0
2023-05-26T11:52:14,0,0,0,0
2023-05-26T12:03:50,0,0,0,0
2023-05-26T12:15:27,0,0,0,0
2023-05-26T12:27:02,0,0,0,0
2023-05-26T12:38:50,0,0,0,0
2023-05-26T12:50:26,0,0,0,0
2023-05-26T13:02:02,0,0,0,0
2023-05-26T13:13:38,0,0,0,0
2023-05-26T13:25:13,0,0,0,0
2023-05-26T13:37:00,0,0,0,0
2023-05-26T13:48:36,0,0,0,0
2023-05-26T14:00:12,0,0,0,0
2023-05-26T14:11:47,0,0,0,0
2023-05-26T14:23:34,0,0,0,0
2023-05-26T14:35:11,0,0,0,0
2023-05-26T14:46:47,0,0,0,0
2023-05-26T14:58:23,0,0,0,0
2023-05-26T15:10:01,0,0,0,0
2023-05-26T15:21:37,0,0,0,0
2023-05-26T15:33:23,0,0,0,0
2023-05-26T15:44:59,0,0,0,0
2023-05-26T15:56:35,0,0,0,0
2023-05-26T16:08:11,0,0,0,0
2023-05-26T16:19:46,0,0,0,0
2023-05-26T16:31:32,0,0,0,0
2023-05-26T16:43:08,0,0,0,0
2023-05-26T16:54:43,0,0,0,0
2023-05-26T17:06:20,0,0,0,0
2023-05-26T17:17:57,0,0,0,0
2023-05-26T17:29:32,0,0,0,0
2023-05-26T17:41:17,0,0,0,0
2023-05-26T17:52:53,0,0,0,0
2023-05-26T18:04:29,0,0,0,0
2023-05-26T18:16:05,0,0,0,0
2023-05-26T18:27:41,0,0,0,0
2023-05-26T18:39:16,0,0,0,0
2023-05-26T18:51:02,0,0,0,0
2023-05-26T19:02:38,0,0,0,0
2023-05-26T19:14:14,0,0,0,0
2023-05-26T19:25:51,0,0,0,0
2023-05-26T19:37:26,0,0,0,0
2023-05-26T19:49:02,0,0,0,0
2023-05-26T20:00:37,0,0,0,0
2023-05-26T20:12:23,0,0,0,0
2023-05-26T20:23:59,0,0,0,0
2023-05-26T20:35:34,0,0,0,0
2023-05-26T20:47:10,0,0,0,0
2023-05-26T20:58:45,0,0,0,0
2023-05-26T21:10:22,0,0,0,0
2023-05-26T21:21:58,0,0,0,0
2023-05-26T21:33:34,0,0,0,0
2023-05-26T21:45:20,0,0,0,0
2023-05-26T21:56:57,0,0,0,0
2023-05-26T22:08:33,0,0,0,0
2023-05-26T22:20:08,0,0,0,0
2023-05-26T22:31:44,0,0,0,0
2023-05-26T22:43:20,0,0,0,0
2023-05-26T22:54:56,0,0,0,0
2023-05-26T23:06:35,0,0,0,0
2023-05-26T23:18:21,0,0,0,0
2023-05-26T23:29:57,0,0,0,0
2023-05-26T23:41:34,0,0,0,0
2023-05-26T23:53:11,0,0,0,0
2023-05-27T00:04:47,0,0,0,0
2023-05-27T00:16:27,0,0,0,0
2023-05-27T00:28:06,0,0,0,0
2023-05-27T00:39:45,0,0,0,0
2023-05-27T00:51:24,0,0,0,0
2023-05-27T01:03:03,0,0,0,0
2023-05-27T01:14:52,0,0,0,0
2023-05-27T01:26:31,0,0,0,0
2023-05-27T01:38:10,0,0,0,0
2023-05-27T01:49:49,0,0,0,0
2023-05-27T02:01:27,0,0,0,0
2023-05-27T02:13:05,0,0,0,0
2023-05-27T02:24:43,0,0,0,0
2023-05-27T02:36:20,0,0,0,0
2023-05-27T02:47:56,0,0,0,0
2023-05-27T02:59:32,0,0,0,0
2023-05-27T03:11:10,0,0,0,0
2023-05-27T03:22:48,0,0,0,0
2023-05-27T03:34:25,0,0,0,0
2023-05-27T03:46:02,0,0,0,0
2023-05-27T03:57:40,0,0,0,0
2023-05-27T04:09:34,0,0,0,0
2023-05-27T04:30:54,0,0,0,0
2023-05-27T04:43:49,0,0,0,0
2023-05-27T04:55:46,0,0,0,0
2023-05-27T05:07:25,0,0,0,0
2023-05-27T05:19:04,0,0,0,0
2023-05-27T05:30:43,0,0,0,0
2023-05-27T05:42:23,0,0,0,0
2023-05-27T05:54:01,0,0,0,0
2023-05-27T06:05:39,0,0,0,0
2023-05-27T06:17:18,0,0,0,0
2023-05-27T06:28:59,0,0,0,0
2023-05-27T06:40:38,0,0,0,0
2023-05-27T06:52:16,0,0,0,0
2023-05-27T07:03:54,0,0,0,0
2023-05-27T07:15:32,0,0,0,0
2023-05-27T07:27:11,0,0,0,0
2023-05-27T07:38:48,0,0,0,0
