time,enrolled,available,waitlisted,total
2023-05-25T01:16:16,0,0,0,0
2023-05-25T01:27:52,0,0,0,0
2023-05-25T01:39:27,0,0,0,0
2023-05-25T01:51:12,0,0,0,0
2023-05-25T02:02:48,0,0,0,0
2023-05-25T02:14:24,0,0,0,0
2023-05-25T02:26:00,0,0,0,0
2023-05-25T02:37:33,0,0,0,0
2023-05-25T02:49:07,0,0,0,0
2023-05-25T03:00:39,0,0,0,0
2023-05-25T03:12:16,0,0,0,0
2023-05-25T03:24:15,0,0,0,0
2023-05-25T03:35:53,0,0,0,0
2023-05-25T03:47:28,0,0,0,0
2023-05-25T03:59:04,0,0,0,0
2023-05-25T04:18:27,0,0,0,0
2023-05-25T04:30:28,0,0,0,0
2023-05-25T04:42:04,0,0,0,0
2023-05-25T04:53:40,0,0,0,0
2023-05-25T05:05:17,0,0,0,0
2023-05-25T05:16:53,0,0,0,0
2023-05-25T05:28:30,0,0,0,0
2023-05-25T05:40:06,0,0,0,0
2023-05-25T05:51:42,0,0,0,0
2023-05-25T06:03:19,0,0,0,0
2023-05-25T06:14:54,0,0,0,0
2023-05-25T06:26:29,0,0,0,0
2023-05-25T06:38:04,0,0,0,0
2023-05-25T06:49:39,0,0,0,0
2023-05-25T07:01:14,0,0,0,0
2023-05-25T07:12:50,0,0,0,0
2023-05-25T07:24:24,0,0,0,0
2023-05-25T07:35:58,0,0,0,0
2023-05-25T07:47:35,0,0,0,0
2023-05-25T07:59:10,0,0,0,0
2023-05-25T08:10:45,0,0,0,0
2023-05-25T08:22:29,0,0,0,0
2023-05-25T08:34:03,0,0,0,0
2023-05-25T08:45:36,0,0,0,0
2023-05-25T08:57:09,0,0,0,0
2023-05-25T09:08:42,0,0,0,0
2023-05-25T09:20:15,0,0,0,0
2023-05-25T09:31:47,0,0,0,0
2023-05-25T09:43:20,0,0,0,0
2023-05-25T09:54:53,0,0,0,0
2023-05-25T10:06:26,0,0,0,0
2023-05-25T10:18:11,0,0,0,0
2023-05-25T10:29:44,0,0,0,0
2023-05-25T10:41:16,0,0,0,0
2023-05-25T10:52:59,0,0,0,0
2023-05-25T11:04:31,0,0,0,0
2023-05-25T11:16:04,0,0,0,0
2023-05-25T11:27:37,0,0,0,0
2023-05-25T11:39:09,0,0,0,0
2023-05-25T11:50:43,0,0,0,0
2023-05-25T12:02:27,0,0,0,0
2023-05-25T12:14:00,0,0,0,0
2023-05-25T12:25:32,0,0,0,0
2023-05-25T12:37:05,0,0,0,0
2023-05-25T12:48:38,0,0,0,0
2023-05-25T13:00:21,0,0,0,0
2023-05-25T13:11:54,0,0,0,0
2023-05-25T13:23:27,0,0,0,0
2023-05-25T13:35:00,0,0,0,0
2023-05-25T13:46:33,0,0,0,0
2023-05-25T13:58:07,0,0,0,0
2023-05-25T14:09:51,0,0,0,0
2023-05-25T14:21:24,0,0,0,0
2023-05-25T14:32:57,0,0,0,0
2023-05-25T14:44:30,0,0,0,0
2023-05-25T14:56:04,0,0,0,0
2023-05-25T15:07:48,0,0,0,0
2023-05-25T15:19:23,0,0,0,0
2023-05-25T15:30:57,0,0,0,0
2023-05-25T15:42:32,0,0,0,0
2023-05-25T15:54:06,0,0,0,0
2023-05-25T16:05:51,0,0,0,0
2023-05-25T16:17:26,0,0,0,0
2023-05-25T16:29:02,0,0,0,0
2023-05-25T16:40:37,0,0,0,0
2023-05-25T16:52:12,0,0,0,0
2023-05-25T17:03:48,0,0,0,0
2023-05-25T17:15:36,0,0,0,0
2023-05-25T17:27:12,0,0,0,0
2023-05-25T17:38:47,0,0,0,0
2023-05-25T17:50:23,0,0,0,0
2023-05-25T18:01:59,0,0,0,0
2023-05-25T18:13:35,0,0,0,0
2023-05-25T18:25:11,0,0,0,0
2023-05-25T18:36:56,0,0,0,0
2023-05-25T18:48:32,0,0,0,0
2023-05-25T19:00:08,0,0,0,0
2023-05-25T19:11:44,0,0,0,0
2023-05-25T19:23:20,0,0,0,0
2023-05-25T19:34:55,0,0,0,0
2023-05-25T19:46:32,0,0,0,0
2023-05-25T19:58:17,0,0,0,0
2023-05-25T20:09:53,0,0,0,0
2023-05-25T20:21:29,0,0,0,0
2023-05-25T20:33:05,0,0,0,0
2023-05-25T20:44:40,0,0,0,0
2023-05-25T20:56:16,0,0,0,0
2023-05-25T21:07:51,0,0,0,0
2023-05-25T21:19:39,0,0,0,0
2023-05-25T21:31:15,0,0,0,0
2023-05-25T21:42:50,0,0,0,0
2023-05-25T21:54:26,0,0,0,0
2023-05-25T22:06:01,0,0,0,0
2023-05-25T22:17:36,0,0,0,0
2023-05-25T22:29:12,0,0,0,0
2023-05-25T22:40:48,0,0,0,0
2023-05-25T22:52:34,0,0,0,0
2023-05-25T23:04:12,0,0,0,0
2023-05-25T23:15:47,0,0,0,0
2023-05-25T23:27:23,0,0,0,0
2023-05-25T23:38:59,0,0,0,0
2023-05-25T23:50:35,0,0,0,0
2023-05-26T00:02:18,0,0,0,0
2023-05-26T00:14:10,0,0,0,0
2023-05-26T00:25:50,0,0,0,0
2023-05-26T00:37:29,0,0,0,0
2023-05-26T00:49:07,0,0,0,0
2023-05-26T01:00:46,0,0,0,0
2023-05-26T01:12:26,0,0,0,0
2023-05-26T01:24:04,0,0,0,0
2023-05-26T01:35:42,0,0,0,0
2023-05-26T01:47:30,0,0,0,0
2023-05-26T01:59:10,0,0,0,0
2023-05-26T02:10:50,0,0,0,0
2023-05-26T02:22:27,0,0,0,0
2023-05-26T02:34:05,0,0,0,0
2023-05-26T02:45:54,0,0,0,0
2023-05-26T02:57:34,0,0,0,0
2023-05-26T03:09:14,0,0,0,0
2023-05-26T03:20:55,0,0,0,0
2023-05-26T03:32:34,0,0,0,0
2023-05-26T03:44:12,0,0,0,0
2023-05-26T03:55:51,0,0,0,0
2023-05-26T04:07:39,0,0,0,0
2023-05-26T04:29:38,0,0,0,0
2023-05-26T04:41:42,0,0,0,0
2023-05-26T04:53:23,0,0,0,0
2023-05-26T05:05:04,0,0,0,0
2023-05-26T05:16:44,0,0,0,0
2023-05-26T05:28:23,0,0,0,0
2023-05-26T05:40:02,0,0,0,0
2023-05-26T05:51:41,0,0,0,0
2023-05-26T06:03:19,0,0,0,0
2023-05-26T06:14:59,0,0,0,0
2023-05-26T06:26:38,0,0,0,0
2023-05-26T06:38:16,0,0,0,0
2023-05-26T06:49:55,0,0,0,0
2023-05-26T07:01:33,0,0,0,0
2023-05-26T07:13:12,0,0,0,0
2023-05-26T07:24:50,0,0,0,0
2023-05-26T07:36:35,0,0,0,0
2023-05-26T07:48:13,0,0,0,0
2023-05-26T07:59:50,0,0,0,0
2023-05-26T08:11:26,0,0,0,0
2023-05-26T08:23:02,0,0,0,0
2023-05-26T08:34:38,0,0,0,0
2023-05-26T08:46:14,0,0,0,0
2023-05-26T08:57:50,0,0,0,0
2023-05-26T09:09:26,0,0,0,0
2023-05-26T09:21:03,0,0,0,0
2023-05-26T09:32:50,0,0,0,0
2023-05-26T09:44:27,0,0,0,0
2023-05-26T09:56:02,0,0,0,0
2023-05-26T10:07:38,0,0,0,0
2023-05-26T10:19:15,0,0,0,0
2023-05-26T10:30:51,0,0,0,0
2023-05-26T10:42:39,0,0,0,0
2023-05-26T10:54:16,0,0,0,0
2023-05-26T11:05:52,0,0,0,0
2023-05-26T11:17:29,0,0,0,0
2023-05-26T11:29:05,0,0,0,0
2023-05-26T11:40:52,0,0,0,0
2023-05-26T11:52:27,0,0,0,0
2023-05-26T12:04:03,0,0,0,0
2023-05-26T12:15:40,0,0,0,0
2023-05-26T12:27:16,0,0,0,0
2023-05-26T12:39:03,0,0,0,0
2023-05-26T12:50:39,0,0,0,0
2023-05-26T13:02:15,0,0,0,0
2023-05-26T13:13:51,0,0,0,0
2023-05-26T13:25:27,0,0,0,0
2023-05-26T13:37:13,0,0,0,0
2023-05-26T13:48:49,0,0,0,0
2023-05-26T14:00:25,0,0,0,0
2023-05-26T14:12:01,0,0,0,0
2023-05-26T14:23:47,0,0,0,0
2023-05-26T14:35:24,0,0,0,0
2023-05-26T14:47:00,0,0,0,0
2023-05-26T14:58:36,0,0,0,0
2023-05-26T15:10:14,0,0,0,0
2023-05-26T15:21:50,0,0,0,0
2023-05-26T15:33:36,0,0,0,0
2023-05-26T15:45:12,0,0,0,0
2023-05-26T15:56:48,0,0,0,0
2023-05-26T16:08:24,0,0,0,0
2023-05-26T16:20:00,0,0,0,0
2023-05-26T16:31:45,0,0,0,0
2023-05-26T16:43:21,0,0,0,0
2023-05-26T16:54:57,0,0,0,0
2023-05-26T17:06:33,0,0,0,0
2023-05-26T17:18:10,0,0,0,0
2023-05-26T17:29:45,0,0,0,0
2023-05-26T17:41:31,0,0,0,0
2023-05-26T17:53:07,0,0,0,0
2023-05-26T18:04:42,0,0,0,0
2023-05-26T18:16:18,0,0,0,0
2023-05-26T18:27:54,0,0,0,0
2023-05-26T18:39:29,0,0,0,0
2023-05-26T18:51:15,0,0,0,0
2023-05-26T19:02:51,0,0,0,0
2023-05-26T19:14:28,0,0,0,0
2023-05-26T19:26:04,0,0,0,0
2023-05-26T19:37:40,0,0,0,0
2023-05-26T19:49:15,0,0,0,0
2023-05-26T20:00:50,0,0,0,0
2023-05-26T20:12:36,0,0,0,0
2023-05-26T20:24:12,0,0,0,0
2023-05-26T20:35:48,0,0,0,0
2023-05-26T20:47:23,0,0,0,0
2023-05-26T20:58:58,0,0,0,0
2023-05-26T21:10:35,0,0,0,0
2023-05-26T21:22:11,0,0,0,0
2023-05-26T21:33:47,0,0,0,0
2023-05-26T21:45:33,0,0,0,0
2023-05-26T21:57:10,0,0,0,0
2023-05-26T22:08:46,0,0,0,0
2023-05-26T22:20:21,0,0,0,0
2023-05-26T22:31:57,0,0,0,0
2023-05-26T22:43:34,0,0,0,0
2023-05-26T22:55:09,0,0,0,0
2023-05-26T23:06:48,0,0,0,0
2023-05-26T23:18:34,0,0,0,0
2023-05-26T23:30:10,0,0,0,0
2023-05-26T23:41:48,0,0,0,0
2023-05-26T23:53:24,0,0,0,0
2023-05-27T00:05:00,0,0,0,0
2023-05-27T00:16:41,0,0,0,0
2023-05-27T00:28:19,0,0,0,0
2023-05-27T00:39:58,0,0,0,0
2023-05-27T00:51:37,0,0,0,0
2023-05-27T01:03:16,0,0,0,0
2023-05-27T01:15:05,0,0,0,0
2023-05-27T01:26:44,0,0,0,0
2023-05-27T01:38:23,0,0,0,0
2023-05-27T01:50:02,0,0,0,0
2023-05-27T02:01:40,0,0,0,0
2023-05-27T02:13:19,0,0,0,0
2023-05-27T02:24:56,0,0,0,0
2023-05-27T02:36:33,0,0,0,0
2023-05-27T02:48:09,0,0,0,0
2023-05-27T02:59:45,0,0,0,0
2023-05-27T03:11:23,0,0,0,0
2023-05-27T03:23:01,0,0,0,0
2023-05-27T03:34:38,0,0,0,0
2023-05-27T03:46:15,0,0,0,0
2023-05-27T03:57:53,0,0,0,0
2023-05-27T04:09:47,0,0,0,0
2023-05-27T04:31:07,0,0,0,0
2023-05-27T04:44:02,0,0,0,0
2023-05-27T04:55:59,0,0,0,0
2023-05-27T05:07:38,0,0,0,0
2023-05-27T05:19:17,0,0,0,0
2023-05-27T05:30:56,0,0,0,0
2023-05-27T05:42:36,0,0,0,0
2023-05-27T05:54:14,0,0,0,0
2023-05-27T06:05:53,0,0,0,0
2023-05-27T06:17:31,0,0,0,0
2023-05-27T06:29:12,0,0,0,0
2023-05-27T06:40:51,0,0,0,0
2023-05-27T06:52:29,0,0,0,0
2023-05-27T07:04:07,0,0,0,0
2023-05-27T07:15:46,0,0,0,0
2023-05-27T07:27:24,0,0,0,0
2023-05-27T07:39:01,0,0,0,0
2023-05-27T07:50:39,0,0,0,0
2023-05-27T08:02:29,0,0,0,0
