time,enrolled,available,waitlisted,total
2023-05-25T01:15:50,0,35,0,35
2023-05-25T01:27:25,0,35,0,35
2023-05-25T01:39:01,0,35,0,35
2023-05-25T01:50:46,0,35,0,35
2023-05-25T02:02:21,0,35,0,35
2023-05-25T02:13:57,0,35,0,35
2023-05-25T02:25:33,0,35,0,35
2023-05-25T02:37:07,0,35,0,35
2023-05-25T02:48:40,0,35,0,35
2023-05-25T03:00:13,0,35,0,35
2023-05-25T03:11:50,0,35,0,35
2023-05-25T03:23:49,0,35,0,35
2023-05-25T03:35:26,0,35,0,35
2023-05-25T03:47:02,0,35,0,35
2023-05-25T03:58:38,0,35,0,35
2023-05-25T04:18:00,0,35,0,35
2023-05-25T04:30:01,0,35,0,35
2023-05-25T04:41:38,0,35,0,35
2023-05-25T04:53:14,0,35,0,35
2023-05-25T05:04:50,0,35,0,35
2023-05-25T05:16:27,0,35,0,35
2023-05-25T05:28:03,0,35,0,35
2023-05-25T05:39:39,0,35,0,35
2023-05-25T05:51:15,0,35,0,35
2023-05-25T06:02:52,0,35,0,35
2023-05-25T06:14:27,0,35,0,35
2023-05-25T06:26:02,0,35,0,35
2023-05-25T06:37:37,0,35,0,35
2023-05-25T06:49:13,0,35,0,35
2023-05-25T07:00:48,0,35,0,35
2023-05-25T07:12:23,0,35,0,35
2023-05-25T07:23:58,0,35,0,35
2023-05-25T07:35:31,0,35,0,35
2023-05-25T07:47:08,0,35,0,35
2023-05-25T07:58:44,0,35,0,35
2023-05-25T08:10:18,0,35,0,35
2023-05-25T08:22:03,0,35,0,35
2023-05-25T08:33:37,0,35,0,35
2023-05-25T08:45:10,0,35,0,35
2023-05-25T08:56:41,0,35,0,35
2023-05-25T09:08:16,0,35,0,35
2023-05-25T09:19:48,0,35,0,35
2023-05-25T09:31:21,0,35,0,35
2023-05-25T09:42:53,0,35,0,35
2023-05-25T09:54:26,0,35,0,35
2023-05-25T10:06:00,0,35,0,35
2023-05-25T10:17:44,0,35,0,35
2023-05-25T10:29:17,0,35,0,35
2023-05-25T10:40:50,0,35,0,35
2023-05-25T10:52:32,0,35,0,35
2023-05-25T11:04:05,0,35,0,35
2023-05-25T11:15:37,0,35,0,35
2023-05-25T11:27:10,0,35,0,35
2023-05-25T11:38:43,0,35,0,35
2023-05-25T11:50:16,0,35,0,35
2023-05-25T12:02:00,0,35,0,35
2023-05-25T12:13:33,0,35,0,35
2023-05-25T12:25:06,0,35,0,35
2023-05-25T12:36:39,0,35,0,35
2023-05-25T12:48:12,0,35,0,35
2023-05-25T12:59:55,0,35,0,35
2023-05-25T13:11:28,0,35,0,35
2023-05-25T13:23:00,0,35,0,35
2023-05-25T13:34:34,0,35,0,35
2023-05-25T13:46:07,0,35,0,35
2023-05-25T13:57:40,0,35,0,35
2023-05-25T14:09:25,0,35,0,35
2023-05-25T14:20:58,0,35,0,35
2023-05-25T14:32:31,0,35,0,35
2023-05-25T14:44:04,0,35,0,35
2023-05-25T14:55:38,0,35,0,35
2023-05-25T15:07:22,0,35,0,35
2023-05-25T15:18:56,0,35,0,35
2023-05-25T15:30:31,0,35,0,35
2023-05-25T15:42:05,0,35,0,35
2023-05-25T15:53:39,0,35,0,35
2023-05-25T16:05:25,0,35,0,35
2023-05-25T16:17:00,0,35,0,35
2023-05-25T16:28:35,0,35,0,35
2023-05-25T16:40:10,0,35,0,35
2023-05-25T16:51:45,0,35,0,35
2023-05-25T17:03:22,0,35,0,35
2023-05-25T17:15:09,0,35,0,35
2023-05-25T17:26:45,0,35,0,35
2023-05-25T17:38:20,0,35,0,35
2023-05-25T17:49:56,0,35,0,35
2023-05-25T18:01:32,0,35,0,35
2023-05-25T18:13:09,0,35,0,35
2023-05-25T18:24:44,0,35,0,35
2023-05-25T18:36:29,0,35,0,35
2023-05-25T18:48:05,0,35,0,35
2023-05-25T18:59:41,0,35,0,35
2023-05-25T19:11:17,0,35,0,35
2023-05-25T19:22:53,0,35,0,35
2023-05-25T19:34:28,0,35,0,35
2023-05-25T19:46:05,0,35,0,35
2023-05-25T19:57:50,0,35,0,35
2023-05-25T20:09:26,0,35,0,35
2023-05-25T20:21:02,0,35,0,35
2023-05-25T20:32:38,0,35,0,35
2023-05-25T20:44:13,0,35,0,35
2023-05-25T20:55:49,0,35,0,35
2023-05-25T21:07:24,0,35,0,35
2023-05-25T21:19:12,0,35,0,35
2023-05-25T21:30:48,0,35,0,35
2023-05-25T21:42:23,0,35,0,35
2023-05-25T21:53:59,0,35,0,35
2023-05-25T22:05:34,0,35,0,35
2023-05-25T22:17:10,0,35,0,35
2023-05-25T22:28:45,0,35,0,35
2023-05-25T22:40:21,0,35,0,35
2023-05-25T22:52:07,0,35,0,35
