time,enrolled,available,waitlisted,total
2023-05-25T01:16:17,0,96,0,96
2023-05-25T01:27:53,0,96,0,96
2023-05-25T01:39:28,0,96,0,96
2023-05-25T01:51:12,0,96,0,96
2023-05-25T02:02:48,0,96,0,96
2023-05-25T02:14:24,0,96,0,96
2023-05-25T02:26:00,0,96,0,96
2023-05-25T02:37:33,0,96,0,96
2023-05-25T02:49:07,0,96,0,96
2023-05-25T03:00:40,0,96,0,96
2023-05-25T03:12:17,0,96,0,96
2023-05-25T03:24:16,0,96,0,96
2023-05-25T03:35:53,0,96,0,96
2023-05-25T03:47:29,0,96,0,96
2023-05-25T03:59:05,0,96,0,96
2023-05-25T04:18:27,0,96,0,96
2023-05-25T04:30:28,0,96,0,96
2023-05-25T04:42:05,0,96,0,96
2023-05-25T04:53:41,0,96,0,96
2023-05-25T05:05:17,0,96,0,96
2023-05-25T05:16:54,0,96,0,96
2023-05-25T05:28:30,0,96,0,96
2023-05-25T05:40:06,0,96,0,96
2023-05-25T05:51:42,0,96,0,96
2023-05-25T06:03:19,0,96,0,96
2023-05-25T06:14:54,0,96,0,96
2023-05-25T06:26:29,0,96,0,96
2023-05-25T06:38:04,0,96,0,96
2023-05-25T06:49:40,0,96,0,96
2023-05-25T07:01:15,0,96,0,96
2023-05-25T07:12:50,0,96,0,96
2023-05-25T07:24:25,0,96,0,96
2023-05-25T07:35:58,0,96,0,96
2023-05-25T07:47:36,0,96,0,96
2023-05-25T07:59:11,0,96,0,96
2023-05-25T08:10:45,0,96,0,96
2023-05-25T08:22:30,0,96,0,96
2023-05-25T08:34:04,0,96,0,96
2023-05-25T08:45:36,0,96,0,96
2023-05-25T08:57:09,0,96,0,96
2023-05-25T09:08:42,0,96,0,96
2023-05-25T09:20:15,0,96,0,96
2023-05-25T09:31:48,0,96,0,96
2023-05-25T09:43:20,0,96,0,96
2023-05-25T09:54:53,0,96,0,96
2023-05-25T10:06:27,0,96,0,96
2023-05-25T10:18:11,0,96,0,96
2023-05-25T10:29:44,0,96,0,96
2023-05-25T10:41:17,0,96,0,96
2023-05-25T10:52:59,0,96,0,96
2023-05-25T11:04:32,0,96,0,96
2023-05-25T11:16:04,0,96,0,96
2023-05-25T11:27:37,0,96,0,96
2023-05-25T11:39:10,0,96,0,96
2023-05-25T11:50:43,0,96,0,96
