time,enrolled,available,waitlisted,total
2023-09-15T11:08:04,0,0,0,0
2023-09-15T11:21:04,0,0,0,0
2023-09-15T11:34:04,0,0,0,0
2023-09-15T11:47:04,0,0,0,0
2023-09-15T12:00:14,0,0,0,0
2023-09-15T12:13:14,0,0,0,0
2023-09-15T12:26:13,0,0,0,0
2023-09-15T12:39:12,0,0,0,0
2023-09-15T12:52:11,0,0,0,0
2023-09-15T13:05:11,0,0,0,0
2023-09-15T13:18:10,0,0,0,0
2023-09-15T13:31:20,0,0,0,0
2023-09-15T13:44:19,0,0,0,0
2023-09-15T13:57:18,0,0,0,0
2023-09-15T14:10:18,0,0,0,0
2023-09-15T14:23:18,0,0,0,0
2023-09-15T14:36:17,0,0,0,0
2023-09-15T14:49:27,0,0,0,0
2023-09-15T15:02:26,0,0,0,0
2023-09-15T15:15:25,1,0,0,0
2023-09-15T15:28:24,1,0,0,0
2023-09-15T15:41:24,1,0,0,0
2023-09-15T15:54:24,1,0,0,0
2023-09-15T16:07:24,1,0,0,0
2023-09-15T16:20:23,1,0,0,0
2023-09-15T16:33:32,1,0,0,0
2023-09-15T16:46:31,1,0,0,0
2023-09-15T16:59:30,1,0,0,0
2023-09-15T17:12:31,1,0,0,0
2023-09-15T17:25:30,1,0,0,0
2023-09-15T17:38:29,1,0,0,0
2023-09-15T17:51:28,1,0,0,0
2023-09-15T18:04:27,1,0,0,0
2023-09-15T18:17:36,1,0,0,0
2023-09-15T18:30:34,1,0,0,0
2023-09-15T18:43:33,1,0,0,0
2023-09-15T18:56:31,1,0,0,0
2023-09-15T19:09:30,1,0,0,0
2023-09-15T19:22:29,1,0,0,0
2023-09-15T19:35:29,1,0,0,0
2023-09-15T19:48:28,1,0,0,0
2023-09-15T20:01:37,1,0,0,0
2023-09-15T20:14:36,1,0,0,0
2023-09-15T20:27:35,1,0,0,0
2023-09-15T20:40:35,1,0,0,0
2023-09-15T20:53:33,1,0,0,0
2023-09-15T21:06:32,1,0,0,0
2023-09-15T21:19:32,1,0,0,0
2023-09-15T21:32:31,1,0,0,0
2023-09-15T21:45:29,1,0,0,0
2023-09-15T21:58:28,1,0,0,0
2023-09-15T22:11:38,1,0,0,0
2023-09-15T22:24:36,1,0,0,0
2023-09-15T22:37:35,1,0,0,0
2023-09-15T22:50:33,1,0,0,0
2023-09-15T23:03:32,1,0,0,0
2023-09-15T23:16:32,1,0,0,0
2023-09-15T23:29:32,1,0,0,0
2023-09-15T23:42:31,1,0,0,0
2023-09-15T23:55:31,1,0,0,0
2023-09-16T00:08:43,1,0,0,0
2023-09-16T00:21:49,1,0,0,0
2023-09-16T00:34:53,1,0,0,0
2023-09-16T00:47:57,1,0,0,0
2023-09-16T01:01:02,1,0,0,0
2023-09-16T01:14:05,1,0,0,0
2023-09-16T01:27:09,1,0,0,0
2023-09-16T01:40:13,1,0,0,0
2023-09-16T01:53:18,1,0,0,0
2023-09-16T02:06:23,1,0,0,0
2023-09-16T02:19:23,1,0,0,0
2023-09-16T02:32:24,1,0,0,0
2023-09-16T02:45:26,1,0,0,0
2023-09-16T02:58:25,1,0,0,0
2023-09-16T03:11:26,1,0,0,0
2023-09-16T03:24:39,1,0,0,0
2023-09-16T03:37:41,1,0,0,0
2023-09-16T03:50:44,1,0,0,0
2023-09-16T04:03:48,1,0,0,0
2023-09-16T04:16:57,1,0,0,0
2023-09-16T04:31:24,1,0,0,0
2023-09-16T04:44:47,1,0,0,0
2023-09-16T04:57:53,1,0,0,0
2023-09-16T05:10:57,1,0,0,0
2023-09-16T05:23:59,1,0,0,0
2023-09-16T05:37:02,1,0,0,0
2023-09-16T05:50:04,1,0,0,0
2023-09-16T06:03:08,1,0,0,0
2023-09-16T06:16:10,1,0,0,0
2023-09-16T06:29:12,1,0,0,0
2023-09-16T06:42:16,1,0,0,0
2023-09-16T06:55:19,1,0,0,0
2023-09-16T07:08:22,1,0,0,0
2023-09-16T07:21:23,1,0,0,0
2023-09-16T07:34:28,1,0,0,0
2023-09-16T07:47:29,1,0,0,0
2023-09-16T08:00:40,1,0,0,0
2023-09-16T08:13:43,1,0,0,0
2023-09-16T08:26:45,1,0,0,0
2023-09-16T08:39:48,1,0,0,0
2023-09-16T08:53:00,1,0,0,0
2023-09-16T09:06:02,1,0,0,0
2023-09-16T09:19:04,1,0,0,0
2023-09-16T09:32:07,1,0,0,0
2023-09-16T09:45:10,1,0,0,0
2023-09-16T09:58:20,1,0,0,0
2023-09-16T10:11:23,1,0,0,0
2023-09-16T10:24:26,1,0,0,0
2023-09-16T10:37:37,1,0,0,0
2023-09-16T10:50:39,1,0,0,0
2023-09-16T11:03:41,1,0,0,0
2023-09-16T11:16:43,1,0,0,0
2023-09-16T11:29:43,1,0,0,0
2023-09-16T11:42:42,1,0,0,0
2023-09-16T11:55:40,1,0,0,0
2023-09-16T12:08:40,1,0,0,0
2023-09-16T12:21:39,1,0,0,0
2023-09-16T12:34:47,1,0,0,0
2023-09-16T12:47:46,1,0,0,0
2023-09-16T13:00:45,1,0,0,0
2023-09-16T13:13:44,1,0,0,0
2023-09-16T13:26:44,1,0,0,0
2023-09-16T13:39:43,1,0,0,0
2023-09-16T13:52:42,1,0,0,0
2023-09-16T14:05:41,1,0,0,0
2023-09-16T14:18:40,1,0,0,0
2023-09-16T14:31:40,1,0,0,0
2023-09-16T14:44:49,1,0,0,0
2023-09-16T14:57:48,1,0,0,0
2023-09-16T15:10:49,1,0,0,0
2023-09-16T15:23:47,1,0,0,0
2023-09-16T15:36:46,1,0,0,0
2023-09-16T15:49:46,1,0,0,0
2023-09-16T16:02:45,1,0,0,0
2023-09-16T16:15:44,1,0,0,0
2023-09-16T16:28:42,1,0,0,0
2023-09-16T16:41:41,1,0,0,0
2023-09-16T16:54:40,1,0,0,0
2023-09-16T17:07:49,1,0,0,0
2023-09-16T17:20:49,1,0,0,0
2023-09-16T17:33:47,1,0,0,0
2023-09-16T17:46:47,1,0,0,0
2023-09-16T17:59:46,1,0,0,0
2023-09-16T18:12:45,1,0,0,0
2023-09-16T18:25:44,1,0,0,0
2023-09-16T18:38:43,1,0,0,0
2023-09-16T18:51:42,1,0,0,0
2023-09-16T19:04:42,1,0,0,0
2023-09-16T19:17:41,1,0,0,0
2023-09-16T19:30:40,1,0,0,0
2023-09-16T19:43:50,1,0,0,0
2023-09-16T19:56:50,1,0,0,0
2023-09-16T20:09:48,1,0,0,0
2023-09-16T20:22:47,1,0,0,0
2023-09-16T20:35:47,1,0,0,0
2023-09-16T20:48:46,1,0,0,0
2023-09-16T21:01:45,1,0,0,0
2023-09-16T21:14:44,1,0,0,0
2023-09-16T21:27:43,1,0,0,0
2023-09-16T21:40:42,1,0,0,0
2023-09-16T21:53:41,1,0,0,0
2023-09-16T22:06:40,1,0,0,0
2023-09-16T22:19:39,1,0,0,0
2023-09-16T22:32:49,1,0,0,0
2023-09-16T22:45:47,1,0,0,0
2023-09-16T22:58:46,1,0,0,0
2023-09-16T23:11:46,1,0,0,0
2023-09-16T23:24:45,1,0,0,0
2023-09-16T23:37:44,1,0,0,0
2023-09-16T23:50:42,1,0,0,0
2023-09-17T00:03:42,1,0,0,0
2023-09-17T00:16:43,1,0,0,0
2023-09-17T00:29:43,1,0,0,0
2023-09-17T00:55:40,1,0,0,0
2023-09-17T01:08:40,1,0,0,0
2023-09-17T01:21:38,1,0,0,0
2023-09-17T01:34:36,1,0,0,0
2023-09-17T01:47:38,1,0,0,0
2023-09-17T02:00:42,1,0,0,0
2023-09-17T02:13:48,1,0,0,0
2023-09-17T02:27:08,1,0,0,0
2023-09-17T02:40:14,1,0,0,0
2023-09-17T02:53:37,1,0,0,0
2023-09-17T03:06:38,1,0,0,0
2023-09-17T03:19:42,1,0,0,0
2023-09-17T03:32:44,1,0,0,0
2023-09-17T03:45:48,1,0,0,0
2023-09-17T03:58:52,1,0,0,0
2023-09-17T04:21:25,1,0,0,0
2023-09-17T04:34:29,1,0,0,0
2023-09-17T04:49:10,1,0,0,0
2023-09-17T05:02:17,1,0,0,0
2023-09-17T05:15:21,1,0,0,0
2023-09-17T05:28:24,1,0,0,0
2023-09-17T05:41:26,1,0,0,0
2023-09-17T05:54:27,1,0,0,0
2023-09-17T06:07:29,1,0,0,0
2023-09-17T06:20:33,1,0,0,0
2023-09-17T06:33:35,1,0,0,0
2023-09-17T06:46:36,1,0,0,0
2023-09-17T06:59:35,1,0,0,0
2023-09-17T07:12:33,1,0,0,0
2023-09-17T07:25:33,1,0,0,0
2023-09-17T07:38:32,1,0,0,0
2023-09-17T07:51:31,1,0,0,0
2023-09-17T08:04:32,1,0,0,0
2023-09-17T08:17:33,1,0,0,0
2023-09-17T08:30:37,1,0,0,0
2023-09-17T08:43:47,1,0,0,0
2023-09-17T08:56:56,1,0,0,0
2023-09-17T09:09:58,1,0,0,0
2023-09-17T09:23:13,1,0,0,0
2023-09-17T09:36:20,1,0,0,0
2023-09-17T09:49:26,1,0,0,0
2023-09-17T10:02:35,1,0,0,0
2023-09-17T10:15:40,1,0,0,0
2023-09-17T10:28:53,1,0,0,0
2023-09-17T10:41:55,1,0,0,0
2023-09-17T10:54:54,1,0,0,0
2023-09-17T11:07:53,1,0,0,0
2023-09-17T11:20:52,1,0,0,0
2023-09-17T11:33:51,1,0,0,0
2023-09-17T11:46:50,1,0,0,0
2023-09-17T11:59:48,1,0,0,0
2023-09-17T12:12:47,1,0,0,0
2023-09-17T12:25:46,1,0,0,0
2023-09-17T12:38:44,1,0,0,0
2023-09-17T12:51:51,1,0,0,0
2023-09-17T13:04:50,1,0,0,0
2023-09-17T13:17:48,1,0,0,0
2023-09-17T13:30:47,1,0,0,0
2023-09-17T13:43:46,1,0,0,0
2023-09-17T13:56:44,1,0,0,0
2023-09-17T14:09:44,1,0,0,0
2023-09-17T14:22:42,1,0,0,0
2023-09-17T14:35:40,1,0,0,0
2023-09-17T14:48:49,1,0,0,0
2023-09-17T15:01:47,1,0,0,0
2023-09-17T15:14:45,1,0,0,0
2023-09-17T15:27:44,1,0,0,0
2023-09-17T15:40:43,1,0,0,0
2023-09-17T15:53:41,1,0,0,0
2023-09-17T16:06:40,1,0,0,0
2023-09-17T16:19:39,1,0,0,0
2023-09-17T16:32:38,1,0,0,0
2023-09-17T16:45:37,1,0,0,0
2023-09-17T16:58:36,1,0,0,0
2023-09-17T17:11:45,1,0,0,0
2023-09-17T17:24:44,1,0,0,0
2023-09-17T17:37:46,1,0,0,0
2023-09-17T17:50:45,1,0,0,0
2023-09-17T18:03:43,1,0,0,0
2023-09-17T18:16:41,1,0,0,0
2023-09-17T18:29:39,1,0,0,0
2023-09-17T18:42:40,1,0,0,0
2023-09-17T18:55:38,1,0,0,0
2023-09-17T19:08:39,1,0,0,0
2023-09-17T19:21:39,1,0,0,0
2023-09-17T19:34:51,1,0,0,0
2023-09-17T19:47:50,1,0,0,0
2023-09-17T20:00:49,1,0,0,0
2023-09-17T20:13:48,1,0,0,0
2023-09-17T20:26:47,1,0,0,0
2023-09-17T20:39:47,1,0,0,0
2023-09-17T20:52:46,1,0,0,0
2023-09-17T21:05:44,1,0,0,0
2023-09-17T21:18:44,1,0,0,0
2023-09-17T21:31:56,1,0,0,0
2023-09-17T21:44:58,1,0,0,0
2023-09-17T21:57:58,1,0,0,0
2023-09-17T22:10:58,1,0,0,0
2023-09-17T22:23:57,1,0,0,0
2023-09-17T22:36:56,1,0,0,0
2023-09-17T22:49:55,1,0,0,0
2023-09-17T23:02:55,1,0,0,0
2023-09-17T23:15:55,1,0,0,0
2023-09-17T23:28:54,1,0,0,0
2023-09-17T23:42:06,1,0,0,0
2023-09-17T23:55:06,1,0,0,0
2023-09-18T00:08:07,1,0,0,0
2023-09-18T00:21:16,1,0,0,0
2023-09-18T00:34:28,1,0,0,0
2023-09-18T00:47:35,1,0,0,0
2023-09-18T01:00:42,1,0,0,0
2023-09-18T01:13:42,1,0,0,0
2023-09-18T01:27:00,1,0,0,0
2023-09-18T01:40:04,1,0,0,0
2023-09-18T01:53:08,1,0,0,0
2023-09-18T02:06:16,1,0,0,0
2023-09-18T02:19:17,1,0,0,0
2023-09-18T02:32:26,1,0,0,0
2023-09-18T02:45:29,1,0,0,0
2023-09-18T02:58:31,1,0,0,0
2023-09-18T03:11:35,1,0,0,0
2023-09-18T03:24:40,1,0,0,0
2023-09-18T03:37:43,1,0,0,0
2023-09-18T03:50:45,1,0,0,0
2023-09-18T04:03:48,1,0,0,0
2023-09-18T04:29:55,1,0,0,0
2023-09-18T04:43:25,1,0,0,0
2023-09-18T04:56:31,1,0,0,0
2023-09-18T05:09:39,1,0,0,0
2023-09-18T05:22:44,1,0,0,0
2023-09-18T05:35:47,1,0,0,0
2023-09-18T05:48:51,1,0,0,0
2023-09-18T06:01:56,1,0,0,0
2023-09-18T06:14:59,1,0,0,0
2023-09-18T06:28:05,1,0,0,0
2023-09-18T06:41:08,1,0,0,0
2023-09-18T06:54:11,1,0,0,0
2023-09-18T07:07:13,1,0,0,0
2023-09-18T07:20:15,1,0,0,0
2023-09-18T07:33:17,1,0,0,0
2023-09-18T07:46:16,1,0,0,0
2023-09-18T07:59:18,1,0,0,0
2023-09-18T08:12:20,1,0,0,0
2023-09-18T08:25:25,1,0,0,0
2023-09-18T08:38:26,1,0,0,0
2023-09-18T08:51:47,1,0,0,0
2023-09-18T09:04:47,1,0,0,0
2023-09-18T09:17:46,1,0,0,0
2023-09-18T09:30:45,1,0,0,0
2023-09-18T09:43:44,1,0,0,0
