time,enrolled,available,waitlisted,total
2023-09-21T16:01:15,0,9999,0,9999
2023-09-21T16:14:15,0,9999,0,9999
2023-09-21T16:27:18,0,9999,0,9999
2023-09-21T16:40:20,0,9999,0,9999
2023-09-21T16:53:31,0,9999,0,9999
2023-09-21T17:06:32,0,9999,0,9999
2023-09-21T17:19:34,0,9999,0,9999
2023-09-21T17:32:35,0,9999,0,9999
2023-09-21T17:45:35,0,9999,0,9999
2023-09-21T17:58:36,0,9999,0,9999
2023-09-21T18:11:37,0,9999,0,9999
2023-09-21T18:24:50,0,9999,0,9999
2023-09-21T18:37:51,0,9999,0,9999
2023-09-21T18:50:52,0,9999,0,9999
2023-09-21T19:03:52,0,9999,0,9999
2023-09-21T19:16:54,0,9999,0,9999
2023-09-21T19:29:55,0,9999,0,9999
2023-09-21T19:42:56,0,9999,0,9999
2023-09-21T19:56:14,0,9999,0,9999
2023-09-21T20:09:15,0,9999,0,9999
2023-09-21T20:22:17,0,9999,0,9999
2023-09-21T20:35:18,0,9999,0,9999
2023-09-21T20:48:18,0,9999,0,9999
2023-09-21T21:01:18,0,9999,0,9999
2023-09-21T21:14:19,0,9999,0,9999
2023-09-21T21:27:23,0,9999,0,9999
2023-09-21T21:40:34,0,9999,0,9999
2023-09-21T21:53:35,0,9999,0,9999
2023-09-21T22:06:36,0,9999,0,9999
2023-09-21T22:19:37,0,9999,0,9999
2023-09-21T22:32:38,0,9999,0,9999
2023-09-21T22:45:38,0,9999,0,9999
2023-09-21T22:58:38,0,9999,0,9999
2023-09-21T23:11:59,0,9999,0,9999
2023-09-21T23:25:01,0,9999,0,9999
2023-09-21T23:38:02,0,9999,0,9999
2023-09-21T23:51:04,0,9999,0,9999
2023-09-22T00:04:06,0,9999,0,9999
2023-09-22T00:17:11,0,9999,0,9999
2023-09-22T00:30:16,0,9999,0,9999
2023-09-22T00:43:23,0,9999,0,9999
2023-09-22T00:56:28,0,9999,0,9999
2023-09-22T01:09:45,0,9999,0,9999
2023-09-22T01:22:50,0,9999,0,9999
2023-09-22T01:35:57,0,9999,0,9999
2023-09-22T01:49:03,0,9999,0,9999
2023-09-22T02:02:11,0,9999,0,9999
2023-09-22T02:15:16,0,9999,0,9999
2023-09-22T02:28:18,0,9999,0,9999
2023-09-22T02:41:23,0,9999,0,9999
2023-09-22T02:54:27,0,9999,0,9999
2023-09-22T03:07:31,0,9999,0,9999
2023-09-22T03:20:38,0,9999,0,9999
2023-09-22T03:34:01,0,9999,0,9999
2023-09-22T03:47:07,0,9999,0,9999
2023-09-22T04:00:12,0,9999,0,9999
2023-09-22T07:05:29,0,9999,0,9999
2023-09-22T07:18:34,0,9999,0,9999
2023-09-22T07:31:42,0,9999,0,9999
2023-09-22T07:44:45,0,9999,0,9999
2023-09-22T07:57:48,0,9999,0,9999
2023-09-22T08:11:00,0,9999,0,9999
2023-09-22T08:24:03,0,9999,0,9999
2023-09-22T08:37:05,0,9999,0,9999
2023-09-22T08:50:09,0,9999,0,9999
2023-09-22T09:03:10,0,9999,0,9999
2023-09-22T09:16:13,0,9999,0,9999
2023-09-22T09:29:15,0,9999,0,9999
2023-09-22T09:42:17,0,9999,0,9999
2023-09-22T09:55:18,0,9999,0,9999
2023-09-22T10:08:32,0,9999,0,9999
2023-09-22T10:21:34,0,9999,0,9999
2023-09-22T10:34:36,0,9999,0,9999
2023-09-22T10:47:38,0,9999,0,9999
2023-09-22T11:00:40,0,9999,0,9999
2023-09-22T11:13:41,0,9999,0,9999
2023-09-22T11:26:53,0,9999,0,9999
