time,enrolled,available,waitlisted,total
2023-07-25T09:43:05,0,0,0,0
2023-07-25T09:55:33,0,0,0,0
2023-07-25T10:08:00,0,0,0,0
2023-07-25T10:20:30,0,0,0,0
2023-07-25T10:32:57,0,0,0,0
2023-07-25T10:45:24,0,0,0,0
2023-07-25T10:58:02,0,0,0,0
2023-07-25T11:10:29,0,0,0,0
2023-07-25T11:22:57,0,0,0,0
2023-07-25T11:35:25,0,0,0,0
2023-07-25T11:47:52,0,0,0,0
2023-07-25T12:00:19,0,0,0,0
2023-07-25T12:12:46,0,0,0,0
2023-07-25T12:25:24,0,0,0,0
2023-07-25T12:37:51,0,40,0,40
2023-07-25T12:50:19,0,40,0,40
2023-07-25T13:02:46,0,40,0,40
2023-07-25T13:15:13,0,40,0,40
2023-07-25T13:27:41,0,40,0,40
2023-07-25T13:40:18,0,40,0,40
2023-07-25T13:52:46,0,40,0,40
2023-07-25T14:05:13,0,40,0,40
2023-07-25T14:17:42,0,40,0,40
2023-07-25T14:30:10,0,40,0,40
2023-07-25T14:42:39,0,40,0,40
2023-07-25T14:55:07,0,40,0,40
2023-07-25T15:07:36,0,40,0,40
2023-07-25T15:20:16,0,40,0,40
2023-07-25T15:32:44,0,40,0,40
2023-07-25T15:45:13,0,40,0,40
2023-07-25T15:57:42,0,40,0,40
2023-07-25T16:10:11,0,40,0,40
2023-07-25T16:22:40,0,40,0,40
2023-07-25T16:35:09,0,40,0,40
2023-07-25T16:47:38,0,40,0,40
2023-07-25T17:00:06,0,40,0,40
2023-07-25T17:12:48,0,40,0,40
2023-07-25T17:25:18,0,40,0,40
2023-07-25T17:37:47,0,40,0,40
2023-07-25T17:50:15,0,40,0,40
2023-07-25T18:02:44,1,39,0,40
2023-07-25T18:15:13,1,39,0,40
2023-07-25T18:27:42,1,39,0,40
2023-07-25T18:40:11,1,39,0,40
2023-07-25T18:52:40,1,39,0,40
2023-07-25T19:05:09,1,39,0,40
2023-07-25T19:17:49,1,39,0,40
2023-07-25T19:30:18,1,39,0,40
2023-07-25T19:42:47,1,39,0,40
2023-07-25T19:55:16,1,39,0,40
2023-07-25T20:07:45,1,39,0,40
2023-07-25T20:20:14,1,39,0,40
2023-07-25T20:32:43,1,39,0,40
2023-07-25T20:45:12,1,39,0,40
2023-07-25T20:57:41,1,39,0,40
2023-07-25T21:10:10,1,39,0,40
2023-07-25T21:22:39,1,39,0,40
2023-07-25T21:35:07,1,39,0,40
2023-07-25T21:47:36,1,39,0,40
2023-07-25T22:00:05,1,39,0,40
2023-07-25T22:12:46,1,39,0,40
2023-07-25T22:25:15,1,39,0,40
2023-07-25T22:37:45,1,39,0,40
2023-07-25T22:50:14,1,39,0,40
2023-07-25T23:02:43,1,39,0,40
2023-07-25T23:15:13,1,39,0,40
2023-07-25T23:27:43,1,39,0,40
2023-07-25T23:40:13,1,39,0,40
2023-07-25T23:52:42,1,39,0,40
2023-07-26T00:05:12,1,39,0,40
2023-07-26T00:17:47,1,39,0,40
2023-07-26T00:30:20,1,39,0,40
2023-07-26T00:42:52,1,39,0,40
2023-07-26T00:55:25,1,39,0,40
2023-07-26T01:07:59,1,39,0,40
2023-07-26T01:20:41,1,39,0,40
2023-07-26T01:33:15,1,39,0,40
