time,enrolled,available,waitlisted,total
2023-06-06T09:23:49,0,0,0,0
2023-06-06T09:35:31,0,0,0,0
2023-06-06T09:47:15,0,0,0,0
2023-06-06T09:58:56,0,0,0,0
2023-06-06T10:10:38,0,0,0,0
2023-06-06T10:22:32,0,0,0,0
2023-06-06T10:34:13,0,0,0,0
2023-06-06T10:45:55,0,0,0,0
2023-06-06T10:57:37,0,0,0,0
2023-06-06T11:09:20,0,0,0,0
2023-06-06T11:21:02,0,0,1,0
2023-06-06T11:32:56,0,0,1,0
2023-06-06T11:44:37,0,0,2,0
2023-06-06T11:56:19,0,0,2,0
2023-06-06T12:08:12,0,0,2,0
2023-06-06T12:19:54,0,0,3,0
2023-06-06T12:31:36,0,0,3,0
2023-06-06T12:43:18,0,0,3,0
2023-06-06T12:55:00,0,0,3,0
2023-06-06T13:06:53,0,0,3,0
2023-06-06T13:18:35,0,0,3,0
2023-06-06T13:30:17,0,0,3,0
2023-06-06T13:42:01,0,0,3,0
2023-06-06T13:53:55,0,0,3,0
2023-06-06T14:05:39,0,0,3,0
2023-06-06T14:17:22,0,0,3,0
2023-06-06T14:29:06,0,0,3,0
2023-06-06T14:41:00,0,0,3,0
2023-06-06T14:52:42,0,0,3,0
2023-06-06T15:04:24,0,0,3,0
2023-06-06T15:16:08,0,0,3,0
2023-06-06T15:28:02,0,0,4,0
2023-06-06T15:39:44,0,0,4,0
2023-06-06T15:51:27,0,0,4,0
2023-06-06T16:03:11,0,0,4,0
2023-06-06T16:15:05,0,0,4,0
2023-06-06T16:26:47,0,0,4,0
2023-06-06T16:38:30,0,0,4,0
2023-06-06T16:50:12,0,0,4,0
2023-06-06T17:01:56,0,0,4,0
2023-06-06T17:13:51,0,0,4,0
2023-06-06T17:25:33,0,0,4,0
2023-06-06T17:37:16,0,0,4,0
2023-06-06T17:48:59,0,0,5,0
2023-06-06T18:00:53,0,0,5,0
2023-06-06T18:12:38,0,0,5,0
2023-06-06T18:24:20,0,0,5,0
2023-06-06T18:36:03,0,0,5,0
2023-06-06T18:47:45,0,0,5,0
2023-06-06T18:59:39,0,0,5,0
2023-06-06T19:11:20,0,0,5,0
2023-06-06T19:23:00,0,0,5,0
2023-06-06T19:34:39,0,0,5,0
2023-06-06T19:46:18,0,0,5,0
2023-06-06T19:58:09,0,0,5,0
2023-06-06T20:09:48,0,0,5,0
2023-06-06T20:21:28,0,0,5,0
2023-06-06T20:33:08,0,0,5,0
2023-06-06T20:44:46,0,0,5,0
2023-06-06T20:56:25,0,0,5,0
2023-06-06T21:08:15,0,0,5,0
2023-06-06T21:19:54,0,0,5,0
2023-06-06T21:31:33,0,0,5,0
2023-06-06T21:43:12,0,0,6,0
2023-06-06T21:54:51,0,0,6,0
2023-06-06T22:06:29,0,0,6,0
2023-06-06T22:18:18,0,0,6,0
2023-06-06T22:29:57,0,0,6,0
2023-06-06T22:41:35,0,0,6,0
2023-06-06T22:53:14,0,0,6,0
2023-06-06T23:04:53,0,0,6,0
2023-06-06T23:16:32,0,0,6,0
2023-06-06T23:28:12,0,0,6,0
2023-06-06T23:40:02,0,0,6,0
2023-06-06T23:51:41,0,0,6,0
2023-06-07T00:03:21,0,0,6,0
2023-06-07T00:15:05,0,0,6,0
2023-06-07T00:26:47,0,0,6,0
2023-06-07T00:38:28,0,0,6,0
2023-06-07T00:50:10,0,0,6,0
2023-06-07T01:01:52,0,0,6,0
2023-06-07T01:13:34,0,0,6,0
2023-06-07T01:25:27,0,0,6,0
2023-06-07T01:37:09,0,0,6,0
2023-06-07T01:48:51,0,0,6,0
2023-06-07T02:00:33,0,0,6,0
2023-06-07T02:12:13,0,0,6,0
2023-06-07T02:23:53,0,0,6,0
2023-06-07T02:35:33,0,0,6,0
2023-06-07T02:47:16,0,0,6,0
2023-06-07T02:58:58,0,0,6,0
2023-06-07T03:10:41,0,0,6,0
2023-06-07T03:22:23,0,0,7,0
2023-06-07T03:34:05,0,0,7,0
2023-06-07T03:45:48,0,0,7,0
2023-06-07T03:57:30,0,0,7,0
2023-06-07T04:19:53,0,0,7,0
2023-06-07T04:31:38,0,0,7,0
2023-06-07T04:44:51,0,0,7,0
2023-06-07T04:56:57,0,0,7,0
2023-06-07T05:08:44,0,0,7,0
2023-06-07T05:20:30,0,0,7,0
