time,enrolled,available,waitlisted,total
2023-05-25T01:16:49,0,30,0,30
2023-05-25T01:28:25,0,30,0,30
2023-05-25T01:40:00,0,30,0,30
2023-05-25T01:51:45,0,30,0,30
2023-05-25T02:03:20,0,30,0,30
2023-05-25T02:14:56,0,30,0,30
2023-05-25T02:26:32,0,30,0,30
2023-05-25T02:38:05,0,30,0,30
2023-05-25T02:49:39,0,30,0,30
2023-05-25T03:01:12,0,30,0,30
2023-05-25T03:12:49,0,30,0,30
2023-05-25T03:24:48,0,30,0,30
2023-05-25T03:36:25,0,30,0,30
2023-05-25T03:48:01,0,30,0,30
2023-05-25T03:59:37,0,30,0,30
2023-05-25T04:19:00,0,30,0,30
2023-05-25T04:31:00,0,30,0,30
2023-05-25T04:42:37,0,30,0,30
2023-05-25T04:54:13,0,30,0,30
2023-05-25T05:05:49,0,30,0,30
2023-05-25T05:17:26,0,30,0,30
2023-05-25T05:29:02,0,30,0,30
2023-05-25T05:40:38,0,30,0,30
2023-05-25T05:52:14,0,30,0,30
2023-05-25T06:03:51,0,30,0,30
2023-05-25T06:15:26,0,30,0,30
2023-05-25T06:27:01,0,30,0,30
2023-05-25T06:38:36,0,30,0,30
2023-05-25T06:50:12,0,30,0,30
2023-05-25T07:01:47,0,30,0,30
2023-05-25T07:13:22,0,30,0,30
2023-05-25T07:24:57,0,30,0,30
2023-05-25T07:36:30,0,30,0,30
2023-05-25T07:48:08,0,30,0,30
2023-05-25T07:59:43,0,30,0,30
2023-05-25T08:11:17,0,30,0,30
2023-05-25T08:23:02,0,30,0,30
2023-05-25T08:34:36,0,30,0,30
2023-05-25T08:46:08,0,30,0,30
2023-05-25T08:57:41,0,30,0,30
2023-05-25T09:09:14,0,30,0,30
2023-05-25T09:20:47,0,30,0,30
2023-05-25T09:32:20,0,30,0,30
2023-05-25T09:43:52,0,30,0,30
2023-05-25T09:55:25,0,30,0,30
2023-05-25T10:06:59,0,30,0,30
2023-05-25T10:18:43,0,30,0,30
2023-05-25T10:30:16,0,30,0,30
2023-05-25T10:41:49,0,30,0,30
2023-05-25T10:53:31,0,30,0,30
2023-05-25T11:05:04,0,30,0,30
2023-05-25T11:16:36,0,30,0,30
2023-05-25T11:28:09,0,30,0,30
2023-05-25T11:39:42,0,30,0,30
2023-05-25T11:51:15,0,30,0,30
2023-05-25T12:02:59,0,30,0,30
2023-05-25T12:14:32,0,30,0,30
2023-05-25T12:26:05,0,30,0,30
2023-05-25T12:37:38,0,30,0,30
2023-05-25T12:49:11,0,30,0,30
2023-05-25T13:00:54,0,30,0,30
2023-05-25T13:12:26,0,30,0,30
2023-05-25T13:23:59,0,30,0,30
2023-05-25T13:35:33,0,30,0,30
2023-05-25T13:47:06,0,30,0,30
2023-05-25T13:58:39,0,30,0,30
2023-05-25T14:10:24,0,30,0,30
2023-05-25T14:21:57,0,30,0,30
2023-05-25T14:33:30,0,30,0,30
2023-05-25T14:45:03,0,30,0,30
2023-05-25T14:56:37,0,30,0,30
2023-05-25T15:08:20,0,30,0,30
2023-05-25T15:19:55,0,30,0,30
2023-05-25T15:31:29,0,30,0,30
2023-05-25T15:43:04,0,30,0,30
2023-05-25T15:54:38,0,30,0,30
