time,enrolled,available,waitlisted,total
2023-08-31T08:05:09,0,30,0,30
2023-08-31T08:17:59,0,30,0,30
2023-08-31T08:30:58,0,30,0,30
2023-08-31T08:43:49,0,30,0,30
2023-08-31T08:56:38,0,30,0,30
2023-08-31T09:09:28,0,30,0,30
2023-08-31T09:22:18,0,30,0,30
2023-08-31T09:35:08,0,30,0,30
2023-08-31T09:47:59,0,30,0,30
2023-08-31T10:01:01,0,30,0,30
2023-08-31T10:13:53,0,30,0,30
2023-08-31T10:26:43,0,30,0,30
2023-08-31T10:39:33,0,30,0,30
2023-08-31T10:52:25,0,30,0,30
2023-08-31T11:05:16,0,30,0,30
2023-08-31T11:18:16,0,30,0,30
2023-08-31T11:31:07,0,30,0,30
2023-08-31T11:43:57,0,30,0,30
2023-08-31T11:56:48,0,30,0,30
2023-08-31T12:09:38,0,30,0,30
2023-08-31T12:22:40,0,30,0,30
2023-08-31T12:35:31,0,30,0,30
2023-08-31T12:48:22,0,30,0,30
2023-08-31T13:01:16,0,30,0,30
2023-08-31T13:14:07,0,30,0,30
2023-08-31T13:27:09,0,30,0,30
2023-08-31T13:40:00,0,30,0,30
2023-08-31T13:52:52,0,30,0,30
2023-08-31T14:05:43,0,30,0,30
2023-08-31T14:18:33,0,30,0,30
2023-08-31T14:31:23,0,30,0,30
2023-08-31T14:44:21,0,30,0,30
2023-08-31T14:57:12,0,30,0,30
2023-08-31T15:10:02,0,30,0,30
2023-08-31T15:22:52,0,30,0,30
2023-08-31T15:35:43,0,30,0,30
2023-08-31T15:48:42,0,30,0,30
2023-08-31T16:01:31,0,30,0,30
2023-08-31T16:14:21,0,30,0,30
2023-08-31T16:27:11,0,30,0,30
2023-08-31T16:40:01,0,30,0,30
2023-08-31T16:52:50,0,30,0,30
2023-08-31T17:05:50,0,30,0,30
2023-08-31T17:18:41,0,30,0,30
2023-08-31T17:31:30,0,30,0,30
2023-08-31T17:44:19,0,30,0,30
2023-08-31T17:57:08,0,30,0,30
2023-08-31T18:09:56,0,30,0,30
2023-08-31T18:22:45,0,30,0,30
2023-08-31T18:35:46,0,30,0,30
2023-08-31T18:48:35,0,30,0,30
2023-08-31T19:01:23,0,30,0,30
2023-08-31T19:14:13,0,30,0,30
2023-08-31T19:27:02,0,30,0,30
2023-08-31T19:39:51,0,30,0,30
2023-08-31T19:52:41,0,30,0,30
2023-08-31T20:05:29,0,30,0,30
2023-08-31T20:18:28,0,30,0,30
2023-08-31T20:31:17,0,30,0,30
2023-08-31T20:44:06,0,30,0,30
2023-08-31T20:56:56,0,30,0,30
2023-08-31T21:09:45,0,30,0,30
2023-08-31T21:22:35,0,30,0,30
2023-08-31T21:35:24,0,30,0,30
2023-08-31T21:48:22,0,30,0,30
2023-08-31T22:01:11,0,30,0,30
2023-08-31T22:14:00,0,30,0,30
2023-08-31T22:26:49,0,30,0,30
2023-08-31T22:39:39,0,30,0,30
2023-08-31T22:52:27,0,30,0,30
2023-08-31T23:05:17,0,30,0,30
2023-08-31T23:18:07,0,30,0,30
2023-08-31T23:31:06,0,30,0,30
2023-08-31T23:43:56,0,30,0,30
2023-08-31T23:56:45,0,30,0,30
2023-09-01T00:09:37,0,30,0,30
2023-09-01T00:22:38,0,30,0,30
2023-09-01T00:35:31,0,30,0,30
2023-09-01T00:48:24,0,30,0,30
2023-09-01T01:01:18,0,30,0,30
2023-09-01T01:14:11,0,30,0,30
2023-09-01T01:27:05,0,30,0,30
2023-09-01T01:40:13,0,30,0,30
2023-09-01T01:53:06,0,30,0,30
2023-09-01T02:06:00,0,30,0,30
2023-09-01T02:18:52,0,30,0,30
2023-09-01T02:31:45,0,30,0,30
2023-09-01T02:44:38,0,30,0,30
2023-09-01T02:57:29,0,30,0,30
2023-09-01T03:10:22,0,30,0,30
2023-09-01T03:23:17,0,30,0,30
2023-09-01T03:36:12,0,30,0,30
2023-09-01T03:49:05,0,30,0,30
2023-09-01T04:01:59,0,30,0,30
2023-09-01T04:26:27,0,30,0,30
2023-09-01T04:39:47,0,30,0,30
2023-09-01T04:52:42,0,30,0,30
2023-09-01T05:05:37,0,30,0,30
2023-09-01T05:18:31,0,30,0,30
2023-09-01T05:31:25,0,30,0,30
2023-09-01T05:44:19,0,30,0,30
2023-09-01T05:57:14,0,30,0,30
2023-09-01T06:10:08,0,30,0,30
2023-09-01T06:23:01,0,30,0,30
2023-09-01T06:35:54,0,30,0,30
2023-09-01T06:48:47,0,30,0,30
2023-09-01T07:01:40,0,30,0,30
2023-09-01T07:14:33,0,30,0,30
2023-09-01T07:27:27,0,30,0,30
2023-09-01T07:40:19,0,30,0,30
2023-09-01T07:53:18,0,30,0,30
2023-09-01T08:06:09,0,30,0,30
2023-09-01T08:19:00,0,30,0,30
2023-09-01T08:31:54,0,30,0,30
2023-09-01T08:44:49,0,30,0,30
2023-09-01T08:57:40,0,30,0,30
2023-09-01T09:10:41,0,30,0,30
2023-09-01T09:23:49,0,30,0,30
2023-09-01T09:36:44,0,30,0,30
2023-09-01T09:49:37,0,30,0,30
2023-09-01T10:02:34,0,30,0,30
2023-09-01T10:15:29,0,30,0,30
2023-09-01T10:28:33,0,30,0,30
2023-09-01T10:41:32,0,30,0,30
2023-09-01T10:54:27,0,30,0,30
2023-09-01T11:07:23,0,30,0,30
2023-09-01T11:20:20,0,30,0,30
2023-09-01T11:33:27,0,30,0,30
2023-09-01T11:46:22,0,30,0,30
2023-09-01T11:59:16,0,30,0,30
2023-09-01T12:12:15,0,30,0,30
2023-09-01T12:25:19,0,30,0,30
2023-09-01T12:38:13,0,30,0,30
2023-09-01T12:51:08,0,30,0,30
2023-09-01T13:04:04,0,30,0,30
2023-09-01T13:16:59,0,30,0,30
2023-09-01T13:30:03,0,30,0,30
2023-09-01T13:43:02,0,30,0,30
2023-09-01T13:55:57,0,30,0,30
2023-09-01T14:08:54,0,30,0,30
2023-09-01T14:22:08,0,30,0,30
2023-09-01T14:35:02,0,30,0,30
2023-09-01T14:47:56,0,30,0,30
2023-09-01T15:01:05,0,30,0,30
2023-09-01T15:14:05,0,30,0,30
2023-09-01T15:27:03,0,30,0,30
2023-09-01T15:39:59,0,30,0,30
2023-09-01T15:53:11,0,30,0,30
2023-09-01T16:06:09,0,30,0,30
2023-09-01T16:19:02,0,30,0,30
2023-09-01T16:31:59,0,30,0,30
2023-09-01T16:45:02,0,30,0,30
2023-09-01T16:57:56,0,30,0,30
2023-09-01T17:10:54,0,30,0,30
2023-09-01T17:23:54,0,30,0,30
2023-09-01T19:23:57,0,30,0,30
2023-09-01T19:36:50,0,30,0,30
2023-09-01T19:49:43,0,30,0,30
2023-09-01T20:02:37,0,30,0,30
2023-09-01T20:15:42,0,30,0,30
2023-09-01T20:28:34,0,30,0,30
2023-09-01T20:41:25,0,30,0,30
2023-09-01T20:54:15,0,30,0,30
2023-09-01T21:07:16,0,30,0,30
2023-09-01T21:20:06,0,30,0,30
2023-09-01T21:32:57,0,30,0,30
2023-09-01T21:45:48,0,30,0,30
2023-09-01T21:58:39,0,30,0,30
2023-09-01T22:11:41,0,30,0,30
2023-09-01T22:24:31,0,30,0,30
2023-09-01T22:37:22,0,30,0,30
2023-09-01T22:50:12,0,30,0,30
2023-09-01T23:03:03,0,30,0,30
2023-09-01T23:15:55,0,30,0,30
2023-09-01T23:28:57,0,30,0,30
2023-09-01T23:41:48,0,30,0,30
2023-09-01T23:54:40,0,30,0,30
2023-09-02T00:07:34,0,30,0,30
2023-09-02T00:20:34,0,30,0,30
2023-09-02T00:33:28,0,30,0,30
2023-09-02T00:46:33,0,30,0,30
2023-09-02T00:59:28,0,30,0,30
2023-09-02T01:12:22,0,30,0,30
2023-09-02T01:25:16,0,30,0,30
2023-09-02T01:38:14,0,30,0,30
2023-09-02T01:51:10,0,30,0,30
2023-09-02T02:04:05,0,30,0,30
2023-09-02T02:16:59,0,30,0,30
2023-09-02T02:29:51,0,30,0,30
2023-09-02T02:42:55,0,30,0,30
2023-09-02T02:55:48,0,30,0,30
2023-09-02T03:08:40,0,30,0,30
2023-09-02T03:21:35,0,30,0,30
2023-09-02T03:34:28,0,30,0,30
2023-09-02T03:47:22,0,30,0,30
2023-09-02T04:00:17,0,30,0,30
2023-09-02T04:23:43,0,30,0,30
2023-09-02T04:38:52,0,30,0,30
2023-09-02T04:51:50,0,30,0,30
2023-09-02T05:04:49,0,30,0,30
2023-09-02T05:17:44,0,30,0,30
2023-09-02T05:30:39,0,30,0,30
2023-09-02T05:43:35,0,30,0,30
2023-09-02T05:56:30,0,30,0,30
2023-09-02T06:09:25,0,30,0,30
2023-09-02T06:22:20,0,30,0,30
2023-09-02T06:35:14,0,30,0,30
2023-09-02T06:48:09,0,30,0,30
2023-09-02T07:01:05,0,30,0,30
2023-09-02T07:14:00,0,30,0,30
2023-09-02T07:26:55,0,30,0,30
2023-09-02T07:39:48,0,30,0,30
2023-09-02T07:52:42,0,30,0,30
2023-09-02T08:05:44,0,30,0,30
2023-09-02T08:18:39,0,30,0,30
2023-09-02T08:31:35,0,30,0,30
2023-09-02T08:44:29,0,30,0,30
2023-09-02T08:57:24,0,30,0,30
2023-09-02T09:10:19,0,30,0,30
2023-09-02T09:23:13,0,30,0,30
2023-09-02T09:36:07,0,30,0,30
2023-09-02T09:48:59,0,30,0,30
2023-09-02T10:01:53,0,30,0,30
2023-09-02T10:14:47,0,30,0,30
2023-09-02T10:27:40,0,30,0,30
2023-09-02T10:40:43,0,30,0,30
2023-09-02T10:53:36,0,30,0,30
2023-09-02T11:06:30,0,30,0,30
2023-09-02T11:19:21,0,30,0,30
2023-09-02T11:32:12,0,30,0,30
2023-09-02T11:45:04,0,30,0,30
2023-09-02T11:57:55,0,30,0,30
2023-09-02T12:10:46,0,30,0,30
2023-09-02T12:23:38,0,30,0,30
2023-09-02T12:36:29,0,30,0,30
2023-09-02T12:49:30,0,30,0,30
2023-09-02T13:02:21,0,30,0,30
2023-09-02T13:15:12,0,30,0,30
2023-09-02T13:28:03,0,30,0,30
2023-09-02T13:40:54,0,30,0,30
2023-09-02T13:53:45,0,30,0,30
2023-09-02T14:06:36,0,30,0,30
2023-09-02T14:19:28,0,30,0,30
2023-09-02T14:32:19,0,30,0,30
2023-09-02T14:45:21,0,30,0,30
2023-09-02T14:58:12,0,30,0,30
2023-09-02T15:11:04,0,30,0,30
2023-09-02T15:23:55,0,30,0,30
2023-09-02T15:36:46,0,30,0,30
2023-09-02T15:49:39,0,30,0,30
2023-09-02T16:02:30,0,30,0,30
2023-09-02T16:15:21,0,30,0,30
2023-09-02T16:28:12,0,30,0,30
2023-09-02T16:41:03,0,30,0,30
2023-09-02T16:53:55,0,30,0,30
2023-09-02T17:06:58,0,30,0,30
2023-09-02T17:19:50,0,30,0,30
2023-09-02T17:32:42,0,30,0,30
2023-09-02T17:45:32,0,30,0,30
2023-09-02T17:58:23,0,30,0,30
2023-09-02T18:11:15,0,30,0,30
2023-09-02T18:24:06,0,30,0,30
2023-09-02T18:36:57,0,30,0,30
2023-09-02T18:49:48,0,30,0,30
2023-09-02T19:02:39,0,30,0,30
2023-09-02T19:15:31,0,30,0,30
2023-09-02T19:28:22,0,30,0,30
2023-09-02T19:41:22,0,30,0,30
2023-09-02T19:54:13,0,30,0,30
2023-09-02T20:07:04,0,30,0,30
2023-09-02T20:19:55,0,30,0,30
2023-09-02T20:32:46,0,30,0,30
2023-09-02T20:45:37,0,30,0,30
2023-09-02T20:58:28,0,30,0,30
2023-09-02T21:11:19,0,30,0,30
2023-09-02T21:24:09,0,30,0,30
2023-09-02T21:37:00,0,30,0,30
2023-09-02T21:50:00,0,30,0,30
2023-09-02T22:02:51,0,30,0,30
2023-09-02T22:15:42,0,30,0,30
2023-09-02T22:28:33,0,30,0,30
2023-09-02T22:41:25,0,30,0,30
2023-09-02T22:54:15,0,30,0,30
2023-09-02T23:07:08,0,30,0,30
2023-09-02T23:20:00,0,30,0,30
2023-09-02T23:32:51,0,30,0,30
2023-09-02T23:45:44,0,30,0,30
2023-09-02T23:58:36,0,30,0,30
2023-09-03T00:11:40,0,30,0,30
2023-09-03T00:24:38,0,30,0,30
2023-09-03T00:37:33,0,30,0,30
2023-09-03T00:50:27,0,30,0,30
2023-09-03T01:03:22,0,30,0,30
2023-09-03T01:16:14,0,30,0,30
2023-09-03T01:29:08,0,30,0,30
2023-09-03T01:42:03,0,30,0,30
2023-09-03T01:54:57,0,30,0,30
2023-09-03T02:08:01,0,30,0,30
2023-09-03T02:20:56,0,30,0,30
2023-09-03T02:33:51,0,30,0,30
2023-09-03T02:46:45,0,30,0,30
2023-09-03T02:59:39,0,30,0,30
2023-09-03T03:12:33,0,30,0,30
2023-09-03T03:25:28,0,30,0,30
2023-09-03T03:38:23,0,30,0,30
2023-09-03T03:51:27,0,30,0,30
2023-09-03T04:04:23,0,30,0,30
2023-09-03T04:22:49,0,30,0,30
2023-09-03T04:35:45,0,30,0,30
2023-09-03T04:50:04,0,30,0,30
2023-09-03T05:03:15,0,30,0,30
2023-09-03T05:16:10,0,30,0,30
2023-09-03T05:29:06,0,30,0,30
2023-09-03T05:42:01,0,30,0,30
2023-09-03T05:54:59,0,30,0,30
2023-09-03T06:07:54,0,30,0,30
2023-09-03T06:20:48,0,30,0,30
2023-09-03T06:33:40,0,30,0,30
2023-09-03T06:46:32,0,30,0,30
2023-09-03T06:59:23,0,30,0,30
2023-09-03T07:12:15,0,30,0,30
2023-09-03T07:25:07,0,30,0,30
2023-09-03T07:37:59,0,30,0,30
2023-09-03T07:50:50,0,30,0,30
2023-09-03T08:03:41,0,30,0,30
2023-09-03T08:16:33,0,30,0,30
2023-09-03T08:29:26,0,30,0,30
2023-09-03T08:42:33,0,30,0,30
2023-09-03T08:55:24,0,30,0,30
2023-09-03T09:08:16,0,30,0,30
2023-09-03T09:21:08,0,30,0,30
2023-09-03T09:33:59,0,30,0,30
2023-09-03T09:46:51,0,30,0,30
2023-09-03T09:59:41,0,30,0,30
2023-09-03T10:12:33,0,30,0,30
2023-09-03T10:25:27,0,30,0,30
2023-09-03T10:38:20,0,30,0,30
2023-09-03T10:51:12,0,30,0,30
2023-09-03T11:04:03,0,30,0,30
2023-09-03T11:17:04,0,30,0,30
2023-09-03T11:29:55,0,30,0,30
2023-09-03T11:42:47,0,30,0,30
2023-09-03T11:55:39,0,30,0,30
2023-09-03T12:08:30,0,30,0,30
2023-09-03T12:21:21,0,30,0,30
2023-09-03T12:34:13,0,30,0,30
2023-09-03T12:47:03,0,30,0,30
2023-09-03T12:59:54,0,30,0,30
2023-09-03T13:12:44,0,30,0,30
2023-09-03T13:25:35,0,30,0,30
2023-09-03T13:38:36,0,30,0,30
2023-09-03T13:51:27,0,30,0,30
2023-09-03T14:04:17,0,30,0,30
2023-09-03T14:17:08,0,30,0,30
2023-09-03T14:29:59,0,30,0,30
2023-09-03T14:42:49,0,30,0,30
2023-09-03T14:55:40,0,30,0,30
2023-09-03T15:08:31,0,30,0,30
2023-09-03T15:21:22,0,30,0,30
2023-09-03T15:34:12,0,30,0,30
2023-09-03T15:47:03,0,30,0,30
2023-09-03T15:59:55,0,30,0,30
2023-09-03T16:12:56,0,30,0,30
2023-09-03T16:25:47,0,30,0,30
2023-09-03T16:38:38,0,30,0,30
2023-09-03T16:51:29,0,30,0,30
2023-09-03T17:04:20,0,30,0,30
2023-09-03T17:17:11,0,30,0,30
2023-09-03T17:30:02,0,30,0,30
2023-09-03T17:42:53,0,30,0,30
2023-09-03T17:56:01,0,30,0,30
2023-09-03T18:08:51,0,30,0,30
2023-09-03T18:21:41,0,30,0,30
2023-09-03T18:34:32,0,30,0,30
2023-09-03T18:47:22,0,30,0,30
2023-09-03T19:00:13,0,30,0,30
2023-09-03T19:13:08,0,30,0,30
2023-09-03T19:25:58,0,30,0,30
2023-09-03T19:38:49,0,30,0,30
2023-09-03T19:51:39,0,30,0,30
2023-09-03T20:04:30,0,30,0,30
2023-09-03T20:17:21,0,30,0,30
2023-09-03T20:30:21,0,30,0,30
2023-09-03T20:43:11,0,30,0,30
2023-09-03T20:56:02,0,30,0,30
2023-09-03T21:08:53,0,30,0,30
2023-09-03T21:21:43,0,30,0,30
2023-09-03T21:34:35,0,30,0,30
2023-09-03T21:47:26,0,30,0,30
2023-09-03T22:00:17,0,30,0,30
2023-09-03T22:13:09,0,30,0,30
2023-09-03T22:26:00,0,30,0,30
2023-09-03T22:39:09,0,30,0,30
2023-09-03T22:52:00,0,30,0,30
2023-09-03T23:04:52,0,30,0,30
2023-09-03T23:17:46,0,30,0,30
