time,enrolled,available,waitlisted,total
2023-05-25T01:17:06,0,70,0,70
2023-05-25T01:28:42,0,70,0,70
2023-05-25T01:40:17,0,70,0,70
2023-05-25T01:52:02,0,70,0,70
2023-05-25T02:03:37,0,70,0,70
2023-05-25T02:15:13,0,70,0,70
2023-05-25T02:26:49,0,70,0,70
2023-05-25T02:38:22,0,70,0,70
2023-05-25T02:49:56,0,70,0,70
2023-05-25T03:01:29,0,70,0,70
2023-05-25T03:13:06,0,70,0,70
2023-05-25T03:25:05,0,70,0,70
2023-05-25T03:36:42,0,70,0,70
2023-05-25T03:48:18,0,70,0,70
2023-05-25T03:59:54,0,70,0,70
2023-05-25T04:19:17,0,70,0,70
2023-05-25T04:31:17,0,70,0,70
2023-05-25T04:42:54,0,70,0,70
2023-05-25T04:54:30,0,70,0,70
2023-05-25T05:06:07,0,70,0,70
2023-05-25T05:17:43,0,70,0,70
2023-05-25T05:29:19,0,70,0,70
2023-05-25T05:40:55,0,70,0,70
2023-05-25T05:52:31,0,70,0,70
2023-05-25T06:04:08,0,70,0,70
2023-05-25T06:15:44,0,70,0,70
2023-05-25T06:27:18,0,70,0,70
2023-05-25T06:38:53,0,70,0,70
2023-05-25T06:50:29,0,70,0,70
2023-05-25T07:02:04,0,70,0,70
2023-05-25T07:13:39,0,70,0,70
2023-05-25T07:25:14,0,70,0,70
2023-05-25T07:36:47,0,70,0,70
2023-05-25T07:48:25,0,70,0,70
2023-05-25T08:00:00,0,70,0,70
2023-05-25T08:11:34,0,70,0,70
2023-05-25T08:23:19,0,70,0,70
2023-05-25T08:34:53,0,70,0,70
2023-05-25T08:46:25,0,70,0,70
2023-05-25T08:57:58,0,70,0,70
2023-05-25T09:09:31,0,70,0,70
2023-05-25T09:21:04,0,70,0,70
2023-05-25T09:32:37,0,70,0,70
2023-05-25T09:44:09,0,70,0,70
2023-05-25T09:55:42,0,70,0,70
2023-05-25T10:07:16,0,70,0,70
2023-05-25T10:19:00,0,70,0,70
2023-05-25T10:30:33,0,70,0,70
2023-05-25T10:42:06,0,70,0,70
2023-05-25T10:53:48,0,70,0,70
2023-05-25T11:05:21,0,70,0,70
2023-05-25T11:16:54,0,70,0,70
2023-05-25T11:28:26,0,70,0,70
2023-05-25T11:39:59,0,70,0,70
2023-05-25T11:51:32,0,70,0,70
2023-05-25T12:03:16,0,70,0,70
2023-05-25T12:14:49,0,70,0,70
2023-05-25T12:26:22,0,70,0,70
2023-05-25T12:37:55,0,70,0,70
2023-05-25T12:49:28,0,70,0,70
2023-05-25T13:01:11,0,70,0,70
2023-05-25T13:12:43,0,70,0,70
2023-05-25T13:24:16,0,70,0,70
2023-05-25T13:35:50,0,70,0,70
2023-05-25T13:47:23,0,70,0,70
2023-05-25T13:58:56,0,70,0,70
2023-05-25T14:10:41,0,70,0,70
2023-05-25T14:22:14,0,70,0,70
2023-05-25T14:33:47,0,70,0,70
2023-05-25T14:45:20,0,70,0,70
2023-05-25T14:56:54,0,70,0,70
2023-05-25T15:08:37,0,70,0,70
2023-05-25T15:20:12,0,70,0,70
2023-05-25T15:31:46,0,70,0,70
2023-05-25T15:43:21,0,70,0,70
2023-05-25T15:54:55,0,70,0,70
2023-05-25T16:06:41,0,70,0,70
2023-05-25T16:18:16,0,70,0,70
2023-05-25T16:29:51,0,70,0,70
2023-05-25T16:41:26,0,70,0,70
2023-05-25T16:53:01,0,70,0,70
2023-05-25T17:04:38,0,70,0,70
2023-05-25T17:16:26,0,70,0,70
2023-05-25T17:28:01,0,70,0,70
2023-05-25T17:39:36,0,70,0,70
2023-05-25T17:51:12,0,70,0,70
2023-05-25T18:02:48,0,70,0,70
2023-05-25T18:14:25,0,70,0,70
2023-05-25T18:26:00,0,70,0,70
2023-05-25T18:37:46,0,70,0,70
2023-05-25T18:49:21,0,70,0,70
2023-05-25T19:00:57,0,70,0,70
2023-05-25T19:12:34,0,70,0,70
2023-05-25T19:24:09,0,70,0,70
2023-05-25T19:35:45,0,70,0,70
2023-05-25T19:47:21,0,70,0,70
2023-05-25T19:59:06,0,70,0,70
2023-05-25T20:10:42,0,70,0,70
2023-05-25T20:22:18,0,70,0,70
2023-05-25T20:33:54,0,70,0,70
2023-05-25T20:45:30,0,70,0,70
2023-05-25T20:57:05,0,70,0,70
2023-05-25T21:08:41,0,70,0,70
2023-05-25T21:20:28,0,70,0,70
2023-05-25T21:32:04,0,70,0,70
2023-05-25T21:43:40,0,70,0,70
2023-05-25T21:55:15,0,70,0,70
2023-05-25T22:06:51,0,70,0,70
2023-05-25T22:18:26,0,70,0,70
2023-05-25T22:30:02,0,70,0,70
2023-05-25T22:41:37,0,70,0,70
2023-05-25T22:53:23,0,70,0,70
