time,enrolled,available,waitlisted,total
2023-05-25T01:17:07,0,40,0,40
2023-05-25T01:28:44,0,40,0,40
2023-05-25T01:40:18,0,40,0,40
2023-05-25T01:52:03,0,40,0,40
2023-05-25T02:03:39,0,40,0,40
2023-05-25T02:15:15,0,40,0,40
2023-05-25T02:26:51,0,40,0,40
2023-05-25T02:38:24,0,40,0,40
2023-05-25T02:49:57,0,40,0,40
2023-05-25T03:01:30,0,40,0,40
2023-05-25T03:13:07,0,40,0,40
2023-05-25T03:25:06,0,40,0,40
2023-05-25T03:36:44,0,40,0,40
2023-05-25T03:48:19,0,40,0,40
2023-05-25T03:59:55,0,40,0,40
2023-05-25T04:19:18,0,40,0,40
2023-05-25T04:31:19,0,40,0,40
2023-05-25T04:42:55,0,40,0,40
2023-05-25T04:54:31,0,40,0,40
2023-05-25T05:06:08,0,40,0,40
2023-05-25T05:17:44,0,40,0,40
2023-05-25T05:29:21,0,40,0,40
2023-05-25T05:40:57,0,40,0,40
2023-05-25T05:52:33,0,40,0,40
2023-05-25T06:04:10,0,40,0,40
2023-05-25T06:15:45,0,40,0,40
2023-05-25T06:27:20,0,40,0,40
2023-05-25T06:38:55,0,40,0,40
2023-05-25T06:50:30,0,40,0,40
2023-05-25T07:02:05,0,40,0,40
2023-05-25T07:13:41,0,40,0,40
2023-05-25T07:25:15,0,40,0,40
2023-05-25T07:36:48,0,40,0,40
2023-05-25T07:48:26,0,40,0,40
2023-05-25T08:00:01,0,40,0,40
2023-05-25T08:11:36,0,40,0,40
2023-05-25T08:23:20,0,40,0,40
2023-05-25T08:34:54,0,40,0,40
2023-05-25T08:46:27,0,40,0,40
2023-05-25T08:57:59,0,40,0,40
2023-05-25T09:09:33,0,40,0,40
2023-05-25T09:21:05,0,40,0,40
2023-05-25T09:32:38,0,40,0,40
2023-05-25T09:44:10,0,40,0,40
2023-05-25T09:55:44,0,40,0,40
2023-05-25T10:07:17,0,40,0,40
2023-05-25T10:19:01,0,40,0,40
2023-05-25T10:30:34,0,40,0,40
2023-05-25T10:42:07,0,40,0,40
2023-05-25T10:53:50,0,40,0,40
2023-05-25T11:05:22,0,40,0,40
2023-05-25T11:16:55,0,40,0,40
2023-05-25T11:28:28,0,40,0,40
2023-05-25T11:40:00,0,40,0,40
2023-05-25T11:51:33,0,40,0,40
2023-05-25T12:03:18,0,40,0,40
2023-05-25T12:14:50,0,40,0,40
2023-05-25T12:26:23,0,40,0,40
2023-05-25T12:37:56,0,40,0,40
2023-05-25T12:49:29,0,40,0,40
2023-05-25T13:01:12,0,40,0,40
2023-05-25T13:12:45,0,40,0,40
2023-05-25T13:24:18,0,40,0,40
2023-05-25T13:35:51,0,40,0,40
2023-05-25T13:47:24,0,40,0,40
2023-05-25T13:58:57,0,40,0,40
2023-05-25T14:10:42,0,40,0,40
2023-05-25T14:22:15,0,40,0,40
2023-05-25T14:33:48,0,40,0,40
2023-05-25T14:45:21,0,40,0,40
2023-05-25T14:56:55,0,40,0,40
2023-05-25T15:08:39,0,40,0,40
2023-05-25T15:20:13,0,40,0,40
2023-05-25T15:31:48,0,40,0,40
2023-05-25T15:43:22,0,40,0,40
2023-05-25T15:54:57,0,40,0,40
2023-05-25T16:06:42,0,40,0,40
2023-05-25T16:18:17,0,40,0,40
2023-05-25T16:29:52,0,40,0,40
2023-05-25T16:41:27,0,40,0,40
2023-05-25T16:53:03,0,40,0,40
2023-05-25T17:04:39,0,40,0,40
2023-05-25T17:16:27,0,40,0,40
2023-05-25T17:28:02,0,40,0,40
2023-05-25T17:39:38,0,40,0,40
2023-05-25T17:51:14,0,40,0,40
2023-05-25T18:02:50,0,40,0,40
2023-05-25T18:14:26,0,40,0,40
2023-05-25T18:26:01,0,40,0,40
2023-05-25T18:37:47,0,40,0,40
2023-05-25T18:49:22,0,40,0,40
2023-05-25T19:00:59,0,40,0,40
2023-05-25T19:12:35,0,40,0,40
2023-05-25T19:24:11,0,40,0,40
2023-05-25T19:35:46,0,40,0,40
2023-05-25T19:47:23,0,40,0,40
2023-05-25T19:59:08,0,40,0,40
2023-05-25T20:10:44,0,40,0,40
2023-05-25T20:22:19,0,40,0,40
2023-05-25T20:33:56,0,40,0,40
2023-05-25T20:45:31,0,40,0,40
2023-05-25T20:57:07,0,40,0,40
2023-05-25T21:08:42,0,40,0,40
2023-05-25T21:20:29,0,40,0,40
2023-05-25T21:32:05,0,40,0,40
2023-05-25T21:43:41,0,40,0,40
2023-05-25T21:55:17,0,40,0,40
2023-05-25T22:06:52,0,40,0,40
2023-05-25T22:18:27,0,40,0,40
2023-05-25T22:30:03,0,40,0,40
2023-05-25T22:41:38,0,40,0,40
2023-05-25T22:53:24,0,40,0,40
2023-05-25T23:05:02,0,40,0,40
2023-05-25T23:16:38,0,40,0,40
2023-05-25T23:28:14,0,40,0,40
2023-05-25T23:39:50,0,40,0,40
2023-05-25T23:51:26,0,40,0,40
2023-05-26T00:03:10,0,40,0,40
2023-05-26T00:15:01,0,40,0,40
2023-05-26T00:26:41,0,40,0,40
2023-05-26T00:38:19,0,40,0,40
2023-05-26T00:49:58,0,40,0,40
2023-05-26T01:01:37,0,40,0,40
2023-05-26T01:13:17,0,40,0,40
2023-05-26T01:24:55,0,40,0,40
2023-05-26T01:36:33,0,40,0,40
2023-05-26T01:48:20,0,40,0,40
2023-05-26T02:00:01,0,40,0,40
2023-05-26T02:11:41,0,40,0,40
2023-05-26T02:23:18,0,40,0,40
2023-05-26T02:34:56,0,40,0,40
2023-05-26T02:46:45,0,40,0,40
2023-05-26T02:58:25,0,40,0,40
2023-05-26T03:10:05,0,40,0,40
2023-05-26T03:21:46,0,40,0,40
2023-05-26T03:33:25,0,40,0,40
2023-05-26T03:45:03,0,40,0,40
2023-05-26T03:56:42,0,40,0,40
2023-05-26T04:08:30,0,40,0,40
2023-05-26T04:30:29,0,40,0,40
2023-05-26T04:42:33,0,40,0,40
2023-05-26T04:54:14,0,40,0,40
2023-05-26T05:05:55,0,40,0,40
2023-05-26T05:17:35,0,40,0,40
2023-05-26T05:29:14,0,40,0,40
2023-05-26T05:40:53,0,40,0,40
2023-05-26T05:52:32,0,40,0,40
2023-05-26T06:04:10,0,40,0,40
2023-05-26T06:15:50,0,40,0,40
2023-05-26T06:27:29,0,40,0,40
2023-05-26T06:39:07,0,40,0,40
2023-05-26T06:50:46,0,40,0,40
2023-05-26T07:02:24,0,40,0,40
2023-05-26T07:14:03,0,40,0,40
2023-05-26T07:25:41,0,40,0,40
2023-05-26T07:37:26,0,40,0,40
2023-05-26T07:49:03,0,40,0,40
2023-05-26T08:00:41,0,40,0,40
2023-05-26T08:12:17,0,40,0,40
2023-05-26T08:23:53,0,40,0,40
2023-05-26T08:35:29,0,40,0,40
2023-05-26T08:47:05,0,40,0,40
2023-05-26T08:58:41,0,40,0,40
2023-05-26T09:10:17,0,40,0,40
2023-05-26T09:21:54,0,40,0,40
2023-05-26T09:33:41,1,39,0,40
2023-05-26T09:45:17,1,39,0,40
2023-05-26T09:56:53,1,39,0,40
2023-05-26T10:08:30,1,39,0,40
2023-05-26T10:20:06,1,39,0,40
2023-05-26T10:31:42,1,39,0,40
2023-05-26T10:43:30,2,38,0,40
2023-05-26T10:55:06,2,38,0,40
2023-05-26T11:06:43,2,38,0,40
2023-05-26T11:18:20,3,37,0,40
2023-05-26T11:29:56,3,37,0,40
2023-05-26T11:41:42,3,37,0,40
2023-05-26T11:53:18,3,37,0,40
2023-05-26T12:04:54,3,37,0,40
2023-05-26T12:16:31,3,37,0,40
2023-05-26T12:28:06,3,37,0,40
2023-05-26T12:39:54,3,37,0,40
2023-05-26T12:51:30,3,37,0,40
2023-05-26T13:03:06,3,37,0,40
2023-05-26T13:14:41,3,37,0,40
2023-05-26T13:26:17,3,37,0,40
2023-05-26T13:38:04,3,37,0,40
2023-05-26T13:49:40,3,37,0,40
2023-05-26T14:01:15,3,37,0,40
2023-05-26T14:12:51,3,37,0,40
2023-05-26T14:24:38,3,37,0,40
