time,enrolled,available,waitlisted,total
2023-09-15T11:09:08,0,9999,0,9999
2023-09-15T11:22:08,0,9999,0,9999
2023-09-15T11:35:08,0,9999,0,9999
2023-09-15T11:48:19,0,9999,0,9999
2023-09-15T12:01:18,0,9999,0,9999
2023-09-15T12:14:18,0,9999,0,9999
2023-09-15T12:27:17,0,9999,0,9999
2023-09-15T12:40:16,0,9999,0,9999
2023-09-15T12:53:15,0,9999,0,9999
2023-09-15T13:06:15,0,9999,0,9999
2023-09-15T13:19:24,0,9999,0,9999
2023-09-15T13:32:24,0,9999,0,9999
2023-09-15T13:45:23,0,9999,0,9999
2023-09-15T13:58:22,0,9999,0,9999
2023-09-15T14:11:22,0,9999,0,9999
2023-09-15T14:24:21,0,9999,0,9999
2023-09-15T14:37:21,0,9999,0,9999
2023-09-15T14:50:31,0,9999,0,9999
2023-09-15T15:03:29,0,9999,0,9999
2023-09-15T15:16:29,0,9999,0,9999
2023-09-15T15:29:28,0,9999,0,9999
2023-09-15T15:42:28,0,9999,0,9999
2023-09-15T15:55:28,0,9999,0,9999
2023-09-15T16:08:27,0,9999,0,9999
2023-09-15T16:21:26,0,9999,0,9999
2023-09-15T16:34:36,0,9999,0,9999
2023-09-15T16:47:35,0,9999,0,9999
2023-09-15T17:00:34,0,9999,0,9999
2023-09-15T17:13:34,0,9999,0,9999
2023-09-15T17:26:33,0,9999,0,9999
2023-09-15T17:39:33,0,9999,0,9999
2023-09-15T17:52:32,0,9999,0,9999
2023-09-15T18:05:31,0,9999,0,9999
2023-09-15T18:18:39,0,9999,0,9999
2023-09-15T18:31:38,0,9999,0,9999
2023-09-15T18:44:37,0,9999,0,9999
2023-09-15T18:57:35,0,9999,0,9999
2023-09-15T19:10:34,0,9999,0,9999
2023-09-15T19:23:34,0,9999,0,9999
2023-09-15T19:36:33,0,9999,0,9999
2023-09-15T19:49:32,0,9999,0,9999
2023-09-15T20:02:41,0,9999,0,9999
2023-09-15T20:15:40,0,9999,0,9999
2023-09-15T20:28:39,0,9999,0,9999
2023-09-15T20:41:38,0,9999,0,9999
2023-09-15T20:54:37,0,9999,0,9999
2023-09-15T21:07:36,0,9999,0,9999
2023-09-15T21:20:36,0,9999,0,9999
2023-09-15T21:33:34,0,9999,0,9999
2023-09-15T21:46:33,0,9999,0,9999
2023-09-15T21:59:32,0,9999,0,9999
2023-09-15T22:12:41,0,9999,0,9999
2023-09-15T22:25:40,0,9999,0,9999
2023-09-15T22:38:39,0,9999,0,9999
2023-09-15T22:51:37,0,9999,0,9999
2023-09-15T23:04:36,0,9999,0,9999
2023-09-15T23:17:36,0,9999,0,9999
2023-09-15T23:30:35,0,9999,0,9999
2023-09-15T23:43:35,0,9999,0,9999
2023-09-15T23:56:35,0,9999,0,9999
2023-09-16T00:09:47,0,9999,0,9999
2023-09-16T00:22:53,0,9999,0,9999
2023-09-16T00:35:57,0,9999,0,9999
2023-09-16T00:49:01,0,9999,0,9999
2023-09-16T01:02:06,0,9999,0,9999
2023-09-16T01:15:09,0,9999,0,9999
2023-09-16T01:28:13,0,9999,0,9999
2023-09-16T01:41:18,0,9999,0,9999
2023-09-16T01:54:22,0,9999,0,9999
2023-09-16T02:07:27,0,9999,0,9999
2023-09-16T02:20:27,0,9999,0,9999
2023-09-16T02:33:28,0,9999,0,9999
2023-09-16T02:46:30,0,9999,0,9999
2023-09-16T02:59:29,0,9999,0,9999
2023-09-16T03:12:30,0,9999,0,9999
2023-09-16T03:25:43,0,9999,0,9999
2023-09-16T03:38:45,0,9999,0,9999
2023-09-16T03:51:48,0,9999,0,9999
2023-09-16T04:04:53,0,9999,0,9999
2023-09-16T04:18:02,0,9999,0,9999
2023-09-16T04:32:29,0,9999,0,9999
2023-09-16T04:45:53,0,9999,0,9999
2023-09-16T04:58:57,0,9999,0,9999
2023-09-16T05:12:01,0,9999,0,9999
2023-09-16T05:25:03,0,9999,0,9999
2023-09-16T05:38:06,0,9999,0,9999
2023-09-16T05:51:08,0,9999,0,9999
2023-09-16T06:04:12,0,9999,0,9999
2023-09-16T06:17:14,0,9999,0,9999
2023-09-16T06:30:16,0,9999,0,9999
2023-09-16T06:43:20,0,9999,0,9999
2023-09-16T06:56:23,0,9999,0,9999
2023-09-16T07:09:26,0,9999,0,9999
2023-09-16T07:22:27,0,9999,0,9999
2023-09-16T07:35:32,0,9999,0,9999
2023-09-16T07:48:34,0,9999,0,9999
2023-09-16T08:01:44,0,9999,0,9999
2023-09-16T08:14:47,0,9999,0,9999
2023-09-16T08:27:49,0,9999,0,9999
2023-09-16T08:40:52,0,9999,0,9999
2023-09-16T08:54:04,0,9999,0,9999
2023-09-16T09:07:06,0,9999,0,9999
2023-09-16T09:20:08,0,9999,0,9999
2023-09-16T09:33:11,0,9999,0,9999
2023-09-16T09:46:14,0,9999,0,9999
2023-09-16T09:59:24,0,9999,0,9999
2023-09-16T10:12:27,0,9999,0,9999
2023-09-16T10:25:39,0,9999,0,9999
2023-09-16T10:38:41,0,9999,0,9999
2023-09-16T10:51:43,0,9999,0,9999
2023-09-16T11:04:45,0,9999,0,9999
2023-09-16T11:17:46,0,9999,0,9999
2023-09-16T11:30:47,0,9999,0,9999
2023-09-16T11:43:45,0,9999,0,9999
2023-09-16T11:56:44,0,9999,0,9999
2023-09-16T12:09:44,0,9999,0,9999
2023-09-16T12:22:43,0,9999,0,9999
2023-09-16T12:35:51,0,9999,0,9999
2023-09-16T12:48:49,0,9999,0,9999
2023-09-16T13:01:49,0,9999,0,9999
2023-09-16T13:14:48,0,9999,0,9999
2023-09-16T13:27:48,0,9999,0,9999
2023-09-16T13:40:47,0,9999,0,9999
2023-09-16T13:53:45,0,9999,0,9999
2023-09-16T14:06:45,0,9999,0,9999
2023-09-16T14:19:44,0,9999,0,9999
2023-09-16T14:32:43,0,9999,0,9999
2023-09-16T14:45:53,0,9999,0,9999
2023-09-16T14:58:52,0,9999,0,9999
2023-09-16T15:11:53,0,9999,0,9999
2023-09-16T15:24:52,0,9999,0,9999
2023-09-16T15:37:50,0,9999,0,9999
2023-09-16T15:50:49,0,9999,0,9999
2023-09-16T16:03:49,0,9999,0,9999
2023-09-16T16:16:47,0,9999,0,9999
2023-09-16T16:29:46,0,9999,0,9999
2023-09-16T16:42:45,0,9999,0,9999
2023-09-16T16:55:44,0,9999,0,9999
2023-09-16T17:08:53,0,9999,0,9999
2023-09-16T17:21:52,0,9999,0,9999
2023-09-16T17:34:51,0,9999,0,9999
2023-09-16T17:47:51,0,9999,0,9999
2023-09-16T18:00:50,0,9999,0,9999
2023-09-16T18:13:49,0,9999,0,9999
2023-09-16T18:26:48,0,9999,0,9999
2023-09-16T18:39:46,0,9999,0,9999
2023-09-16T18:52:46,0,9999,0,9999
2023-09-16T19:05:45,0,9999,0,9999
2023-09-16T19:18:45,0,9999,0,9999
2023-09-16T19:31:44,0,9999,0,9999
2023-09-16T19:44:54,0,9999,0,9999
2023-09-16T19:57:53,0,9999,0,9999
2023-09-16T20:10:52,0,9999,0,9999
2023-09-16T20:23:51,0,9999,0,9999
2023-09-16T20:36:50,0,9999,0,9999
2023-09-16T20:49:49,0,9999,0,9999
2023-09-16T21:02:48,0,9999,0,9999
2023-09-16T21:15:48,0,9999,0,9999
2023-09-16T21:28:47,0,9999,0,9999
2023-09-16T21:41:46,0,9999,0,9999
2023-09-16T21:54:44,0,9999,0,9999
2023-09-16T22:07:43,0,9999,0,9999
2023-09-16T22:20:43,0,9999,0,9999
2023-09-16T22:33:53,0,9999,0,9999
2023-09-16T22:46:51,0,9999,0,9999
2023-09-16T22:59:49,0,9999,0,9999
2023-09-16T23:12:50,0,9999,0,9999
2023-09-16T23:25:49,0,9999,0,9999
2023-09-16T23:38:47,0,9999,0,9999
2023-09-16T23:51:46,0,9999,0,9999
2023-09-17T00:04:46,0,9999,0,9999
2023-09-17T00:17:47,0,9999,0,9999
2023-09-17T00:30:47,0,9999,0,9999
2023-09-17T00:56:44,0,9999,0,9999
2023-09-17T01:09:44,0,9999,0,9999
2023-09-17T01:22:42,0,9999,0,9999
2023-09-17T01:35:40,0,9999,0,9999
2023-09-17T01:48:43,0,9999,0,9999
2023-09-17T02:01:47,0,9999,0,9999
2023-09-17T02:14:52,0,9999,0,9999
2023-09-17T02:28:12,0,9999,0,9999
2023-09-17T02:41:28,0,9999,0,9999
2023-09-17T02:54:40,0,9999,0,9999
2023-09-17T03:07:42,0,9999,0,9999
2023-09-17T03:20:46,0,9999,0,9999
2023-09-17T03:33:48,0,9999,0,9999
2023-09-17T03:46:52,0,9999,0,9999
2023-09-17T03:59:55,0,9999,0,9999
2023-09-17T04:22:29,0,9999,0,9999
2023-09-17T04:35:34,0,9999,0,9999
2023-09-17T04:50:14,0,9999,0,9999
2023-09-17T05:03:21,0,9999,0,9999
2023-09-17T05:16:25,0,9999,0,9999
2023-09-17T05:29:29,0,9999,0,9999
2023-09-17T05:42:30,0,9999,0,9999
2023-09-17T05:55:31,0,9999,0,9999
2023-09-17T06:08:33,0,9999,0,9999
2023-09-17T06:21:37,0,9999,0,9999
2023-09-17T06:34:39,0,9999,0,9999
2023-09-17T06:47:40,0,9999,0,9999
2023-09-17T07:00:38,0,9999,0,9999
2023-09-17T07:13:37,0,9999,0,9999
2023-09-17T07:26:36,0,9999,0,9999
2023-09-17T07:39:36,0,9999,0,9999
2023-09-17T07:52:35,0,9999,0,9999
2023-09-17T08:05:35,0,9999,0,9999
2023-09-17T08:18:37,0,9999,0,9999
2023-09-17T08:31:41,0,9999,0,9999
2023-09-17T08:44:52,0,9999,0,9999
2023-09-17T08:57:59,0,9999,0,9999
2023-09-17T09:11:02,0,9999,0,9999
2023-09-17T09:24:17,0,9999,0,9999
2023-09-17T09:37:24,0,9999,0,9999
2023-09-17T09:50:31,0,9999,0,9999
2023-09-17T10:03:39,0,9999,0,9999
2023-09-17T10:16:44,0,9999,0,9999
2023-09-17T10:29:57,0,9999,0,9999
2023-09-17T10:42:59,0,9999,0,9999
2023-09-17T10:55:57,0,9999,0,9999
2023-09-17T11:08:57,0,9999,0,9999
2023-09-17T11:21:56,0,9999,0,9999
2023-09-17T11:34:55,0,9999,0,9999
2023-09-17T11:47:54,0,9999,0,9999
2023-09-17T12:00:52,0,9999,0,9999
2023-09-17T12:13:51,0,9999,0,9999
2023-09-17T12:26:49,0,9999,0,9999
2023-09-17T12:39:47,0,9999,0,9999
2023-09-17T12:52:55,0,9999,0,9999
2023-09-17T13:05:53,0,9999,0,9999
2023-09-17T13:18:52,0,9999,0,9999
2023-09-17T13:31:50,0,9999,0,9999
2023-09-17T13:44:49,0,9999,0,9999
2023-09-17T13:57:48,0,9999,0,9999
2023-09-17T14:10:47,0,9999,0,9999
2023-09-17T14:23:46,0,9999,0,9999
2023-09-17T14:36:44,0,9999,0,9999
2023-09-17T14:49:52,0,9999,0,9999
2023-09-17T15:02:51,0,9999,0,9999
2023-09-17T15:15:49,0,9999,0,9999
2023-09-17T15:28:48,0,9999,0,9999
2023-09-17T15:41:47,0,9999,0,9999
2023-09-17T15:54:45,0,9999,0,9999
2023-09-17T16:07:43,0,9999,0,9999
