time,enrolled,available,waitlisted,total
2023-05-25T01:17:24,0,40,0,40
2023-05-25T01:29:01,0,40,0,40
2023-05-25T01:40:35,0,40,0,40
2023-05-25T01:52:20,0,40,0,40
2023-05-25T02:03:56,0,40,0,40
2023-05-25T02:15:32,0,40,0,40
2023-05-25T02:27:08,0,40,0,40
2023-05-25T02:38:41,0,40,0,40
2023-05-25T02:50:14,0,40,0,40
2023-05-25T03:01:47,0,40,0,40
2023-05-25T03:13:24,0,40,0,40
2023-05-25T03:25:23,0,40,0,40
2023-05-25T03:37:01,0,40,0,40
2023-05-25T03:48:36,0,40,0,40
2023-05-25T04:00:12,0,40,0,40
2023-05-25T04:19:36,0,40,0,40
2023-05-25T04:31:36,0,40,0,40
2023-05-25T04:43:12,0,40,0,40
2023-05-25T04:54:48,0,40,0,40
2023-05-25T05:06:25,0,40,0,40
2023-05-25T05:18:02,0,40,0,40
2023-05-25T05:29:38,0,40,0,40
2023-05-25T05:41:14,0,40,0,40
2023-05-25T05:52:50,0,40,0,40
2023-05-25T06:04:27,0,40,0,40
2023-05-25T06:16:02,0,40,0,40
2023-05-25T06:27:37,0,40,0,40
2023-05-25T06:39:12,0,40,0,40
2023-05-25T06:50:47,0,40,0,40
2023-05-25T07:02:23,0,40,0,40
2023-05-25T07:13:58,0,40,0,40
2023-05-25T07:25:32,0,40,0,40
2023-05-25T07:37:05,0,40,0,40
2023-05-25T07:48:43,0,40,0,40
2023-05-25T08:00:18,0,40,0,40
2023-05-25T08:11:53,0,40,0,40
2023-05-25T08:23:37,0,40,0,40
2023-05-25T08:35:11,0,40,0,40
2023-05-25T08:46:44,0,40,0,40
2023-05-25T08:58:17,0,40,0,40
2023-05-25T09:09:50,0,40,0,40
2023-05-25T09:21:22,0,40,0,40
2023-05-25T09:32:55,0,40,0,40
2023-05-25T09:44:27,0,40,0,40
2023-05-25T09:56:01,0,40,0,40
2023-05-25T10:07:34,0,40,0,40
2023-05-25T10:19:18,0,40,0,40
2023-05-25T10:30:51,0,40,0,40
2023-05-25T10:42:24,0,40,0,40
2023-05-25T10:54:07,0,40,0,40
2023-05-25T11:05:39,0,40,0,40
2023-05-25T11:17:12,0,40,0,40
2023-05-25T11:28:45,0,40,0,40
2023-05-25T11:40:17,0,40,0,40
2023-05-25T11:51:50,0,40,0,40
2023-05-25T12:03:35,0,40,0,40
2023-05-25T12:15:07,0,40,0,40
2023-05-25T12:26:40,0,40,0,40
2023-05-25T12:38:13,0,40,0,40
2023-05-25T12:49:46,0,40,0,40
2023-05-25T13:01:29,0,40,0,40
2023-05-25T13:13:02,0,40,0,40
2023-05-25T13:24:35,0,40,0,40
2023-05-25T13:36:08,0,40,0,40
2023-05-25T13:47:41,0,40,0,40
2023-05-25T13:59:14,0,40,0,40
