time,enrolled,available,waitlisted,total
2023-05-25T01:17:52,0,60,0,60
2023-05-25T01:29:28,0,60,0,60
2023-05-25T01:41:12,0,60,0,60
2023-05-25T01:52:48,0,60,0,60
2023-05-25T02:04:23,0,60,0,60
2023-05-25T02:15:59,0,60,0,60
2023-05-25T02:27:35,0,60,0,60
2023-05-25T02:39:08,0,60,0,60
2023-05-25T02:50:42,0,60,0,60
2023-05-25T03:02:15,0,60,0,60
2023-05-25T03:13:52,0,60,0,60
2023-05-25T03:25:51,0,60,0,60
2023-05-25T03:37:28,0,60,0,60
2023-05-25T03:49:04,0,60,0,60
2023-05-25T04:00:39,0,60,0,60
2023-05-25T04:20:03,0,60,0,60
2023-05-25T04:32:03,0,60,0,60
2023-05-25T04:43:40,0,60,0,60
2023-05-25T04:55:16,0,60,0,60
2023-05-25T05:06:52,0,60,0,60
2023-05-25T05:18:29,0,60,0,60
2023-05-25T05:30:05,0,60,0,60
2023-05-25T05:41:41,0,60,0,60
2023-05-25T05:53:17,0,60,0,60
2023-05-25T06:04:54,0,60,0,60
2023-05-25T06:16:29,0,60,0,60
2023-05-25T06:28:04,0,60,0,60
2023-05-25T06:39:39,0,60,0,60
2023-05-25T06:51:14,0,60,0,60
2023-05-25T07:02:50,0,60,0,60
2023-05-25T07:14:25,0,60,0,60
2023-05-25T07:25:59,0,60,0,60
2023-05-25T07:37:33,0,60,0,60
2023-05-25T07:49:11,0,60,0,60
2023-05-25T08:00:46,0,60,0,60
2023-05-25T08:12:20,0,60,0,60
2023-05-25T08:24:05,0,60,0,60
2023-05-25T08:35:38,0,60,0,60
2023-05-25T08:47:11,0,60,0,60
2023-05-25T08:58:44,0,60,0,60
2023-05-25T09:10:17,0,60,0,60
2023-05-25T09:21:50,0,60,0,60
2023-05-25T09:33:22,0,60,0,60
2023-05-25T09:44:55,0,60,0,60
2023-05-25T09:56:28,0,60,0,60
2023-05-25T10:08:01,0,60,0,60
2023-05-25T10:19:46,0,60,0,60
2023-05-25T10:31:19,0,60,0,60
2023-05-25T10:42:51,0,60,0,60
2023-05-25T10:54:34,0,60,0,60
2023-05-25T11:06:06,0,60,0,60
2023-05-25T11:17:39,0,60,0,60
2023-05-25T11:29:12,0,60,0,60
2023-05-25T11:40:45,0,60,0,60
2023-05-25T11:52:18,0,60,0,60
2023-05-25T12:04:02,0,60,0,60
2023-05-25T12:15:34,0,60,0,60
2023-05-25T12:27:07,0,60,0,60
2023-05-25T12:38:40,0,60,0,60
2023-05-25T12:50:13,0,60,0,60
2023-05-25T13:01:56,0,60,0,60
2023-05-25T13:13:29,0,60,0,60
2023-05-25T13:25:02,0,60,0,60
2023-05-25T13:36:35,0,60,0,60
2023-05-25T13:48:08,0,60,0,60
2023-05-25T13:59:42,0,60,0,60
2023-05-25T14:11:26,0,60,0,60
2023-05-25T14:22:59,0,60,0,60
2023-05-25T14:34:32,0,60,0,60
2023-05-25T14:46:05,0,60,0,60
2023-05-25T14:57:49,0,60,0,60
2023-05-25T15:09:23,0,60,0,60
2023-05-25T15:20:58,0,60,0,60
2023-05-25T15:32:32,0,60,0,60
2023-05-25T15:44:07,0,60,0,60
2023-05-25T15:55:41,0,60,0,60
2023-05-25T16:07:26,0,60,0,60
2023-05-25T16:19:01,0,60,0,60
2023-05-25T16:30:37,0,60,0,60
2023-05-25T16:42:12,0,60,0,60
2023-05-25T16:53:47,0,60,0,60
2023-05-25T17:05:24,0,60,0,60
2023-05-25T17:17:11,0,60,0,60
2023-05-25T17:28:47,0,60,0,60
2023-05-25T17:40:22,0,60,0,60
2023-05-25T17:51:58,0,60,0,60
2023-05-25T18:03:35,0,60,0,60
2023-05-25T18:15:10,0,60,0,60
2023-05-25T18:26:46,0,60,0,60
2023-05-25T18:38:31,0,60,0,60
2023-05-25T18:50:07,0,60,0,60
2023-05-25T19:01:43,0,60,0,60
2023-05-25T19:13:19,0,60,0,60
2023-05-25T19:24:55,0,60,0,60
2023-05-25T19:36:30,0,60,0,60
2023-05-25T19:48:07,0,60,0,60
2023-05-25T19:59:52,0,60,0,60
2023-05-25T20:11:28,0,60,0,60
2023-05-25T20:23:03,0,60,0,60
2023-05-25T20:34:40,0,60,0,60
2023-05-25T20:46:15,0,60,0,60
2023-05-25T20:57:51,0,60,0,60
2023-05-25T21:09:27,0,60,0,60
2023-05-25T21:21:14,0,60,0,60
2023-05-25T21:32:50,0,60,0,60
2023-05-25T21:44:25,0,60,0,60
2023-05-25T21:56:01,0,60,0,60
2023-05-25T22:07:36,0,60,0,60
2023-05-25T22:19:11,0,60,0,60
2023-05-25T22:30:47,0,60,0,60
2023-05-25T22:42:33,0,60,0,60
2023-05-25T22:54:09,0,60,0,60
2023-05-25T23:05:47,0,60,0,60
2023-05-25T23:17:22,0,60,0,60
2023-05-25T23:28:58,0,60,0,60
2023-05-25T23:40:34,0,60,0,60
2023-05-25T23:52:11,0,60,0,60
2023-05-26T00:03:54,0,60,0,60
2023-05-26T00:15:46,0,60,0,60
2023-05-26T00:27:25,0,60,0,60
2023-05-26T00:39:04,0,60,0,60
2023-05-26T00:50:42,0,60,0,60
2023-05-26T01:02:22,0,60,0,60
2023-05-26T01:14:01,0,60,0,60
2023-05-26T01:25:39,0,60,0,60
2023-05-26T01:37:17,0,60,0,60
2023-05-26T01:49:05,0,60,0,60
2023-05-26T02:00:46,0,60,0,60
2023-05-26T02:12:25,0,60,0,60
2023-05-26T02:24:02,0,60,0,60
2023-05-26T02:35:41,0,60,0,60
2023-05-26T02:47:29,0,60,0,60
2023-05-26T02:59:09,0,60,0,60
2023-05-26T03:10:49,0,60,0,60
2023-05-26T03:22:31,0,60,0,60
2023-05-26T03:34:09,0,60,0,60
2023-05-26T03:45:48,0,60,0,60
2023-05-26T03:57:26,0,60,0,60
2023-05-26T04:09:14,0,60,0,60
2023-05-26T04:31:14,0,60,0,60
2023-05-26T04:43:17,0,60,0,60
2023-05-26T04:54:58,0,60,0,60
2023-05-26T05:06:40,0,60,0,60
2023-05-26T05:18:20,0,60,0,60
2023-05-26T05:29:59,0,60,0,60
2023-05-26T05:41:38,0,60,0,60
2023-05-26T05:53:17,0,60,0,60
2023-05-26T06:04:55,0,60,0,60
2023-05-26T06:16:34,0,60,0,60
2023-05-26T06:28:13,0,60,0,60
2023-05-26T06:39:52,0,60,0,60
2023-05-26T06:51:30,0,60,0,60
2023-05-26T07:03:08,0,60,0,60
2023-05-26T07:14:47,0,60,0,60
2023-05-26T07:26:26,0,60,0,60
2023-05-26T07:38:11,0,60,0,60
2023-05-26T07:49:48,0,60,0,60
