time,enrolled,available,waitlisted,total
2023-05-31T08:49:43,0,9999,0,9999
2023-05-31T09:01:24,0,9999,0,9999
2023-05-31T09:13:03,0,9999,0,9999
2023-05-31T09:24:44,0,9999,0,9999
2023-05-31T09:36:22,0,9999,0,9999
2023-05-31T09:48:12,0,9999,0,9999
2023-05-31T09:59:51,0,9999,0,9999
2023-05-31T10:11:31,0,9999,0,9999
2023-05-31T10:23:10,0,9999,0,9999
2023-05-31T10:35:02,0,9999,0,9999
2023-05-31T10:46:42,0,9999,0,9999
2023-05-31T10:58:23,0,9999,0,9999
2023-05-31T11:10:02,0,9999,0,9999
2023-05-31T11:21:43,0,9999,0,9999
2023-05-31T11:33:34,0,9999,0,9999
2023-05-31T11:45:14,0,9999,0,9999
2023-05-31T11:56:52,0,9999,0,9999
2023-05-31T12:08:42,0,9999,0,9999
2023-05-31T12:20:22,0,9999,0,9999
2023-05-31T12:32:01,0,9999,0,9999
2023-05-31T12:43:39,0,9999,0,9999
2023-05-31T12:55:27,0,9999,0,9999
2023-05-31T13:07:05,0,9999,0,9999
2023-05-31T13:18:43,0,9999,0,9999
2023-05-31T13:30:21,0,9999,0,9999
2023-05-31T13:42:11,0,9999,0,9999
2023-05-31T13:53:48,0,9999,0,9999
2023-05-31T14:05:26,0,9999,0,9999
2023-05-31T14:17:04,0,9999,0,9999
2023-05-31T14:28:42,0,9999,0,9999
2023-05-31T14:40:31,0,9999,0,9999
2023-05-31T14:52:10,0,9999,0,9999
2023-05-31T15:03:50,0,9999,0,9999
2023-05-31T15:15:30,0,9999,0,9999
2023-05-31T15:27:08,0,9999,0,9999
2023-05-31T15:38:56,0,9999,0,9999
2023-05-31T15:50:34,0,9999,0,9999
2023-05-31T16:02:12,0,9999,0,9999
2023-05-31T16:13:50,0,9999,0,9999
2023-05-31T16:25:29,0,9999,0,9999
2023-05-31T16:37:07,0,9999,0,9999
2023-05-31T16:48:55,0,9999,0,9999
2023-05-31T17:00:33,0,9999,0,9999
2023-05-31T17:12:13,0,9999,0,9999
2023-05-31T17:23:52,0,9999,0,9999
2023-05-31T17:35:30,0,9999,0,9999
2023-05-31T17:47:09,0,9999,0,9999
2023-05-31T17:58:58,0,9999,0,9999
2023-05-31T18:10:36,0,9999,0,9999
2023-05-31T18:22:14,0,9999,0,9999
2023-05-31T18:33:52,0,9999,0,9999
2023-05-31T18:45:30,0,9999,0,9999
2023-05-31T18:57:08,0,9999,0,9999
2023-05-31T19:08:47,0,9999,0,9999
2023-05-31T19:20:36,0,9999,0,9999
2023-05-31T19:32:14,0,9999,0,9999
2023-05-31T19:43:52,0,9999,0,9999
2023-05-31T19:55:30,0,9999,0,9999
2023-05-31T20:07:08,0,9999,0,9999
2023-05-31T20:18:46,0,9999,0,9999
2023-05-31T20:30:24,0,9999,0,9999
2023-05-31T20:42:01,0,9999,0,9999
2023-05-31T20:53:50,0,9999,0,9999
2023-05-31T21:05:28,0,9999,0,9999
2023-05-31T21:17:06,0,9999,0,9999
2023-05-31T21:28:44,0,9999,0,9999
2023-05-31T21:40:22,0,9999,0,9999
2023-05-31T21:52:00,0,9999,0,9999
2023-05-31T22:03:37,0,9999,0,9999
2023-05-31T22:15:26,0,9999,0,9999
2023-05-31T22:27:04,0,9999,0,9999
2023-05-31T22:38:42,0,9999,0,9999
2023-05-31T22:50:20,0,9999,0,9999
2023-05-31T23:01:58,0,9999,0,9999
2023-05-31T23:13:37,0,9999,0,9999
2023-05-31T23:25:15,0,9999,0,9999
2023-05-31T23:37:05,0,9999,0,9999
2023-05-31T23:48:44,0,9999,0,9999
2023-06-01T00:00:22,0,9999,0,9999
2023-06-01T00:12:05,0,9999,0,9999
2023-06-01T00:23:50,0,9999,0,9999
2023-06-01T00:35:30,0,9999,0,9999
2023-06-01T00:47:12,0,9999,0,9999
2023-06-01T00:58:54,0,9999,0,9999
2023-06-01T01:10:35,0,9999,0,9999
2023-06-01T01:22:16,0,9999,0,9999
2023-06-01T01:34:08,0,9999,0,9999
2023-06-01T01:45:46,0,9999,0,9999
2023-06-01T01:57:26,0,9999,0,9999
2023-06-01T02:09:05,0,9999,0,9999
2023-06-01T02:20:43,0,9999,0,9999
2023-06-01T02:32:22,0,9999,0,9999
2023-06-01T02:44:02,0,9999,0,9999
2023-06-01T02:55:42,0,9999,0,9999
2023-06-01T03:07:23,0,9999,0,9999
2023-06-01T03:19:05,0,9999,0,9999
2023-06-01T03:30:45,0,9999,0,9999
2023-06-01T03:42:27,0,9999,0,9999
2023-06-01T03:54:08,0,9999,0,9999
2023-06-01T04:05:49,0,9999,0,9999
2023-06-01T04:17:31,0,9999,0,9999
2023-06-01T04:31:26,0,9999,0,9999
2023-06-01T04:43:11,0,9999,0,9999
2023-06-01T04:56:29,0,9999,0,9999
2023-06-01T05:08:12,0,9999,0,9999
2023-06-01T05:19:54,0,9999,0,9999
2023-06-01T05:31:35,0,9999,0,9999
2023-06-01T05:43:17,0,9999,0,9999
2023-06-01T05:54:58,0,9999,0,9999
2023-06-01T06:06:39,0,9999,0,9999
2023-06-01T06:18:20,0,9999,0,9999
2023-06-01T06:30:01,0,9999,0,9999
2023-06-01T06:41:42,0,9999,0,9999
2023-06-01T06:53:23,0,9999,0,9999
2023-06-01T07:05:05,0,9999,0,9999
2023-06-01T07:16:45,0,9999,0,9999
2023-06-01T07:28:25,0,9999,0,9999
2023-06-01T07:40:05,0,9999,0,9999
2023-06-01T07:51:44,0,9999,0,9999
2023-06-01T08:03:29,0,9999,0,9999
2023-06-01T08:15:09,0,9999,0,9999
2023-06-01T08:26:49,0,9999,0,9999
2023-06-01T08:38:30,0,9999,0,9999
2023-06-01T08:50:20,0,9999,0,9999
2023-06-01T09:02:00,0,9999,0,9999
2023-06-01T09:13:40,0,9999,0,9999
2023-06-01T09:25:19,0,9999,0,9999
2023-06-01T09:36:58,0,9999,0,9999
2023-06-01T09:48:36,0,9999,0,9999
2023-06-01T10:00:18,0,9999,0,9999
2023-06-01T10:11:56,0,9999,0,9999
2023-06-01T10:23:35,0,9999,0,9999
2023-06-01T10:35:24,0,9999,0,9999
2023-06-01T10:47:02,0,9999,0,9999
2023-06-01T10:58:40,0,9999,0,9999
2023-06-01T11:10:18,0,9999,0,9999
2023-06-01T11:21:57,0,9999,0,9999
2023-06-01T11:33:35,0,9999,0,9999
2023-06-01T11:45:13,0,9999,0,9999
2023-06-01T11:57:01,0,9999,0,9999
2023-06-01T12:08:39,0,9999,0,9999
2023-06-01T12:20:17,0,9999,0,9999
2023-06-01T12:31:55,0,9999,0,9999
2023-06-01T12:43:34,0,9999,0,9999
2023-06-01T12:55:12,0,9999,0,9999
2023-06-01T13:07:02,0,9999,0,9999
2023-06-01T13:18:40,0,9999,0,9999
2023-06-01T13:30:18,0,9999,0,9999
2023-06-01T13:41:57,0,9999,0,9999
2023-06-01T13:53:35,0,9999,0,9999
2023-06-01T14:05:14,0,9999,0,9999
2023-06-01T14:17:04,0,9999,0,9999
2023-06-01T14:28:43,0,9999,0,9999
2023-06-01T14:40:21,0,9999,0,9999
2023-06-01T14:52:00,0,9999,0,9999
2023-06-01T15:03:39,0,9999,0,9999
2023-06-01T15:15:31,0,9999,0,9999
2023-06-01T15:27:10,0,9999,0,9999
2023-06-01T15:38:49,0,9999,0,9999
2023-06-01T15:50:28,0,9999,0,9999
2023-06-01T16:02:07,0,9999,0,9999
2023-06-01T16:13:45,0,9999,0,9999
2023-06-01T16:25:24,0,9999,0,9999
2023-06-01T16:37:14,0,9999,0,9999
2023-06-01T16:48:53,0,9999,0,9999
2023-06-01T17:00:31,0,9999,0,9999
2023-06-01T17:12:12,0,9999,0,9999
2023-06-01T17:23:51,0,9999,0,9999
2023-06-01T17:35:30,0,9999,0,9999
2023-06-01T17:47:08,0,9999,0,9999
2023-06-01T17:58:47,0,9999,0,9999
2023-06-01T18:10:37,0,9999,0,9999
2023-06-01T18:22:17,0,9999,0,9999
2023-06-01T18:33:57,0,9999,0,9999
2023-06-01T18:45:37,0,9999,0,9999
2023-06-01T18:57:18,0,9999,0,9999
2023-06-01T19:08:58,0,9999,0,9999
2023-06-01T19:20:39,0,9999,0,9999
2023-06-01T19:32:20,0,9999,0,9999
2023-06-01T19:44:00,0,9999,0,9999
2023-06-01T19:55:52,0,9999,0,9999
2023-06-01T20:07:33,0,9999,0,9999
2023-06-01T20:19:14,0,9999,0,9999
2023-06-01T20:30:54,0,9999,0,9999
2023-06-01T20:42:35,0,9999,0,9999
2023-06-01T20:54:15,0,9999,0,9999
