time,enrolled,available,waitlisted,total
2023-10-13T14:18:16,0,9999,0,9999
2023-10-13T14:31:22,0,9999,0,9999
2023-10-13T14:44:29,0,9999,0,9999
2023-10-13T14:57:45,0,9999,0,9999
2023-10-13T15:10:51,0,9999,0,9999
2023-10-13T15:23:58,0,9999,0,9999
2023-10-13T15:37:04,0,9999,0,9999
2023-10-13T15:50:11,0,9999,0,9999
2023-10-13T16:03:17,0,9999,0,9999
2023-10-13T16:16:34,0,9999,0,9999
2023-10-13T16:29:41,0,9999,0,9999
2023-10-13T16:42:48,0,9999,0,9999
2023-10-13T16:55:54,0,9999,0,9999
2023-10-13T17:09:01,0,9999,0,9999
2023-10-13T17:22:09,0,9999,0,9999
2023-10-13T17:46:47,0,9999,0,9999
2023-10-13T18:00:22,0,9999,0,9999
2023-10-13T18:13:30,0,9999,0,9999
2023-10-13T18:26:37,0,9999,0,9999
2023-10-13T18:39:47,0,9999,0,9999
2023-10-13T18:53:01,0,9999,0,9999
2023-10-13T19:06:07,0,9999,0,9999
2023-10-13T19:19:16,0,9999,0,9999
2023-10-13T19:32:23,0,9999,0,9999
2023-10-13T19:45:29,0,9999,0,9999
2023-10-13T19:58:35,0,9999,0,9999
2023-10-13T20:11:42,0,9999,0,9999
2023-10-13T20:24:59,0,9999,0,9999
2023-10-13T20:38:05,0,9999,0,9999
2023-10-13T20:51:12,0,9999,0,9999
2023-10-13T21:04:18,0,9999,0,9999
2023-10-13T21:17:25,0,9999,0,9999
2023-10-13T21:30:31,0,9999,0,9999
2023-10-13T21:43:38,0,9999,0,9999
2023-10-13T21:56:45,0,9999,0,9999
2023-10-13T22:09:51,0,9999,0,9999
2023-10-13T22:22:57,0,9999,0,9999
2023-10-13T22:36:03,0,9999,0,9999
2023-10-13T22:49:09,0,9999,0,9999
2023-10-13T23:02:25,0,9999,0,9999
2023-10-13T23:15:32,0,9999,0,9999
2023-10-13T23:28:39,0,9999,0,9999
2023-10-13T23:41:46,0,9999,0,9999
2023-10-13T23:54:53,0,9999,0,9999
2023-10-14T00:08:02,0,9999,0,9999
2023-10-14T00:21:20,0,9999,0,9999
2023-10-14T00:34:31,0,9999,0,9999
2023-10-14T00:47:42,0,9999,0,9999
2023-10-14T01:00:54,0,9999,0,9999
2023-10-14T01:14:06,0,9999,0,9999
2023-10-14T01:27:18,0,9999,0,9999
2023-10-14T01:40:29,0,9999,0,9999
2023-10-14T01:53:41,0,9999,0,9999
2023-10-14T02:07:03,0,9999,0,9999
2023-10-14T02:20:12,0,9999,0,9999
2023-10-14T02:33:21,0,9999,0,9999
2023-10-14T02:46:28,0,9999,0,9999
2023-10-14T02:59:34,0,9999,0,9999
2023-10-14T03:12:45,0,9999,0,9999
2023-10-14T03:27:34,0,9999,0,9999
2023-10-14T03:40:47,0,9999,0,9999
2023-10-14T03:54:00,0,9999,0,9999
2023-10-14T04:07:11,0,9999,0,9999
2023-10-14T04:27:08,0,9999,0,9999
2023-10-14T04:41:35,0,9999,0,9999
2023-10-14T04:55:06,0,9999,0,9999
2023-10-14T05:08:18,0,9999,0,9999
2023-10-14T05:21:30,0,9999,0,9999
2023-10-14T05:34:41,0,9999,0,9999
2023-10-14T05:47:53,0,9999,0,9999
2023-10-14T06:01:09,0,9999,0,9999
2023-10-14T06:14:21,0,9999,0,9999
2023-10-14T06:27:33,0,9999,0,9999
2023-10-14T06:40:42,0,9999,0,9999
2023-10-14T06:53:53,0,9999,0,9999
2023-10-14T07:07:07,0,9999,0,9999
2023-10-14T07:20:17,0,9999,0,9999
2023-10-14T07:33:27,0,9999,0,9999
2023-10-14T07:46:36,0,9999,0,9999
2023-10-14T07:59:47,0,9999,0,9999
2023-10-14T08:12:57,0,9999,0,9999
2023-10-14T08:26:07,0,9999,0,9999
2023-10-14T08:39:26,0,9999,0,9999
2023-10-14T08:52:34,0,9999,0,9999
2023-10-14T09:05:43,0,9999,0,9999
2023-10-14T09:18:54,0,9999,0,9999
2023-10-14T09:32:03,0,9999,0,9999
2023-10-14T09:45:10,0,9999,0,9999
2023-10-14T09:58:17,0,9999,0,9999
2023-10-14T10:11:25,0,9999,0,9999
2023-10-14T10:24:33,0,9999,0,9999
2023-10-14T10:37:44,0,9999,0,9999
2023-10-14T10:50:51,0,9999,0,9999
2023-10-14T11:03:57,0,9999,0,9999
2023-10-14T11:17:11,0,9999,0,9999
2023-10-14T11:30:17,0,9999,0,9999
2023-10-14T11:43:23,0,9999,0,9999
2023-10-14T11:56:29,0,9999,0,9999
2023-10-14T12:09:35,0,9999,0,9999
2023-10-14T12:22:41,0,9999,0,9999
2023-10-14T12:35:47,0,9999,0,9999
2023-10-14T12:48:53,0,9999,0,9999
2023-10-14T13:01:59,0,9999,0,9999
2023-10-14T13:15:05,0,9999,0,9999
2023-10-14T13:28:11,0,9999,0,9999
2023-10-14T13:41:17,0,9999,0,9999
2023-10-14T13:54:23,0,9999,0,9999
2023-10-14T14:07:29,0,9999,0,9999
2023-10-14T14:20:35,0,9999,0,9999
2023-10-14T14:33:52,0,9999,0,9999
2023-10-14T14:46:58,0,9999,0,9999
2023-10-14T15:00:03,0,9999,0,9999
2023-10-14T15:13:09,0,9999,0,9999
2023-10-14T15:26:15,0,9999,0,9999
2023-10-14T15:39:21,0,9999,0,9999
2023-10-14T15:52:27,0,9999,0,9999
2023-10-14T16:05:34,0,9999,0,9999
2023-10-14T16:18:40,0,9999,0,9999
2023-10-14T16:31:46,0,9999,0,9999
2023-10-14T16:44:54,0,9999,0,9999
2023-10-14T16:58:00,0,9999,0,9999
2023-10-14T17:11:07,0,9999,0,9999
2023-10-14T17:24:14,0,9999,0,9999
2023-10-14T17:37:30,0,9999,0,9999
2023-10-14T17:50:36,0,9999,0,9999
2023-10-14T18:03:42,0,9999,0,9999
2023-10-14T18:16:49,0,9999,0,9999
2023-10-14T18:29:55,0,9999,0,9999
2023-10-14T18:43:02,0,9999,0,9999
2023-10-14T18:56:08,0,9999,0,9999
2023-10-14T19:09:15,0,9999,0,9999
2023-10-14T19:22:21,0,9999,0,9999
2023-10-14T19:35:27,0,9999,0,9999
2023-10-14T19:48:33,0,9999,0,9999
2023-10-14T20:01:41,0,9999,0,9999
2023-10-14T20:14:47,0,9999,0,9999
2023-10-14T20:27:53,0,9999,0,9999
2023-10-14T20:40:59,0,9999,0,9999
2023-10-14T20:54:05,0,9999,0,9999
2023-10-14T21:07:23,0,9999,0,9999
2023-10-14T21:20:28,0,9999,0,9999
2023-10-14T21:33:35,0,9999,0,9999
2023-10-14T21:46:41,0,9999,0,9999
2023-10-14T21:59:47,0,9999,0,9999
2023-10-14T22:12:53,0,9999,0,9999
2023-10-14T22:25:59,0,9999,0,9999
2023-10-14T22:39:05,0,9999,0,9999
2023-10-14T22:52:10,0,9999,0,9999
2023-10-14T23:05:17,0,9999,0,9999
2023-10-14T23:18:24,0,9999,0,9999
2023-10-14T23:31:30,0,9999,0,9999
2023-10-14T23:44:36,0,9999,0,9999
