time,enrolled,available,waitlisted,total
2023-05-25T01:18:02,0,15,0,15
2023-05-25T01:29:38,0,15,0,15
2023-05-25T01:41:23,0,15,0,15
2023-05-25T01:52:58,0,15,0,15
2023-05-25T02:04:33,0,15,0,15
2023-05-25T02:16:09,0,15,0,15
2023-05-25T02:27:45,0,15,0,15
2023-05-25T02:39:18,0,15,0,15
2023-05-25T02:50:52,0,15,0,15
2023-05-25T03:02:25,0,15,0,15
2023-05-25T03:14:02,0,15,0,15
2023-05-25T03:26:01,0,15,0,15
2023-05-25T03:37:38,0,15,0,15
2023-05-25T03:49:14,0,15,0,15
2023-05-25T04:00:50,0,15,0,15
2023-05-25T04:20:13,0,15,0,15
2023-05-25T04:32:13,0,15,0,15
2023-05-25T04:43:50,0,15,0,15
2023-05-25T04:55:26,0,15,0,15
2023-05-25T05:07:03,0,15,0,15
2023-05-25T05:18:39,0,15,0,15
2023-05-25T05:30:15,0,15,0,15
2023-05-25T05:41:51,0,15,0,15
2023-05-25T05:53:27,0,15,0,15
2023-05-25T06:05:04,0,15,0,15
2023-05-25T06:16:40,0,15,0,15
2023-05-25T06:28:14,0,15,0,15
2023-05-25T06:39:49,0,15,0,15
2023-05-25T06:51:25,0,15,0,15
2023-05-25T07:03:00,0,15,0,15
2023-05-25T07:14:35,0,15,0,15
2023-05-25T07:26:10,0,15,0,15
2023-05-25T07:37:43,0,15,0,15
2023-05-25T07:49:21,0,15,0,15
2023-05-25T08:00:56,0,15,0,15
2023-05-25T08:12:30,0,15,0,15
2023-05-25T08:24:15,0,15,0,15
2023-05-25T08:35:49,0,15,0,15
2023-05-25T08:47:21,0,15,0,15
2023-05-25T08:58:54,0,15,0,15
2023-05-25T09:10:27,0,15,0,15
2023-05-25T09:22:00,0,15,0,15
2023-05-25T09:33:33,0,15,0,15
2023-05-25T09:45:05,0,15,0,15
2023-05-25T09:56:39,0,15,0,15
2023-05-25T10:08:12,0,15,0,15
2023-05-25T10:19:56,0,15,0,15
2023-05-25T10:31:29,0,15,0,15
2023-05-25T10:43:01,0,15,0,15
2023-05-25T10:54:44,0,15,0,15
2023-05-25T11:06:17,0,15,0,15
2023-05-25T11:17:49,0,15,0,15
2023-05-25T11:29:22,0,15,0,15
2023-05-25T11:40:55,0,15,0,15
2023-05-25T11:52:28,0,15,0,15
2023-05-25T12:04:12,0,15,0,15
2023-05-25T12:15:45,0,15,0,15
2023-05-25T12:27:18,0,15,0,15
2023-05-25T12:38:50,0,15,0,15
2023-05-25T12:50:24,0,15,0,15
2023-05-25T13:02:07,0,15,0,15
2023-05-25T13:13:39,0,15,0,15
2023-05-25T13:25:12,0,15,0,15
2023-05-25T13:36:45,0,15,0,15
2023-05-25T13:48:18,0,15,0,15
2023-05-25T13:59:52,0,15,0,15
2023-05-25T14:11:36,0,15,0,15
2023-05-25T14:23:10,0,15,0,15
2023-05-25T14:34:43,0,15,0,15
2023-05-25T14:46:15,0,15,0,15
2023-05-25T14:57:59,0,15,0,15
2023-05-25T15:09:33,0,15,0,15
2023-05-25T15:21:08,0,15,0,15
2023-05-25T15:32:42,0,15,0,15
2023-05-25T15:44:17,0,15,0,15
2023-05-25T15:55:52,0,15,0,15
2023-05-25T16:07:37,0,15,0,15
2023-05-25T16:19:11,0,15,0,15
2023-05-25T16:30:47,0,15,0,15
2023-05-25T16:42:22,0,15,0,15
2023-05-25T16:53:57,0,15,0,15
2023-05-25T17:05:34,0,15,0,15
2023-05-25T17:17:21,0,15,0,15
2023-05-25T17:28:57,0,15,0,15
2023-05-25T17:40:32,0,15,0,15
2023-05-25T17:52:08,0,15,0,15
2023-05-25T18:03:45,0,15,0,15
2023-05-25T18:15:21,0,15,0,15
2023-05-25T18:26:56,0,15,0,15
2023-05-25T18:38:41,0,15,0,15
2023-05-25T18:50:17,0,15,0,15
2023-05-25T19:01:53,0,15,0,15
2023-05-25T19:13:30,0,15,0,15
2023-05-25T19:25:05,0,15,0,15
2023-05-25T19:36:41,0,15,0,15
2023-05-25T19:48:17,0,15,0,15
2023-05-25T20:00:02,0,15,0,15
2023-05-25T20:11:38,0,15,0,15
2023-05-25T20:23:14,0,15,0,15
2023-05-25T20:34:50,0,15,0,15
2023-05-25T20:46:25,0,15,0,15
