time,enrolled,available,waitlisted,total
2023-05-25T01:18:39,0,14,0,14
2023-05-25T01:30:15,0,14,0,14
2023-05-25T01:42:00,0,14,0,14
2023-05-25T01:53:35,0,14,0,14
2023-05-25T02:05:10,0,14,0,14
2023-05-25T02:16:47,0,14,0,14
2023-05-25T02:28:22,0,14,0,14
2023-05-25T02:39:55,0,14,0,14
2023-05-25T02:51:29,0,14,0,14
2023-05-25T03:03:02,0,14,0,14
2023-05-25T03:14:40,0,14,0,14
2023-05-25T03:26:38,0,14,0,14
2023-05-25T03:38:16,0,14,0,14
2023-05-25T03:49:51,0,14,0,14
2023-05-25T04:01:27,0,14,0,14
2023-05-25T04:20:51,0,14,0,14
2023-05-25T04:32:51,0,14,0,14
2023-05-25T04:44:27,0,14,0,14
2023-05-25T04:56:03,0,14,0,14
2023-05-25T05:07:40,0,14,0,14
2023-05-25T05:19:16,0,14,0,14
2023-05-25T05:30:52,0,14,0,14
2023-05-25T05:42:29,0,14,0,14
2023-05-25T05:54:05,0,14,0,14
2023-05-25T06:05:42,0,14,0,14
2023-05-25T06:17:17,0,14,0,14
2023-05-25T06:28:52,0,14,0,14
2023-05-25T06:40:26,0,14,0,14
2023-05-25T06:52:02,0,14,0,14
2023-05-25T07:03:38,0,14,0,14
2023-05-25T07:15:13,0,14,0,14
2023-05-25T07:26:47,0,14,0,14
2023-05-25T07:38:20,0,14,0,14
2023-05-25T07:49:58,0,14,0,14
2023-05-25T08:01:33,0,14,0,14
2023-05-25T08:13:08,0,14,0,14
2023-05-25T08:24:52,0,14,0,14
2023-05-25T08:36:26,0,14,0,14
2023-05-25T08:47:58,0,14,0,14
2023-05-25T08:59:31,0,14,0,14
2023-05-25T09:11:04,0,14,0,14
2023-05-25T09:22:37,0,14,0,14
2023-05-25T09:34:10,0,14,0,14
2023-05-25T09:45:42,0,14,0,14
2023-05-25T09:57:16,0,14,0,14
2023-05-25T10:09:00,0,14,0,14
2023-05-25T10:20:33,0,14,0,14
2023-05-25T10:32:06,0,14,0,14
2023-05-25T10:43:38,0,14,0,14
2023-05-25T10:55:21,0,14,0,14
2023-05-25T11:06:54,0,14,0,14
2023-05-25T11:18:27,0,14,0,14
