time,enrolled,available,waitlisted,total
2023-09-29T15:18:40,0,9999,0,9999
2023-09-29T15:31:59,0,9999,0,9999
2023-09-29T15:45:01,0,9999,0,9999
2023-09-29T15:58:14,0,9999,0,9999
2023-09-29T16:11:17,0,9999,0,9999
2023-09-29T16:24:20,0,9999,0,9999
2023-09-29T16:37:40,0,9999,0,9999
2023-09-29T16:50:43,0,9999,0,9999
2023-09-29T17:03:45,0,9999,0,9999
2023-09-29T17:16:50,0,9999,0,9999
2023-09-29T17:30:02,0,9999,0,9999
2023-09-29T17:43:04,0,9999,0,9999
2023-09-29T17:56:07,0,9999,0,9999
2023-09-29T18:09:29,0,9999,0,9999
2023-09-29T18:22:31,0,9999,0,9999
2023-09-29T18:35:33,0,9999,0,9999
2023-09-29T18:49:36,0,9999,0,9999
2023-09-29T19:02:48,0,9999,0,9999
2023-09-29T19:15:51,0,9999,0,9999
2023-09-29T19:28:53,0,9999,0,9999
2023-09-29T19:41:56,0,9999,0,9999
2023-09-29T19:55:09,0,9999,0,9999
2023-09-29T20:08:11,0,9999,0,9999
2023-09-29T20:21:14,0,9999,0,9999
2023-09-29T20:34:16,0,9999,0,9999
2023-09-29T20:47:37,0,9999,0,9999
2023-09-29T21:00:40,0,9999,0,9999
2023-09-29T21:13:42,0,9999,0,9999
2023-09-29T21:26:45,0,9999,0,9999
2023-09-29T21:39:48,0,9999,0,9999
2023-09-29T21:53:00,0,9999,0,9999
2023-09-29T22:06:03,0,9999,0,9999
2023-09-29T22:19:07,0,9999,0,9999
2023-09-29T22:32:10,0,9999,0,9999
2023-09-29T22:45:29,0,9999,0,9999
2023-09-29T22:58:32,0,9999,0,9999
2023-09-29T23:11:35,0,9999,0,9999
2023-09-29T23:24:39,0,9999,0,9999
2023-09-29T23:37:42,0,9999,0,9999
2023-09-29T23:50:55,0,9999,0,9999
2023-09-30T00:03:59,0,9999,0,9999
2023-09-30T00:17:07,0,9999,0,9999
2023-09-30T00:30:14,0,9999,0,9999
2023-09-30T00:43:24,0,9999,0,9999
2023-09-30T00:56:33,0,9999,0,9999
2023-09-30T01:09:41,0,9999,0,9999
2023-09-30T01:23:07,0,9999,0,9999
2023-09-30T01:36:16,0,9999,0,9999
2023-09-30T01:49:24,0,9999,0,9999
2023-09-30T02:02:36,0,9999,0,9999
2023-09-30T02:15:41,0,9999,0,9999
2023-09-30T02:28:45,0,9999,0,9999
2023-09-30T02:41:49,0,9999,0,9999
2023-09-30T02:54:53,0,9999,0,9999
2023-09-30T03:07:58,0,9999,0,9999
