time,enrolled,available,waitlisted,total
2023-05-25T01:20:02,0,156,0,156
2023-05-25T01:31:38,0,156,0,156
2023-05-25T01:43:22,0,156,0,156
2023-05-25T01:54:58,0,156,0,156
2023-05-25T02:06:33,0,156,0,156
2023-05-25T02:18:10,0,156,0,156
2023-05-25T02:29:45,0,156,0,156
2023-05-25T02:41:18,0,156,0,156
2023-05-25T02:52:51,0,156,0,156
2023-05-25T03:04:24,0,156,0,156
2023-05-25T03:16:02,0,156,0,156
2023-05-25T03:28:01,0,156,0,156
2023-05-25T03:39:38,0,156,0,156
2023-05-25T03:51:14,0,156,0,156
2023-05-25T04:02:49,0,156,0,156
2023-05-25T04:22:37,0,156,0,156
2023-05-25T04:34:13,0,156,0,156
2023-05-25T04:45:50,0,156,0,156
2023-05-25T04:57:26,0,156,0,156
2023-05-25T05:09:03,0,156,0,156
2023-05-25T05:20:39,0,156,0,156
2023-05-25T05:32:16,0,156,0,156
2023-05-25T05:43:51,0,156,0,156
2023-05-25T05:55:27,0,156,0,156
2023-05-25T06:07:04,0,156,0,156
2023-05-25T06:18:39,0,156,0,156
2023-05-25T06:30:14,0,156,0,156
2023-05-25T06:41:49,0,156,0,156
2023-05-25T06:53:25,0,156,0,156
2023-05-25T07:05:00,0,156,0,156
2023-05-25T07:16:35,0,156,0,156
2023-05-25T07:28:09,0,156,0,156
2023-05-25T07:39:45,0,156,0,156
2023-05-25T07:51:21,0,156,0,156
2023-05-25T08:02:56,0,156,0,156
2023-05-25T08:14:30,0,156,0,156
2023-05-25T08:26:14,0,156,0,156
2023-05-25T08:37:48,0,156,0,156
2023-05-25T08:49:20,0,156,0,156
2023-05-25T09:00:54,0,156,0,156
2023-05-25T09:12:27,0,156,0,156
2023-05-25T09:23:59,0,156,0,156
2023-05-25T09:35:32,0,156,0,156
2023-05-25T09:47:04,0,156,0,156
2023-05-25T09:58:38,0,156,0,156
2023-05-25T10:10:22,0,156,0,156
2023-05-25T10:21:55,0,156,0,156
2023-05-25T10:33:28,0,156,0,156
2023-05-25T10:45:01,0,156,0,156
2023-05-25T10:56:43,0,156,0,156
2023-05-25T11:08:16,0,156,0,156
2023-05-25T11:19:49,0,156,0,156
2023-05-25T11:31:21,0,156,0,156
2023-05-25T11:42:54,0,156,0,156
2023-05-25T11:54:28,0,156,0,156
2023-05-25T12:06:11,0,156,0,156
2023-05-25T12:17:44,0,156,0,156
2023-05-25T12:29:17,0,156,0,156
2023-05-25T12:40:50,0,156,0,156
2023-05-25T12:52:23,0,156,0,156
2023-05-25T13:04:06,0,156,0,156
2023-05-25T13:15:39,0,156,0,156
2023-05-25T13:27:12,0,156,0,156
2023-05-25T13:38:45,0,156,0,156
2023-05-25T13:50:18,0,156,0,156
2023-05-25T14:02:02,0,156,0,156
2023-05-25T14:13:36,0,156,0,156
2023-05-25T14:25:09,0,156,0,156
2023-05-25T14:36:42,0,156,0,156
2023-05-25T14:48:15,0,156,0,156
2023-05-25T14:59:59,0,156,0,156
2023-05-25T15:11:33,0,156,0,156
2023-05-25T15:23:07,0,156,0,156
2023-05-25T15:34:42,0,156,0,156
2023-05-25T15:46:16,0,156,0,156
2023-05-25T15:57:51,0,156,0,156
2023-05-25T16:09:36,0,156,0,156
2023-05-25T16:21:11,0,156,0,156
2023-05-25T16:32:46,0,156,0,156
2023-05-25T16:44:21,0,156,0,156
2023-05-25T16:55:56,0,156,0,156
2023-05-25T17:07:33,0,156,0,156
2023-05-25T17:19:21,0,156,0,156
2023-05-25T17:30:56,0,156,0,156
2023-05-25T17:42:31,0,156,0,156
2023-05-25T17:54:07,0,156,0,156
2023-05-25T18:05:44,0,156,0,156
2023-05-25T18:17:20,0,156,0,156
2023-05-25T18:28:55,0,156,0,156
2023-05-25T18:40:41,0,156,0,156
2023-05-25T18:52:17,0,156,0,156
2023-05-25T19:03:52,0,156,0,156
2023-05-25T19:15:29,0,156,0,156
2023-05-25T19:27:04,0,156,0,156
2023-05-25T19:38:40,0,156,0,156
2023-05-25T19:50:16,0,156,0,156
2023-05-25T20:02:02,0,156,0,156
2023-05-25T20:13:38,0,156,0,156
2023-05-25T20:25:14,0,156,0,156
2023-05-25T20:36:49,0,156,0,156
2023-05-25T20:48:25,0,156,0,156
2023-05-25T21:00:00,0,156,0,156
2023-05-25T21:11:36,0,156,0,156
2023-05-25T21:23:23,0,156,0,156
2023-05-25T21:34:59,0,156,0,156
2023-05-25T21:46:35,0,156,0,156
2023-05-25T21:58:10,0,156,0,156
2023-05-25T22:09:46,0,156,0,156
2023-05-25T22:21:21,0,156,0,156
2023-05-25T22:32:57,0,156,0,156
2023-05-25T22:44:43,0,156,0,156
2023-05-25T22:56:18,0,156,0,156
2023-05-25T23:07:57,0,156,0,156
2023-05-25T23:19:32,0,156,0,156
2023-05-25T23:31:08,0,156,0,156
2023-05-25T23:42:44,0,156,0,156
2023-05-25T23:54:21,0,156,0,156
2023-05-26T00:06:15,0,156,0,156
2023-05-26T00:17:56,0,156,0,156
2023-05-26T00:29:35,0,156,0,156
2023-05-26T00:41:14,0,156,0,156
2023-05-26T00:52:53,0,156,0,156
2023-05-26T01:04:32,0,156,0,156
2023-05-26T01:16:11,0,156,0,156
2023-05-26T01:27:49,0,156,0,156
2023-05-26T01:39:27,0,156,0,156
2023-05-26T01:51:15,0,156,0,156
2023-05-26T02:02:57,0,156,0,156
2023-05-26T02:14:35,0,156,0,156
2023-05-26T02:26:12,0,156,0,156
2023-05-26T02:37:51,0,156,0,156
2023-05-26T02:49:40,0,156,0,156
2023-05-26T03:01:20,0,156,0,156
2023-05-26T03:12:59,0,156,0,156
2023-05-26T03:24:41,0,156,0,156
2023-05-26T03:36:19,0,156,0,156
2023-05-26T03:47:58,0,156,0,156
2023-05-26T03:59:36,0,156,0,156
2023-05-26T04:11:24,0,156,0,156
2023-05-26T04:33:25,0,156,0,156
2023-05-26T04:45:28,0,156,0,156
2023-05-26T04:57:09,0,156,0,156
2023-05-26T05:08:51,0,156,0,156
2023-05-26T05:20:30,0,156,0,156
2023-05-26T05:32:09,0,156,0,156
2023-05-26T05:43:48,0,156,0,156
2023-05-26T05:55:27,0,156,0,156
2023-05-26T06:07:05,0,156,0,156
2023-05-26T06:18:44,0,156,0,156
2023-05-26T06:30:23,0,156,0,156
2023-05-26T06:42:02,0,156,0,156
2023-05-26T06:53:40,0,156,0,156
2023-05-26T07:05:19,0,156,0,156
2023-05-26T07:16:57,0,156,0,156
2023-05-26T07:28:35,0,156,0,156
2023-05-26T07:40:21,0,156,0,156
2023-05-26T07:51:58,0,156,0,156
2023-05-26T08:03:35,0,156,0,156
2023-05-26T08:15:11,0,156,0,156
2023-05-26T08:26:47,0,156,0,156
2023-05-26T08:38:23,0,156,0,156
2023-05-26T08:49:59,0,156,0,156
2023-05-26T09:01:35,0,156,0,156
2023-05-26T09:13:12,0,156,0,156
2023-05-26T09:24:48,0,156,0,156
2023-05-26T09:36:35,0,156,0,156
2023-05-26T09:48:11,0,156,0,156
2023-05-26T09:59:47,0,156,0,156
2023-05-26T10:11:24,0,156,0,156
2023-05-26T10:23:00,0,156,0,156
2023-05-26T10:34:36,0,156,0,156
2023-05-26T10:46:24,0,156,0,156
2023-05-26T10:58:00,0,156,0,156
2023-05-26T11:09:37,0,156,0,156
2023-05-26T11:21:14,1,155,0,156
2023-05-26T11:32:50,1,155,0,156
2023-05-26T11:44:36,1,155,0,156
2023-05-26T11:56:12,1,155,0,156
2023-05-26T12:07:49,1,155,0,156
2023-05-26T12:19:24,1,155,0,156
2023-05-26T12:31:01,1,155,0,156
2023-05-26T12:42:48,1,155,0,156
2023-05-26T12:54:24,1,155,0,156
2023-05-26T13:06:00,1,155,0,156
2023-05-26T13:17:35,1,155,0,156
2023-05-26T13:29:21,1,155,0,156
2023-05-26T13:40:58,1,155,0,156
2023-05-26T13:52:33,1,155,0,156
2023-05-26T14:04:10,1,155,0,156
2023-05-26T14:15:45,1,155,0,156
2023-05-26T14:27:32,1,155,0,156
2023-05-26T14:39:08,1,155,0,156
2023-05-26T14:50:45,1,155,0,156
2023-05-26T15:02:21,2,154,0,156
2023-05-26T15:13:59,2,154,0,156
2023-05-26T15:25:45,2,154,0,156
2023-05-26T15:37:21,2,154,0,156
2023-05-26T15:48:56,2,154,0,156
2023-05-26T16:00:33,2,154,0,156
2023-05-26T16:12:09,2,154,0,156
2023-05-26T16:23:44,2,154,0,156
2023-05-26T16:35:30,2,154,0,156
2023-05-26T16:47:06,2,154,0,156
2023-05-26T16:58:41,2,154,0,156
2023-05-26T17:10:18,2,154,0,156
2023-05-26T17:21:54,2,154,0,156
2023-05-26T17:33:30,2,154,0,156
2023-05-26T17:45:15,2,154,0,156
2023-05-26T17:56:51,2,154,0,156
2023-05-26T18:08:27,2,154,0,156
2023-05-26T18:20:03,2,154,0,156
2023-05-26T18:31:38,2,154,0,156
2023-05-26T18:43:14,2,154,0,156
2023-05-26T18:55:00,2,154,0,156
2023-05-26T19:06:36,2,154,0,156
2023-05-26T19:18:12,2,154,0,156
2023-05-26T19:29:49,2,154,0,156
2023-05-26T19:41:24,2,154,0,156
2023-05-26T19:52:59,2,154,0,156
2023-05-26T20:04:35,2,154,0,156
2023-05-26T20:16:21,2,154,0,156
2023-05-26T20:27:57,2,154,0,156
2023-05-26T20:39:32,2,154,0,156
2023-05-26T20:51:07,2,154,0,156
2023-05-26T21:02:43,2,154,0,156
2023-05-26T21:14:20,2,154,0,156
2023-05-26T21:25:56,2,154,0,156
2023-05-26T21:37:32,2,154,0,156
2023-05-26T21:49:18,2,154,0,156
2023-05-26T22:00:54,2,154,0,156
2023-05-26T22:12:30,2,154,0,156
2023-05-26T22:24:06,2,154,0,156
2023-05-26T22:35:43,2,154,0,156
2023-05-26T22:47:18,2,154,0,156
2023-05-26T22:58:54,2,154,0,156
2023-05-26T23:10:43,2,154,0,156
2023-05-26T23:22:19,2,154,0,156
2023-05-26T23:33:55,2,154,0,156
2023-05-26T23:45:32,2,154,0,156
2023-05-26T23:57:08,3,153,0,156
2023-05-27T00:08:45,3,153,0,156
2023-05-27T00:20:27,3,153,0,156
2023-05-27T00:32:05,3,153,0,156
2023-05-27T00:43:43,3,153,0,156
2023-05-27T00:55:23,3,153,0,156
2023-05-27T01:07:02,3,153,0,156
2023-05-27T01:18:51,3,153,0,156
2023-05-27T01:30:29,3,153,0,156
2023-05-27T01:42:08,3,153,0,156
2023-05-27T01:53:48,3,153,0,156
2023-05-27T02:05:25,3,153,0,156
2023-05-27T02:17:04,3,153,0,156
2023-05-27T02:28:41,3,153,0,156
2023-05-27T02:40:18,3,153,0,156
2023-05-27T02:51:54,3,153,0,156
2023-05-27T03:03:30,3,153,0,156
2023-05-27T03:15:08,3,153,0,156
2023-05-27T03:26:46,3,153,0,156
2023-05-27T03:38:23,3,153,0,156
2023-05-27T03:50:00,3,153,0,156
2023-05-27T04:01:39,3,153,0,156
2023-05-27T04:13:32,3,153,0,156
2023-05-27T04:34:53,3,153,0,156
2023-05-27T04:48:05,3,153,0,156
2023-05-27T04:59:44,3,153,0,156
2023-05-27T05:11:23,3,153,0,156
2023-05-27T05:23:02,3,153,0,156
2023-05-27T05:34:41,3,153,0,156
2023-05-27T05:46:21,3,153,0,156
2023-05-27T05:58:00,3,153,0,156
2023-05-27T06:09:38,3,153,0,156
2023-05-27T06:21:19,3,153,0,156
2023-05-27T06:32:58,3,153,0,156
2023-05-27T06:44:36,3,153,0,156
2023-05-27T06:56:15,3,153,0,156
2023-05-27T07:07:52,3,153,0,156
2023-05-27T07:19:31,4,152,0,156
2023-05-27T07:31:09,4,152,0,156
2023-05-27T07:42:46,4,152,0,156
2023-05-27T07:54:37,4,152,0,156
2023-05-27T08:06:14,4,152,0,156
2023-05-27T08:17:52,4,152,0,156
2023-05-27T08:29:30,4,152,0,156
2023-05-27T08:41:09,4,152,0,156
2023-05-27T08:52:46,4,152,0,156
2023-05-27T09:04:24,4,152,0,156
2023-05-27T09:16:02,4,152,0,156
2023-05-27T09:27:40,4,152,0,156
2023-05-27T09:39:19,4,152,0,156
2023-05-27T09:50:57,4,152,0,156
2023-05-27T10:02:34,4,152,0,156
2023-05-27T10:14:28,4,152,0,156
2023-05-27T10:26:05,4,152,0,156
2023-05-27T10:37:43,4,152,0,156
2023-05-27T10:49:19,4,152,0,156
2023-05-27T11:00:56,4,152,0,156
2023-05-27T11:12:32,4,152,0,156
2023-05-27T11:24:07,4,152,0,156
2023-05-27T11:35:42,4,152,0,156
2023-05-27T11:47:17,4,152,0,156
2023-05-27T11:58:52,4,152,0,156
2023-05-27T12:10:37,4,152,0,156
2023-05-27T12:22:11,4,152,0,156
2023-05-27T12:33:47,4,152,0,156
2023-05-27T12:45:22,4,152,0,156
2023-05-27T12:56:57,4,152,0,156
2023-05-27T13:08:33,4,152,0,156
2023-05-27T13:20:08,5,151,0,156
2023-05-27T13:32:03,5,151,0,156
2023-05-27T13:43:38,5,151,0,156
2023-05-27T13:55:13,6,150,0,156
2023-05-27T14:06:49,6,150,0,156
2023-05-27T14:18:25,6,150,0,156
2023-05-27T14:30:00,6,150,0,156
2023-05-27T14:41:35,6,150,0,156
2023-05-27T14:53:10,6,150,0,156
2023-05-27T15:04:56,6,150,0,156
2023-05-27T15:16:31,6,150,0,156
2023-05-27T15:28:06,6,150,0,156
2023-05-27T15:39:41,6,150,0,156
2023-05-27T15:51:16,6,150,0,156
2023-05-27T16:02:51,6,150,0,156
2023-05-27T16:14:26,6,150,0,156
2023-05-27T16:26:01,6,150,0,156
2023-05-27T16:37:46,6,150,0,156
2023-05-27T16:49:22,6,150,0,156
2023-05-27T17:00:57,6,150,0,156
2023-05-27T17:12:35,6,150,0,156
2023-05-27T17:24:11,6,150,0,156
2023-05-27T17:35:47,7,149,0,156
2023-05-27T17:47:32,7,149,0,156
2023-05-27T17:59:07,7,149,0,156
2023-05-27T18:10:43,7,149,0,156
2023-05-27T18:22:18,7,149,0,156
2023-05-27T18:33:54,7,149,0,156
2023-05-27T18:45:28,7,149,0,156
2023-05-27T18:57:03,7,149,0,156
2023-05-27T19:09:00,7,149,0,156
2023-05-27T19:20:35,7,149,0,156
2023-05-27T19:32:11,7,149,0,156
2023-05-27T19:43:47,7,149,0,156
2023-05-27T19:55:22,7,149,0,156
2023-05-27T20:06:57,8,148,0,156
2023-05-27T20:18:32,8,148,0,156
2023-05-27T20:30:08,8,148,0,156
2023-05-27T20:41:43,8,148,0,156
2023-05-27T20:53:28,8,148,0,156
2023-05-27T21:05:03,8,148,0,156
2023-05-27T21:16:38,9,147,0,156
2023-05-27T21:28:13,9,147,0,156
2023-05-27T21:39:49,9,147,0,156
2023-05-27T21:51:24,9,147,0,156
2023-05-27T22:03:00,9,147,0,156
2023-05-27T22:14:44,9,147,0,156
2023-05-27T22:26:20,9,147,0,156
2023-05-27T22:37:55,9,147,0,156
2023-05-27T22:49:31,9,147,0,156
2023-05-27T23:01:06,9,147,0,156
2023-05-27T23:12:46,9,147,0,156
2023-05-27T23:24:22,9,147,0,156
2023-05-27T23:35:58,9,147,0,156
2023-05-27T23:47:50,9,147,0,156
2023-05-27T23:59:25,9,147,0,156
2023-05-28T00:11:03,9,147,0,156
2023-05-28T00:22:43,9,147,0,156
2023-05-28T00:34:21,9,147,0,156
2023-05-28T00:45:58,9,147,0,156
2023-05-28T00:57:35,9,147,0,156
2023-05-28T01:09:11,9,147,0,156
2023-05-28T01:20:48,9,147,0,156
2023-05-28T01:32:33,9,147,0,156
2023-05-28T01:44:08,9,147,0,156
2023-05-28T01:55:44,9,147,0,156
2023-05-28T02:07:20,9,147,0,156
2023-05-28T02:18:56,9,147,0,156
2023-05-28T02:30:32,9,147,0,156
2023-05-28T02:42:13,9,147,0,156
2023-05-28T02:53:52,9,147,0,156
2023-05-28T03:05:34,9,147,0,156
2023-05-28T03:17:14,9,147,0,156
