time,enrolled,available,waitlisted,total
2023-09-25T15:22:38,0,9999,0,9999
2023-09-25T15:35:40,0,9999,0,9999
2023-09-25T15:48:42,0,9999,0,9999
2023-09-25T16:01:43,0,9999,0,9999
2023-09-25T16:14:55,0,9999,0,9999
2023-09-25T16:27:56,0,9999,0,9999
2023-09-25T16:40:58,0,9999,0,9999
2023-09-25T16:53:59,0,9999,0,9999
2023-09-25T17:07:14,0,9999,0,9999
2023-09-25T17:20:16,0,9999,0,9999
2023-09-25T17:33:18,0,9999,0,9999
2023-09-25T17:46:20,0,9999,0,9999
2023-09-25T17:59:20,0,9999,0,9999
2023-09-25T18:12:32,0,9999,0,9999
2023-09-25T18:25:33,0,9999,0,9999
2023-09-25T18:38:35,0,9999,0,9999
2023-09-25T18:51:36,0,9999,0,9999
2023-09-25T19:04:47,0,9999,0,9999
2023-09-25T19:17:49,0,9999,0,9999
2023-09-25T19:30:51,0,9999,0,9999
2023-09-25T19:43:52,0,9999,0,9999
2023-09-25T19:56:53,0,9999,0,9999
2023-09-25T20:10:05,0,9999,0,9999
2023-09-25T20:23:06,0,9999,0,9999
2023-09-25T20:36:07,0,9999,0,9999
2023-09-25T20:49:08,0,9999,0,9999
2023-09-25T21:02:09,0,9999,0,9999
2023-09-25T21:15:22,0,9999,0,9999
2023-09-25T21:28:23,0,9999,0,9999
2023-09-25T21:41:24,0,9999,0,9999
2023-09-25T21:54:26,0,9999,0,9999
2023-09-25T22:07:26,0,9999,0,9999
2023-09-25T22:20:38,0,9999,0,9999
2023-09-25T22:33:39,0,9999,0,9999
2023-09-25T22:46:41,0,9999,0,9999
2023-09-25T22:59:41,0,9999,0,9999
2023-09-25T23:12:44,0,9999,0,9999
2023-09-25T23:25:56,0,9999,0,9999
2023-09-25T23:38:59,0,9999,0,9999
2023-09-25T23:52:01,0,9999,0,9999
2023-09-26T00:05:03,0,9999,0,9999
2023-09-26T00:18:08,0,9999,0,9999
2023-09-26T00:31:15,0,9999,0,9999
2023-09-26T00:44:35,0,9999,0,9999
2023-09-26T00:57:43,0,9999,0,9999
2023-09-26T01:10:48,0,9999,0,9999
2023-09-26T01:23:54,0,9999,0,9999
2023-09-26T01:37:00,0,9999,0,9999
2023-09-26T01:50:06,0,9999,0,9999
2023-09-26T02:03:13,0,9999,0,9999
2023-09-26T02:16:17,0,9999,0,9999
2023-09-26T02:29:21,0,9999,0,9999
2023-09-26T02:42:24,0,9999,0,9999
2023-09-26T02:55:27,0,9999,0,9999
2023-09-26T03:08:30,0,9999,0,9999
2023-09-26T03:21:36,0,9999,0,9999
2023-09-26T03:34:41,0,9999,0,9999
2023-09-26T03:48:00,0,9999,0,9999
2023-09-26T04:01:07,0,9999,0,9999
2023-09-26T04:28:45,0,9999,0,9999
2023-09-26T04:42:10,0,9999,0,9999
2023-09-26T04:55:19,0,9999,0,9999
2023-09-26T05:08:28,0,9999,0,9999
2023-09-26T05:21:34,0,9999,0,9999
2023-09-26T05:34:40,0,9999,0,9999
2023-09-26T05:47:51,0,9999,0,9999
2023-09-26T06:01:01,0,9999,0,9999
2023-09-26T06:14:06,0,9999,0,9999
2023-09-26T06:27:12,0,9999,0,9999
2023-09-26T06:40:17,0,9999,0,9999
