time,enrolled,available,waitlisted,total
2023-05-25T01:20:25,0,3,0,3
2023-05-25T01:32:01,0,3,0,3
2023-05-25T01:43:45,0,3,0,3
2023-05-25T01:55:20,0,3,0,3
2023-05-25T02:06:56,0,3,0,3
2023-05-25T02:18:32,0,3,0,3
2023-05-25T02:30:07,0,3,0,3
2023-05-25T02:41:41,0,3,0,3
2023-05-25T02:53:14,0,3,0,3
2023-05-25T03:04:47,0,3,0,3
2023-05-25T03:16:25,0,3,0,3
2023-05-25T03:28:24,0,3,0,3
2023-05-25T03:40:01,0,3,0,3
2023-05-25T03:51:37,0,3,0,3
2023-05-25T04:03:12,0,3,0,3
2023-05-25T04:22:59,0,3,0,3
2023-05-25T04:34:36,0,3,0,3
2023-05-25T04:46:13,0,3,0,3
2023-05-25T04:57:48,0,3,0,3
2023-05-25T05:09:25,0,3,0,3
2023-05-25T05:21:01,0,3,0,3
2023-05-25T05:32:38,0,3,0,3
2023-05-25T05:44:14,0,3,0,3
2023-05-25T05:55:50,0,3,0,3
2023-05-25T06:07:27,0,3,0,3
2023-05-25T06:19:02,0,3,0,3
2023-05-25T06:30:37,0,3,0,3
2023-05-25T06:42:12,0,3,0,3
2023-05-25T06:53:47,0,3,0,3
2023-05-25T07:05:23,0,3,0,3
2023-05-25T07:16:58,0,3,0,3
2023-05-25T07:28:32,0,3,0,3
2023-05-25T07:40:08,0,3,0,3
2023-05-25T07:51:44,0,3,0,3
2023-05-25T08:03:19,0,3,0,3
2023-05-25T08:14:53,0,3,0,3
2023-05-25T08:26:37,0,3,0,3
2023-05-25T08:38:10,0,3,0,3
2023-05-25T08:49:43,0,3,0,3
2023-05-25T09:01:16,0,3,0,3
2023-05-25T09:12:49,0,3,0,3
2023-05-25T09:24:22,0,3,0,3
2023-05-25T09:35:54,0,3,0,3
2023-05-25T09:47:27,0,3,0,3
2023-05-25T09:59:01,0,3,0,3
2023-05-25T10:10:45,0,3,0,3
2023-05-25T10:22:18,0,3,0,3
2023-05-25T10:33:51,0,3,0,3
2023-05-25T10:45:23,0,3,0,3
2023-05-25T10:57:06,0,3,0,3
2023-05-25T11:08:38,0,3,0,3
2023-05-25T11:20:11,0,3,0,3
2023-05-25T11:31:44,0,3,0,3
2023-05-25T11:43:17,0,3,0,3
2023-05-25T11:54:51,0,3,0,3
2023-05-25T12:06:34,0,3,0,3
2023-05-25T12:18:07,0,3,0,3
2023-05-25T12:29:40,0,3,0,3
2023-05-25T12:41:13,0,3,0,3
2023-05-25T12:52:45,0,3,0,3
2023-05-25T13:04:28,0,3,0,3
2023-05-25T13:16:01,0,3,0,3
2023-05-25T13:27:35,0,3,0,3
2023-05-25T13:39:08,0,3,0,3
2023-05-25T13:50:41,0,3,0,3
2023-05-25T14:02:25,0,3,0,3
2023-05-25T14:13:59,0,3,0,3
2023-05-25T14:25:32,0,3,0,3
2023-05-25T14:37:05,0,3,0,3
2023-05-25T14:48:38,0,3,0,3
2023-05-25T15:00:22,0,3,0,3
2023-05-25T15:11:56,0,3,0,3
2023-05-25T15:23:30,0,3,0,3
2023-05-25T15:35:05,0,3,0,3
2023-05-25T15:46:39,0,3,0,3
2023-05-25T15:58:14,0,3,0,3
2023-05-25T16:09:59,0,3,0,3
2023-05-25T16:21:34,0,3,0,3
2023-05-25T16:33:09,0,3,0,3
2023-05-25T16:44:44,0,3,0,3
2023-05-25T16:56:19,0,3,0,3
2023-05-25T17:07:56,0,3,0,3
2023-05-25T17:19:44,0,3,0,3
2023-05-25T17:31:19,0,3,0,3
2023-05-25T17:42:54,0,3,0,3
2023-05-25T17:54:30,0,3,0,3
2023-05-25T18:06:07,0,3,0,3
2023-05-25T18:17:43,0,3,0,3
2023-05-25T18:29:18,0,3,0,3
2023-05-25T18:41:04,0,3,0,3
2023-05-25T18:52:40,0,3,0,3
2023-05-25T19:04:15,0,3,0,3
2023-05-25T19:15:52,0,3,0,3
2023-05-25T19:27:27,0,3,0,3
2023-05-25T19:39:03,0,3,0,3
2023-05-25T19:50:49,0,3,0,3
2023-05-25T20:02:25,0,3,0,3
2023-05-25T20:14:01,0,3,0,3
2023-05-25T20:25:37,0,3,0,3
2023-05-25T20:37:12,0,3,0,3
2023-05-25T20:48:48,0,3,0,3
2023-05-25T21:00:23,0,3,0,3
2023-05-25T21:11:59,0,3,0,3
2023-05-25T21:23:46,0,3,0,3
2023-05-25T21:35:22,0,3,0,3
2023-05-25T21:46:58,0,3,0,3
2023-05-25T21:58:33,0,3,0,3
2023-05-25T22:10:09,0,3,0,3
2023-05-25T22:21:44,0,3,0,3
2023-05-25T22:33:20,0,3,0,3
2023-05-25T22:45:06,0,3,0,3
2023-05-25T22:56:41,0,3,0,3
2023-05-25T23:08:20,0,3,0,3
