time,enrolled,available,waitlisted,total
2023-05-25T01:20:23,0,5,0,5
2023-05-25T01:31:59,0,5,0,5
2023-05-25T01:43:44,0,5,0,5
2023-05-25T01:55:19,0,5,0,5
2023-05-25T02:06:54,0,5,0,5
2023-05-25T02:18:31,0,5,0,5
2023-05-25T02:30:06,0,5,0,5
2023-05-25T02:41:40,0,5,0,5
2023-05-25T02:53:13,0,5,0,5
2023-05-25T03:04:46,0,5,0,5
2023-05-25T03:16:24,0,5,0,5
2023-05-25T03:28:23,0,5,0,5
2023-05-25T03:40:00,0,5,0,5
2023-05-25T03:51:35,0,5,0,5
2023-05-25T04:03:11,0,5,0,5
2023-05-25T04:22:58,0,5,0,5
2023-05-25T04:34:35,0,5,0,5
2023-05-25T04:46:11,0,5,0,5
2023-05-25T04:57:47,0,5,0,5
2023-05-25T05:09:24,0,5,0,5
2023-05-25T05:21:00,0,5,0,5
2023-05-25T05:32:37,0,5,0,5
2023-05-25T05:44:13,0,5,0,5
2023-05-25T05:55:49,0,5,0,5
2023-05-25T06:07:26,0,5,0,5
2023-05-25T06:19:01,0,5,0,5
2023-05-25T06:30:35,0,5,0,5
2023-05-25T06:42:10,0,5,0,5
2023-05-25T06:53:46,0,5,0,5
2023-05-25T07:05:22,0,5,0,5
2023-05-25T07:16:56,0,5,0,5
2023-05-25T07:28:30,0,5,0,5
2023-05-25T07:40:07,0,5,0,5
2023-05-25T07:51:42,0,5,0,5
2023-05-25T08:03:17,0,5,0,5
2023-05-25T08:14:51,0,5,0,5
2023-05-25T08:26:36,0,5,0,5
2023-05-25T08:38:09,0,5,0,5
2023-05-25T08:49:42,0,5,0,5
2023-05-25T09:01:15,0,5,0,5
2023-05-25T09:12:48,0,5,0,5
2023-05-25T09:24:21,0,5,0,5
2023-05-25T09:35:53,0,5,0,5
2023-05-25T09:47:26,0,5,0,5
2023-05-25T09:58:59,0,5,0,5
2023-05-25T10:10:44,0,5,0,5
2023-05-25T10:22:17,0,5,0,5
2023-05-25T10:33:50,0,5,0,5
2023-05-25T10:45:22,0,5,0,5
2023-05-25T10:57:05,0,5,0,5
2023-05-25T11:08:37,0,5,0,5
2023-05-25T11:20:10,0,5,0,5
2023-05-25T11:31:43,0,5,0,5
2023-05-25T11:43:15,0,5,0,5
2023-05-25T11:54:49,0,5,0,5
2023-05-25T12:06:33,0,5,0,5
2023-05-25T12:18:06,0,5,0,5
2023-05-25T12:29:38,0,5,0,5
2023-05-25T12:41:11,0,5,0,5
2023-05-25T12:52:44,0,5,0,5
2023-05-25T13:04:27,0,5,0,5
2023-05-25T13:16:00,0,5,0,5
2023-05-25T13:27:33,0,5,0,5
2023-05-25T13:39:06,0,5,0,5
2023-05-25T13:50:39,0,5,0,5
2023-05-25T14:02:23,0,5,0,5
2023-05-25T14:13:58,0,5,0,5
2023-05-25T14:25:31,0,5,0,5
2023-05-25T14:37:04,0,5,0,5
2023-05-25T14:48:37,0,5,0,5
2023-05-25T15:00:20,0,5,0,5
2023-05-25T15:11:54,0,5,0,5
2023-05-25T15:23:29,0,5,0,5
2023-05-25T15:35:03,0,5,0,5
2023-05-25T15:46:38,0,5,0,5
2023-05-25T15:58:13,0,5,0,5
2023-05-25T16:09:58,0,5,0,5
2023-05-25T16:21:33,0,5,0,5
2023-05-25T16:33:08,0,5,0,5
2023-05-25T16:44:43,0,5,0,5
2023-05-25T16:56:18,0,5,0,5
2023-05-25T17:07:55,0,5,0,5
2023-05-25T17:19:42,0,5,0,5
2023-05-25T17:31:18,0,5,0,5
2023-05-25T17:42:53,0,5,0,5
2023-05-25T17:54:29,0,5,0,5
2023-05-25T18:06:06,0,5,0,5
2023-05-25T18:17:42,0,5,0,5
2023-05-25T18:29:17,0,5,0,5
2023-05-25T18:41:02,0,5,0,5
2023-05-25T18:52:38,0,5,0,5
2023-05-25T19:04:14,0,5,0,5
2023-05-25T19:15:51,0,5,0,5
2023-05-25T19:27:26,0,5,0,5
2023-05-25T19:39:02,0,5,0,5
2023-05-25T19:50:48,0,5,0,5
2023-05-25T20:02:23,0,5,0,5
2023-05-25T20:13:59,0,5,0,5
2023-05-25T20:25:36,0,5,0,5
2023-05-25T20:37:11,0,5,0,5
2023-05-25T20:48:46,0,5,0,5
2023-05-25T21:00:22,0,5,0,5
2023-05-25T21:11:58,0,5,0,5
2023-05-25T21:23:45,0,5,0,5
2023-05-25T21:35:21,0,5,0,5
2023-05-25T21:46:56,0,5,0,5
2023-05-25T21:58:32,0,5,0,5
2023-05-25T22:10:07,0,5,0,5
2023-05-25T22:21:43,0,5,0,5
2023-05-25T22:33:18,0,5,0,5
2023-05-25T22:45:05,0,5,0,5
2023-05-25T22:56:40,0,5,0,5
2023-05-25T23:08:18,0,5,0,5
