time,enrolled,available,waitlisted,total
2023-05-25T01:20:27,0,90,0,90
2023-05-25T01:32:03,0,90,0,90
2023-05-25T01:43:47,0,90,0,90
2023-05-25T01:55:22,0,90,0,90
2023-05-25T02:06:58,0,90,0,90
2023-05-25T02:18:34,0,90,0,90
2023-05-25T02:30:09,0,90,0,90
2023-05-25T02:41:43,0,90,0,90
2023-05-25T02:53:16,0,90,0,90
2023-05-25T03:04:49,0,90,0,90
2023-05-25T03:16:27,0,90,0,90
2023-05-25T03:28:26,0,90,0,90
2023-05-25T03:40:03,0,90,0,90
2023-05-25T03:51:39,0,90,0,90
2023-05-25T04:03:14,0,90,0,90
2023-05-25T04:23:01,0,90,0,90
2023-05-25T04:34:38,0,90,0,90
2023-05-25T04:46:15,0,90,0,90
2023-05-25T04:57:50,0,90,0,90
2023-05-25T05:09:27,0,90,0,90
2023-05-25T05:21:04,0,90,0,90
2023-05-25T05:32:41,0,90,0,90
2023-05-25T05:44:16,0,90,0,90
2023-05-25T05:55:52,0,90,0,90
2023-05-25T06:07:29,0,90,0,90
2023-05-25T06:19:04,0,90,0,90
2023-05-25T06:30:39,0,90,0,90
2023-05-25T06:42:14,0,90,0,90
2023-05-25T06:53:49,0,90,0,90
2023-05-25T07:05:25,0,90,0,90
2023-05-25T07:17:00,0,90,0,90
2023-05-25T07:28:34,0,90,0,90
2023-05-25T07:40:10,0,90,0,90
2023-05-25T07:51:46,0,90,0,90
2023-05-25T08:03:21,0,90,0,90
2023-05-25T08:14:55,0,90,0,90
2023-05-25T08:26:39,0,90,0,90
2023-05-25T08:38:13,0,90,0,90
2023-05-25T08:49:45,0,90,0,90
2023-05-25T09:01:18,0,90,0,90
2023-05-25T09:12:51,0,90,0,90
2023-05-25T09:24:24,0,90,0,90
2023-05-25T09:35:57,0,90,0,90
2023-05-25T09:47:29,0,90,0,90
2023-05-25T09:59:03,0,90,0,90
2023-05-25T10:10:47,0,90,0,90
2023-05-25T10:22:20,0,90,0,90
2023-05-25T10:33:53,0,90,0,90
2023-05-25T10:45:25,0,90,0,90
2023-05-25T10:57:08,0,90,0,90
2023-05-25T11:08:40,0,90,0,90
2023-05-25T11:20:14,0,90,0,90
2023-05-25T11:31:46,0,90,0,90
2023-05-25T11:43:19,0,90,0,90
2023-05-25T11:54:53,0,90,0,90
2023-05-25T12:06:36,0,90,0,90
2023-05-25T12:18:09,0,90,0,90
2023-05-25T12:29:42,0,90,0,90
2023-05-25T12:41:15,0,90,0,90
2023-05-25T12:52:48,0,90,0,90
2023-05-25T13:04:31,0,90,0,90
2023-05-25T13:16:03,0,90,0,90
2023-05-25T13:27:37,0,90,0,90
