time,enrolled,available,waitlisted,total
2023-05-25T01:20:40,0,48,0,48
2023-05-25T01:32:16,0,48,0,48
2023-05-25T01:44:01,0,48,0,48
2023-05-25T01:55:36,0,48,0,48
2023-05-25T02:07:11,0,48,0,48
2023-05-25T02:18:48,0,48,0,48
2023-05-25T02:30:23,0,48,0,48
2023-05-25T02:41:57,0,48,0,48
2023-05-25T02:53:30,0,48,0,48
2023-05-25T03:05:03,0,48,0,48
2023-05-25T03:16:42,0,48,0,48
2023-05-25T03:28:40,0,48,0,48
2023-05-25T03:40:17,0,48,0,48
2023-05-25T03:51:53,0,48,0,48
2023-05-25T04:03:28,0,48,0,48
2023-05-25T04:23:15,0,48,0,48
2023-05-25T04:34:52,0,48,0,48
2023-05-25T04:46:28,0,48,0,48
2023-05-25T04:58:04,0,48,0,48
2023-05-25T05:09:41,0,48,0,48
2023-05-25T05:21:17,0,48,0,48
2023-05-25T05:32:54,0,48,0,48
2023-05-25T05:44:30,0,48,0,48
2023-05-25T05:56:06,0,48,0,48
2023-05-25T06:07:43,0,48,0,48
2023-05-25T06:19:18,0,48,0,48
2023-05-25T06:30:53,0,48,0,48
2023-05-25T06:42:27,0,48,0,48
2023-05-25T06:54:03,0,48,0,48
2023-05-25T07:05:39,0,48,0,48
2023-05-25T07:17:13,0,48,0,48
2023-05-25T07:28:47,0,48,0,48
2023-05-25T07:40:24,0,48,0,48
2023-05-25T07:51:59,0,48,0,48
2023-05-25T08:03:34,0,48,0,48
2023-05-25T08:15:08,0,48,0,48
2023-05-25T08:26:53,0,48,0,48
2023-05-25T08:38:26,0,48,0,48
2023-05-25T08:49:59,0,48,0,48
2023-05-25T09:01:32,0,48,0,48
2023-05-25T09:13:05,0,48,0,48
2023-05-25T09:24:38,0,48,0,48
2023-05-25T09:36:10,0,48,0,48
2023-05-25T09:47:43,0,48,0,48
2023-05-25T09:59:16,0,48,0,48
2023-05-25T10:11:01,0,48,0,48
2023-05-25T10:22:34,0,48,0,48
2023-05-25T10:34:07,0,48,0,48
2023-05-25T10:45:39,0,48,0,48
2023-05-25T10:57:22,0,48,0,48
2023-05-25T11:08:54,0,48,0,48
2023-05-25T11:20:27,0,48,0,48
2023-05-25T11:32:00,0,48,0,48
2023-05-25T11:43:32,0,48,0,48
2023-05-25T11:55:17,0,48,0,48
2023-05-25T12:06:50,0,48,0,48
2023-05-25T12:18:23,0,48,0,48
2023-05-25T12:29:55,0,48,0,48
2023-05-25T12:41:28,0,48,0,48
2023-05-25T12:53:01,0,48,0,48
2023-05-25T13:04:44,0,48,0,48
2023-05-25T13:16:17,0,48,0,48
2023-05-25T13:27:50,0,48,0,48
2023-05-25T13:39:23,0,48,0,48
2023-05-25T13:50:57,0,48,0,48
2023-05-25T14:02:41,0,48,0,48
2023-05-25T14:14:15,0,48,0,48
2023-05-25T14:25:48,0,48,0,48
2023-05-25T14:37:21,0,48,0,48
2023-05-25T14:48:54,0,48,0,48
2023-05-25T15:00:37,0,48,0,48
2023-05-25T15:12:11,0,48,0,48
