time,enrolled,available,waitlisted,total
2023-05-25T01:21:11,0,40,0,40
2023-05-25T01:32:47,0,40,0,40
2023-05-25T01:44:31,0,40,0,40
2023-05-25T01:56:06,0,40,0,40
2023-05-25T02:07:42,0,40,0,40
2023-05-25T02:19:18,0,40,0,40
2023-05-25T02:30:53,0,40,0,40
2023-05-25T02:42:27,0,40,0,40
2023-05-25T02:54:00,0,40,0,40
2023-05-25T03:05:33,0,40,0,40
2023-05-25T03:17:12,0,40,0,40
2023-05-25T03:29:10,0,40,0,40
2023-05-25T03:40:47,0,40,0,40
2023-05-25T03:52:23,0,40,0,40
2023-05-25T04:03:58,0,40,0,40
2023-05-25T04:23:46,0,40,0,40
2023-05-25T04:35:22,0,40,0,40
2023-05-25T04:46:59,0,40,0,40
2023-05-25T04:58:35,0,40,0,40
2023-05-25T05:10:11,0,40,0,40
2023-05-25T05:21:48,0,40,0,40
2023-05-25T05:33:25,0,40,0,40
2023-05-25T05:45:00,0,40,0,40
2023-05-25T05:56:37,0,40,0,40
2023-05-25T06:08:13,0,40,0,40
2023-05-25T06:19:48,0,40,0,40
2023-05-25T06:31:23,0,40,0,40
2023-05-25T06:42:58,0,40,0,40
2023-05-25T06:54:33,0,40,0,40
2023-05-25T07:06:09,0,40,0,40
2023-05-25T07:17:44,0,40,0,40
2023-05-25T07:29:18,0,40,0,40
2023-05-25T07:40:54,0,40,0,40
2023-05-25T07:52:30,0,40,0,40
2023-05-25T08:04:05,0,40,0,40
2023-05-25T08:15:39,0,40,0,40
2023-05-25T08:27:23,0,40,0,40
2023-05-25T08:38:57,0,40,0,40
2023-05-25T08:50:29,0,40,0,40
2023-05-25T09:02:02,0,40,0,40
2023-05-25T09:13:35,0,40,0,40
2023-05-25T09:25:08,0,40,0,40
2023-05-25T09:36:40,0,40,0,40
2023-05-25T09:48:13,0,40,0,40
2023-05-25T09:59:47,0,40,0,40
2023-05-25T10:11:31,0,40,0,40
2023-05-25T10:23:04,0,40,0,40
2023-05-25T10:34:37,0,40,0,40
2023-05-25T10:46:09,0,40,0,40
2023-05-25T10:57:52,0,40,0,40
2023-05-25T11:09:24,0,40,0,40
2023-05-25T11:20:57,0,40,0,40
2023-05-25T11:32:30,0,40,0,40
2023-05-25T11:44:03,0,40,0,40
2023-05-25T11:55:47,0,40,0,40
2023-05-25T12:07:20,0,40,0,40
2023-05-25T12:18:53,0,40,0,40
2023-05-25T12:30:26,0,40,0,40
2023-05-25T12:41:59,0,40,0,40
2023-05-25T12:53:31,0,40,0,40
2023-05-25T13:05:15,0,40,0,40
2023-05-25T13:16:47,0,40,0,40
2023-05-25T13:28:21,0,40,0,40
2023-05-25T13:39:54,0,40,0,40
2023-05-25T13:51:27,0,40,0,40
2023-05-25T14:03:11,0,40,0,40
2023-05-25T14:14:45,0,40,0,40
2023-05-25T14:26:18,0,40,0,40
2023-05-25T14:37:51,0,40,0,40
2023-05-25T14:49:24,0,40,0,40
2023-05-25T15:01:08,0,40,0,40
2023-05-25T15:12:42,0,40,0,40
2023-05-25T15:24:16,0,40,0,40
2023-05-25T15:35:51,0,40,0,40
2023-05-25T15:47:25,0,40,0,40
2023-05-25T15:59:00,0,40,0,40
2023-05-25T16:10:45,0,40,0,40
2023-05-25T16:22:21,0,40,0,40
2023-05-25T16:33:55,0,40,0,40
2023-05-25T16:45:31,0,40,0,40
2023-05-25T16:57:06,0,40,0,40
2023-05-25T17:08:43,0,40,0,40
2023-05-25T17:20:30,0,40,0,40
2023-05-25T17:32:05,0,40,0,40
2023-05-25T17:43:41,0,40,0,40
2023-05-25T17:55:17,0,40,0,40
2023-05-25T18:06:54,0,40,0,40
2023-05-25T18:18:29,0,40,0,40
2023-05-25T18:30:05,0,40,0,40
2023-05-25T18:41:50,0,40,0,40
2023-05-25T18:53:26,0,40,0,40
2023-05-25T19:05:02,0,40,0,40
2023-05-25T19:16:38,0,40,0,40
2023-05-25T19:28:14,0,40,0,40
2023-05-25T19:39:50,0,40,0,40
2023-05-25T19:51:35,0,40,0,40
2023-05-25T20:03:11,0,40,0,40
2023-05-25T20:14:47,0,40,0,40
2023-05-25T20:26:23,0,40,0,40
2023-05-25T20:37:59,0,40,0,40
2023-05-25T20:49:34,0,40,0,40
2023-05-25T21:01:10,0,40,0,40
2023-05-25T21:12:46,0,40,0,40
2023-05-25T21:24:33,0,40,0,40
2023-05-25T21:36:08,0,40,0,40
2023-05-25T21:47:44,0,40,0,40
2023-05-25T21:59:20,0,40,0,40
2023-05-25T22:10:55,0,40,0,40
2023-05-25T22:22:30,0,40,0,40
2023-05-25T22:34:06,0,40,0,40
2023-05-25T22:45:52,0,40,0,40
2023-05-25T22:57:28,0,40,0,40
2023-05-25T23:09:06,0,40,0,40
2023-05-25T23:20:41,0,40,0,40
2023-05-25T23:32:17,0,40,0,40
2023-05-25T23:43:53,0,40,0,40
2023-05-25T23:55:30,0,40,0,40
2023-05-26T00:07:26,0,40,0,40
2023-05-26T00:19:06,0,40,0,40
2023-05-26T00:30:45,0,40,0,40
2023-05-26T00:42:24,0,40,0,40
2023-05-26T00:54:02,0,40,0,40
2023-05-26T01:05:42,0,40,0,40
2023-05-26T01:17:21,0,40,0,40
2023-05-26T01:28:59,0,40,0,40
2023-05-26T01:40:36,0,40,0,40
2023-05-26T01:52:25,0,40,0,40
2023-05-26T02:04:07,0,40,0,40
2023-05-26T02:15:45,0,40,0,40
2023-05-26T02:27:22,0,40,0,40
2023-05-26T02:39:01,0,40,0,40
2023-05-26T02:50:50,0,40,0,40
2023-05-26T03:02:30,0,40,0,40
2023-05-26T03:14:09,0,40,0,40
2023-05-26T03:25:51,0,40,0,40
2023-05-26T03:37:29,0,40,0,40
2023-05-26T03:49:07,0,40,0,40
2023-05-26T04:00:46,0,40,0,40
2023-05-26T04:12:34,0,40,0,40
2023-05-26T04:34:58,0,40,0,40
2023-05-26T04:46:38,0,40,0,40
2023-05-26T04:58:19,0,40,0,40
2023-05-26T05:10:01,0,40,0,40
2023-05-26T05:21:40,0,40,0,40
2023-05-26T05:33:18,0,40,0,40
2023-05-26T05:44:58,0,40,0,40
2023-05-26T05:56:36,0,40,0,40
2023-05-26T06:08:14,0,40,0,40
2023-05-26T06:19:54,0,40,0,40
2023-05-26T06:31:33,0,40,0,40
2023-05-26T06:43:12,0,40,0,40
2023-05-26T06:54:50,0,40,0,40
2023-05-26T07:06:28,0,40,0,40
2023-05-26T07:18:07,0,40,0,40
2023-05-26T07:29:53,0,40,0,40
2023-05-26T07:41:30,0,40,0,40
2023-05-26T07:53:08,0,40,0,40
2023-05-26T08:04:44,0,40,0,40
2023-05-26T08:16:20,0,40,0,40
2023-05-26T08:27:56,0,40,0,40
2023-05-26T08:39:33,0,40,0,40
