time,enrolled,available,waitlisted,total
2023-06-14T14:05:00,0,10,0,10
2023-06-14T14:17:05,0,10,0,10
2023-06-14T14:29:14,0,10,0,10
2023-06-14T14:41:30,0,10,0,10
2023-06-14T14:53:56,0,10,0,10
2023-06-14T15:06:10,0,10,0,10
2023-06-14T15:18:24,0,10,0,10
2023-06-14T15:30:40,0,10,0,10
2023-06-14T15:42:54,0,10,0,10
2023-06-14T15:55:09,0,10,0,10
2023-06-14T16:07:26,0,10,0,10
2023-06-14T16:19:51,0,10,0,10
2023-06-14T16:32:05,0,10,0,10
2023-06-14T16:44:21,0,10,0,10
2023-06-14T16:56:35,0,10,0,10
2023-06-14T17:08:52,0,10,0,10
2023-06-14T17:21:07,0,10,0,10
2023-06-14T17:33:21,0,10,0,10
2023-06-14T17:45:48,0,10,0,10
2023-06-14T17:58:01,0,10,0,10
2023-06-14T18:10:16,0,10,0,10
2023-06-14T18:22:30,0,10,0,10
2023-06-14T18:34:44,0,10,0,10
2023-06-14T18:46:57,0,10,0,10
2023-06-14T18:59:12,0,10,0,10
2023-06-14T19:11:38,0,10,0,10
2023-06-14T19:23:53,0,10,0,10
2023-06-14T19:36:07,0,10,0,10
2023-06-14T19:48:21,0,10,0,10
2023-06-14T20:00:34,0,10,0,10
2023-06-14T20:12:52,0,10,0,10
2023-06-14T20:25:06,0,10,0,10
2023-06-14T20:37:20,0,10,0,10
2023-06-14T20:49:34,0,10,0,10
2023-06-14T21:01:59,0,10,0,10
2023-06-14T21:14:13,0,10,0,10
2023-06-14T21:26:27,0,10,0,10
2023-06-14T21:38:41,0,10,0,10
2023-06-14T21:50:55,0,10,0,10
2023-06-14T22:03:09,0,10,0,10
2023-06-14T22:15:23,0,10,0,10
2023-06-14T22:27:38,0,10,0,10
2023-06-14T22:40:03,0,10,0,10
2023-06-14T22:52:17,0,10,0,10
2023-06-14T23:04:32,0,10,0,10
2023-06-14T23:16:48,0,10,0,10
2023-06-14T23:29:02,0,10,0,10
2023-06-14T23:41:16,0,10,0,10
2023-06-14T23:53:31,0,10,0,10
2023-06-15T00:05:46,0,10,0,10
2023-06-15T00:18:05,0,10,0,10
2023-06-15T00:30:23,0,10,0,10
2023-06-15T00:42:43,0,10,0,10
2023-06-15T00:55:14,0,10,0,10
2023-06-15T01:07:33,0,10,0,10
2023-06-15T01:19:50,0,10,0,10
2023-06-15T01:32:07,0,10,0,10
2023-06-15T01:44:24,0,10,0,10
2023-06-15T01:56:41,0,10,0,10
2023-06-15T02:08:58,0,10,0,10
2023-06-15T02:21:14,0,10,0,10
2023-06-15T02:33:32,0,10,0,10
2023-06-15T02:45:47,0,10,0,10
2023-06-15T02:58:02,0,10,0,10
2023-06-15T03:10:29,0,10,0,10
2023-06-15T03:22:46,0,10,0,10
2023-06-15T03:35:03,0,10,0,10
2023-06-15T03:47:19,0,10,0,10
2023-06-15T03:59:36,0,10,0,10
2023-06-15T04:27:57,0,10,0,10
2023-06-15T04:40:18,0,10,0,10
2023-06-15T04:53:57,0,10,0,10
2023-06-15T05:06:35,0,10,0,10
2023-06-15T05:18:53,0,10,0,10
2023-06-15T05:31:11,0,10,0,10
2023-06-15T05:43:30,0,10,0,10
2023-06-15T05:55:48,0,10,0,10
2023-06-15T06:08:04,0,10,0,10
2023-06-15T06:20:22,0,10,0,10
2023-06-15T06:32:38,0,10,0,10
2023-06-15T06:44:54,0,10,0,10
2023-06-15T06:57:11,0,10,0,10
2023-06-15T07:09:28,0,10,0,10
2023-06-15T07:21:46,0,10,0,10
2023-06-15T07:34:03,0,10,0,10
2023-06-15T07:46:28,0,10,0,10
2023-06-15T07:58:44,0,10,0,10
2023-06-15T08:11:00,0,10,0,10
2023-06-15T08:23:16,0,10,0,10
2023-06-15T08:35:33,0,10,0,10
2023-06-15T08:47:48,0,10,0,10
2023-06-15T09:00:04,0,10,0,10
2023-06-15T09:12:20,0,10,0,10
2023-06-15T09:24:36,0,10,0,10
2023-06-15T09:36:51,0,10,0,10
2023-06-15T09:49:07,0,10,0,10
2023-06-15T10:01:31,0,10,0,10
2023-06-15T10:13:45,0,10,0,10
2023-06-15T10:25:59,0,10,0,10
2023-06-15T10:38:13,0,10,0,10
2023-06-15T10:50:27,0,10,0,10
2023-06-15T11:02:41,0,10,0,10
2023-06-15T11:14:55,0,10,0,10
2023-06-15T11:27:09,0,10,0,10
2023-06-15T11:39:35,0,10,0,10
2023-06-15T11:51:48,0,10,0,10
2023-06-15T12:04:06,0,10,0,10
2023-06-15T12:16:20,0,10,0,10
2023-06-15T12:28:34,0,10,0,10
2023-06-15T12:40:50,0,10,0,10
2023-06-15T12:53:04,0,10,0,10
2023-06-15T13:05:18,0,10,0,10
2023-06-15T13:17:42,0,10,0,10
2023-06-15T13:29:56,0,10,0,10
2023-06-15T13:42:11,0,10,0,10
2023-06-15T13:54:26,0,10,0,10
2023-06-15T14:06:40,0,10,0,10
2023-06-15T14:18:54,0,10,0,10
2023-06-15T14:31:09,0,10,0,10
2023-06-15T14:43:34,0,10,0,10
2023-06-15T14:55:49,0,10,0,10
2023-06-15T15:08:02,0,10,0,10
2023-06-15T15:20:16,0,10,0,10
2023-06-15T15:32:30,0,10,0,10
2023-06-15T15:44:44,0,10,0,10
2023-06-15T15:56:59,0,10,0,10
2023-06-15T16:09:25,0,10,0,10
2023-06-15T16:21:38,0,10,0,10
2023-06-15T16:33:52,0,10,0,10
2023-06-15T16:46:06,0,10,0,10
2023-06-15T16:58:20,0,10,0,10
2023-06-15T17:10:34,0,10,0,10
2023-06-15T17:22:49,0,10,0,10
2023-06-15T17:35:03,0,10,0,10
2023-06-15T17:47:28,0,10,0,10
2023-06-15T17:59:41,0,10,0,10
2023-06-15T18:11:57,0,10,0,10
2023-06-15T18:24:11,0,10,0,10
2023-06-15T18:36:25,0,10,0,10
2023-06-15T18:48:39,0,10,0,10
2023-06-15T19:00:54,0,10,0,10
2023-06-15T19:13:09,0,10,0,10
2023-06-15T19:25:23,0,10,0,10
2023-06-15T19:37:48,0,10,0,10
2023-06-15T19:50:02,0,10,0,10
2023-06-15T20:02:17,0,10,0,10
2023-06-15T20:14:31,0,10,0,10
2023-06-15T20:26:45,0,10,0,10
2023-06-15T20:38:59,0,10,0,10
2023-06-15T20:51:13,0,10,0,10
2023-06-15T21:03:39,0,10,0,10
2023-06-15T21:15:53,0,10,0,10
2023-06-15T21:28:08,0,10,0,10
2023-06-15T21:40:23,0,10,0,10
2023-06-15T21:52:38,0,10,0,10
2023-06-15T22:04:52,0,10,0,10
2023-06-15T22:17:06,0,10,0,10
2023-06-15T22:29:21,0,10,0,10
2023-06-15T22:41:35,0,10,0,10
2023-06-15T22:53:49,0,10,0,10
2023-06-15T23:06:15,0,10,0,10
2023-06-15T23:18:30,0,10,0,10
2023-06-15T23:30:47,0,10,0,10
2023-06-15T23:43:01,0,10,0,10
2023-06-15T23:55:16,0,10,0,10
2023-06-16T00:07:32,0,10,0,10
2023-06-16T00:19:48,0,10,0,10
2023-06-16T00:32:02,0,10,0,10
2023-06-16T00:44:16,0,10,0,10
2023-06-16T00:56:30,0,10,0,10
2023-06-16T01:08:46,0,10,0,10
2023-06-16T01:21:12,0,10,0,10
2023-06-16T01:33:26,0,10,0,10
2023-06-16T01:45:41,0,10,0,10
2023-06-16T01:57:55,0,10,0,10
2023-06-16T02:10:11,0,10,0,10
2023-06-16T02:22:27,0,10,0,10
2023-06-16T02:34:42,0,10,0,10
2023-06-16T02:46:57,0,10,0,10
2023-06-16T02:59:13,0,10,0,10
2023-06-16T03:11:31,0,10,0,10
2023-06-16T03:23:48,0,10,0,10
2023-06-16T03:36:08,0,10,0,10
2023-06-16T03:48:25,0,10,0,10
2023-06-16T04:00:42,0,10,0,10
2023-06-16T04:23:56,0,10,0,10
2023-06-16T04:36:16,0,10,0,10
2023-06-16T04:50:02,0,10,0,10
