time,enrolled,available,waitlisted,total
2023-05-25T01:21:28,0,20,0,20
2023-05-25T01:33:04,0,20,0,20
2023-05-25T01:44:48,0,20,0,20
2023-05-25T01:56:24,0,20,0,20
2023-05-25T02:07:59,0,20,0,20
2023-05-25T02:19:36,0,20,0,20
2023-05-25T02:31:10,0,20,0,20
2023-05-25T02:42:44,0,20,0,20
2023-05-25T02:54:17,0,20,0,20
2023-05-25T03:05:50,0,20,0,20
2023-05-25T03:17:29,0,20,0,20
2023-05-25T03:29:27,0,20,0,20
2023-05-25T03:41:04,0,20,0,20
2023-05-25T03:52:40,0,20,0,20
2023-05-25T04:04:15,0,20,0,20
2023-05-25T04:24:03,0,20,0,20
2023-05-25T04:35:40,0,20,0,20
2023-05-25T04:47:16,0,20,0,20
2023-05-25T04:58:52,0,20,0,20
2023-05-25T05:10:28,0,20,0,20
2023-05-25T05:22:05,0,20,0,20
2023-05-25T05:33:42,0,20,0,20
2023-05-25T05:45:17,0,20,0,20
2023-05-25T05:56:54,0,20,0,20
2023-05-25T06:08:30,0,20,0,20
2023-05-25T06:20:05,0,20,0,20
2023-05-25T06:31:40,0,20,0,20
2023-05-25T06:43:15,0,20,0,20
2023-05-25T06:54:50,0,20,0,20
2023-05-25T07:06:26,0,20,0,20
2023-05-25T07:18:01,0,20,0,20
2023-05-25T07:29:35,0,20,0,20
2023-05-25T07:41:11,0,20,0,20
2023-05-25T07:52:47,0,20,0,20
2023-05-25T08:04:22,0,20,0,20
2023-05-25T08:15:56,0,20,0,20
2023-05-25T08:27:40,0,20,0,20
2023-05-25T08:39:14,0,20,0,20
2023-05-25T08:50:46,0,20,0,20
2023-05-25T09:02:20,0,20,0,20
2023-05-25T09:13:52,0,20,0,20
2023-05-25T09:25:25,0,20,0,20
2023-05-25T09:36:57,0,20,0,20
2023-05-25T09:48:30,0,20,0,20
2023-05-25T10:00:04,0,20,0,20
2023-05-25T10:11:48,0,20,0,20
2023-05-25T10:23:21,0,20,0,20
2023-05-25T10:34:54,0,20,0,20
