time,enrolled,available,waitlisted,total
2023-09-20T15:41:16,0,9999,0,9999
2023-09-20T15:54:16,0,9999,0,9999
2023-09-20T16:07:16,0,9999,0,9999
2023-09-20T16:20:16,0,9999,0,9999
2023-09-20T16:33:17,0,9999,0,9999
2023-09-20T16:46:17,0,9999,0,9999
2023-09-20T16:59:17,0,9999,0,9999
2023-09-20T17:12:30,0,9999,0,9999
2023-09-20T17:25:32,0,9999,0,9999
2023-09-20T17:38:31,0,9999,0,9999
2023-09-20T17:51:32,0,9999,0,9999
2023-09-20T18:04:33,0,9999,0,9999
2023-09-20T18:17:33,0,9999,0,9999
2023-09-20T18:30:42,0,9999,0,9999
2023-09-20T18:43:43,0,9999,0,9999
2023-09-20T18:56:43,0,9999,0,9999
2023-09-20T19:09:43,0,9999,0,9999
2023-09-20T19:22:45,0,9999,0,9999
2023-09-20T19:35:46,0,9999,0,9999
2023-09-20T19:48:46,0,9999,0,9999
2023-09-20T20:01:46,0,9999,0,9999
2023-09-20T20:14:58,0,9999,0,9999
2023-09-20T20:27:58,0,9999,0,9999
2023-09-20T20:40:58,0,9999,0,9999
2023-09-20T20:53:58,0,9999,0,9999
2023-09-20T21:06:59,0,9999,0,9999
2023-09-20T21:19:58,0,9999,0,9999
2023-09-20T21:33:10,0,9999,0,9999
2023-09-20T21:46:10,0,9999,0,9999
2023-09-20T21:59:10,0,9999,0,9999
2023-09-20T22:12:11,0,9999,0,9999
2023-09-20T22:25:11,0,9999,0,9999
2023-09-20T22:38:12,0,9999,0,9999
2023-09-20T22:51:23,0,9999,0,9999
2023-09-20T23:04:23,0,9999,0,9999
2023-09-20T23:17:24,0,9999,0,9999
2023-09-20T23:30:24,0,9999,0,9999
2023-09-20T23:43:24,0,9999,0,9999
2023-09-20T23:56:25,0,9999,0,9999
2023-09-21T00:09:27,0,9999,0,9999
2023-09-21T00:22:34,0,9999,0,9999
2023-09-21T00:35:39,0,9999,0,9999
2023-09-21T00:48:44,0,9999,0,9999
2023-09-21T01:02:00,0,9999,0,9999
2023-09-21T01:15:04,0,9999,0,9999
2023-09-21T01:28:08,0,9999,0,9999
2023-09-21T01:41:12,0,9999,0,9999
2023-09-21T01:54:16,0,9999,0,9999
2023-09-21T02:07:21,0,9999,0,9999
2023-09-21T02:20:24,0,9999,0,9999
2023-09-21T02:33:27,0,9999,0,9999
2023-09-21T02:46:30,0,9999,0,9999
2023-09-21T02:59:31,0,9999,0,9999
2023-09-21T03:12:33,0,9999,0,9999
2023-09-21T03:25:38,0,9999,0,9999
2023-09-21T03:38:41,0,9999,0,9999
2023-09-21T03:51:46,0,9999,0,9999
2023-09-21T04:04:52,0,9999,0,9999
2023-09-21T04:34:15,0,9999,0,9999
2023-09-21T04:48:42,0,9999,0,9999
2023-09-21T05:02:04,0,9999,0,9999
2023-09-21T05:15:10,0,9999,0,9999
2023-09-21T05:28:15,0,9999,0,9999
2023-09-21T05:41:18,0,9999,0,9999
2023-09-21T05:54:22,0,9999,0,9999
2023-09-21T06:07:25,0,9999,0,9999
2023-09-21T06:20:30,0,9999,0,9999
2023-09-21T06:33:37,0,9999,0,9999
2023-09-21T06:46:41,0,9999,0,9999
2023-09-21T06:59:45,0,9999,0,9999
2023-09-21T07:12:49,0,9999,0,9999
2023-09-21T07:25:53,0,9999,0,9999
2023-09-21T07:38:56,0,9999,0,9999
2023-09-21T07:51:59,0,9999,0,9999
2023-09-21T08:05:04,0,9999,0,9999
2023-09-21T08:18:09,0,9999,0,9999
2023-09-21T08:31:28,0,9999,0,9999
2023-09-21T08:44:30,0,9999,0,9999
2023-09-21T08:57:32,0,9999,0,9999
2023-09-21T09:10:35,0,9999,0,9999
2023-09-21T09:23:36,0,9999,0,9999
2023-09-21T09:36:35,0,9999,0,9999
2023-09-21T09:49:35,0,9999,0,9999
2023-09-21T10:02:36,0,9999,0,9999
2023-09-21T10:15:37,0,9999,0,9999
2023-09-21T10:28:47,0,9999,0,9999
2023-09-21T10:41:47,0,9999,0,9999
2023-09-21T10:54:48,0,9999,0,9999
